"","auth","piece","line"
"0","sakaguchi","furyoshonento_kirisuto.txt","不良少年とキリスト"
"1","sakaguchi","furyoshonento_kirisuto.txt","坂口安吾"
"2","sakaguchi","furyoshonento_kirisuto.txt",""
"3","sakaguchi","furyoshonento_kirisuto.txt","-------------------------------------------------------"
"4","sakaguchi","furyoshonento_kirisuto.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","furyoshonento_kirisuto.txt",""
"6","sakaguchi","furyoshonento_kirisuto.txt","《》：ルビ"
"7","sakaguchi","furyoshonento_kirisuto.txt","（例）傑れた"
"8","sakaguchi","furyoshonento_kirisuto.txt",""
"9","sakaguchi","furyoshonento_kirisuto.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","furyoshonento_kirisuto.txt","（例）メチャ／＼"
"11","sakaguchi","furyoshonento_kirisuto.txt","-------------------------------------------------------"
"12","sakaguchi","furyoshonento_kirisuto.txt",""
"13","sakaguchi","furyoshonento_kirisuto.txt","もう十日、歯がいたい。"
"14","sakaguchi","furyoshonento_kirisuto.txt","右頬に氷をのせ、ズルフォン剤をのんで、ねている。"
"15","sakaguchi","furyoshonento_kirisuto.txt","ねていたくないのだが、氷をのせると、ねる以外に仕方がない。"
"16","sakaguchi","furyoshonento_kirisuto.txt","ねて本を読む。"
"17","sakaguchi","furyoshonento_kirisuto.txt","太宰の本をあらかた読みかえした。"
"18","sakaguchi","furyoshonento_kirisuto.txt",""
"19","sakaguchi","furyoshonento_kirisuto.txt","ズルフォン剤を三箱カラにしたが、痛みがとまらない。"
"20","sakaguchi","furyoshonento_kirisuto.txt","是非なく、医者へ行った。"
"21","sakaguchi","furyoshonento_kirisuto.txt","一向にハカバカしく行かない。"
"22","sakaguchi","furyoshonento_kirisuto.txt",""
"23","sakaguchi","furyoshonento_kirisuto.txt","「ハア、たいへん、よろしい。"
"24","sakaguchi","furyoshonento_kirisuto.txt","私の申上げることも、ズルフォン剤をのんで、氷嚢をあてる、それだけです。"
"25","sakaguchi","furyoshonento_kirisuto.txt","それが何より、よろしい」"
"26","sakaguchi","furyoshonento_kirisuto.txt","こっちは、それだけでは、よろしくないのである。"
"27","sakaguchi","furyoshonento_kirisuto.txt",""
"28","sakaguchi","furyoshonento_kirisuto.txt","「今に、治るだろうと思います」"
"29","sakaguchi","furyoshonento_kirisuto.txt","この若い医者は、完璧な言葉を用いる。"
"30","sakaguchi","furyoshonento_kirisuto.txt","今に、治るだろうと思います、か。"
"31","sakaguchi","furyoshonento_kirisuto.txt","医学は主観的認識の問題であるか、薬物の客観的効果の問題であるか。"
"32","sakaguchi","furyoshonento_kirisuto.txt","ともかく、こっちは、歯が痛いのだよ。"
"33","sakaguchi","furyoshonento_kirisuto.txt",""
"34","sakaguchi","furyoshonento_kirisuto.txt","原子バクダンで百万人一瞬にたゝきつぶしたって、たった一人の歯の痛みがとまらなきゃ、なにが文明だい。"
"35","sakaguchi","furyoshonento_kirisuto.txt","バカヤロー。"
"36","sakaguchi","furyoshonento_kirisuto.txt",""
"37","sakaguchi","furyoshonento_kirisuto.txt","女房がズルフォン剤のガラスビンを縦に立てようとして、ガチャリと倒す。"
"38","sakaguchi","furyoshonento_kirisuto.txt","音響が、とびあがるほど、ひゞくのである。"
"39","sakaguchi","furyoshonento_kirisuto.txt",""
"40","sakaguchi","furyoshonento_kirisuto.txt","「コラ、バカ者！」"
"41","sakaguchi","furyoshonento_kirisuto.txt","「このガラスビンは立てることができるのよ」"
"42","sakaguchi","furyoshonento_kirisuto.txt","先方は、曲芸をたのしんでいるのである。"
"43","sakaguchi","furyoshonento_kirisuto.txt",""
"44","sakaguchi","furyoshonento_kirisuto.txt","「オマエサンは、バカだから、キライだよ」"
"45","sakaguchi","furyoshonento_kirisuto.txt","女房の血相が変る。"
"46","sakaguchi","furyoshonento_kirisuto.txt","怒り、骨髄に徹したのである。"
"47","sakaguchi","furyoshonento_kirisuto.txt","こっちは痛み骨髄に徹している。"
"48","sakaguchi","furyoshonento_kirisuto.txt",""
