"","auth","piece","line"
"0","sakaguchi","gairaigo_zehi.txt","外来語是非"
"1","sakaguchi","gairaigo_zehi.txt","坂口安吾"
"2","sakaguchi","gairaigo_zehi.txt",""
"3","sakaguchi","gairaigo_zehi.txt","-------------------------------------------------------"
"4","sakaguchi","gairaigo_zehi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","gairaigo_zehi.txt",""
"6","sakaguchi","gairaigo_zehi.txt","《》：ルビ"
"7","sakaguchi","gairaigo_zehi.txt","（例）怪しからん"
"8","sakaguchi","gairaigo_zehi.txt","-------------------------------------------------------"
"9","sakaguchi","gairaigo_zehi.txt",""
"10","sakaguchi","gairaigo_zehi.txt","先日ある新聞にラジオだのアナウンサーだのといふ外来語を使用するのは怪しからんと論じてゐる人があつた。"
"11","sakaguchi","gairaigo_zehi.txt","皇軍破竹の進撃に付随して、このやうな景気の良い議論が方々を賑はし始めてゐるけれども、尤もらしく見えて、実際は危険な行き過ぎである。"
"12","sakaguchi","gairaigo_zehi.txt",""
"13","sakaguchi","gairaigo_zehi.txt","皇軍の偉大な戦果に比べれば、まだ我々の文化は話にならぬほど貧困である。"
"14","sakaguchi","gairaigo_zehi.txt","ラジオもプロペラもズルフォンアミドも日本人が発明したものではない。"
"15","sakaguchi","gairaigo_zehi.txt","かやうな言葉は発明者の国籍に属するのが当然で、いはゞ文化を武器として戦ひとつた言葉である。"
"16","sakaguchi","gairaigo_zehi.txt","ラジオを日本語に改めても、実力によつて戦ひとつたことにはならぬ。"
"17","sakaguchi","gairaigo_zehi.txt","我々がラジオを発明すれば、当然日本語の言葉が出来上り、自然全世界が日本語で之を呼ぶであらうが、さもない限り仕方がない。"
"18","sakaguchi","gairaigo_zehi.txt","我々は文化の実力によつて、かやうな言葉を今後に於て戦ひとらねばならぬのである。"
"19","sakaguchi","gairaigo_zehi.txt",""
"20","sakaguchi","gairaigo_zehi.txt","日本はジャパンでないと怒るのもをかしい。"
"21","sakaguchi","gairaigo_zehi.txt","我々はブリテン国をイギリスと言ひ、フランスは之をアングレーと呼ぶけれども、軽蔑しての呼称ではない。"
"22","sakaguchi","gairaigo_zehi.txt","各国には各々の国語とその尊厳とがあつて、互に之を尊重しあはねばならぬもので、こんなところに国辱を感じること自体が、国辱的な文化の貧困を意味してゐる。"
"23","sakaguchi","gairaigo_zehi.txt","こんなことよりも「民族の祭典」を見て慌てゝ聖火リレーをやるやうな芸のない模倣を慎しみ、仏教国でありながら梵語辞典すら持たないやうな外国依存を取り返すのが大切である。"
"24","sakaguchi","gairaigo_zehi.txt",""
"25","sakaguchi","gairaigo_zehi.txt",""
"26","sakaguchi","gairaigo_zehi.txt",""
"27","sakaguchi","gairaigo_zehi.txt",""
"28","sakaguchi","gairaigo_zehi.txt","底本：「坂口安吾全集03」筑摩書房"
"29","sakaguchi","gairaigo_zehi.txt","1999（平成11）年3月20日初版第1刷発行"
"30","sakaguchi","gairaigo_zehi.txt","底本の親本：「都新聞一九五六七号」"
"31","sakaguchi","gairaigo_zehi.txt","1942（昭和17）年4月12日"
"32","sakaguchi","gairaigo_zehi.txt","初出：「都新聞一九五六七号」"
"33","sakaguchi","gairaigo_zehi.txt","1942（昭和17）年4月12日"
"34","sakaguchi","gairaigo_zehi.txt","入力：tatsuki"
"35","sakaguchi","gairaigo_zehi.txt","校正：noriko saito"
"36","sakaguchi","gairaigo_zehi.txt","2008年9月16日作成"
"37","sakaguchi","gairaigo_zehi.txt","青空文庫作成ファイル："
"38","sakaguchi","gairaigo_zehi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"39","sakaguchi","gairaigo_zehi.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"40","sakaguchi","gairaigo_zehi.txt",""
