"","auth","piece","line"
"0","sakaguchi","gendai_ninjutsuden.txt","現代忍術伝"
"1","sakaguchi","gendai_ninjutsuden.txt","坂口安吾"
"2","sakaguchi","gendai_ninjutsuden.txt",""
"3","sakaguchi","gendai_ninjutsuden.txt","-------------------------------------------------------"
"4","sakaguchi","gendai_ninjutsuden.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","gendai_ninjutsuden.txt",""
"6","sakaguchi","gendai_ninjutsuden.txt","《》：ルビ"
"7","sakaguchi","gendai_ninjutsuden.txt","（例）小菅"
"8","sakaguchi","gendai_ninjutsuden.txt",""
"9","sakaguchi","gendai_ninjutsuden.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","gendai_ninjutsuden.txt","（例）箱根｜底倉"
"11","sakaguchi","gendai_ninjutsuden.txt",""
"12","sakaguchi","gendai_ninjutsuden.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","gendai_ninjutsuden.txt","（例）ジャア／＼"
"14","sakaguchi","gendai_ninjutsuden.txt","-------------------------------------------------------"
"15","sakaguchi","gendai_ninjutsuden.txt",""
"16","sakaguchi","gendai_ninjutsuden.txt","その一正宗菊松先生就職発奮のこと"
"17","sakaguchi","gendai_ninjutsuden.txt",""
"18","sakaguchi","gendai_ninjutsuden.txt","戦乱破壊のあとゝいうものは、若い者の天下なのである。"
"19","sakaguchi","gendai_ninjutsuden.txt","昔から変りがない。"
"20","sakaguchi","gendai_ninjutsuden.txt","野武士といえば柄がよくきこえるが、手ッとり早く云えば、当今の集団強盗、やがて一家をなしてボスとなる。"
"21","sakaguchi","gendai_ninjutsuden.txt","これが昔なら大名だ。"
"22","sakaguchi","gendai_ninjutsuden.txt","集団強盗の手先をつとめる浮浪児の一人が、顔は猿に似ているが、智恵がある。"
"23","sakaguchi","gendai_ninjutsuden.txt","しかるべく立身出世して天下をとったのが豊臣秀吉という先輩なのである。"
"24","sakaguchi","gendai_ninjutsuden.txt","同じような浮浪児の一人が、小坊主に仕立てられたが、寺を逃げだして、油の行商をやって小金をもうけ、大名にとりいって武士となったが、主人を殺して城と国を盗んでしまった。"
"25","sakaguchi","gendai_ninjutsuden.txt","そんな大名もあった。"
"26","sakaguchi","gendai_ninjutsuden.txt",""
"27","sakaguchi","gendai_ninjutsuden.txt","戦乱破壊のあとのドサクサには、いつの世も浮浪児や集団強盗がハバをきかせるもので、やがて一国一城のボスとなり、三十年もたって孫子の代になると、大名、貴族、名門などと云われて、人間の種が違うように思われてしまうが、根は浮浪児や集団強盗の出身なのである。"
"28","sakaguchi","gendai_ninjutsuden.txt",""
"29","sakaguchi","gendai_ninjutsuden.txt","こういうドサクサ時代というものには、没落階級はつきもので、変化に応じて身を変えられる、青年の天下であり、甲羅ができて身を変えられぬ老人共はクリゴトを述べるばかりで、ウダツがあがらぬ習いである。"
"30","sakaguchi","gendai_ninjutsuden.txt",""
"31","sakaguchi","gendai_ninjutsuden.txt","現代とても同じこと、法治国、文明開化のオカゲによって一応の秩序は保たれているように見えるが、裏へまわれば、裏口営業もあるし、巡査はボスの手先をつとめ、税吏は酒池肉林の楽しみをつくす。"
"32","sakaguchi","gendai_ninjutsuden.txt","地頭や代官、岡ッ引と変らない。"
"33","sakaguchi","gendai_ninjutsuden.txt","大名会議の席上、大名の一人が前をまくってジャア／＼やったり、男大名が酔っ払って女大名を口説いた。"
"34","sakaguchi","gendai_ninjutsuden.txt","これは表芸の方であり、裏芸の方ではワイロをせしめたカドによって小菅の方へ引越したという。"
"35","sakaguchi","gendai_ninjutsuden.txt","上は総理大臣より浮浪児パン助に至るまで、ドサクサまぎれに稼ぎのできる人材を新興階級といい、末は大名貴族となる名門の祖先なのである。"
"36","sakaguchi","gendai_ninjutsuden.txt",""
"37","sakaguchi","gendai_ninjutsuden.txt","ところが、ここに、物の本には現れてこない一群の人間層があるのである。"
"38","sakaguchi","gendai_ninjutsuden.txt","十五六から二十七八に至る少青年層の半分ぐらいをしめて、野武士でもなければ、武士でもないし、坊主でもない。"
"39","sakaguchi","gendai_ninjutsuden.txt","これを、学生、生徒とよぶのである。"
"40","sakaguchi","gendai_ninjutsuden.txt","この新発生動物層は果して何物であるか、というのが、本篇の主人公、正宗菊松氏の胸にいだいた恐怖の謎であった。"
"41","sakaguchi","gendai_ninjutsuden.txt","実にむつかしい謎である。"
"42","sakaguchi","gendai_ninjutsuden.txt","今までルルと述べてきた心境は、正宗菊松氏の偽らざる胸の思いで、作者の関知するところではない。"
"43","sakaguchi","gendai_ninjutsuden.txt",""
"44","sakaguchi","gendai_ninjutsuden.txt","正宗菊松氏の胸の思いがここまでくると、武者ぶるいだか、恐怖のふるいだか、わけの分らぬ胴ぶるいが起って、"
"45","sakaguchi","gendai_ninjutsuden.txt","「よし、畜生！オレだって、やってみせるぞ。"
"46","sakaguchi","gendai_ninjutsuden.txt","ウヌ」"
"47","sakaguchi","gendai_ninjutsuden.txt","蒼ざめて、卒倒しそうになる。"
"48","sakaguchi","gendai_ninjutsuden.txt","戦闘意識なのであるが、どうも、然し、ミジメであった。"
"49","sakaguchi","gendai_ninjutsuden.txt","勝つ人間の余裕がない。"
"50","sakaguchi","gendai_ninjutsuden.txt",""
"51","sakaguchi","gendai_ninjutsuden.txt","思えば彼も終戦の次の年まで中学校の歴史の先生であった。"
"52","sakaguchi","gendai_ninjutsuden.txt","終戦までの学生、生徒は決して謎の動物ではなかったのである。"
"53","sakaguchi","gendai_ninjutsuden.txt","正宗菊松先生は威勢よく号令をかけて、生徒をアゴで使うことができた。"
"54","sakaguchi","gendai_ninjutsuden.txt","今は逆であった。"
"55","sakaguchi","gendai_ninjutsuden.txt",""
"56","sakaguchi","gendai_ninjutsuden.txt","彼はもう五十を越していたが、歴史の先生ではメシがくえない。"
"57","sakaguchi","gendai_ninjutsuden.txt","学生はアルバイトなどということをやって、悠々とタバコをふかし、ダンスホールへ通っているが、先生は配給のタバコを買う金もないのである。"
"58","sakaguchi","gendai_ninjutsuden.txt","ついに転業のやむなきに至った。"
"59","sakaguchi","gendai_ninjutsuden.txt","そのとき、彼が見つけた広告は、"
"60","sakaguchi","gendai_ninjutsuden.txt","「実直なる五十年配の教養ある紳士を求む。"
