"","auth","piece","line"
"0","sakaguchi","hahano_jokyo.txt","母の上京"
"1","sakaguchi","hahano_jokyo.txt","坂口安吾"
"2","sakaguchi","hahano_jokyo.txt",""
"3","sakaguchi","hahano_jokyo.txt","-------------------------------------------------------"
"4","sakaguchi","hahano_jokyo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hahano_jokyo.txt",""
"6","sakaguchi","hahano_jokyo.txt","《》：ルビ"
"7","sakaguchi","hahano_jokyo.txt","（例）お午すぎ"
"8","sakaguchi","hahano_jokyo.txt",""
"9","sakaguchi","hahano_jokyo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","hahano_jokyo.txt","（例）ぶら／＼"
"11","sakaguchi","hahano_jokyo.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"12","sakaguchi","hahano_jokyo.txt","-------------------------------------------------------"
"13","sakaguchi","hahano_jokyo.txt",""
"14","sakaguchi","hahano_jokyo.txt","母親の執念はすさまじいものだと夏川は思つた。"
"15","sakaguchi","hahano_jokyo.txt","敗戦のどさくさ以来、夏川はわざと故郷との音信を断つてゐる。"
"16","sakaguchi","hahano_jokyo.txt","故郷の知り人に会ふこともなく、親しい人にも今の住所はなるべく明さぬやうにしてゐるのだが、どういふ風の便りを嗅ぎわけて、母がたうとう自分の住居を突きとめたのだか、母の一念を考へて、ゾッとするほどの気持であつた。"
"17","sakaguchi","hahano_jokyo.txt",""
"18","sakaguchi","hahano_jokyo.txt","夏川が都電を降りると、ヒロシが近づいてきて、ナアさん、お帰りなさいまし、と言ふ。"
"19","sakaguchi","hahano_jokyo.txt","そして、お午すぎるころから母がきて夏川の部屋にゐることを知らされたのである。"
"20","sakaguchi","hahano_jokyo.txt","ヒロシはかういふことにかけては気転がきくので、夏川が何も知らずに戻つてきては具合の悪いこともあるだらうと、もう二時間も彼の帰りを待つてゐた。"
"21","sakaguchi","hahano_jokyo.txt","さういふ親切に、ヒロシは然し恬淡で、第一、二時間も待ちかまへたことを話すにも、いつもと変らぬ調子であつた。"
"22","sakaguchi","hahano_jokyo.txt",""
"23","sakaguchi","hahano_jokyo.txt","「どうなさいますか、ナアさん。"
"24","sakaguchi","hahano_jokyo.txt","このまゝウチへおかへり？」"
"25","sakaguchi","hahano_jokyo.txt","ヒロシは夏川の顔をちらと見た。"
"26","sakaguchi","hahano_jokyo.txt","その目には、はじめていくらかの厳しい気配があつた。"
"27","sakaguchi","hahano_jokyo.txt","ヒロシの報せの言葉が穏やかなせゐか激動は覚えなかつたが、夏川の心は顛倒して、とつさに目当もつかないやうだ。"
"28","sakaguchi","hahano_jokyo.txt","穏やかだが、突きつめたヒロシの意志がその中へ食ひこむやうであつた。"
"29","sakaguchi","hahano_jokyo.txt",""
"30","sakaguchi","hahano_jokyo.txt","「外へ泊るといつても、今日は、それほどの持ち合せもないのでね」"
"31","sakaguchi","hahano_jokyo.txt","「そんなこと、かまやしませんわよ」"
"32","sakaguchi","hahano_jokyo.txt","「さうかい。"
"33","sakaguchi","hahano_jokyo.txt","上野も近いしね。"
"34","sakaguchi","hahano_jokyo.txt","浮浪児の仲間入りをするか」"
"35","sakaguchi","hahano_jokyo.txt","浮浪児の仲間入りといふよりも、ヒロシの仲間入りと言ひかけるところであつた。"
"36","sakaguchi","hahano_jokyo.txt","初夏の夕風が爽やかだ。"
"37","sakaguchi","hahano_jokyo.txt","そして薄明がねつとりしてゐた。"
"38","sakaguchi","hahano_jokyo.txt",""
"39","sakaguchi","hahano_jokyo.txt","ヒロシは女の言葉を使ふが、男であつた。"
"40","sakaguchi","hahano_jokyo.txt","然し心はまつたく女だ。"
