"","auth","piece","line"
"0","sakaguchi","hahao_koroshita.txt","母を殺した少年"
"1","sakaguchi","hahao_koroshita.txt","坂口安吾"
"2","sakaguchi","hahao_koroshita.txt",""
"3","sakaguchi","hahao_koroshita.txt","-------------------------------------------------------"
"4","sakaguchi","hahao_koroshita.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hahao_koroshita.txt",""
"6","sakaguchi","hahao_koroshita.txt","《》：ルビ"
"7","sakaguchi","hahao_koroshita.txt","（例）花車な"
"8","sakaguchi","hahao_koroshita.txt",""
"9","sakaguchi","hahao_koroshita.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","hahao_koroshita.txt","（例）"
"11","sakaguchi","hahao_koroshita.txt","-------------------------------------------------------"
"12","sakaguchi","hahao_koroshita.txt",""
"13","sakaguchi","hahao_koroshita.txt","雪国生れの人々は気候のために故郷を呪ひがちであつた。"
"14","sakaguchi","hahao_koroshita.txt","いつもいつも灰色の空。"
"15","sakaguchi","hahao_koroshita.txt","太陽は生命と希望の象徴であるが、象徴を失ふことが現実に希望と生命を去勢する無力さを、彼等は知らねばならなかつた。"
"16","sakaguchi","hahao_koroshita.txt","ためらひや要心や気憶れや、人間関係の弱さだけで沢山だつた。"
"17","sakaguchi","hahao_koroshita.txt","そのうへまるで植物のやうに自然界の弱さまで思ひ知らねばならないのだ。"
"18","sakaguchi","hahao_koroshita.txt","雪国の叡智を育てるものは疑ひ深い要心と抜け道のないためらひだつた。"
"19","sakaguchi","hahao_koroshita.txt","味方すら信じきれない細心と孤立者の諦らめが、彼等に「知らねばならぬ」ことを教へるのだ。"
"20","sakaguchi","hahao_koroshita.txt","そして彼等は知り得ることを知るのであつた。"
"21","sakaguchi","hahao_koroshita.txt","然し知識が宿命的に知り得ぬことがあつたのだ。"
"22","sakaguchi","hahao_koroshita.txt","本能がそれであつた。"
"23","sakaguchi","hahao_koroshita.txt","そして彼等は疑ひ深く考へ深い反面に、不思議なまでに無智な行為者に還元した。"
"24","sakaguchi","hahao_koroshita.txt",""
"25","sakaguchi","hahao_koroshita.txt","日本は元来雨量が多い。"
"26","sakaguchi","hahao_koroshita.txt","太平洋沿岸すら必ずしも晴天には恵まれないが、日本海沿岸に比べたなら楽園だつた。"
"27","sakaguchi","hahao_koroshita.txt","北国では、少年の夢がすでに故郷を脱走する。"
"28","sakaguchi","hahao_koroshita.txt","そして不可能への憧れが彼等の中に育つのだ。"
"29","sakaguchi","hahao_koroshita.txt","それは不可能を可能ならしむるための荘厳な人間苦には結晶せずに、現実すら不可能に粉飾し、不可能を憧れながら諦らめる二重の欺瞞を愉しむ詩人にするのであつた。"
"30","sakaguchi","hahao_koroshita.txt","太陽をもとめて伊太利へ馬車を走らせるエルテルの詩人を、彼等は最も救ひがたい本能の姿に於てはぐくんでゐた。"
"31","sakaguchi","hahao_koroshita.txt",""
"32","sakaguchi","hahao_koroshita.txt","新潟市は旧幕時代は天領だつた。"
"33","sakaguchi","hahao_koroshita.txt","町の血管に武人気質を持たなかつた。"
"34","sakaguchi","hahao_koroshita.txt","生れながらの港町で、生きた貨物と遊び女と浮かない心の町人達が住んでゐた。"
"35","sakaguchi","hahao_koroshita.txt","稼ぐこと遊ぶこと、それに絡まる厭世感とを恐らく大阪が代表する。"
"36","sakaguchi","hahao_koroshita.txt","大阪のあらゆる部分のあくどさを風土的にぬいたものが新潟であつた。"
"37","sakaguchi","hahao_koroshita.txt","新潟はそもそも風土的に気弱だつた。"
"38","sakaguchi","hahao_koroshita.txt","その町の町人達はなんらの知識を賭けることなく虚無的だつた。"
"39","sakaguchi","hahao_koroshita.txt","その虚無感には苦悩を重ねた行路の跡も秘められてゐない。"
"40","sakaguchi","hahao_koroshita.txt","虚無感が町の鼻唄にすぎないのだ。"
"41","sakaguchi","hahao_koroshita.txt","そして町の性格をその鼻唄が決定してゐた。"
"42","sakaguchi","hahao_koroshita.txt",""
"43","sakaguchi","hahao_koroshita.txt","徳川幕府三百年の鎖国政策が解かれ、文明開化の奔流を導くための五つの貿易港が定められた。"
"44","sakaguchi","hahao_koroshita.txt","神奈川・兵庫・長崎・函館そして新潟の五港だつた。"
"45","sakaguchi","hahao_koroshita.txt","安政年間のことであつた。"
"46","sakaguchi","hahao_koroshita.txt","港内測量のため異国の火輪船がはじめて新潟港外に悪魔的な花車な姿を現したとき、この虚無的な港市には未曾有の異変に当るべき武人も武器も持たなかつた。"
"47","sakaguchi","hahao_koroshita.txt","警備の武士は新発田藩から駈けつけたが、街角を右往左往の警備の武士を見ることに怯えきつた町民達は、白昼から窓を閉して暗らがりの中にひれふしてゐた。"
"48","sakaguchi","hahao_koroshita.txt","列国の領事館が立ちはじめた。"
"49","sakaguchi","hahao_koroshita.txt","因循怯懦の厭世港は黎明日本に皮肉な一役をつとめたのだ。"
"50","sakaguchi","hahao_koroshita.txt","然し結果は恰も町の性格どほりにあつけなかつた。"
"51","sakaguchi","hahao_koroshita.txt","港は信濃川の河口にあつた。"
"52","sakaguchi","hahao_koroshita.txt","日本海の激浪を避けることには便利であつたが、屈託のない大河の運ぶ土砂のために港内は浅瀬のひろがるばかりであるし、火輪船の船体は日増しにふとる一方だつた。"
"53","sakaguchi","hahao_koroshita.txt","列国は新潟港の将来に見切りをつけねばならなかつた。"
"54","sakaguchi","hahao_koroshita.txt","一番諦らめの悪い領事さへ、明治十年が訪れた時に、もはやこの土地を引上げてゐた。"
"55","sakaguchi","hahao_koroshita.txt","ひところの異国文化は町の記憶から消えてしまつた。"
"56","sakaguchi","hahao_koroshita.txt",""
"57","sakaguchi","hahao_koroshita.txt",""
"58","sakaguchi","hahao_koroshita.txt","目白の日本女子大学の前身はこの因循な厭世港市にひらかれた女塾だつた。"
"59","sakaguchi","hahao_koroshita.txt","抑制と飛躍的な情熱が同じひとつのものであるのを、雪国のつつしみ深い娘達が証明した。"
"60","sakaguchi","hahao_koroshita.txt","彼女等はマタイ伝を英文に読み、ラムの諧謔を極めて下手に理解するのが誇りであつた。"
"61","sakaguchi","hahao_koroshita.txt","成瀬校主は女生を率ひて東上した。"
"62","sakaguchi","hahao_koroshita.txt","女子最高学府の多くの古い卒業生に因循な厭世港市の娘達を見出す謎はかういふ理由によるのであつた。"
"63","sakaguchi","hahao_koroshita.txt",""
"64","sakaguchi","hahao_koroshita.txt","彼女等の一人に田巻いちがゐたのであつた。"
"65","sakaguchi","hahao_koroshita.txt","いちの理想は真善美と童貞マリヤの純潔を汚さぬ生涯にあつたのだ。"
"66","sakaguchi","hahao_koroshita.txt","いちは成瀬先生を追ふて東都に遊学したかつた。"
"67","sakaguchi","hahao_koroshita.txt","いちの父は進歩的な老人だつたが、女子の遊学を認めなかつた。"
"68","sakaguchi","hahao_koroshita.txt","娘に禁足を命じたばかりか、男の愛と家庭を与へて並の女に還元するのが無難な策と考へたのだ。"
"69","sakaguchi","hahao_koroshita.txt","婿の候補者は選定され、話はいちに伝へられた。"
"70","sakaguchi","hahao_koroshita.txt","東京へ行けないための悲しさから、毎日を一人の部屋で泣き暮してゐたいちにとつて、話はあまりに残酷だつた。"
"71","sakaguchi","hahao_koroshita.txt","いちは父と言ひ争つた。"
"72","sakaguchi","hahao_koroshita.txt","口惜しまぎれに外へでた。"
"73","sakaguchi","hahao_koroshita.txt","夜だつた。"
"74","sakaguchi","hahao_koroshita.txt","親しい友は希望に燃えて故郷を去り、残されたいちはひとりだつた。"
"75","sakaguchi","hahao_koroshita.txt","語らう友にも憩ふ部屋にも目当てがなかつた。"
"76","sakaguchi","hahao_koroshita.txt","突然いちは冷めたく決意をかためてゐた。"
"77","sakaguchi","hahao_koroshita.txt","生涯を神に献げて敬虔な祈りの日々を送らう、と。"
"78","sakaguchi","hahao_koroshita.txt","そのほかに道はなかつた。"
"79","sakaguchi","hahao_koroshita.txt","すると恰もすでに救ひを受けたやうな安堵にみちた清々しさが流れてきた。"
"80","sakaguchi","hahao_koroshita.txt","いちはかねて教へを受けた宣教師ブレルスフォードを訪れた。"
"81","sakaguchi","hahao_koroshita.txt","神を道具に使ふ暗さも、自らを憐れむ惨めさもいちの意識を汚さなかつたが、はりつめた決意を語るうちに自然に眩暈が起きてゐた。"
"82","sakaguchi","hahao_koroshita.txt","語りながら、幼年の最初のねむりを知るもののやうな、意識の次第に喪失する妖しい過程を、むしろ安らかなものに感じた。"
"83","sakaguchi","hahao_koroshita.txt",""
"84","sakaguchi","hahao_koroshita.txt","文明開化を謳歌するそのかみの一通人も、感情生活の機微に於ては孔孟を遠距かること五十歩の百歩であつた。"
"85","sakaguchi","hahao_koroshita.txt","いちの父は娘の犯した行動の女らしからぬ劇しさを、憐れむよりも憎もうとした。"
"86","sakaguchi","hahao_koroshita.txt","父は勘当を宣告したが、それはいちを殉教者の狂熱へまで駆り立てたにすぎなかつた。"
"87","sakaguchi","hahao_koroshita.txt","悲しさを、神経的なあぶなさで、いちは持ちこたへてゐたのであつた。"
"88","sakaguchi","hahao_koroshita.txt",""
"89","sakaguchi","hahao_koroshita.txt","父と娘の間に立つて奔走したのは、いちの兄左門であつた。"
"90","sakaguchi","hahao_koroshita.txt","左門はそのとき二十二だつた。"
"91","sakaguchi","hahao_koroshita.txt","彼は土地の英学校に英学をおさめ、ゆくゆくは東京にでて西欧思想の深処を究める志望をいだいてゐたのであつた。"
"92","sakaguchi","hahao_koroshita.txt","然し父は志望遠大なる人の生涯の不平と不幸を息子のために希はなかつた。"
"93","sakaguchi","hahao_koroshita.txt","父は息子の場合にも結婚の緩和作用を利用した。"
"94","sakaguchi","hahao_koroshita.txt","左門は十七歳のとき強制的な結婚に服した。"
"95","sakaguchi","hahao_koroshita.txt","もはや二児の父だつた。"
"96","sakaguchi","hahao_koroshita.txt","然し左門の夢と不平はむしろ深まるばかりであつた。"
"97","sakaguchi","hahao_koroshita.txt","不平の左門は寝坊で無性で東洋的な虚無家であつた。"
"98","sakaguchi","hahao_koroshita.txt","本来無東西的な陰性なオプチミスムを愛用し、積極的な情熱の虚偽を蔑みながら愛してもゐた。"
"99","sakaguchi","hahao_koroshita.txt","森春涛の機関誌に派手な感慨を羅列した七言絶句を投稿して、わづかに鬱憤を晴らしたりした。"
"100","sakaguchi","hahao_koroshita.txt",""
"101","sakaguchi","hahao_koroshita.txt","若い虚無家の不得要領の奔走が有耶無耶のために奏功した。"
"102","sakaguchi","hahao_koroshita.txt","いちの婚約は解消され、いちも洗礼を断念し、勘当を解かれて生家へ帰つた。"
"103","sakaguchi","hahao_koroshita.txt","どさくさが鳧をつけた翌日だつた。"
"104","sakaguchi","hahao_koroshita.txt","虚無家は大金を懐中に秘め、なにげない散歩の態でぶらりと外へ出掛けたまま、東京へ向けて出奔した。"
"105","sakaguchi","hahao_koroshita.txt","彼は早稲田へ入学した。"
"106","sakaguchi","hahao_koroshita.txt","尾崎紅葉が同級だつた。"
"107","sakaguchi","hahao_koroshita.txt","父はどさくさに疲れ果て、この出奔に公許を与へねばならなかつたが、左門は人為の卑小・思想の虚しさに絶望したと至極大きな呟きを洩して、卒業の時も待たずに飄然故郷へ帰つてきた。"
"108","sakaguchi","hahao_koroshita.txt",""
"109","sakaguchi","hahao_koroshita.txt","宣教師ブレルスフォードは新潟市中大畑の私宅の一部に英学塾をひらいてゐた。"
"110","sakaguchi","hahao_koroshita.txt","いちは勘当を許されてのち、ブレルスフォードの塾に通ひ、まもなく助教師に抜擢された。"
"111","sakaguchi","hahao_koroshita.txt","二十五を迎へるまで、いちの理想と神経に最大限の忍耐を重ねた父も、放任の最後の時がきたことを見極めなければならなかつた。"
"112","sakaguchi","hahao_koroshita.txt","折から青木雄策がいちを配偶に懇望した。"
"113","sakaguchi","hahao_koroshita.txt","青木は西欧の医学を修め、帰朝して開業したての医師だつた。"
"114","sakaguchi","hahao_koroshita.txt","左門の親しい友であつた。"
"115","sakaguchi","hahao_koroshita.txt","童貞マリヤの理想のためにいちは結婚を憎んでゐたが、もはや我儘はとほらなかつた。"
"116","sakaguchi","hahao_koroshita.txt","いちは泣く泣く結婚した。"
"117","sakaguchi","hahao_koroshita.txt","鹿鳴館の絢爛な夢が恰もそのころ余燼を絶たうとしてゐたやうに、いちの半生の神秘な夢も終りを告げたのであつた。"
"118","sakaguchi","hahao_koroshita.txt",""
"119","sakaguchi","hahao_koroshita.txt","いちは青木雄策に嫁して四児をあげた。"
"120","sakaguchi","hahao_koroshita.txt","かしらの三児は女子であつたが、最後の一人が男子であつた。"
"121","sakaguchi","hahao_koroshita.txt","青木卓一は厭世港市の性格のほかに、母親の傷つきやすい夢の狂躁をうけて生れた。"
"122","sakaguchi","hahao_koroshita.txt","明治三十五年（西暦一九〇二年）だつた。"
"123","sakaguchi","hahao_koroshita.txt",""
"124","sakaguchi","hahao_koroshita.txt","卓一が四歳の時であつた。"
"125","sakaguchi","hahao_koroshita.txt","父雄策は狂死した。"
"126","sakaguchi","hahao_koroshita.txt","発狂は死の前年のことだつた。"
"127","sakaguchi","hahao_koroshita.txt","後年卓一は父の発狂の真相を突きとめたいと思つたが、遺伝関係の手係りもなく、異国時代のジフィリスもその確証があがらなかつた。"
"128","sakaguchi","hahao_koroshita.txt","人々のせはしなく立騒ぐ黄昏れどきに家を脱けいで、野犬のやうに路傍に食をあさりながら彷徨つたあげく、とある漁村の砂丘の襞に行倒れた彼の姿が見出されたときは、もはや瀕死の状態であつた。"
"129","sakaguchi","hahao_koroshita.txt","卓一の記憶に父はなかつた。"
"130","sakaguchi","hahao_koroshita.txt","隆盛だつた病院もなかつた。"
"131","sakaguchi","hahao_koroshita.txt","彼が物心ついたときには、海へ通ふ砂径沿ひの緑陰のしじまの深い閑かな借家に一家は住んでゐたのであつた。"
"132","sakaguchi","hahao_koroshita.txt","いちの中にはサンタ・マリヤもすでに死に絶え、因習の外部に目覚めた童女の叡智はもはやなかつた。"
"133","sakaguchi","hahao_koroshita.txt","マリヤの理想を捨てるとき一人の女性を捨てたのだ。"
"134","sakaguchi","hahao_koroshita.txt","家附きの油虫か奴隷のやうな、古い日本のひとりの女に還つてゐた。"
"135","sakaguchi","hahao_koroshita.txt","婚家に伝はる仏教に帰依し、諦らめを知り、覚めるがゆえに夢を悪み、傷つくがために不羈独立の志操をきらひ、市井の因循細心な安危の世界に感動した。"
"136","sakaguchi","hahao_koroshita.txt","そのほのぐらい生活が、卓一の最初の心に二重の暈で逃げたい心を植えてゐた。"
"137","sakaguchi","hahao_koroshita.txt",""
"138","sakaguchi","hahao_koroshita.txt","十二三の頃だつた。"
"139","sakaguchi","hahao_koroshita.txt","ふだん使はぬ部屋のひとつで不思議な本を発見した。"
"140","sakaguchi","hahao_koroshita.txt","手の湯気のつく皮のの表紙の大型の洋書であつた。"
"141","sakaguchi","hahao_koroshita.txt","一冊づつめくつてみると、髯のある品格の高い一人の異人が木立の深い風景め中で銃身の長いピストルを空へ向けて構えてゐた。"
"142","sakaguchi","hahao_koroshita.txt","別の頁に、襞の深いスカートをひいた綺麗な女が椅子にくづれて泣いてゐた。"
"143","sakaguchi","hahao_koroshita.txt","決闘とそれにからまる悲しいことや戦慄が少年の胸にひびいてきた。"
"144","sakaguchi","hahao_koroshita.txt","一字も読めない文字の中から、綺麗な異人を泣かすほどの悲しさが、妖しいまでの艶めかしさでむらだち流れてくるのであつた。"
"145","sakaguchi","hahao_koroshita.txt","本と本の間から模様の古風なトランプがでてきた。"
"146","sakaguchi","hahao_koroshita.txt","西洋の栞があつた。"
"147","sakaguchi","hahao_koroshita.txt","誰の使つた物だらうか？打ち開けてはならぬ秘密の深さが隠されてでもゐるやうな、妖しい絢の匂ひもした。"
"148","sakaguchi","hahao_koroshita.txt","父の用ひた本であつたときかされて、少年は秘密のなさに驚くのだつた。"
"149","sakaguchi","hahao_koroshita.txt","父の本。"
"150","sakaguchi","hahao_koroshita.txt","自分の父。"
"151","sakaguchi","hahao_koroshita.txt","こんな身近かにこんな秘密や妖しい夢を焚きこめた品がどうして有りうるのだらうか？現に母にはそれに通じるひとつの絢も見られないのに。"
"152","sakaguchi","hahao_koroshita.txt","母もトランプをしたのだらうか？さうして今はどうしてトランプをしないのだらう？そして卓一の心の奥に、現実の母はまつたく死滅し、別の然しまことの母がひそかに棲んでしまつたことに、彼は冷めたい罪悪を意識しながら気附いたのだつた。"
"153","sakaguchi","hahao_koroshita.txt","恐らくそれは彼にはじめて開かれた罪悪の魅力にみちた美しさだつた。"
"154","sakaguchi","hahao_koroshita.txt","そのとき彼は母を殺したのであつた。"
"155","sakaguchi","hahao_koroshita.txt",""
"156","sakaguchi","hahao_koroshita.txt",""
"157","sakaguchi","hahao_koroshita.txt",""
"158","sakaguchi","hahao_koroshita.txt","（附記）これは長篇の書きだしの一小部分にしか過ぎず、この部分としても未定稿ではありますが、「母を殺した少年」といふだけの意味でならば一つの纏まりがありますので、間に合せのいかものを書くよりは、と存じた次第です。"
"159","sakaguchi","hahao_koroshita.txt","乞寛恕。"
