"","auth","piece","line"
"0","sakaguchi","hakuchi.txt","白痴"
"1","sakaguchi","hakuchi.txt","坂口安吾"
"2","sakaguchi","hakuchi.txt",""
"3","sakaguchi","hakuchi.txt","-------------------------------------------------------"
"4","sakaguchi","hakuchi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hakuchi.txt",""
"6","sakaguchi","hakuchi.txt","《》：ルビ"
"7","sakaguchi","hakuchi.txt","（例）家鴨が住んでいた"
"8","sakaguchi","hakuchi.txt",""
"9","sakaguchi","hakuchi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","hakuchi.txt","（例）女子｜挺身隊"
"11","sakaguchi","hakuchi.txt","-------------------------------------------------------"
"12","sakaguchi","hakuchi.txt",""
"13","sakaguchi","hakuchi.txt","その家には人間と豚と犬と鶏と家鴨が住んでいたが、まったく、住む建物も各々の食物も殆ど変っていやしない。"
"14","sakaguchi","hakuchi.txt","物置のようなひん曲った建物があって、階下には主人夫婦、天井裏には母と娘が間借りしていて、この娘は相手の分らぬ子供を孕んでいる。"
"15","sakaguchi","hakuchi.txt",""
"16","sakaguchi","hakuchi.txt","伊沢の借りている一室は母屋から分離した小屋で、ここは昔この家の肺病の息子がねていたそうだが、肺病の豚にも贅沢すぎる小屋ではない。"
"17","sakaguchi","hakuchi.txt","それでも押入と便所と戸棚がついていた。"
"18","sakaguchi","hakuchi.txt",""
"19","sakaguchi","hakuchi.txt","主人夫婦は仕立屋で町内のお針の先生などもやり（それ故肺病の息子を別の小屋へ入れたのだ）町会の役員などもやっている。"
"20","sakaguchi","hakuchi.txt","間借りの娘は元来町会の事務員だったが、町会事務所に寝泊りしていて町会長と仕立屋を除いた他の役員の全部の者（十数人）と公平に関係を結んだそうで、そのうちの誰かの種を宿したわけだ。"
"21","sakaguchi","hakuchi.txt","そこで町会の役員共が醵金してこの屋根裏で子供の始末をつけさせようというのだが、世間は無駄がないもので、役員の一人に豆腐屋がいて、この男だけ娘が姙娠してこの屋根裏にひそんだ後も通ってきて、結局娘はこの男の妾のようにきまってしまった。"
"22","sakaguchi","hakuchi.txt","他の役員共はこれが分るとさっそく醵金をやめてしまい、この分れ目の一ヶ月分の生活費は豆腐屋が負担すべきだと主張して、支払いに応じない八百屋と時計屋と地主と何屋だか七八人あり（一人当り金五円）娘は今に至るまで地団駄ふんでいる。"
"23","sakaguchi","hakuchi.txt",""
"24","sakaguchi","hakuchi.txt","この娘は大きな口と大きな二つの眼の玉をつけていて、そのくせひどく痩せこけていた。"
"25","sakaguchi","hakuchi.txt","家鴨を嫌って、鶏にだけ食物の残りをやろうとするのだが、家鴨が横からまきあげるので、毎日腹を立てて家鴨を追っかけている。"
"26","sakaguchi","hakuchi.txt","大きな腹と尻を前後に突きだして奇妙な直立の姿勢で走る恰好が家鴨に似ているのであった。"
"27","sakaguchi","hakuchi.txt",""
"28","sakaguchi","hakuchi.txt","この路地の出口に煙草屋があって、五十五という婆さんが白粉つけて住んでおり、七人目とか八人目とかの情夫を追いだして、その代りを中年の坊主にしようか矢張り中年の何屋だかにしようかと煩悶中の由であり、若い男が裏口から煙草を買いに行くと幾つか売ってくれる由で（但し闇値）先生（伊沢のこと）も裏口から行ってごらんなさいと仕立屋が言うのだが、あいにく伊沢は勤め先で特配があるので婆さんの世話にならずにすんでいた。"
"29","sakaguchi","hakuchi.txt",""
"30","sakaguchi","hakuchi.txt","ところがその筋向いの米の配給所の裏手に小金を握った未亡人が住んでいて、兄（職工）と妹と二人の子供があるのだが、この真実の兄妹が夫婦の関係を結んでいる。"
"31","sakaguchi","hakuchi.txt","けれども未亡人は結局その方が安上りだと黙認しているうちに、兄の方に女ができた。"
"32","sakaguchi","hakuchi.txt","そこで妹の方をかたづける必要があって親戚に当る五十とか六十とかの老人のところへ嫁入りということになり、妹が猫イラズを飲んだ。"
"33","sakaguchi","hakuchi.txt","飲んでおいて仕立屋（伊沢の下宿）へお稽古にきて苦しみはじめ、結局死んでしまったが、そのとき町内の医者が心臓麻痺の診断書をくれて話はそのまま消えてしまった。"
"34","sakaguchi","hakuchi.txt","え？どの医者がそんな便利な診断書をくれるんですか、と伊沢が仰天して訊ねると、仕立屋の方が呆気にとられた面持で、なんですか、よそじゃ、そうじゃないんですか、と訊いた。"
"35","sakaguchi","hakuchi.txt",""
"36","sakaguchi","hakuchi.txt","このへんは安アパートが林立し、それらの部屋の何分の一かは妾と淫売が住んでいる。"
"37","sakaguchi","hakuchi.txt","それらの女達には子供がなく、又、各々の部屋を綺麗にするという共通の性質をもっているので、そのために管理人に喜ばれて、その私生活の乱脈さ背徳性などは問題になったことが一度もない。"
