"","auth","piece","line"
"0","sakaguchi","hamon.txt","破門"
"1","sakaguchi","hamon.txt","坂口安吾"
"2","sakaguchi","hamon.txt",""
"3","sakaguchi","hamon.txt","-------------------------------------------------------"
"4","sakaguchi","hamon.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hamon.txt",""
"6","sakaguchi","hamon.txt","《》：ルビ"
"7","sakaguchi","hamon.txt","（例）仰有る"
"8","sakaguchi","hamon.txt",""
"9","sakaguchi","hamon.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","hamon.txt","（例）バラ／＼"
"11","sakaguchi","hamon.txt","-------------------------------------------------------"
"12","sakaguchi","hamon.txt",""
"13","sakaguchi","hamon.txt","戦火に焼けだされて以来音信不通だつたマリマリ先生といふ洋画家の御夫婦がタイタイ先生といふ小説家を訪ねてきた。"
"14","sakaguchi","hamon.txt",""
"15","sakaguchi","hamon.txt","マリマリ先生にはたつた一人の娘がある。"
"16","sakaguchi","hamon.txt","十八で女学校を卒業して今年十九であるが、ちかごろ恋をするから説教に及んでくれといふのである。"
"17","sakaguchi","hamon.txt",""
"18","sakaguchi","hamon.txt","ところがタイタイ先生は情痴作家の張本人といふ天下に悪名の高い先生で、御当人が内閣情痴部といふやうなところで御説教を受けることがあつても、人の恋路に御説教の柄ではない。"
"19","sakaguchi","hamon.txt","恐縮したのは無理からぬところで、"
"20","sakaguchi","hamon.txt","「久々に会つて、人の悪い洒落を言ふものぢやアないよ。"
"21","sakaguchi","hamon.txt","その悪洒落は、深刻といふよりも、残酷だ」"
"22","sakaguchi","hamon.txt","「まアまア、話をみんなきいてからにしてくれたまへ。"
"23","sakaguchi","hamon.txt","君でなければならないワケがあるんだから」"
"24","sakaguchi","hamon.txt","「どんなワケがあつたつて、それはダメだよ。"
"25","sakaguchi","hamon.txt","娘が恋をしたなら、親のあなた方がさばきなさい」"
"26","sakaguchi","hamon.txt","「だからまづ話をみんなきゝなさい。"
"27","sakaguchi","hamon.txt","娘は恋をしたのではないよ。"
"28","sakaguchi","hamon.txt","これから恋をするのだよ」"
"29","sakaguchi","hamon.txt","「先生は本当に慌て者ね。"
"30","sakaguchi","hamon.txt","小説も慌てながら書いてらつしやるんぢやありませんか」"
