"","auth","piece","line"
"0","sakaguchi","hanabi.txt","花火"
"1","sakaguchi","hanabi.txt","坂口安吾"
"2","sakaguchi","hanabi.txt",""
"3","sakaguchi","hanabi.txt","-------------------------------------------------------"
"4","sakaguchi","hanabi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hanabi.txt",""
"6","sakaguchi","hanabi.txt","《》：ルビ"
"7","sakaguchi","hanabi.txt","（例）幇間"
"8","sakaguchi","hanabi.txt","-------------------------------------------------------"
"9","sakaguchi","hanabi.txt",""
"10","sakaguchi","hanabi.txt","私はミン平が皮のジャムパーを着てやつてきた時には、をかしくて困つた。"
"11","sakaguchi","hanabi.txt","似合はなすぎるのだ。"
"12","sakaguchi","hanabi.txt","ミン平も、いかにも全身これ窮屈です、といふ様子で、てれきつてゐるから、尚へんだ。"
"13","sakaguchi","hanabi.txt",""
"14","sakaguchi","hanabi.txt","「てれるから変なのだよ。"
"15","sakaguchi","hanabi.txt","気取つてごらん。"
"16","sakaguchi","hanabi.txt","ねえ、胸をそらして威張るのよ」"
"17","sakaguchi","hanabi.txt","「やだなあ。"
"18","sakaguchi","hanabi.txt","小学校の時から胸をそらした覚えがないんだよ、オレは」"
"19","sakaguchi","hanabi.txt","このジャムパーは私が昨日散歩の道でふと目にとめると、むらむらその気になつてしまつて、散々ねぎつて（但し時間的に）買つて、彼の宿へ届けて、今度くるとき着ていらつしやい、と置手紙を残してきたのだ。"
"20","sakaguchi","hanabi.txt",""
"21","sakaguchi","hanabi.txt","まつたくミン平は何を着ても似合はないやうだ。"
"22","sakaguchi","hanabi.txt","この男の取柄といふのは、さういふところにあるやうだ。"
"23","sakaguchi","hanabi.txt",""
"24","sakaguchi","hanabi.txt","よく見ると、色男なのだ。"
"25","sakaguchi","hanabi.txt","いつもヨレヨレのブルースに、大きなボヘミアンネクタイをブラつかせてゐる。"
"26","sakaguchi","hanabi.txt","モジャモジャ頭にパイプをくはへたり手に持つたり、煙のでゝゐることはめつたにない。"
"27","sakaguchi","hanabi.txt","見るからに、みすぼらしい感じなのだが、よく見ると、可愛らしい。"
"28","sakaguchi","hanabi.txt","つまり、幼い感じが残つてゐる。"
"29","sakaguchi","hanabi.txt","むしろ幼さが、全部であつた。"
"30","sakaguchi","hanabi.txt",""
"31","sakaguchi","hanabi.txt","私はアパッシュが好きなのだ。"
"32","sakaguchi","hanabi.txt","どことなく惹かれるのである。"
"33","sakaguchi","hanabi.txt","ミン平の一座のキタ助だのサブ郎などゝいふ見るからに六区の役者然とした苦み走つた色男には、思ひきつて正面からジッと向ひ合つて顔を見ると、ブルブル腰のあたりがふるへるやうな気になる。"
"34","sakaguchi","hanabi.txt","私は女学校の時から、友達にメンクイだといはれ、腹を立てる性分だつたが、実際、オメンクイに相違ない。"
"35","sakaguchi","hanabi.txt",""
"36","sakaguchi","hanabi.txt","私はそのくせ木村のやうなブ男の豚のやうにふとつた年寄と結婚した。"
"37","sakaguchi","hanabi.txt","それが私の見栄でもあつたのである。"
"38","sakaguchi","hanabi.txt","私の母だの親類だの友達だの女中だの、みんなそろつてブ男だ、ブ男だといつて笑ふから、私はだんだん彼が好きになつてしまつた。"
"39","sakaguchi","hanabi.txt",""
"40","sakaguchi","hanabi.txt","良いところは、たくさんあつた。"
"41","sakaguchi","hanabi.txt","請負師の木村は第一にお金持だし、気質がアッサリしてゐて、太ッ腹でもあつた。"
"42","sakaguchi","hanabi.txt","彼は私にはいくらでもお小遣をくれ、せがむことは何でもきいてくれたが、彼をブ男だといふ母だの友達だの女中には鼻もひッかけず、一文のお祝儀もやらなかつた。"
"43","sakaguchi","hanabi.txt","だから益々人気がなかつたが、私だけはだんだんひかれたのである。"
"44","sakaguchi","hanabi.txt","ほだされたのだ。"
"45","sakaguchi","hanabi.txt",""
"46","sakaguchi","hanabi.txt","彼は戦争中、一年半も私の家へ日参した。"
"47","sakaguchi","hanabi.txt","私の家は待合だ。"
"48","sakaguchi","hanabi.txt","そして私を口説いて、芸者と泊つて行つたが、どの芸者とも関係したことがなかつた。"
"49","sakaguchi","hanabi.txt","さういふことが、私の娘心にひどく、こたへた。"
"50","sakaguchi","hanabi.txt",""
"51","sakaguchi","hanabi.txt","私はそのころ、キタ助だのサブ郎などゝいふ六区の役者と友達で、木村からもらつたお金で二人にお小遣をやつたり、着物をこしらへてやつたり入りあげるやうなふうを楽しみに遊んでゐたが、木村はキタ助やサブ郎を座敷へよんでヒイキにしてくれて、ちつともこだはらなかつた。"
"52","sakaguchi","hanabi.txt",""
"53","sakaguchi","hanabi.txt","キタ助だのサブ郎は役者根性で、座敷へよばれてお金をもらつたりすると、すぐヘイツクばつて自然に幇間になつてしまふ。"
"54","sakaguchi","hanabi.txt","そのくせ蔭で木村の悪口を言ひ、いかにも自分たちが色男で女にもてる性で、自分たちをヘイツクばらせて三文の得にもならず金も女も失ふばかりの木村は馬鹿野郎だとせゝら笑つてゐる。"
"55","sakaguchi","hanabi.txt","私はさういふ河原者根性に反感をもつた。"
"56","sakaguchi","hanabi.txt","そして、座敷でヘイツクばつてゐる彼等のみすぼらしさがいやらしくて堪らなくなつてしまつた。"
"57","sakaguchi","hanabi.txt",""
"58","sakaguchi","hanabi.txt","私は周囲のあらゆる反対を押し切つて、急に、押しかけ女房みたいに、私の方から勇みたつて木村と結婚してしまつた。"
"59","sakaguchi","hanabi.txt","私達の婚礼は戦争中だが盛大極まるもので、私は三十分おきぐらゐに着物を着換へて現れて、満座の注目を浴びるのが、うれしくて仕方がなかつた。"
"60","sakaguchi","hanabi.txt","みんなの前で木村の首ッたまに抱きついてやりたいぐらゐ、この結婚を誇りにしてゐたものである。"
"61","sakaguchi","hanabi.txt",""
"62","sakaguchi","hanabi.txt","そのとき騒ぎの中で声がした。"
"63","sakaguchi","hanabi.txt",""
"64","sakaguchi","hanabi.txt","「新婦は新郎にセップンしろ。"
"65","sakaguchi","hanabi.txt","みんなの前でやれ。"
"66","sakaguchi","hanabi.txt","やれやれ。"
"67","sakaguchi","hanabi.txt","たのむ」"
"68","sakaguchi","hanabi.txt","ミン平であつた。"
"69","sakaguchi","hanabi.txt","私はそのときまで、ミン平の名前はきいてゐたが、顔は知らなかつた。"
"70","sakaguchi","hanabi.txt","私はキタ助とサブ郎は婚礼に招かなかつた。"
"71","sakaguchi","hanabi.txt","その代り、一面識の一座の面々の重立ちを招いたのだ。"
"72","sakaguchi","hanabi.txt","彼等は酒が飲めるから大喜びで、招かれない四、五人までわりこんできた。"
"73","sakaguchi","hanabi.txt","ミン平はその一人だ。"
"74","sakaguchi","hanabi.txt","彼は脚本書きだつた。"
"75","sakaguchi","hanabi.txt","私は色男然としたキタ助とサブ郎が、招待されずに、口惜しがつたりやいたりしてゐる様子が愉快でたまらなかつた。"
