"","auth","piece","line"
"0","sakaguchi","hansutairuno_ki.txt","反スタイルの記"
"1","sakaguchi","hansutairuno_ki.txt","坂口安吾"
"2","sakaguchi","hansutairuno_ki.txt",""
"3","sakaguchi","hansutairuno_ki.txt","-------------------------------------------------------"
"4","sakaguchi","hansutairuno_ki.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hansutairuno_ki.txt",""
"6","sakaguchi","hansutairuno_ki.txt","《》：ルビ"
"7","sakaguchi","hansutairuno_ki.txt","（例）猛者"
"8","sakaguchi","hansutairuno_ki.txt",""
"9","sakaguchi","hansutairuno_ki.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","hansutairuno_ki.txt","（例）そろ／＼"
"11","sakaguchi","hansutairuno_ki.txt","-------------------------------------------------------"
"12","sakaguchi","hansutairuno_ki.txt",""
"13","sakaguchi","hansutairuno_ki.txt","（上）"
"14","sakaguchi","hansutairuno_ki.txt",""
"15","sakaguchi","hansutairuno_ki.txt","私がヒロポンという薬の名をきいたのは六七年前で、東京新聞のＹ君がきかせてくれたのである。"
"16","sakaguchi","hansutairuno_ki.txt","そのときは二日酔いの薬というＹ君式の伝授で、社の猛者連中が宿酔に用いて霊顕あらたか、という効能がついていた。"
"17","sakaguchi","hansutairuno_ki.txt","けれども、当時はそろ／＼酒も姿をひそめて、めったに宿酔もできない世の中になりかけていたから、ヒロポンのお世話になる必要もなかった。"
"18","sakaguchi","hansutairuno_ki.txt",""
"19","sakaguchi","hansutairuno_ki.txt","それから一二年して、仕事にヒロポンを用いているという二人の男にぶつかった。"
"20","sakaguchi","hansutairuno_ki.txt","南川潤と荒正人だ。"
"21","sakaguchi","hansutairuno_ki.txt","南川がヒロポンというのは話が分るが、荒正人とヒロポンは取り合せが変だ。"
"22","sakaguchi","hansutairuno_ki.txt","ヒロポンが顔負けしそうだけれども、彼は女房、女中に至るまでヒロポンをのませて家庭の能率をあげるという奇妙な文化生活をたのしんでいるのだそうである。"
"23","sakaguchi","hansutairuno_ki.txt",""
"24","sakaguchi","hansutairuno_ki.txt",""
"25","sakaguchi","hansutairuno_ki.txt","★"
"26","sakaguchi","hansutairuno_ki.txt",""
"27","sakaguchi","hansutairuno_ki.txt","当時は戦争中で、私は仕事もなく、酒もなしという状態でヒロポンのごやっかいになることも少なかったが、時々は、宿酔に用いたこともあって、私の宿酔とくるとドウモウだから、定量以上ガブガブのみ、ちょうど居合せた長畑医師にいさめられたことがある。"
"28","sakaguchi","hansutairuno_ki.txt","そのとき、エフェドリンに似た成分の薬だということを教えられた。"
"29","sakaguchi","hansutairuno_ki.txt",""
"30","sakaguchi","hansutairuno_ki.txt","そのうちに空襲となり薬屋にヒロポンの姿もなくなり、本土が戦場になったというような時にヒロポンの必要がありそうだと考えていると、私の兄が軍需会社にいるものだから、その薬なら会社にある、夜業に工員にのませているのだ、といって、持ってきてくれた。"
"31","sakaguchi","hansutairuno_ki.txt","ヒロポンが五粒に、胃の薬をまぜて一服になっている。"
"32","sakaguchi","hansutairuno_ki.txt",""
"33","sakaguchi","hansutairuno_ki.txt","私の街が焼野原になった夜、焼い弾が落ちはじめたとき、このヒロポンを飲んだ。"
"34","sakaguchi","hansutairuno_ki.txt","どうにも睡くて仕方がないからで、戦争中は私は実にねむかった。"
"35","sakaguchi","hansutairuno_ki.txt","そのヒロポンのせいだか、私は妙に怖くなかった。"
"36","sakaguchi","hansutairuno_ki.txt","頭上で焼い弾がガラ／＼やるのを軒の下からながめて、四方の火がだん／＼迫ってくるのを変な孤独感で待ちかまえていたのである。"
"37","sakaguchi","hansutairuno_ki.txt",""
"38","sakaguchi","hansutairuno_ki.txt",""
"39","sakaguchi","hansutairuno_ki.txt","★"
"40","sakaguchi","hansutairuno_ki.txt",""
"41","sakaguchi","hansutairuno_ki.txt","ホープの編集記者の新美という人が、元来心理学を専攻した人で、戦争中、航空隊に属してヒロポンの心理反応を取り扱い、特攻隊にヒロポンを用いるつもりであったという、多少は度胸をつけること私も実験ずみだが、この新美氏のヒロポンの知識は専門家だから大したもので、私は二時間にわたってヒロポンの講話を承ったが、あんまり専門的な話だから、感心しながら、みんな忘れてしまった。"
"42","sakaguchi","hansutairuno_ki.txt","ノートをとっておけばよかった。"
"43","sakaguchi","hansutairuno_ki.txt",""
"44","sakaguchi","hansutairuno_ki.txt","そのとき、ヒロポンは元来モヒ中毒の薬として発明されたものだということを知った。"
"45","sakaguchi","hansutairuno_ki.txt","そのうちに覚せい剤としての効能などが分ってきたのだそうである。"
"46","sakaguchi","hansutairuno_ki.txt","船酔いなどにも良いそうだ。"
"47","sakaguchi","hansutairuno_ki.txt","とにかく、きく。"
"48","sakaguchi","hansutairuno_ki.txt","これを飲めば十時間は必ず眠れぬ。"
"49","sakaguchi","hansutairuno_ki.txt","その代り、心臓がドキ／＼し、汗がでる、手がふるえる、色々とにぎやかな副産物があって、病的だが、仕事のためには確かによいから、自然、濫用してしまう。"
"50","sakaguchi","hansutairuno_ki.txt",""
"51","sakaguchi","hansutairuno_ki.txt",""
"52","sakaguchi","hansutairuno_ki.txt","（下）"
"53","sakaguchi","hansutairuno_ki.txt",""
"54","sakaguchi","hansutairuno_ki.txt","織田作之助がヒロポンを濫用していた。"
"55","sakaguchi","hansutairuno_ki.txt","彼は毎日ヒロポンの注射をして仕事にかゝるのだが、毎日というのは、よろしくない。"
"56","sakaguchi","hansutairuno_ki.txt",""
"57","sakaguchi","hansutairuno_ki.txt","私は仕事の日と、遊ぶ日を別にしており、仕事の日は仕事だけ、遊ぶ日は遊ぶだけ、というやり方だからヒロポンは毎日用いてはいない、もっとも、ヒロポンを用いて仕事をすると、三日や四日の徹夜ぐらい平気の代りに、いざ仕事が終って眠りたいという時に、眠ることができない。"
"58","sakaguchi","hansutairuno_ki.txt","眠るためには酒を飲む必要があり、ヒロポンの効果を消して眠るまでには多量の酒が必要で、ウイスキーを一本半か二本飲む必要がある。"
"59","sakaguchi","hansutairuno_ki.txt","原稿料がウイスキーで消えてなくなり足がでるから、バカげた話で、私は要するに、全然お金をもうけていないのである。"
"60","sakaguchi","hansutairuno_ki.txt",""
"61","sakaguchi","hansutairuno_ki.txt",""
"62","sakaguchi","hansutairuno_ki.txt","★"
"63","sakaguchi","hansutairuno_ki.txt",""
"64","sakaguchi","hansutairuno_ki.txt","織田のヒロポンは毎日だから、ひどかった。"
"65","sakaguchi","hansutairuno_ki.txt","毎日ヒロポン、仕事、遊び、ヒロポン、仕事という順序で、くぎりがないから不健康だ。"
"66","sakaguchi","hansutairuno_ki.txt","織田のヒロポンは注射だが、私は注射は好まない。"
"67","sakaguchi","hansutairuno_ki.txt","第一回目だけ、よく利く。"
"68","sakaguchi","hansutairuno_ki.txt","打ったとたんに頭が澄んでくるから、バカにきくように思えるけれども、一時間もすると、ぼやけてくる。"
"69","sakaguchi","hansutairuno_ki.txt","二本目を打つ。"
"70","sakaguchi","hansutairuno_ki.txt","もう、さほど利かない。"
"71","sakaguchi","hansutairuno_ki.txt",""
"72","sakaguchi","hansutairuno_ki.txt","飲む方はすぐは利かぬが、効果が持続的だから、私のように、仕事は仕事だけまとめてやるというやり方には、この方にかぎる。"
"73","sakaguchi","hansutairuno_ki.txt","どうしても飲みすぎて、顔色はそう白となり、汗はでる、動きはうつ、どうもいやだ、もう飲みたくないと思うけれども、仕事の無理をきかせるためには飲まざるを得なくなってしまう。"
"74","sakaguchi","hansutairuno_ki.txt",""
"75","sakaguchi","hansutairuno_ki.txt",""
"76","sakaguchi","hansutairuno_ki.txt","★"
"77","sakaguchi","hansutairuno_ki.txt",""
"78","sakaguchi","hansutairuno_ki.txt","新潮と改造の新年号の小説の時はひどかった。"
"79","sakaguchi","hansutairuno_ki.txt","どっちも、まる四日間、一睡もしていない。"
"80","sakaguchi","hansutairuno_ki.txt","そうかといって、書き上げても、酒を飲んででい酔しなければ眠ることができないので、えゝマヽヨ、死んでもいゝや、と思って、銀座のルパンへウイスキーを飲みにでかけたものだ。"
"81","sakaguchi","hansutairuno_ki.txt","あの日の心臓の動きはひどかったので、途中でブッ倒れるような気がして、仕方がなかったのである。"
"82","sakaguchi","hansutairuno_ki.txt",""
"83","sakaguchi","hansutairuno_ki.txt","その日、織田が昨日かっ血したということをきいたのである。"
"84","sakaguchi","hansutairuno_ki.txt","石川淳がめいていしていて、織田はかっ血したから好きだ。"
"85","sakaguchi","hansutairuno_ki.txt","かっ血する奴はみんな好きだ、死んでしまえば、なお、好きだ。"
"86","sakaguchi","hansutairuno_ki.txt","と、石川式のことを叫んで立上ってフラ／＼していた。"
"87","sakaguchi","hansutairuno_ki.txt",""
"88","sakaguchi","hansutairuno_ki.txt",""
"89","sakaguchi","hansutairuno_ki.txt","★"
"90","sakaguchi","hansutairuno_ki.txt",""
"91","sakaguchi","hansutairuno_ki.txt","石川淳だの太宰治というヒロポン型の先生がヒロポンを用いておらず、荒正人だの私のようなのがヒロポンを濫用しているのは、はなはだしくスタイルを裏切るものだから、私もヒロポンはやめたいと思っているのだが、近ごろは万事スタイルの混乱時代で、先日代々木の街頭で、おれがこの道を歩いているとだれでも共産党だと思うだろうな、と言ったら、友人のいわく、さにあらず、共産党はみんなオシャレだよ。"
"92","sakaguchi","hansutairuno_ki.txt","とても、身だしなみがいゝんだ、という話で、私みたいのボロ洋服、頭髪ボウボウは共産党にもしてくれない。"
"93","sakaguchi","hansutairuno_ki.txt","よってヒロポンを飲み、スタイル混乱期のおつきあいをしているような次第なのである。"
"94","sakaguchi","hansutairuno_ki.txt",""
"95","sakaguchi","hansutairuno_ki.txt",""
"96","sakaguchi","hansutairuno_ki.txt",""
"97","sakaguchi","hansutairuno_ki.txt",""
"98","sakaguchi","hansutairuno_ki.txt","底本：「坂口安吾全集04」筑摩書房"
"99","sakaguchi","hansutairuno_ki.txt","1998（平成10）年5月22日初版第1刷発行"
"100","sakaguchi","hansutairuno_ki.txt","底本の親本：「東京新聞第一五八二、一五八三号」"
"101","sakaguchi","hansutairuno_ki.txt","1947（昭和22）年2月6日、2月7日"
"102","sakaguchi","hansutairuno_ki.txt","初出：「東京新聞第一五八二、一五八三号」"
"103","sakaguchi","hansutairuno_ki.txt","1947（昭和22）年2月6日、2月7日"
"104","sakaguchi","hansutairuno_ki.txt","入力：tatsuki"
"105","sakaguchi","hansutairuno_ki.txt","校正：宮元淳一"
