"","auth","piece","line"
"0","sakaguchi","hinoeumano_hanashi.txt","ヒノエウマの話"
"1","sakaguchi","hinoeumano_hanashi.txt","坂口安吾"
"2","sakaguchi","hinoeumano_hanashi.txt",""
"3","sakaguchi","hinoeumano_hanashi.txt","-------------------------------------------------------"
"4","sakaguchi","hinoeumano_hanashi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hinoeumano_hanashi.txt",""
"6","sakaguchi","hinoeumano_hanashi.txt","《》：ルビ"
"7","sakaguchi","hinoeumano_hanashi.txt","（例）干支"
"8","sakaguchi","hinoeumano_hanashi.txt","-------------------------------------------------------"
"9","sakaguchi","hinoeumano_hanashi.txt",""
"10","sakaguchi","hinoeumano_hanashi.txt","私の本名は炳五（ヘイゴ）という。"
"11","sakaguchi","hinoeumano_hanashi.txt","男兄弟の五人目だから五の字がついてるが、炳はアキラカというような意味のほかにこれ一字でヒノエウマを表している字でもある。"
"12","sakaguchi","hinoeumano_hanashi.txt","また、ヘイゴという音はヒノエウマの丙午に通じてもおって、ヒノエウマづくしのような名前だ。"
"13","sakaguchi","hinoeumano_hanashi.txt","戸籍の半分を名前が表してるから便利でもあるが、齢がごまかせないような不便もある。"
"14","sakaguchi","hinoeumano_hanashi.txt","甚だしく手のこんだ名前だから、親父にとっては苦心の作で、あるいは名作と自負していたのかも知れないが、子供にとっては困った名前であった。"
"15","sakaguchi","hinoeumano_hanashi.txt",""
"16","sakaguchi","hinoeumano_hanashi.txt","私の生れた新潟では寸をつめて名前をよぶ癖があって、ヘイゴをヘゴとよぶ。"
"17","sakaguchi","hinoeumano_hanashi.txt","敬称のサンを略して「ヘゴサ」とよぶのである。"
"18","sakaguchi","hinoeumano_hanashi.txt","音がよくない。"
"19","sakaguchi","hinoeumano_hanashi.txt","いかにも臭そうだ。"
"20","sakaguchi","hinoeumano_hanashi.txt","それに新潟では弱虫をヘゴタレと呼ぶから益々よくない。"
"21","sakaguchi","hinoeumano_hanashi.txt","南洋の植物にヘゴマルハチというのがあってこれが読本にでてくると、同級生の奴らはゲラゲラキャアキャア大喜びで鳴りやまないから、こういう時には笑う奴をセンメツしたくなったものである。"
"22","sakaguchi","hinoeumano_hanashi.txt","近所の魚屋に「マゴサ」とよばれてる店があったが、私とはヘとマのちがいで音全体としてもいかにも人に笑われそうな名であるから、子供心に大そう親近感をいだいていたのを忘れない。"
"23","sakaguchi","hinoeumano_hanashi.txt",""
"24","sakaguchi","hinoeumano_hanashi.txt","私が子供のころ、親類のジイサン、バアサンなどが頭をなでてくれたりしながら、お前男に生れてよかったな、女なら悲しい思いをしなければならないなどとよく言われたものである。"
"25","sakaguchi","hinoeumano_hanashi.txt",""
"26","sakaguchi","hinoeumano_hanashi.txt","戦後はグンと民主化や文明開化が行きとどいて、古来の因習が少くなり、ヒノエウマの迷信なぞはもう問題にならないように一口に言われがちだが、果してそうか、甚だしく疑問である。"
"27","sakaguchi","hinoeumano_hanashi.txt",""
"28","sakaguchi","hinoeumano_hanashi.txt","戦後ヒノエウマが人々の話題とならないのは、ヒノエウマ生れの人が新春には四十九歳となり、とっくに婚期もすぎて、落ちつくところに落ちついているせいだろう。"
"29","sakaguchi","hinoeumano_hanashi.txt","泣いた人も涙がかわき、死ぬ人はとっくに死んでしまったのだ。"
"30","sakaguchi","hinoeumano_hanashi.txt","干支は六十年周期だから、十二支がもう一廻りすると次のヒノエウマの人々がまた生れてくるが、これらの女の人が多かれ少かれヒノエウマの迷信の受難者たること古来の先輩とあまり変りがなかろうというのが私の考えだ。"
"31","sakaguchi","hinoeumano_hanashi.txt",""
"32","sakaguchi","hinoeumano_hanashi.txt","ヒノエウマの迷信の起りは知らないが、だいたい干支というものは、日本に於ては最も古い文化の一つである。"
"33","sakaguchi","hinoeumano_hanashi.txt","ともかく、これ自身も昔は文化であったには相違ない。"
"34","sakaguchi","hinoeumano_hanashi.txt",""
"35","sakaguchi","hinoeumano_hanashi.txt","古事記や書紀の昔から、干支というものが年代をはかる標準になっていた。"
"36","sakaguchi","hinoeumano_hanashi.txt","西暦が百年周期で、世の移り変りを観じているように、昔の日本は干支の六十年周期で世の推移を観じていたのかも知れない。"
"37","sakaguchi","hinoeumano_hanashi.txt","年号や元号を書き忘れても、丙午三月とか丁寅七月というように干支の方は書き忘れない。"
"38","sakaguchi","hinoeumano_hanashi.txt","古い碑文や古記録なぞにはそれが多くて、いつの天皇のころの丙午であるか丁寅であるか、その判定に学界が今も迷っているような例は少くない。"
"39","sakaguchi","hinoeumano_hanashi.txt","六十年のヒラキがあるのだから判定によっては一問題であるが、昔の人はそんなことが問題になるとは考えていなかったらしく、干支の六十年周期というものが車輪の跡のように正しく伝わり残って行くものだと思いこんでいたのかも知れない。"
"40","sakaguchi","hinoeumano_hanashi.txt",""
"41","sakaguchi","hinoeumano_hanashi.txt","こういう古い歴史的生命を持ちつたえている干支であるから、日本人の生活にくいこんでいる干支の魔力というものは深く広く根強いものがある。"
"42","sakaguchi","hinoeumano_hanashi.txt","アプレの青年でもヒノエウマは迷信と断じながらもオレは辰年の生れだとか、アイツは寅だから気が強いなぞと無自覚に語り合ってしまうのが自然で、祖父から父母へ、また子へと、家庭の会話の伝統というものが電気センタク機やラジオと甲乙ない生命力を持っているのだ。"
"43","sakaguchi","hinoeumano_hanashi.txt","我々はラジオなしで暮すことはできるが、精神の伝統から切り離れて物を考え、また生きることは大そうむずかしい。"
"44","sakaguchi","hinoeumano_hanashi.txt",""
"45","sakaguchi","hinoeumano_hanashi.txt","だいたい、文明開化なぞと云っても、精神生活とはあまり関係のないものだ。"
"46","sakaguchi","hinoeumano_hanashi.txt","文化はむしろ迷信の母胎であるかも知れない。"
"47","sakaguchi","hinoeumano_hanashi.txt","完全に文化がなければ迷信もない。"
"48","sakaguchi","hinoeumano_hanashi.txt","スポーツマンが、むしろ優秀なスポーツマンほど迷信的になり易いのは、彼らがむしろ進歩につれて己れの弱さや、拙さを熟知するようになるからだ。"
"49","sakaguchi","hinoeumano_hanashi.txt","文化全般に於て同じことで、文化の進歩につれて各人の迷信が、なくなることは考えられない。"
"50","sakaguchi","hinoeumano_hanashi.txt",""
"51","sakaguchi","hinoeumano_hanashi.txt","しかし、文化人の個人的な迷信に比べればヒノエウマの迷信がバカバカしいことは確かであるが、これとても早晩の消滅を期待することは不可能だ。"
"52","sakaguchi","hinoeumano_hanashi.txt","すべて迷信の消滅はこれを期待しない方がよい。"
"53","sakaguchi","hinoeumano_hanashi.txt","そしてただ銘々の教養や勇気や楽天性によって自分がその受難者たることを避けるように心掛けるのが何よりであろう。"
"54","sakaguchi","hinoeumano_hanashi.txt",""
"55","sakaguchi","hinoeumano_hanashi.txt",""
"56","sakaguchi","hinoeumano_hanashi.txt",""
"57","sakaguchi","hinoeumano_hanashi.txt",""
"58","sakaguchi","hinoeumano_hanashi.txt","底本：「坂口安吾全集14」筑摩書房"
"59","sakaguchi","hinoeumano_hanashi.txt","1999（平成11）年6月20日初版第1刷発行"
"60","sakaguchi","hinoeumano_hanashi.txt","底本の親本：「新潟日報第四〇六〇号」"
"61","sakaguchi","hinoeumano_hanashi.txt","1954（昭和29）年1月3日"
"62","sakaguchi","hinoeumano_hanashi.txt","初出：「新潟日報第四〇六〇号」"
"63","sakaguchi","hinoeumano_hanashi.txt","1954（昭和29）年1月3日"
"64","sakaguchi","hinoeumano_hanashi.txt","入力：tatsuki"
"65","sakaguchi","hinoeumano_hanashi.txt","校正：藤原朔也"
"66","sakaguchi","hinoeumano_hanashi.txt","2008年4月15日作成"
"67","sakaguchi","hinoeumano_hanashi.txt","青空文庫作成ファイル："
"68","sakaguchi","hinoeumano_hanashi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"69","sakaguchi","hinoeumano_hanashi.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"70","sakaguchi","hinoeumano_hanashi.txt",""
