"","auth","piece","line"
"0","sakaguchi","hitonokono_oyatonarite.txt","人の子の親となりて"
"1","sakaguchi","hitonokono_oyatonarite.txt","坂口安吾"
"2","sakaguchi","hitonokono_oyatonarite.txt",""
"3","sakaguchi","hitonokono_oyatonarite.txt","-------------------------------------------------------"
"4","sakaguchi","hitonokono_oyatonarite.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hitonokono_oyatonarite.txt",""
"6","sakaguchi","hitonokono_oyatonarite.txt","《》：ルビ"
"7","sakaguchi","hitonokono_oyatonarite.txt","（例）炳五"
"8","sakaguchi","hitonokono_oyatonarite.txt","-------------------------------------------------------"
"9","sakaguchi","hitonokono_oyatonarite.txt",""
"10","sakaguchi","hitonokono_oyatonarite.txt","私には子供が生れないと思っていたので、家族のつもりで犬を飼っていた。"
"11","sakaguchi","hitonokono_oyatonarite.txt","いろいろの犬を飼ったが、最後にはコリー種に落ちついて、いまも二匹いる。"
"12","sakaguchi","hitonokono_oyatonarite.txt",""
"13","sakaguchi","hitonokono_oyatonarite.txt","だから綱男が生れたときも、まず何よりも犬と比較して考える。"
"14","sakaguchi","hitonokono_oyatonarite.txt","仔犬は買ってきた時から人にじゃれるし旺盛な食慾があって可愛いものだが、生れたての子供は目も見えないから、反応というものがない。"
"15","sakaguchi","hitonokono_oyatonarite.txt","自分のオナカから生んだ母親はその瞬間から子供が可愛いかも知れないが、男の私にはまるで縁もなく愛嬌もない生物が突然現れてわが子を称するようなもので、はじめの一ヵ月ぐらいはいかに扱うべきか窮したのである。"
"16","sakaguchi","hitonokono_oyatonarite.txt",""
"17","sakaguchi","hitonokono_oyatonarite.txt","むろん名前をつけてやる気にもならなかったが、女房がサイソクしてゆずらないので二週間目に徹夜して考えてつけてやった。"
"18","sakaguchi","hitonokono_oyatonarite.txt","小説の作中人物とちがって平凡でないとこまる。"
"19","sakaguchi","hitonokono_oyatonarite.txt","私の本名が炳五といい、故郷の呼び方で一般にヘゴとよばれるのが非常にイヤだった。"
"20","sakaguchi","hitonokono_oyatonarite.txt","その記憶があるので、名前でイヤな思いをさせたくないと考えて苦労した。"
"21","sakaguchi","hitonokono_oyatonarite.txt",""
"22","sakaguchi","hitonokono_oyatonarite.txt","女房がニンシンしたとき、私は女の子が生れて欲しいと考えた。"
"23","sakaguchi","hitonokono_oyatonarite.txt","男の子が生れて、それが私に似ていたりすると薄気味がわるいし、世間では私を半キチガイ扱いしているような次第で、その悪い方によけい似ていられてはオヤジも降参せざるを得ない。"
"24","sakaguchi","hitonokono_oyatonarite.txt","幸い女にはヒステリーという万人共通の症状があって目立たないから、子供は女に限ると考え、ウブ着なども女の子の物ばかり買い調えていたのであった。"
"25","sakaguchi","hitonokono_oyatonarite.txt",""
"26","sakaguchi","hitonokono_oyatonarite.txt","意外にも男の子が生れたので、その瞬間からいかなる怪物に育つかとそれが不安でこまったのである。"
"27","sakaguchi","hitonokono_oyatonarite.txt","とにかく鄭重に扱わなくちゃアいけないと、まるで後難をおそれるような気持で、ウバよ子守よ科学よと糸目をつけずに金をかけ手をかけてやった。"
"28","sakaguchi","hitonokono_oyatonarite.txt","その代り、オヤジの私にとっては全然面白くなかったのである。"
"29","sakaguchi","hitonokono_oyatonarite.txt","さわったこともなかった。"
"30","sakaguchi","hitonokono_oyatonarite.txt",""
"31","sakaguchi","hitonokono_oyatonarite.txt","四五十日たつと、案外に泣き方が少いので、安心するようになった。"
"32","sakaguchi","hitonokono_oyatonarite.txt","わが家の犬は十何貫もある奴だから、その吠える声もものすごい。"
"33","sakaguchi","hitonokono_oyatonarite.txt","それに比べると、そもそも赤ン坊の泣き声など声量の点でタカが知れているから、こんなものか、と思うような安心もあった。"
"34","sakaguchi","hitonokono_oyatonarite.txt","それも私の借家が桐生随一の旧家の母屋だから、子供の部屋と私の部屋に甚大の距離があって、それに救われたのである。"
"35","sakaguchi","hitonokono_oyatonarite.txt",""
"36","sakaguchi","hitonokono_oyatonarite.txt","わが家へ来る人の全てが、綱男は泣くことが少いという点で評判が一致するようになったので、私もよほど気持が楽になった。"
"37","sakaguchi","hitonokono_oyatonarite.txt","私は女房がニンシンした時から、むかし何かの雑誌で見た千葉のお助けジイサンが子供の虫封じをしている写真を思いだして助からないような気持に苦しんでいたのであるが、意外にも、私の子供ともあろうものが、千葉のお助けジイサンの世話になりそうなところがミジンもなく、癇性のところがない。"
"38","sakaguchi","hitonokono_oyatonarite.txt","何より私は安心した。"
"39","sakaguchi","hitonokono_oyatonarite.txt",""
"40","sakaguchi","hitonokono_oyatonarite.txt","二ヵ月ぐらいたつうちに笑顔を見せるようになった。"
"41","sakaguchi","hitonokono_oyatonarite.txt","そうなると可愛くなった。"
"42","sakaguchi","hitonokono_oyatonarite.txt","犬と同じぐらいに可愛くなった。"
"43","sakaguchi","hitonokono_oyatonarite.txt","三ヵ月目ぐらいには、私を見ると笑顔で応じるようになり、犬よりも可愛くなったのである。"
"44","sakaguchi","hitonokono_oyatonarite.txt","二ヵ月目ぐらいの時に無理に抱かされたが、百日目ぐらいから、進んで子供を抱く気持にもなった。"
"45","sakaguchi","hitonokono_oyatonarite.txt",""
"46","sakaguchi","hitonokono_oyatonarite.txt","私には財産が全くないので、今頃になって子供が生れると、何よりもその行末を案じることが先に立つ。"
"47","sakaguchi","hitonokono_oyatonarite.txt","女の子が生れるとよいと思ったのも、一つには女の子なら早く一人前になってオヨメに行ってくれるからという考えでもあったような次第で、男の子が生れたについては、その点でも暗い気持になった。"
"48","sakaguchi","hitonokono_oyatonarite.txt","否応なく生きて働かなければならないのかということが甚だ負担に思われて、ややステバチのような気持にもならざるを得なかった。"
"49","sakaguchi","hitonokono_oyatonarite.txt",""
"50","sakaguchi","hitonokono_oyatonarite.txt","しかし、わが子が犬よりも可愛いと思うようになると、その不安も暗さも、だんだん薄れるようになった。"
"51","sakaguchi","hitonokono_oyatonarite.txt","別に、生きぬいて働く自信ができたわけではないが、なんとなくただ漫然と自信がついてきたのである。"
"52","sakaguchi","hitonokono_oyatonarite.txt",""
"53","sakaguchi","hitonokono_oyatonarite.txt","何よりも、子供が生れつき非常に健康で病的なところがないのが、私には奇蹟的に思われて、それが自信をつけてくれたのかも知れない。"
"54","sakaguchi","hitonokono_oyatonarite.txt","とにかく私は、自分が梅毒ではないかとか、カタワの子供が生れやしないかとか、生れた時からのキチガイで母親を蹴殺してオヤジにいきなり襲いかかるような妖怪が生れやしないかなぞと、最悪のことばかり考えていた。"
"55","sakaguchi","hitonokono_oyatonarite.txt","したがって、よい子が生れ、それをどう育ててどんなにするなぞという世間なみのことは全然考えていなかったのである。"
"56","sakaguchi","hitonokono_oyatonarite.txt","そんな子は生れる見込がないとやや絶望的にきめこんでいた傾きがあった。"
"57","sakaguchi","hitonokono_oyatonarite.txt","したがって、当り前の子供が生れたということだけですでに私には奇蹟的に思われ、それだけで自信がついたのかも知れないのだ。"
"58","sakaguchi","hitonokono_oyatonarite.txt",""
"59","sakaguchi","hitonokono_oyatonarite.txt","まったく私には子供が生れたということが今でも奇蹟的に思うような気持が強い。"
"60","sakaguchi","hitonokono_oyatonarite.txt","オレにもこんな人なみのことが……と、妙な気持になることがままあるのである。"
"61","sakaguchi","hitonokono_oyatonarite.txt","そして今では子供の父になったことを嬉しく思っているのである。"
"62","sakaguchi","hitonokono_oyatonarite.txt","はじめはそうは思えなかった。"
"63","sakaguchi","hitonokono_oyatonarite.txt","子供の生れたことがウソのようにしか思えなかった。"
"64","sakaguchi","hitonokono_oyatonarite.txt","オレの子だなんて、とんでもないというような気持が強かったのだ。"
"65","sakaguchi","hitonokono_oyatonarite.txt",""
"66","sakaguchi","hitonokono_oyatonarite.txt","子供が生れたばかりのころは、犬が子供に敵意をもち、噛みつこうとするので、こまった。"
"67","sakaguchi","hitonokono_oyatonarite.txt","それで犬よけのサクを造って子供を座敷牢に安置するような必要があったが、しかし当時は私自身がいつ子供をひねり殺すか、内々その不安で苦しんでいた。"
"68","sakaguchi","hitonokono_oyatonarite.txt","人に語れない苦しみであった。"
"69","sakaguchi","hitonokono_oyatonarite.txt",""
"70","sakaguchi","hitonokono_oyatonarite.txt","その苦しみが今ではなくなって、ただ愛情だけで子供を抱く気持になれたので、これも非常な安心であった。"
"71","sakaguchi","hitonokono_oyatonarite.txt","また犬もだんだん子供を愛すようになり、もう敵意はなくなったので、これも安心であった。"
"72","sakaguchi","hitonokono_oyatonarite.txt",""
"73","sakaguchi","hitonokono_oyatonarite.txt","この写真は生後五ヵ月半であるが、発育は順調で、多くの点で私よりも健全のようだ。"
"74","sakaguchi","hitonokono_oyatonarite.txt","私はしかしまだこの子供に何も期待していない。"
"75","sakaguchi","hitonokono_oyatonarite.txt","どんな風に育てようという考えも浮かばない。"
"76","sakaguchi","hitonokono_oyatonarite.txt","ただマットウに育ってくれと願うだけで、そして子供の生れたことを何かに感謝したいような気持が深くなるようである。"
"77","sakaguchi","hitonokono_oyatonarite.txt",""
"78","sakaguchi","hitonokono_oyatonarite.txt",""
"79","sakaguchi","hitonokono_oyatonarite.txt",""
"80","sakaguchi","hitonokono_oyatonarite.txt",""
"81","sakaguchi","hitonokono_oyatonarite.txt","底本：「坂口安吾全集14」筑摩書房"
"82","sakaguchi","hitonokono_oyatonarite.txt","1999（平成11）年6月20日初版第1刷発行"
