"","auth","piece","line"
"0","sakaguchi","hon'inbo_goseigen.txt","本因坊・呉清源十番碁観戦記"
"1","sakaguchi","hon'inbo_goseigen.txt","坂口安吾"
"2","sakaguchi","hon'inbo_goseigen.txt",""
"3","sakaguchi","hon'inbo_goseigen.txt","-------------------------------------------------------"
"4","sakaguchi","hon'inbo_goseigen.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","hon'inbo_goseigen.txt",""
"6","sakaguchi","hon'inbo_goseigen.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"7","sakaguchi","hon'inbo_goseigen.txt","（例）ゴソ／＼"
"8","sakaguchi","hon'inbo_goseigen.txt","-------------------------------------------------------"
"9","sakaguchi","hon'inbo_goseigen.txt",""
"10","sakaguchi","hon'inbo_goseigen.txt","上"
"11","sakaguchi","hon'inbo_goseigen.txt",""
"12","sakaguchi","hon'inbo_goseigen.txt","対局前夜、夕方六時、対局所の小石川もみじ旅館に両棋士、僕、三人集合、宿泊のはずであった。"
"13","sakaguchi","hon'inbo_goseigen.txt","翌日の対局開始が、朝九時、早いからである。"
"14","sakaguchi","hon'inbo_goseigen.txt",""
"15","sakaguchi","hon'inbo_goseigen.txt","僕が第一着、六時五分也。"
"16","sakaguchi","hon'inbo_goseigen.txt","本因坊、六時五十分。"
"17","sakaguchi","hon'inbo_goseigen.txt","さて、あとなる、呉氏が大変である。"
"18","sakaguchi","hon'inbo_goseigen.txt",""
"19","sakaguchi","hon'inbo_goseigen.txt","ジコーサマの一行が呉氏応援に上京し、呉氏の宿所へ、すみこんだ。"
"20","sakaguchi","hon'inbo_goseigen.txt","すみこむだけならよかったのだが、即ち、これ宗教なり、よってオイノリをやる、一日中、やるのである。"
"21","sakaguchi","hon'inbo_goseigen.txt",""
"22","sakaguchi","hon'inbo_goseigen.txt","宿所のオヤジ、カンシャクを起して告訴に及ぶ。"
"23","sakaguchi","hon'inbo_goseigen.txt","哀れ、神様及びそのケン族は、警察に留置さる。"
"24","sakaguchi","hon'inbo_goseigen.txt","呉氏、慌てふためき、これをもらい下げる。"
"25","sakaguchi","hon'inbo_goseigen.txt","時に対局二日前の夜也。"
"26","sakaguchi","hon'inbo_goseigen.txt",""
"27","sakaguchi","hon'inbo_goseigen.txt","呉氏ら、リュックサックをかつぎ神様をまもって、警察の門からネグラをもとめて行方をくらましたが、ウカツ千万にも、日本中の新聞記者が、この行先をつきとめることを忘れていたのである。"
"28","sakaguchi","hon'inbo_goseigen.txt",""
"29","sakaguchi","hon'inbo_goseigen.txt","キチョウメンな呉氏が、約束の時間に現れないから、さてこそ神託によって禁足か。"
"30","sakaguchi","hon'inbo_goseigen.txt","捜索隊が東京、横浜に出動する。"
"31","sakaguchi","hon'inbo_goseigen.txt","徒労。"
"32","sakaguchi","hon'inbo_goseigen.txt","悲報のみ、つゞいて至る。"
"33","sakaguchi","hon'inbo_goseigen.txt",""
"34","sakaguchi","hon'inbo_goseigen.txt","深夜、十二時十分前、もみじ旅館の玄関に女中たちのカン声が上った。"
"35","sakaguchi","hon'inbo_goseigen.txt","呉氏がひとりヒョウ然と現れたのである。"
"36","sakaguchi","hon'inbo_goseigen.txt",""
