"","auth","piece","line"
"0","sakaguchi","hon'yaku_sutefanu_mararume.txt","〔翻訳〕ステファヌ・マラルメ"
"1","sakaguchi","hon'yaku_sutefanu_mararume.txt","ヴァレリイ"
"2","sakaguchi","hon'yaku_sutefanu_mararume.txt","坂口安吾訳"
"3","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"4","sakaguchi","hon'yaku_sutefanu_mararume.txt","-------------------------------------------------------"
"5","sakaguchi","hon'yaku_sutefanu_mararume.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"7","sakaguchi","hon'yaku_sutefanu_mararume.txt","《》：ルビ"
"8","sakaguchi","hon'yaku_sutefanu_mararume.txt","（例）雛罌粟"
"9","sakaguchi","hon'yaku_sutefanu_mararume.txt","-------------------------------------------------------"
"10","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"11","sakaguchi","hon'yaku_sutefanu_mararume.txt","私がマラルメを足繁く訪れるやうになつた頃、文学は私にとつて殆んど無意味にしか思はれなくなつた頃だつた。"
"12","sakaguchi","hon'yaku_sutefanu_mararume.txt","読み、書くことは私に重かつた、そしてその倦怠が今に残つてゐることを私は白状しなければならない。"
"13","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかし文学に対する私の良心、それから、私の存在を明瞭に描き出すことの苦心、それは私から去らなかつた。"
"14","sakaguchi","hon'yaku_sutefanu_mararume.txt","私は文学に対する苦心のために、文学からはなれた。"
"15","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"16","sakaguchi","hon'yaku_sutefanu_mararume.txt","マラルメは、知識深い一芸術家として、又最も高尚な文学的野心を持つ人として私の目に映つてゐた。"
"17","sakaguchi","hon'yaku_sutefanu_mararume.txt","私はなるべく彼の心に触れるやうにし、たとへ年齢や、才能の上に大きな距りがあるにせよ、やがて何時か、私の煩悶や意見を述べる日の来ることを望んでゐた。"
"18","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼は決して私を憶病にさせたわけではなかつた。"
"19","sakaguchi","hon'yaku_sutefanu_mararume.txt","なぜなら、彼は誰よりも優しく、思ひやりが深かつたからであつた。"
"20","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかし私は当時、こう考へてゐたのだつた。"
"21","sakaguchi","hon'yaku_sutefanu_mararume.txt","即ち、芸術の製作に精進することと、厳格な思想上の追求にふけることとは対蹠関係におかれてゐると。"
"22","sakaguchi","hon'yaku_sutefanu_mararume.txt","私の疑問はこの上もなくデリケートなものである。"
"23","sakaguchi","hon'yaku_sutefanu_mararume.txt","私はそれをマラルメから掴み出すことができるであらうか？私はマラルメを愛し、彼を全ての人の上に置いてゐた。"
"24","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかし私は、彼が生涯熱愛し、それに全てを捧げて来たものを、必ずしも私は熱愛することをしなかつた。"
"25","sakaguchi","hon'yaku_sutefanu_mararume.txt","そしてそのために私は彼に私の苦悶を打ちあける勇気を持たなかつたのだ。"
"26","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"27","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかし私は、彼を尊敬するにつけ、これを打ち開けずにはゐられなくなつた。"
"28","sakaguchi","hon'yaku_sutefanu_mararume.txt","そして又彼の探求、彼の微細な正確な分析が、私の文学観を変ぜしめ、ひいては文学を棄てるまでに導かれたことを彼に告げずにはゐられなくなつた。"
"29","sakaguchi","hon'yaku_sutefanu_mararume.txt","マラルメの努力は、その時代の芸術家達の主張ならびに苦悩と、全く反対的なものであつた。"
"30","sakaguchi","hon'yaku_sutefanu_mararume.txt","そして形に就ての全般的な考察によつて、当時の全文壇に一つの号令を叫んでゐた。"
"31","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼が何等科学的な知識なく、単に芸術上の深い洞察によつて、かくの如く抽象的な、そして科学上の最も発達した試みにこれ程近似した説に到達したことは実に驚くべきことである。"
"32","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼は彼の考へを、比喩によつてのみしか物語らなかつた。"
"33","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼は明瞭な表出をひどくきらつた。"
"34","sakaguchi","hon'yaku_sutefanu_mararume.txt","これを私風の方法で言ひ表すと、次の如きものである。"
"35","sakaguchi","hon'yaku_sutefanu_mararume.txt","即ち、一般の文学は代数の如きものである。"
"36","sakaguchi","hon'yaku_sutefanu_mararume.txt","一つの結果を探求しやうとする。"
"37","sakaguchi","hon'yaku_sutefanu_mararume.txt","これに反しマラルメの文学は幾何学のごときものである。"
"38","sakaguchi","hon'yaku_sutefanu_mararume.txt","初めに意志を仮定し、これを明らかにして行こうとする。"
"39","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼は言葉のフォルムによつて、与へられた原理を明らかにしやうとするのだ。"
"40","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"41","sakaguchi","hon'yaku_sutefanu_mararume.txt","「しかし少くとも、一つの原理が誰かによつて知悉せられた上は、それに就て時を費す必要はない」と私は私に言ひきかせた……"
"42","sakaguchi","hon'yaku_sutefanu_mararume.txt","期待した日は、つひに来なかつた。"
"43","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"44","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"45","sakaguchi","hon'yaku_sutefanu_mararume.txt","★"
"46","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"47","sakaguchi","hon'yaku_sutefanu_mararume.txt","一八九八年七月十四日は、私が最後にマラルメと会つた日であつた。"
"48","sakaguchi","hon'yaku_sutefanu_mararume.txt","朝食が済んでから、私は彼の書斎を訪れた。"
"49","sakaguchi","hon'yaku_sutefanu_mararume.txt","縦に四歩、横に二歩の小さな部屋、セイヌ川と森に向つて展いた窓。"
"50","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"51","sakaguchi","hon'yaku_sutefanu_mararume.txt","森の葉は光をあびて、川のかすかな震動が弱く壁に伝つてゐた。"
"52","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"53","sakaguchi","hon'yaku_sutefanu_mararume.txt","マラルメは「クー・ド・デ」の微細な推敲に耽つてゐた。"
"54","sakaguchi","hon'yaku_sutefanu_mararume.txt","この「発明家」は冥想し、それから、鉛筆で全く新しいこの作品に字を落した。"
"55","sakaguchi","hon'yaku_sutefanu_mararume.txt","この作品はラユール会社が、印刷を引き受けることになつてゐた。"
"56","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"57","sakaguchi","hon'yaku_sutefanu_mararume.txt","一つのテキストの「形」に意味を与へること、及びテキスト自身の意味と同量の動作をテキストの「形」に与へること、それは、未だかつて誰も試みたことがなく、又試みやうと夢みた人もなかつた。"
"58","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"59","sakaguchi","hon'yaku_sutefanu_mararume.txt","我々は、我々の手足を普段あたりまへに使用してゐる結果、その存在をさへ忘れ、又その種々の使用法を忘れてゐる。"
"60","sakaguchi","hon'yaku_sutefanu_mararume.txt","それ故ある日一人の曲芸師が現れて、彼の生命に代へ、あらゆる危険にたへて、手足の柔軟さを我々に示す時、我々は驚くのである。"
"61","sakaguchi","hon'yaku_sutefanu_mararume.txt","かやうに、我々の言葉も、平常使用してゐる結果、又、走り読みになれ、見たものをすぐ口に表すこと等の習慣から、非常に親密な動作の表現には意識さへ伴はない。"
"62","sakaguchi","hon'yaku_sutefanu_mararume.txt","表現の力強さ、表現の完全さも、我々の頭にはひびきもしない。"
"63","sakaguchi","hon'yaku_sutefanu_mararume.txt","――少くとも、ここに傍若無人なまで彼の精神を易々と表し、しかも最も人の思ひがけないそして鋭いものを注意深く生み出すことの出来る人が現れるまでは。"
"64","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"65","sakaguchi","hon'yaku_sutefanu_mararume.txt","私は上記の如き人物の身近かにゐた。"
"66","sakaguchi","hon'yaku_sutefanu_mararume.txt","この人は、私が二度と他の人から聞くことのできぬことをのみ、語つた。"
"67","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"68","sakaguchi","hon'yaku_sutefanu_mararume.txt","静かにそして確信をもつて……原稿の上へ指を置きながら、マラルメは私に語つた。"
"69","sakaguchi","hon'yaku_sutefanu_mararume.txt","そしてその瞬間に、私の思想は夢を見始めたことを私は今思ひ出す。"
"70","sakaguchi","hon'yaku_sutefanu_mararume.txt","私は漠然と、彼のその作品に絶対的な価値を信じはぢめてゐた。"
"71","sakaguchi","hon'yaku_sutefanu_mararume.txt","私は、現に生きてゐる彼の傍で、彼の一生は已に終つたもののやうに考へてゐた。"
"72","sakaguchi","hon'yaku_sutefanu_mararume.txt","或者には狂人と罵られるために生れ、或者には冒涜されるために生れ、そして全ての人のために一つの奇蹟であるために生れた。"
"73","sakaguchi","hon'yaku_sutefanu_mararume.txt","敵のためには精神錯乱であり不合理であつたが、その味方にとつては奇蹟とも呼ばるべき彼等の「誇り」であり、新鮮さであり、そして精神上の純潔さであつた。"
"74","sakaguchi","hon'yaku_sutefanu_mararume.txt","文学に一つの質問を提出するのは、彼の数個の詩で充分であつた。"
"75","sakaguchi","hon'yaku_sutefanu_mararume.txt","理解するには難かしい、しかし黙殺することの出来ない彼の詩は、知識ある人々を論争に導いた。"
"76","sakaguchi","hon'yaku_sutefanu_mararume.txt","世に報ひられぬ彼、名声もなく貧困な彼、それは人々の功利心を卑しめるに充分である。"
"77","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかし彼は、驚く程忠実な人々によつて取りまかれてゐた。"
"78","sakaguchi","hon'yaku_sutefanu_mararume.txt","しかも彼は、それらの人々を探し求めはしなかつたのに。"
"79","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼の知識深い微笑、世に最も勝れた一人の犠牲者の微笑、それは静かに全世界を屈服せしめた。"
"80","sakaguchi","hon'yaku_sutefanu_mararume.txt","彼は、世に最も稀な、最も高価なものの外は求めなかつた。"
"81","sakaguchi","hon'yaku_sutefanu_mararume.txt","そしてそれを、彼自身の中に発見した。"
"82","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"83","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"84","sakaguchi","hon'yaku_sutefanu_mararume.txt","★"
"85","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
"86","sakaguchi","hon'yaku_sutefanu_mararume.txt","我々は、かつて野原へ散歩に出かけた。"
"87","sakaguchi","hon'yaku_sutefanu_mararume.txt","この「人工的な」詩人は、ひどく素朴な草花をつんだ。"
"88","sakaguchi","hon'yaku_sutefanu_mararume.txt","矢車菊や雛罌粟が我々の腕にはみ出してゐた。"
"89","sakaguchi","hon'yaku_sutefanu_mararume.txt","空は火であつた。"
"90","sakaguchi","hon'yaku_sutefanu_mararume.txt","見渡す限りの広大さ、沈黙は眩暈に満ちてゐた。"
"91","sakaguchi","hon'yaku_sutefanu_mararume.txt","不可能な、もしくは無関心な死。"
"92","sakaguchi","hon'yaku_sutefanu_mararume.txt","全てはおどろくほど美しく、燃え、そして睡つてゐた。"
"93","sakaguchi","hon'yaku_sutefanu_mararume.txt","地上では、全てのものが震へてゐた。"
"94","sakaguchi","hon'yaku_sutefanu_mararume.txt",""
