"","auth","piece","line"
"0","sakaguchi","ikon.txt","遺恨"
"1","sakaguchi","ikon.txt","坂口安吾"
"2","sakaguchi","ikon.txt",""
"3","sakaguchi","ikon.txt","-------------------------------------------------------"
"4","sakaguchi","ikon.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","ikon.txt",""
"6","sakaguchi","ikon.txt","《》：ルビ"
"7","sakaguchi","ikon.txt","（例）咽喉"
"8","sakaguchi","ikon.txt",""
"9","sakaguchi","ikon.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","ikon.txt","（例）キャア／＼"
"11","sakaguchi","ikon.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"12","sakaguchi","ikon.txt","-------------------------------------------------------"
"13","sakaguchi","ikon.txt",""
"14","sakaguchi","ikon.txt","梅木先生は六十円のオツリをつかんで中華料理店をとび出した。"
"15","sakaguchi","ikon.txt","支那ソバを二つ食ったのである。"
"16","sakaguchi","ikon.txt","うまかったような気がする。"
"17","sakaguchi","ikon.txt","然し、味覚の問題ではない。"
"18","sakaguchi","ikon.txt","先生は自殺したくなっていた。"
"19","sakaguchi","ikon.txt","インフレ時代に物を食うということが、こんなミジメなものだとは。"
"20","sakaguchi","ikon.txt","お金をだしながら乞食の自覚を与えられたのであった。"
"21","sakaguchi","ikon.txt",""
"22","sakaguchi","ikon.txt","梅木先生は裏口営業とはどんなものか知らなかった。"
"23","sakaguchi","ikon.txt","終戦以来、料理店の門をくゞるのは、はじめてゞあった。"
"24","sakaguchi","ikon.txt",""
"25","sakaguchi","ikon.txt","裏口営業などゝ云われているが、表に、只今営業中、という札が下っている。"
"26","sakaguchi","ikon.txt","すると、裏口とはどういうことだろう？いっぺん裏口をくゞったら、どんなに爽快だろうか。"
"27","sakaguchi","ikon.txt","せめて、只今営業中、の表口でいゝからくゞってみたいものだと考えていたのである。"
"28","sakaguchi","ikon.txt",""
"29","sakaguchi","ikon.txt","この日、梅木先生は一方ならぬ決心をしていた。"
"30","sakaguchi","ikon.txt","どうしても、食う。"
"31","sakaguchi","ikon.txt","あの只今営業中、の札のかゝった戸口をくゞるのだ。"
"32","sakaguchi","ikon.txt",""
"33","sakaguchi","ikon.txt","悲愴な覚悟というものは、たとえば味覚に端を発していながらも、結局は特攻隊と同じような、支離滅裂な亢奮と絶望に帰一するものらしい。"
"34","sakaguchi","ikon.txt",""
"35","sakaguchi","ikon.txt","戸口をくゞる時から、梅木先生の覚悟はたゞ事ではなかった。"
"36","sakaguchi","ikon.txt","逆上、それから、混乱だ。"
"37","sakaguchi","ikon.txt",""
"38","sakaguchi","ikon.txt","けれども、店内は、意外や、あたりまえの店内の風景であった。"
"39","sakaguchi","ikon.txt","つまり、昔、先生も記憶にある支那ソバ屋の風景だ。"
"40","sakaguchi","ikon.txt","三組の客がいる。"
"41","sakaguchi","ikon.txt","奇妙に、みんな女である。"
"42","sakaguchi","ikon.txt","一組は女学校をでて間もないような三人づれ、一組は、ダンサアとでもいうような二人づれ。"
"43","sakaguchi","ikon.txt","あとの一組は四人づれで、これも女学校を卒業したて、というような年頃だ。"
"44","sakaguchi","ikon.txt","みんな各々のテーブルで、支那ソバを食べたり、キャア／＼笑いさゞめいたり昔とそっくりで、一向に自粛しているところはない。"
"45","sakaguchi","ikon.txt",""
"46","sakaguchi","ikon.txt","戦争前の記憶の風景と同じものに接して、先生は落着いたり、なつかしい思いに打たれたりせず、まったく敵地に至った思い、全然アガッて、意識不明にちかい大混乱におちいった。"
"47","sakaguchi","ikon.txt",""
"48","sakaguchi","ikon.txt","ともかく、あいたテーブルにたどりついてこしかける。"
"49","sakaguchi","ikon.txt",""
"50","sakaguchi","ikon.txt","すると、キャア／＼笑いさゞめいていた三人組の一人がブラリと立ちあがって、先生のテーブルの前に立ち、先生をジッと睨みつけるのである。"
"51","sakaguchi","ikon.txt",""
"52","sakaguchi","ikon.txt","先生は声がでなかった。"
"53","sakaguchi","ikon.txt","恐怖のために、心臓が止まりかけているのである。"
"54","sakaguchi","ikon.txt","必死の勇をこらして、呆然と女を見つめた。"
"55","sakaguchi","ikon.txt",""
"56","sakaguchi","ikon.txt","女は怒って叫んだ。"
"57","sakaguchi","ikon.txt",""
"58","sakaguchi","ikon.txt","「何を召上るんですか！」"
"59","sakaguchi","ikon.txt","女給だったのである。"
"60","sakaguchi","ikon.txt","先生はホッとすると、あとはもう後続する智慧が浮かばず、"
"61","sakaguchi","ikon.txt","「アレ」"
"62","sakaguchi","ikon.txt","と、一言、向うのテーブルで御婦人組の召上りつゝあるものを指さすだけが精一パイであった。"
"63","sakaguchi","ikon.txt",""
"64","sakaguchi","ikon.txt","女は黙って立ったが、やがて、ドンブリを持ってきて、投げすてるように置いて行った。"
"65","sakaguchi","ikon.txt",""
"66","sakaguchi","ikon.txt","先生はムサボリ食った。"
"67","sakaguchi","ikon.txt","まずくはない。"
"68","sakaguchi","ikon.txt","然し、シカとは分らない。"
"69","sakaguchi","ikon.txt","昔の記憶と比較するには、昔の記憶が遠ざかりすぎているようである。"
"70","sakaguchi","ikon.txt","昔なら、なんという食べ物に当るのだか、五目支那ソバ、というのかも知れぬ。"
"71","sakaguchi","ikon.txt","ユデタマゴの一キレがある。"
"72","sakaguchi","ikon.txt","イカがある。"
"73","sakaguchi","ikon.txt","キャベツもある。"
"74","sakaguchi","ikon.txt","先生は慌てゝいたので、コショーをふりかけるのを忘れたが、食べ終ってから、テーブルの上に薬味のあることにも気付いたのである。"
"75","sakaguchi","ikon.txt",""
"76","sakaguchi","ikon.txt","先生の心は戦かった。"
"77","sakaguchi","ikon.txt","もう一パイ食べるために女給をよばねばならぬ。"
"78","sakaguchi","ikon.txt","然し、女給はお客よりもお客らしく、自分たちのテーブルでキャア／＼さゞめいているのである。"
"79","sakaguchi","ikon.txt",""
"80","sakaguchi","ikon.txt","まったく、分らないのはムリがない。"
"81","sakaguchi","ikon.txt","先生とても、毎日街を歩くから、女の服装について知ってはいたが、大別して、ダンサーらしいものと、女学校卒業の事務員らしいのと、未婚の女にこの二色があって、令嬢だの女中だのという階級の別はないようであった。"
"82","sakaguchi","ikon.txt",""
"83","sakaguchi","ikon.txt","女給と分って、三人組を見直し、お客と比較してみても、やっぱり区別が分らない。"
"84","sakaguchi","ikon.txt","服装も髪の様子も同じようで、違っているのは、女給のテーブルには支那ソバのドンブリがないことだけであった。"
"85","sakaguchi","ikon.txt",""
"86","sakaguchi","ikon.txt","彼女らは額をあつめて話すかと思うと、のけぞって笑うのである。"
"87","sakaguchi","ikon.txt","まったく、イスがうしろへヒックリかえりはしないかとハラハラする程豪放にのけぞり天井めがけて、ゲタゲタワハワハと爆笑をふきあげる。"
"88","sakaguchi","ikon.txt","女が小平に殺される、よくもそんなことが有るものだ、と、先生は理解に苦しむのであった。"
"89","sakaguchi","ikon.txt",""
"90","sakaguchi","ikon.txt","先生は、思いあきらめて、一杯だけで帰ろうかと思った。"
"91","sakaguchi","ikon.txt","然し、一パイで帰るにしても、やっぱりいくらですか、と、いって、女給に呼びかけなければならない。"
"92","sakaguchi","ikon.txt","それぐらいなら、もう一パイ、たべたい。"
"93","sakaguchi","ikon.txt","一パイだけでは、食べた手ごたえが分らないのだ。"
"94","sakaguchi","ikon.txt",""
"95","sakaguchi","ikon.txt","「モシ／＼、モシ／＼」"
"96","sakaguchi","ikon.txt","先生はむなしく呼んだ。"
"97","sakaguchi","ikon.txt","それを数回くりかえした。"
"98","sakaguchi","ikon.txt","先生は、自分が今とても悪事を働いているという罪の意識と争わなければならなかった。"
"99","sakaguchi","ikon.txt","そのために、もはや、敢て呼びかける勇気を失うのであるが、さればと云って、彼女らのサザメキのとぎれ目がないのであるから、どうしても覚悟をかためて、やりとげなければならないのである。"
"100","sakaguchi","ikon.txt",""
"101","sakaguchi","ikon.txt","「スミマセン」"
"102","sakaguchi","ikon.txt","先生は必死に叫んだ。"
"103","sakaguchi","ikon.txt","三人の女給は一時に怒った顔をふりむけた。"
"104","sakaguchi","ikon.txt","先生はそれをグッと受けとめた。"
"105","sakaguchi","ikon.txt","眼をつぶるワケにも行かぬ。"
"106","sakaguchi","ikon.txt","一目散に逃げだすワケにも行かぬ。"
"107","sakaguchi","ikon.txt","泣きだすワケにも行かないのである。"
"108","sakaguchi","ikon.txt","六ツのきびしい視線に対して、返答しなければならないのである。"
"109","sakaguchi","ikon.txt",""
"110","sakaguchi","ikon.txt","「オ代リを下さいませんか」"
"111","sakaguchi","ikon.txt","女たちは何だ、という軽蔑しきった顔をした。"
"112","sakaguchi","ikon.txt","そして、今までよりもケタタマシク額を集めたり、やにわにノケゾッて哄笑したり、傍若無人のフルマイをはねちらすのだ。"
"113","sakaguchi","ikon.txt","その一々が先生に対する軽蔑としか思われず、こんな思いをするぐらいなら、もう一生涯、料理屋の門をくゞるまい。"
"114","sakaguchi","ikon.txt","自分はもう現代の落伍者なのだ、乞食も浮浪児も、配給なしに料理屋の料理を食って暮しているというのに、自分は一体、何者なのだろう。"
"115","sakaguchi","ikon.txt","すべてに見すてられた、という激しい気持にならざるを得ないのである。"
"116","sakaguchi","ikon.txt",""
"117","sakaguchi","ikon.txt","女は再びドンブリを投げすてゝ行った。"
"118","sakaguchi","ikon.txt","その報復として、舌をかみ切って死んで見せることも出来ないばかりか、待ちかねたようにムサボリつく自分の姿のみすぼらしさに、先生は、堪りかねて涙ぐんだ。"
"119","sakaguchi","ikon.txt","幸いコショーがきいてどっちの涙だか分らない様子になることができて、いくらか切なさをまぎらすことができたが、こんな羞しい思いをして再びイクラデスかなどゝ呼びかけるぐらいなら、食い逃げの悪党を気取って、黙って悠々と店を出て、泥棒と呼ぶ三人の女に襟首をつかまえられて、セセラ笑って――それから、どうなるか、どうなってもいゝ、それぐらいの激しい汚辱に立ち向いたい、そこまで空想すると感きわまり、嗚咽をおさえることができなくなった。"
"120","sakaguchi","ikon.txt",""
"121","sakaguchi","ikon.txt","そこへ五人づれの大学生がドヤ／″＼とはいってきた。"
"122","sakaguchi","ikon.txt","それを見ると三人の女はにわかに生き生きと立ち上って、イラッシャイとか、どうしたの、とか、昔の記憶にも確かに在ったと同様のお客と女給の言葉が交換されるのであった。"
"123","sakaguchi","ikon.txt",""
"124","sakaguchi","ikon.txt","先生はそれに就て感傷をめぐらす余裕はなかった。"
"125","sakaguchi","ikon.txt","好機逸すべからず、と立ち上って、オ勘定とよぶ。"
"126","sakaguchi","ikon.txt",""
"127","sakaguchi","ikon.txt","すると女は、先生の方をふりむく時には打って変って怒りの像となり、睨みすくめて、二百円を持ち去り、六十円のオツリを持参して、つき出した。"
"128","sakaguchi","ikon.txt",""
"129","sakaguchi","ikon.txt","女が二百円を握ってふりむいたとき、オツリはいらないよ、などゝそんな言葉を咽喉に出す軽快な早業は有りうる由もないけれども、ふりむいて逃げ去ることはできた筈であった。"
"130","sakaguchi","ikon.txt","然し、思い惑っているうちに、女は戻ってきて、オツリを突き出す。"
"131","sakaguchi","ikon.txt","ソレは、チップです、などと今更云うわけに行かない。"
"132","sakaguchi","ikon.txt",""
"133","sakaguchi","ikon.txt","先生は自分のリンショクに混乱した。"
"134","sakaguchi","ikon.txt","先生は貧しかったが、リンショクだとは思いたくなかったのである。"
"135","sakaguchi","ikon.txt","けれども、現にケチではないか。"
"136","sakaguchi","ikon.txt","もとより意地のわるい彼女らに分らぬ道理はなく、軽蔑しきっているに相違ない。"
"137","sakaguchi","ikon.txt","けれども先生がそのツリを受け取るまでは、思いきって振りむくことによって、チップをはずむチャンスはある筈である。"
"138","sakaguchi","ikon.txt","そのことに気付くと、振りむく代りに、先生の手はワナ／＼ふるえて、お金の方へのびようとする、惜しいのだ。"
"139","sakaguchi","ikon.txt","こゝまできては、ふりむかれぬ。"
"140","sakaguchi","ikon.txt","この期に及んでオツリの中からチップをとりわけて差出すことは益々もって嘲笑されるばかりであるから、もはやヤケクソの意気ごみでオツリを受け取ってしまうと、とたんに、思わず、"
"141","sakaguchi","ikon.txt","「アリガトウ」"
"142","sakaguchi","ikon.txt","と呟いているではないか。"
"143","sakaguchi","ikon.txt","先生は羞しさに失心した。"
"144","sakaguchi","ikon.txt",""
"145","sakaguchi","ikon.txt","先生はフラフラと街を泳ぎ、電柱を見れば、電柱に頭を打ち砕いて死にたいと思い、そのくせ夢中に自転車をよけているアサマシサに恥の限りを感じた。"
"146","sakaguchi","ikon.txt",""
