"","auth","piece","line"
"0","sakaguchi","ikuji.txt","育児"
"1","sakaguchi","ikuji.txt","坂口安吾"
"2","sakaguchi","ikuji.txt",""
"3","sakaguchi","ikuji.txt","五十ちかい年で初子が生れると、てれたり、とまどったりするばかりで育児については無能である。"
"4","sakaguchi","ikuji.txt","いまもって子の抱き方も知らないが、たまに父が子を抱いたり世話したり母のしてやるようなことをすると、たいそう喜ぶものである。"
"5","sakaguchi","ikuji.txt","別にしつけらしいことはしないが、父のすることをまねながら自然に育つものらしい。"
"6","sakaguchi","ikuji.txt","私のしてやることといえば毎日何か食べさせて時々オナカを悪くさせることぐらいで、女房にたしなめられるばかりだが、オッパイのある母親とちがって、父の愛情の表現は何かうまそうな物を食べさせてやるくらいしかないことを母は理解してくれない。"
"7","sakaguchi","ikuji.txt",""
"8","sakaguchi","ikuji.txt","そして母親は本能的に子供の独占慾が旺盛であるが、結局その方が無能な父には手が省けるので、専ら母の独占慾にまかせている。"
"9","sakaguchi","ikuji.txt",""
"10","sakaguchi","ikuji.txt",""
"11","sakaguchi","ikuji.txt",""
"12","sakaguchi","ikuji.txt",""
"13","sakaguchi","ikuji.txt","底本：「坂口安吾全集15」筑摩書房"
"14","sakaguchi","ikuji.txt","1999（平成11）年10月20日初版第1刷発行"
"15","sakaguchi","ikuji.txt","底本の親本：「婦人公論」"
"16","sakaguchi","ikuji.txt","1955（昭和30）年4月1日発行"
"17","sakaguchi","ikuji.txt","初出：「婦人公論」"
"18","sakaguchi","ikuji.txt","1955（昭和30）年4月1日発行"
"19","sakaguchi","ikuji.txt","入力：tatsuki"
"20","sakaguchi","ikuji.txt","校正：noriko saito"
"21","sakaguchi","ikuji.txt","2009年8月23日作成"
"22","sakaguchi","ikuji.txt","青空文庫作成ファイル："
"23","sakaguchi","ikuji.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"24","sakaguchi","ikuji.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"25","sakaguchi","ikuji.txt",""
