"","auth","piece","line"
"0","sakaguchi","iyokuteki_sosaku_bunsho.txt","意慾的創作文章の形式と方法"
"1","sakaguchi","iyokuteki_sosaku_bunsho.txt","坂口安吾"
"2","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"3","sakaguchi","iyokuteki_sosaku_bunsho.txt","-------------------------------------------------------"
"4","sakaguchi","iyokuteki_sosaku_bunsho.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"6","sakaguchi","iyokuteki_sosaku_bunsho.txt","《》：ルビ"
"7","sakaguchi","iyokuteki_sosaku_bunsho.txt","（例）勿論"
"8","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"9","sakaguchi","iyokuteki_sosaku_bunsho.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","iyokuteki_sosaku_bunsho.txt","（例）一見｜奇矯"
"11","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"12","sakaguchi","iyokuteki_sosaku_bunsho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","iyokuteki_sosaku_bunsho.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","sakaguchi","iyokuteki_sosaku_bunsho.txt","（例）※"
"15","sakaguchi","iyokuteki_sosaku_bunsho.txt","-------------------------------------------------------"
"16","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"17","sakaguchi","iyokuteki_sosaku_bunsho.txt","一"
"18","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"19","sakaguchi","iyokuteki_sosaku_bunsho.txt","小説の文章を他の文章から区別する特徴は、小説のもつ独特の文章ではない。"
"20","sakaguchi","iyokuteki_sosaku_bunsho.txt","なぜなら小説に独特な文章というものは存在しないからである。"
"21","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"22","sakaguchi","iyokuteki_sosaku_bunsho.txt","「雨が降った」ことを「雨が降った」と表わすことは我々の日常の言葉も小説も同じことで、「悲しい雨が降った」なぞということが小説の文章ではない。"
"23","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"24","sakaguchi","iyokuteki_sosaku_bunsho.txt","勿論雨が「激しく」降ったとか「ポツポツ」降ったとか言わなければならない時もある。"
"25","sakaguchi","iyokuteki_sosaku_bunsho.txt","併し小説の場合には、雨の降ったことが独立して意味を持つことはまず絶対にないのであって、何よりも大切なことは、小説全体の効果から考えて雨の降ったことを書く必要があったか、なかったか、ということである。"
"26","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"27","sakaguchi","iyokuteki_sosaku_bunsho.txt","小説の文章は必要以外のことを書いてはならない。"
"28","sakaguchi","iyokuteki_sosaku_bunsho.txt","それは無用を通りこして小説を殺してしまうからである。"
"29","sakaguchi","iyokuteki_sosaku_bunsho.txt","そして、必要の事柄のみを選定するところに小説の文章の第一の鍵がある。"
"30","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"31","sakaguchi","iyokuteki_sosaku_bunsho.txt","即ち小説の文章は、表現された文章よりもその文章をあやつる作者の意慾により以上重大な秘密がある。"
"32","sakaguchi","iyokuteki_sosaku_bunsho.txt","作家の意慾は表面の文章に働く前に、その取捨選択に働くことが更に重大なのだ。"
"33","sakaguchi","iyokuteki_sosaku_bunsho.txt","小説の文章は創作にも批判にも先ず第一に此の隠れた意慾に目を据えなければならない。"
"34","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"35","sakaguchi","iyokuteki_sosaku_bunsho.txt","愚劣な小説ほど浅薄な根柢から取捨選択され一のことに十の紙数を費すに拘らず、なお一の核心を言い得ないものである。"
"36","sakaguchi","iyokuteki_sosaku_bunsho.txt","それにひきかえ傑作の文章は高い精神によって深い根柢から言い当てられたもので、常にそれなくしてはありえなかったものである。"
"37","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"38","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"39","sakaguchi","iyokuteki_sosaku_bunsho.txt","二"
"40","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"41","sakaguchi","iyokuteki_sosaku_bunsho.txt","前述のように、まず意慾が働いてのち、つづいて表現が問題となる。"
"42","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"43","sakaguchi","iyokuteki_sosaku_bunsho.txt","一般の文章ならば、最も適切に分り易く表わすことが表現の要諦である。"
"44","sakaguchi","iyokuteki_sosaku_bunsho.txt","この点小説の文章も変りはない。"
"45","sakaguchi","iyokuteki_sosaku_bunsho.txt","併しながら小説には更に別の重大な要求があるために、必ずしも適切に分り易くのみ書くわけにいかない。"
"46","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"47","sakaguchi","iyokuteki_sosaku_bunsho.txt","即ち、作家はＡなる一文章を表現するに当って、Ａを表現する意慾と同時に、小説全体の表現に就ての意慾に動かされている。"
"48","sakaguchi","iyokuteki_sosaku_bunsho.txt","Ａに働く意慾は当面の意慾には違いないが、実は小説全体に働く意慾の支流のようなものである。"
"49","sakaguchi","iyokuteki_sosaku_bunsho.txt","従而、Ａなる文章はＡとして存在すると同時に、小説全体のための効果からＡとして存在する必要にせまられる。"
"50","sakaguchi","iyokuteki_sosaku_bunsho.txt","つまりＡとして直接の効果をねらうと共に、Ａとして間接の効果をねらっている。"
"51","sakaguchi","iyokuteki_sosaku_bunsho.txt","のみならず、単に間接の効果のためにのみ書かれる文章もあるのである。"
"52","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"53","sakaguchi","iyokuteki_sosaku_bunsho.txt","そのために、文章を故意に歪めること、重複すること、略すこと、誇張すること、さらには、ある意図のもとに故意に無駄をすることさえ必要となってくる。"
"54","sakaguchi","iyokuteki_sosaku_bunsho.txt","ことに近代文学に於て、文学が知性的になり、探求の精神が働くに順い、こういう歪められた文章も時には絶対に必要とされる場合も起るのである。"
"55","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"56","sakaguchi","iyokuteki_sosaku_bunsho.txt","併し文章を故意に晦渋にするのも、畢竟するに、文章を晦渋にしたために小説の効果をあげ、ひいては小説全体として逆に明快簡潔ならしめうるからに他ならない。"
"57","sakaguchi","iyokuteki_sosaku_bunsho.txt","単に晦渋のために晦渋を選ぶことではないのである。"
"58","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"59","sakaguchi","iyokuteki_sosaku_bunsho.txt","要するに小説は明快適切でなければならないものであるが、小説の主体を明快適切ならしめるためには、時として各個の文章は晦渋化を必要されることもありうるのだ。"
"60","sakaguchi","iyokuteki_sosaku_bunsho.txt","そして描写に故意の歪みを要するところに――換言すれば、ある角度を通して眺め、表わすところに――小説の文章の特殊性もあるのである。"
"61","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"62","sakaguchi","iyokuteki_sosaku_bunsho.txt","なぜなら、小説は事体をありのままに説明することではない。"
"63","sakaguchi","iyokuteki_sosaku_bunsho.txt","小説は描かれた作品のほかに別の実体があるわけのものではない。"
"64","sakaguchi","iyokuteki_sosaku_bunsho.txt","小説はそれ自体が創造された実体だからである。"
"65","sakaguchi","iyokuteki_sosaku_bunsho.txt","そこから小説の文章の特殊性も生まれてくる。"
"66","sakaguchi","iyokuteki_sosaku_bunsho.txt","次にそのことを詳述しよう。"
"67","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"68","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"69","sakaguchi","iyokuteki_sosaku_bunsho.txt","三"
"70","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"71","sakaguchi","iyokuteki_sosaku_bunsho.txt","我々の平素の言葉は「代用」の具に供されるものである。"
"72","sakaguchi","iyokuteki_sosaku_bunsho.txt","かりに我々が一つの風景を人に伝えようとする。"
"73","sakaguchi","iyokuteki_sosaku_bunsho.txt","本来ならその風景を目のあたり見せるに越したことはないが、その便利がないために言葉をかりて説明するものである。"
"74","sakaguchi","iyokuteki_sosaku_bunsho.txt","従而、言葉を代用して説明するよりも、一葉の写真を示す方が一層適切であろうし、出来うべくんば実際の風景を観賞せしめるに越したことはない。"
"75","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"76","sakaguchi","iyokuteki_sosaku_bunsho.txt","だが、このような説明がいかほど真にせまり、かつ美辞麗句をもって綴られるにせよ、これを芸術と呼ぶことはできない。"
"77","sakaguchi","iyokuteki_sosaku_bunsho.txt","なぜなら実物を見せる方がより本物だからである。"
"78","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"79","sakaguchi","iyokuteki_sosaku_bunsho.txt","芸術は、描かれたものの他に別の実物があってはならない。"
"80","sakaguchi","iyokuteki_sosaku_bunsho.txt","芸術は創造だから。"
"81","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"82","sakaguchi","iyokuteki_sosaku_bunsho.txt","単に現実をありのまま描くことなら、風景の描写には一葉の写真をはさみ、音の描写には音譜をはさむことが適切であろうが、それにせよ現実そのものの前では全く意味をなさない死物と化すの他はない。"
"83","sakaguchi","iyokuteki_sosaku_bunsho.txt","芸術の上では、写実といえども決して現実をありのままに写すことではないのである。"
"84","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"85","sakaguchi","iyokuteki_sosaku_bunsho.txt","偉大な写実家は偉大な幻想家でなければならないとモオパッサンはその小説論に言っている。"
"86","sakaguchi","iyokuteki_sosaku_bunsho.txt","一見｜奇矯なこの言葉も、実は極めて当然な次の理由によるのである。"
"87","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"88","sakaguchi","iyokuteki_sosaku_bunsho.txt","作家が全てを語ることは不可能である。"
"89","sakaguchi","iyokuteki_sosaku_bunsho.txt","我々の生活を満している無数のつまらぬ出来事を一々列挙するとせば、毎日少くも一巻を要すであろう。"
"90","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"91","sakaguchi","iyokuteki_sosaku_bunsho.txt","そこで選択が必要となる。"
"92","sakaguchi","iyokuteki_sosaku_bunsho.txt","そして、これだけの理由でも「全き真実」「全き写真」ということは意味をなさなくなるのである。"
"93","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"94","sakaguchi","iyokuteki_sosaku_bunsho.txt","それゆえ最も完全な写実主義者ですら彼が芸術家である限り、人生の写真を我々に示そうとはしないで、現実そのものよりももっと完全な、もっと迫るような、もっと納得の出来るような人生の幻影を我々に与えるように努めるであろう。"
"95","sakaguchi","iyokuteki_sosaku_bunsho.txt","つまり完全な幻影を与えることこそ勝れた写実家の仕事なのだ。"
"96","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"97","sakaguchi","iyokuteki_sosaku_bunsho.txt","のみならず、世に現実が実在すると信ずることは間違いである。"
"98","sakaguchi","iyokuteki_sosaku_bunsho.txt","なぜなら各人の感覚も理性も同一のものを同一に受け納れはしないから。"
"99","sakaguchi","iyokuteki_sosaku_bunsho.txt","Ａにとって美であるものがＢにとって醜であることは常にありうることだ。"
"100","sakaguchi","iyokuteki_sosaku_bunsho.txt","その意味では各人にめいめいの真実があるわけだが、不変の現実というものはない。"
"101","sakaguchi","iyokuteki_sosaku_bunsho.txt","即ち我々はめいめい自分の幻像を持っているのである。"
"102","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
"103","sakaguchi","iyokuteki_sosaku_bunsho.txt","そして芸術家とは、彼が学んだそして自由に駆使することのできる芸術上のあらゆる手法をもって、この幻影を再現する人である。"
"104","sakaguchi","iyokuteki_sosaku_bunsho.txt","けれども、Ａの幻影がＢに納得されるには甚しい困難がある。"
"105","sakaguchi","iyokuteki_sosaku_bunsho.txt","単なる説明や一人合点の誇張では不可能である。"
"106","sakaguchi","iyokuteki_sosaku_bunsho.txt","そこに芸術の甚だ困難な技術がいる。"
"107","sakaguchi","iyokuteki_sosaku_bunsho.txt","つまり芸術家とは自己の幻影を他人に強うることのできる人である。"
"108","sakaguchi","iyokuteki_sosaku_bunsho.txt",""
