"","auth","piece","line"
"0","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","意慾的創作文章の形式と方法"
"1","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","坂口安吾"
"2","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"3","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","-------------------------------------------------------"
"4","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"6","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","《》：ルビ"
"7","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","（例）併し"
"8","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"9","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","（例）｜前後の文章"
"11","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"12","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","（例）※"
"15","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","-------------------------------------------------------"
"16","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"17","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","一"
"18","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt",""
"19","sakaguchi","iyokuteki_sosaku_bunshono_keishiki.txt","小説の文章を他の文章から区別する特徴は、小説のもつ独特の文章ではない。"
