"","auth","piece","line"
"0","sakaguchi","izakayano_seijin.txt","居酒屋の聖人"
"1","sakaguchi","izakayano_seijin.txt","坂口安吾"
"2","sakaguchi","izakayano_seijin.txt",""
"3","sakaguchi","izakayano_seijin.txt","-------------------------------------------------------"
"4","sakaguchi","izakayano_seijin.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","izakayano_seijin.txt",""
"6","sakaguchi","izakayano_seijin.txt","《》：ルビ"
"7","sakaguchi","izakayano_seijin.txt","（例）我孫子"
"8","sakaguchi","izakayano_seijin.txt",""
"9","sakaguchi","izakayano_seijin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","izakayano_seijin.txt","（例）各々｜宿酔の"
"11","sakaguchi","izakayano_seijin.txt",""
"12","sakaguchi","izakayano_seijin.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","izakayano_seijin.txt","（例）つく／″＼"
"14","sakaguchi","izakayano_seijin.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"15","sakaguchi","izakayano_seijin.txt","-------------------------------------------------------"
"16","sakaguchi","izakayano_seijin.txt",""
"17","sakaguchi","izakayano_seijin.txt","我孫子から利根川をひとつ越すと、こゝはもう茨城県で、上野から五十六分しかかゝらぬのだが、取手といふ町がある。"
"18","sakaguchi","izakayano_seijin.txt","昔は利根川の渡しがあつて、水戸様の御本陣など残つてゐる宿場町だが、今は御大師の参詣人と鮒釣りの人以外には衆人の立寄らぬ所である。"
"19","sakaguchi","izakayano_seijin.txt",""
"20","sakaguchi","izakayano_seijin.txt","この町では酒屋が居酒屋で、コップ酒を飲ませ、之れを『トンパチ』とよぶのである。"
"21","sakaguchi","izakayano_seijin.txt","酒屋の親爺の説によると『当八』の意で、一升の酒でコップに八杯しかとれぬ。"
"22","sakaguchi","izakayano_seijin.txt","つまり、一合以上並々とあつて盛りがいゝといふ意味ださうだ。"
"23","sakaguchi","izakayano_seijin.txt","コップ一杯十四銭位から十八九銭のところを上下してゐて、仕入れの値段で毎日のやうに変つてゐる。"
"24","sakaguchi","izakayano_seijin.txt","ひどく律儀な値段であるが、東京から出掛けてくる僕の友達は大概眼をつぶつたり息を殺したりして飲むやうな酒であつた。"
"25","sakaguchi","izakayano_seijin.txt","僕は愛用してゐた。"
"26","sakaguchi","izakayano_seijin.txt",""
"27","sakaguchi","izakayano_seijin.txt","トンパチ屋の常連は、近所の百姓と工場の労務者達であつたが、百姓の酔態といふものは僕の想像を絶してゐた。"
"28","sakaguchi","izakayano_seijin.txt","僕自身もさうであるが、東京のオデンヤの酔つ払ひといふものは、各々自分の職域に於て気焔をあげるものである。"
"29","sakaguchi","izakayano_seijin.txt","ところが、百姓達は、俺のうちの茄子は隣の茄子より立派だとか、俺は日本一のジャガ芋作りだとか、決して、かういふ自慢話はしないのである。"
"30","sakaguchi","izakayano_seijin.txt","自分の職域に関する気焔は一切あげない。"
"31","sakaguchi","izakayano_seijin.txt","さうして、酔つ払ふと、まづ腕をまくりあげ、近衛をよんでこい、とか、総理大臣は何をしとる、とか、俺を総理大臣にしてみろ、とか、大概言ふことが極つてゐる、忽ち三人ぐらゐ総理大臣が出来上つて、各々当るべからざる気焔をあげ、政策が衝突して立廻りに及んだり、和睦して協力内閣が出来上つたり、とにかくトンパチ屋といふものは議会の食堂みたいなものだ。"
"32","sakaguchi","izakayano_seijin.txt",""
"33","sakaguchi","izakayano_seijin.txt","浅間山中の奈良原といふ鉱泉に一夏暮らして毎日村の（といつても十五軒しか家がない）人達とコップ酒を飲んでゐた時にも、やつぱりかういふ気焔をあげる人達であつた。"
"34","sakaguchi","izakayano_seijin.txt","中に一人、一向に野良へ出ない親爺があつた。"
"35","sakaguchi","izakayano_seijin.txt","この親爺は野良へ出る代りに毎日昆虫網を担いで山中をさまよつてゐる。"
"36","sakaguchi","izakayano_seijin.txt","烏アゲハを探してゐるのだ。"
"37","sakaguchi","izakayano_seijin.txt","この辺は昆虫採集家の往来する所で、さういふ一人がこの親爺に向つて、アゲハは三百円もするといふ耳よりな話を吹きこんで行つたのである。"
"38","sakaguchi","izakayano_seijin.txt","その時以来この親爺は野良の仕事をやめてしまつた。"
"39","sakaguchi","izakayano_seijin.txt","尤も、烏アゲハを三百円の金に代へたといふ話もきいたことがない。"
"40","sakaguchi","izakayano_seijin.txt","けれども彼は悠々と毎日昆虫網を担いで森林を散策してゐるのである。"
"41","sakaguchi","izakayano_seijin.txt",""
"42","sakaguchi","izakayano_seijin.txt","僕も少し気になつたので、東京の牧野信一へ手紙を出して、烏アゲハが三百円もするかどうか尋ねてみた。"
"43","sakaguchi","izakayano_seijin.txt","牧野信一は二十年も昆虫を採集してゐて、僕もお供を仰せつかつて小田原山中アゲハを追ひ廻したことなどもあつたからである。"
"44","sakaguchi","izakayano_seijin.txt","折返し返事が来て、烏アゲハはたしかに値段のある昆虫だけれども、神田辺で売つてゐる標本は三円ぐらゐだつたと記憶してゐるといふ文面だつた。"
"45","sakaguchi","izakayano_seijin.txt",""
"46","sakaguchi","izakayano_seijin.txt","ある晩、奈良原部落の全住民集つて大宴会がひらかれたが、その晩、昆虫親爺の乱酔たるや甚だしく、総理大臣を飛び越して、俺は奈良原の王様だと威張りだした。"
