"","auth","piece","line"
"0","sakaguchi","jakyo_mondo.txt","邪教問答"
"1","sakaguchi","jakyo_mondo.txt","坂口安吾"
"2","sakaguchi","jakyo_mondo.txt",""
"3","sakaguchi","jakyo_mondo.txt","-------------------------------------------------------"
"4","sakaguchi","jakyo_mondo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","jakyo_mondo.txt",""
"6","sakaguchi","jakyo_mondo.txt","《》：ルビ"
"7","sakaguchi","jakyo_mondo.txt","（例）璽光"
"8","sakaguchi","jakyo_mondo.txt","-------------------------------------------------------"
"9","sakaguchi","jakyo_mondo.txt",""
"10","sakaguchi","jakyo_mondo.txt","璽光様の話がでるとみんなが笑う。"
"11","sakaguchi","jakyo_mondo.txt","双葉山が小娘の指一本でひっくりかえったり、世直しの後には璽光内閣の厚生大臣であったり、京浜地方へ落ちるはずの神罰大天災が一向に起らなかったり、愛きょうがある。"
"12","sakaguchi","jakyo_mondo.txt",""
"13","sakaguchi","jakyo_mondo.txt","けれども璽光様ははじめから邪教の様式で登場したからお笑い草ですんでいるだけのことで、人ごとではない、璽光様はわれわれの心に住んでいるのである。"
"14","sakaguchi","jakyo_mondo.txt",""
"15","sakaguchi","jakyo_mondo.txt","大東亜戦争という、これが璽光様にほかならないではないか。"
"16","sakaguchi","jakyo_mondo.txt","八紘一宇という、科学的な推論じゃなしに、神話の中から民族の理想と予言をひきだしてくる、何々教のお筆先、璽光様の世直しの御理想と全然異るところがないじゃないか。"
"17","sakaguchi","jakyo_mondo.txt",""
"18","sakaguchi","jakyo_mondo.txt","璽光様が当局の呼び出しを受けたというので双葉関や呉八段が天璽照妙、隊をねって歩いたという。"
"19","sakaguchi","jakyo_mondo.txt","けれども戦争中の日本人は国民儀礼と称する奇々怪々なオツトメをやらされ、朝々ノリトのような誓いの言葉を唱え、その滑稽の度において天璽照妙と全く甲乙のないことをやっていたのである。"
"20","sakaguchi","jakyo_mondo.txt",""
"21","sakaguchi","jakyo_mondo.txt","何百人の人々が一夜に家を失ったときも、明治神宮の拝殿だけは一週間ぐらいで再建する、国民共は米も魚も拝んだことがないのに、農村から敬々しく献上米が殺到する、これ皆々今日璽光様の身辺に行われていることゝ変りはない。"
"22","sakaguchi","jakyo_mondo.txt",""
"23","sakaguchi","jakyo_mondo.txt","つまり日本全体が八紘一宇教という邪教徒であったわけで、教祖の東条尊者と璽光様も殆んど甲乙はない。"
