"","auth","piece","line"
"0","sakaguchi","kamisamao_undahitobito.txt","神サマを生んだ人々"
"1","sakaguchi","kamisamao_undahitobito.txt","坂口安吾"
"2","sakaguchi","kamisamao_undahitobito.txt",""
"3","sakaguchi","kamisamao_undahitobito.txt","-------------------------------------------------------"
"4","sakaguchi","kamisamao_undahitobito.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kamisamao_undahitobito.txt",""
"6","sakaguchi","kamisamao_undahitobito.txt","《》：ルビ"
"7","sakaguchi","kamisamao_undahitobito.txt","（例）大巻"
"8","sakaguchi","kamisamao_undahitobito.txt",""
"9","sakaguchi","kamisamao_undahitobito.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","kamisamao_undahitobito.txt","（例）キュッ／＼"
"11","sakaguchi","kamisamao_undahitobito.txt","-------------------------------------------------------"
"12","sakaguchi","kamisamao_undahitobito.txt",""
"13","sakaguchi","kamisamao_undahitobito.txt","二号の客引き"
"14","sakaguchi","kamisamao_undahitobito.txt",""
"15","sakaguchi","kamisamao_undahitobito.txt","大巻博士が途方にくれながら温泉都市の海岸通りを歩いていると、ポンと背中をたたいた者がある。"
"16","sakaguchi","kamisamao_undahitobito.txt",""
"17","sakaguchi","kamisamao_undahitobito.txt","「大巻先生じゃありませんか」"
"18","sakaguchi","kamisamao_undahitobito.txt","振向いてみると、五十がらみの宗匠然とした渋いミナリの人物。"
"19","sakaguchi","kamisamao_undahitobito.txt","見たような顔だ。"
"20","sakaguchi","kamisamao_undahitobito.txt",""
"21","sakaguchi","kamisamao_undahitobito.txt","「どなたでしたかな？」"
"22","sakaguchi","kamisamao_undahitobito.txt","「芝の安福軒ですよ。"
"23","sakaguchi","kamisamao_undahitobito.txt","それ、戦前まで先生の三軒向う隣りの万国料理安福軒。"
"24","sakaguchi","kamisamao_undahitobito.txt","思いだしたでしょう。"
"25","sakaguchi","kamisamao_undahitobito.txt","終戦後はこの温泉場でその名も同じ安福軒をやっております」"
"26","sakaguchi","kamisamao_undahitobito.txt","「すると、君はこの温泉の住人ですか」"
"27","sakaguchi","kamisamao_undahitobito.txt","「そうですとも。"
"28","sakaguchi","kamisamao_undahitobito.txt","当温泉の新名物、万国料理安福軒」"
"29","sakaguchi","kamisamao_undahitobito.txt","「ありがたい！」"
"30","sakaguchi","kamisamao_undahitobito.txt","大巻先生が感きわまって叫んだから、安福軒は呆れ顔、まさかこの先生二三日食う物も食わずにいるわけではあるまいがと考えた。"
"31","sakaguchi","kamisamao_undahitobito.txt",""
"32","sakaguchi","kamisamao_undahitobito.txt","「当温泉はアベックの好適地、また心中の名所ですが、まさか先生、生き残りの片割れではありますまいな」"
"33","sakaguchi","kamisamao_undahitobito.txt","「ヤ。"
"34","sakaguchi","kamisamao_undahitobito.txt","そう見えるのも無理がない。"
"35","sakaguchi","kamisamao_undahitobito.txt","実は当温泉居住の文士川野水太郎君を訪ねてきたのだが、あいにく同君夫妻は旅行中。"
"36","sakaguchi","kamisamao_undahitobito.txt","このまま帰るのも残念だから久々に一夜温泉につかってノンビリしようと志したところが、今日は土曜日で全市に空室が一ツもないという返事じゃないか」"
"37","sakaguchi","kamisamao_undahitobito.txt","「なるほど。"
"38","sakaguchi","kamisamao_undahitobito.txt","わかりました。"
"39","sakaguchi","kamisamao_undahitobito.txt","では御案内いたしましょう」"
"40","sakaguchi","kamisamao_undahitobito.txt","「キミ、ホントですか。"
"41","sakaguchi","kamisamao_undahitobito.txt","まさかパンパン宿ではあるまいね」"
"42","sakaguchi","kamisamao_undahitobito.txt","「とんでもない。"
"43","sakaguchi","kamisamao_undahitobito.txt","全市にこれ一軒という飛び切りの静寂境です。"
"44","sakaguchi","kamisamao_undahitobito.txt","そこを独占なさることができます。"
"45","sakaguchi","kamisamao_undahitobito.txt","お値段は普通旅館なみ。"
