"","auth","piece","line"
"0","sakaguchi","kannenteki_sonota.txt","観念的その他"
"1","sakaguchi","kannenteki_sonota.txt","坂口安吾"
"2","sakaguchi","kannenteki_sonota.txt",""
"3","sakaguchi","kannenteki_sonota.txt","-------------------------------------------------------"
"4","sakaguchi","kannenteki_sonota.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kannenteki_sonota.txt",""
"6","sakaguchi","kannenteki_sonota.txt","《》：ルビ"
"7","sakaguchi","kannenteki_sonota.txt","（例）亦"
"8","sakaguchi","kannenteki_sonota.txt","-------------------------------------------------------"
"9","sakaguchi","kannenteki_sonota.txt",""
"10","sakaguchi","kannenteki_sonota.txt","私の小説が観念的だといふのは批評家の極り文句だけれども、私の方から言ふと、日本の小説が観念的でなさすぎる。"
"11","sakaguchi","kannenteki_sonota.txt",""
"12","sakaguchi","kannenteki_sonota.txt","小説が観念的でなければならぬといふ筈はないけれども、日本人の生活には観念の生活が不足だと思はれる。"
"13","sakaguchi","kannenteki_sonota.txt","観念も亦実際の生活で食慾色慾物慾、観念なしにそれらのものが野放しにされてゐるやうな生活は、その方が実在するものではない。"
"14","sakaguchi","kannenteki_sonota.txt",""
"15","sakaguchi","kannenteki_sonota.txt","我々の思想生活といふものは観念によるもので、小説が「観念的」でなくてよい、といふ場合は、観念生活のあげく観念によつて観念をはぎとることができた時にのみ意味をもつものだと私は思ふ。"
"16","sakaguchi","kannenteki_sonota.txt","したがつて、この意味の「観念的でない」ことは観念によつてさうなつたといふことであり、私がサルトルの「水いらず」に感心したのはその点で、フランスの恋愛小説の歴史に於ては最後の役割（現在までの。"
"17","sakaguchi","kannenteki_sonota.txt","これからは更に又進歩の歴史はつゞくであらう）を果したものであつたと思ふ。"
"18","sakaguchi","kannenteki_sonota.txt",""
"19","sakaguchi","kannenteki_sonota.txt","このことは又、別の意味にサルトルを解する手段ともなる。"
"20","sakaguchi","kannenteki_sonota.txt","フランスの恋愛小説を歴史的に見た時には新しい手法としての意味があるが、それは一つの手法としてのことであつて、手法を差引いて何が残るか、これは疑問だ。"
"21","sakaguchi","kannenteki_sonota.txt",""
"22","sakaguchi","kannenteki_sonota.txt","サルトルの生に対する消極的態度からは、私は一流の文学は生れる筈はないと信ずるもので、さういふ意味では、文学はともかく生存の讃歌、生存自体を全的に肯定し、慾念を積極的に有用善意の実用品にしようとする人生加工の態度なしに、文学の偉大なる意味は有り得ない。"
"23","sakaguchi","kannenteki_sonota.txt",""
"24","sakaguchi","kannenteki_sonota.txt","サルトルが共産党員だなどゝいふのでサルトルの文学に文学以外の読み方をする日本の批評家の精神的貧困は哀れビン然たるもので、彼の文学は凡そ共産党などゝいふものではなく、非常に安易な絶望、非常に安易な欲望の否定で、あはれむべきオプチミストであるにすぎない。"
"25","sakaguchi","kannenteki_sonota.txt","彼がアナーキストだといふなら話は分るが、共産党員とは、さういふ政治的救済を信じて、あの小説を書いてゐるとは、デタラメ千万、いゝ加減な話である。"
"26","sakaguchi","kannenteki_sonota.txt",""
"27","sakaguchi","kannenteki_sonota.txt","然し彼はいはゞ小説家ではないのだらう。"
"28","sakaguchi","kannenteki_sonota.txt","小説といふものを、何を書くか、書き唄はずにゐられない性質の天来の作家ではなく、小説を手法的に探し、新手法といふものに照し合せて小説らしきものをデッチあげてゐる、だから手法的にはフランス恋愛小説史に歴史的な意味があつても、文学としては低い。"
"29","sakaguchi","kannenteki_sonota.txt",""
"30","sakaguchi","kannenteki_sonota.txt","小説を手法的に理解し、小説作り方といふやうなものに照合して綴り合はせてゐる一人にアンドレ・ジッドがゐるが、さういふ職人としてはジッドの方が技がうまくて、ちよつと本当の文学と区別つきかねるところもある。"
"31","sakaguchi","kannenteki_sonota.txt","私はジッドでは「オスカワイルドの思ひ出」だけが大傑作だと思つてゐる。"
"32","sakaguchi","kannenteki_sonota.txt",""
"33","sakaguchi","kannenteki_sonota.txt",""
"34","sakaguchi","kannenteki_sonota.txt",""
"35","sakaguchi","kannenteki_sonota.txt",""
"36","sakaguchi","kannenteki_sonota.txt","底本：「坂口安吾全集05」筑摩書房"
"37","sakaguchi","kannenteki_sonota.txt","1998（平成10）年6月20日初版第1刷発行"
"38","sakaguchi","kannenteki_sonota.txt","底本の親本：「文学界第一巻第二号」"
"39","sakaguchi","kannenteki_sonota.txt","1947（昭和22）年7月25日発行"
"40","sakaguchi","kannenteki_sonota.txt","初出：「文学界第一巻第二号」"
"41","sakaguchi","kannenteki_sonota.txt","1947（昭和22）年7月25日発行"
"42","sakaguchi","kannenteki_sonota.txt","入力：tatsuki"
"43","sakaguchi","kannenteki_sonota.txt","校正：藤原朔也"
"44","sakaguchi","kannenteki_sonota.txt","2008年4月15日作成"
"45","sakaguchi","kannenteki_sonota.txt","青空文庫作成ファイル："
"46","sakaguchi","kannenteki_sonota.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"47","sakaguchi","kannenteki_sonota.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"48","sakaguchi","kannenteki_sonota.txt",""
