"","auth","piece","line"
"0","sakaguchi","kanzan.txt","閑山"
"1","sakaguchi","kanzan.txt","坂口安吾"
"2","sakaguchi","kanzan.txt",""
"3","sakaguchi","kanzan.txt","-------------------------------------------------------"
"4","sakaguchi","kanzan.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kanzan.txt",""
"6","sakaguchi","kanzan.txt","《》：ルビ"
"7","sakaguchi","kanzan.txt","（例）愛づるまま"
"8","sakaguchi","kanzan.txt",""
"9","sakaguchi","kanzan.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","kanzan.txt","（例）一生｜不犯の"
"11","sakaguchi","kanzan.txt",""
"12","sakaguchi","kanzan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","kanzan.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","sakaguchi","kanzan.txt","（例）※酒糟"
"15","sakaguchi","kanzan.txt",""
"16","sakaguchi","kanzan.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","kanzan.txt","（例）きり／＼と"
"18","sakaguchi","kanzan.txt","-------------------------------------------------------"
"19","sakaguchi","kanzan.txt",""
"20","sakaguchi","kanzan.txt","昔、越後之国魚沼の僻地に、閑山寺の六袋和尚といつて近隣に徳望高い老僧があつた。"
"21","sakaguchi","kanzan.txt",""
"22","sakaguchi","kanzan.txt","初冬の深更のこと、雪明りを愛づるまま写経に時を忘れてゐると、窓外から毛の生えた手を差しのべて顔をなでるものがあつた。"
"23","sakaguchi","kanzan.txt","和尚は朱筆に持ちかへて、その掌に花の字を書きつけ、あとは余念もなく再び写経に没頭した。"
"24","sakaguchi","kanzan.txt",""
"25","sakaguchi","kanzan.txt","明方ちかく、窓外から、頻りに泣き叫ぶ声が起つた。"
"26","sakaguchi","kanzan.txt","やがて先ほどの手を再び差しのべる者があり、声が言ふには「和尚さま。"
"27","sakaguchi","kanzan.txt","誤つて有徳の沙門を嬲り、お書きなさいました文字の重さに、帰る道が歩けませぬ。"
"28","sakaguchi","kanzan.txt","不愍と思ひ、文字を落して下さりませ」見れば一匹の狸であつた。"
"29","sakaguchi","kanzan.txt","硯の水を筆にしめして、掌の文字を洗つてやると、雪上の陰間を縫ひ、闇の奥へ消え去つた。"
"30","sakaguchi","kanzan.txt",""
"31","sakaguchi","kanzan.txt","翌晩、坊舎の窓を叩き、訪ふ声がした。"
"32","sakaguchi","kanzan.txt","雨戸を開けると、昨夜の狸が手に栂の小枝をたづさへ、それを室内へ投げ入れて、逃げ去つた。"
"33","sakaguchi","kanzan.txt",""
"34","sakaguchi","kanzan.txt","その後、夜毎に、季節の木草をたづさへて、窓を訪れる習ひとなつた。"
"35","sakaguchi","kanzan.txt","追々昵懇を重ねて心置きなく物を言ふ間柄となるうちに、独居の和尚の不便を案じて、なにくれと小用に立働くやうになり、いつとなくその高風に感じ入つて自ら小坊主に姿を変へ、側近に仕へることとなつた。"
"36","sakaguchi","kanzan.txt",""
"37","sakaguchi","kanzan.txt","この狸は通称を団九郎と云ひ、眷族では名の知れた一匹であつたさうな。"
"38","sakaguchi","kanzan.txt","ほどなく経文を暗んじて諷経に唱和し、また作法を覚えて朝夜の坐禅に加はり、敢て三十棒を怖れなかつた。"
"39","sakaguchi","kanzan.txt",""
"40","sakaguchi","kanzan.txt","六袋和尚は和歌俳諧をよくし、又、折にふれて仏像、菩薩像、羅漢像等を刻んだ。"
"41","sakaguchi","kanzan.txt","その羅漢像、居士像等には狗狸に類似の面相もあつたといふが、恐らく偶然の所産であつて、団九郎に関係はなかつたのだらう。"
"42","sakaguchi","kanzan.txt",""
"43","sakaguchi","kanzan.txt","いつとなく、団九郎も彫像の三昧を知つた。"
"44","sakaguchi","kanzan.txt","木材をさがしもとめ、和尚の熟睡をまつて庫裏の一隅に胡座し、鑿を揮ひはじめてのちには、雑念を離れ、屡々夜の白むのも忘れてゐたといふことである。"
"45","sakaguchi","kanzan.txt",""
"46","sakaguchi","kanzan.txt","六袋和尚は六日先んじて己れの死期を予知した。"
"47","sakaguchi","kanzan.txt","諸般のことを調へ、辞世の句もなく、特別の言葉もなく、恰も前栽へ逍遥に立つ人のやうに入寂した。"
"48","sakaguchi","kanzan.txt",""
"49","sakaguchi","kanzan.txt",""
"50","sakaguchi","kanzan.txt","参禅の三摩地を味ひ、諷経念誦の法悦を知つてゐたので、和尚の遷化して後も、団九郎は閑山寺を去らなかつた。"
"51","sakaguchi","kanzan.txt","五蘊の覊絆を厭悪し、すでに一念解脱を発心してゐたのである。"
"52","sakaguchi","kanzan.txt",""
"53","sakaguchi","kanzan.txt","新らたな住持は弁兆と云つた。"
"54","sakaguchi","kanzan.txt","彼は単純な酒徒であつた。"
"55","sakaguchi","kanzan.txt","先住の高風に比べれば百難あつたが、彼も亦一生｜不犯の戒律を守り、専ら一酔また一睡に一日の悦びを托してゐた無難な坊主のひとりであつた。"
"56","sakaguchi","kanzan.txt",""
"57","sakaguchi","kanzan.txt","弁兆は食膳の吟味に心をくばり、一汁の風味にもあれこれと工夫を命じた。"
"58","sakaguchi","kanzan.txt","団九郎の坐禅諷経を封じて、山陰へ木の芽をとらせに走らせ、又、屡々蕎麦を打たせた。"
"59","sakaguchi","kanzan.txt","一酔をもとめてのちは、肩をもませて、やがて大蘿蔔頭（だいこん）の煮ゆるが如く眠りに落ちた。"
"60","sakaguchi","kanzan.txt","ことごとく、団九郎の意外であつた。"
"61","sakaguchi","kanzan.txt","一言一動俗臭｜芬々として、甚だ正視に堪へなかつた。"
"62","sakaguchi","kanzan.txt",""
"63","sakaguchi","kanzan.txt","一夕、雲水の僧に変じて、団九郎は山門をくぐつた。"
"64","sakaguchi","kanzan.txt","折から弁兆は小坊主の無断不在をかこちながら、酒食の支度に余念もなかつた。"
"65","sakaguchi","kanzan.txt",""
"66","sakaguchi","kanzan.txt","雲水の僧は身の丈六尺有余、筋骨隆々として、手足は古木のやうであつた。"
"67","sakaguchi","kanzan.txt","両眼は炬火の如くに燃え、両頬は岩塊の如く、鼻孔は風を吹き、口は荒縄を縒り合せたやうであつた。"
"68","sakaguchi","kanzan.txt",""
"69","sakaguchi","kanzan.txt","雲水の僧は庫裏へ現れ、弁兆の眼前を立ちふさいだ。"
"70","sakaguchi","kanzan.txt","それから、破れ鐘のやうな大音声でかうと問ふた。"
"71","sakaguchi","kanzan.txt",""
"72","sakaguchi","kanzan.txt","「※酒糟の漢（のんだくれめ）仏法を喰ふや如何に」"
"73","sakaguchi","kanzan.txt","弁兆は徳利を落し、さて、臍下丹田に力を籠めて、まづ大喝一番これに応じた。"
"74","sakaguchi","kanzan.txt",""
"75","sakaguchi","kanzan.txt","と、雲水の僧は、やをらかたへの囲炉裏の上へ半身をかがめた。"
"76","sakaguchi","kanzan.txt","左手に右の衣袖を収めて、紅蓮をふく火中深くその逞しい片腕を差し入れた。"
"77","sakaguchi","kanzan.txt","さうして、大いなる燠のひとつを鷲掴みにして、再び弁兆の眼前を立ちふさいだ。"
"78","sakaguchi","kanzan.txt",""
"79","sakaguchi","kanzan.txt","「※酒糟の漢よく仏法を喰ふや如何に」"
"80","sakaguchi","kanzan.txt","雲水の僧はにぢり寄つて、真赤な燠を弁兆の鼻先へ突きつけた。"
"81","sakaguchi","kanzan.txt","弁兆に二喝を発する勇気がなかつた。"
"82","sakaguchi","kanzan.txt","思はず色を失つて、飛び退いてゐた。"
"83","sakaguchi","kanzan.txt",""
"84","sakaguchi","kanzan.txt","「這の掠虚頭の漢（いんちきやらうめ）！」"
