"","auth","piece","line"
"0","sakaguchi","kazehakase_kyu.txt","風博士"
"1","sakaguchi","kazehakase_kyu.txt","坂口安吾"
"2","sakaguchi","kazehakase_kyu.txt",""
"3","sakaguchi","kazehakase_kyu.txt","-------------------------------------------------------"
"4","sakaguchi","kazehakase_kyu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kazehakase_kyu.txt",""
"6","sakaguchi","kazehakase_kyu.txt","《》：ルビ"
"7","sakaguchi","kazehakase_kyu.txt","（例）嗟乎"
"8","sakaguchi","kazehakase_kyu.txt",""
"9","sakaguchi","kazehakase_kyu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","kazehakase_kyu.txt","（例）奮然｜蹶起"
"11","sakaguchi","kazehakase_kyu.txt",""
"12","sakaguchi","kazehakase_kyu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","kazehakase_kyu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","sakaguchi","kazehakase_kyu.txt","（例）※"
"15","sakaguchi","kazehakase_kyu.txt","-------------------------------------------------------"
"16","sakaguchi","kazehakase_kyu.txt",""
"17","sakaguchi","kazehakase_kyu.txt","諸君は、東京市某区某町某番地なる風博士の邸宅を御存じであらう乎？御存じない。"
"18","sakaguchi","kazehakase_kyu.txt","それは大変残念である。"
"19","sakaguchi","kazehakase_kyu.txt","そして諸君は偉大なる風博士を御存知であらうか？御存知ない。"
"20","sakaguchi","kazehakase_kyu.txt","それは大変残念である。"
"21","sakaguchi","kazehakase_kyu.txt","では偉大なる風博士が自殺したことも御存じないであらうか？ない。"
"22","sakaguchi","kazehakase_kyu.txt","嗚乎。"
"23","sakaguchi","kazehakase_kyu.txt","では諸君は遺書だけが発見されて、偉大なる風博士自体は杳として紛失したことも御存知ないであらうか？ない。"
"24","sakaguchi","kazehakase_kyu.txt","嗟乎。"
"25","sakaguchi","kazehakase_kyu.txt","では諸君は僕が其筋の嫌疑のために並々ならぬ困難を感じてゐることも御存知ないのであらうか？於戯。"
"26","sakaguchi","kazehakase_kyu.txt","では諸君は僕が偉大なる風博士の愛弟子であつたことも御存じあるまい。"
"27","sakaguchi","kazehakase_kyu.txt","しかし警察は知つてゐたのである。"
"28","sakaguchi","kazehakase_kyu.txt","そして其筋の計算に由れば、偉大なる風博士は僕と共謀のうへ遺書を捏造して自殺を装ひ、かくてかの憎むべき蛸博士の名誉毀損をたくらんだに相違あるまいと睨んだのである。"
"29","sakaguchi","kazehakase_kyu.txt","諸君、これは明らかに誤解である。"
"30","sakaguchi","kazehakase_kyu.txt","何となれば偉大なる風博士は自殺したからである。"
"31","sakaguchi","kazehakase_kyu.txt","果して自殺した乎？然り、偉大なる風博士は紛失したのである。"
"32","sakaguchi","kazehakase_kyu.txt","諸君は軽率に真理を疑つていいのであらうか？なぜならそれは、諸君の生涯に様々な不運を齎らすに相違ないからである。"
"33","sakaguchi","kazehakase_kyu.txt","真理は信ぜらるべき性質のものであるから、諸君は偉大なる風博士の死を信じなければならない。"
"34","sakaguchi","kazehakase_kyu.txt","そして諸君は、かの憎むべき蛸博士の――あ、諸君はかの憎むべき蛸博士を御存知であらうか？御存じない。"
"35","sakaguchi","kazehakase_kyu.txt","噫吁、それは大変残念である。"
"36","sakaguchi","kazehakase_kyu.txt","では諸君は、まづ悲痛なる風博士の遺書を一読しなければなるまい。"
"37","sakaguchi","kazehakase_kyu.txt",""
"38","sakaguchi","kazehakase_kyu.txt",""
"39","sakaguchi","kazehakase_kyu.txt","風博士の遺書"
"40","sakaguchi","kazehakase_kyu.txt",""
"41","sakaguchi","kazehakase_kyu.txt","諸君、彼は禿頭である。"
"42","sakaguchi","kazehakase_kyu.txt","然り、彼は禿頭である。"
"43","sakaguchi","kazehakase_kyu.txt","禿頭以外の何物でも、断じてこれある筈はない。"
"44","sakaguchi","kazehakase_kyu.txt","彼は鬘を以て之の隠蔽をなしおるのである。"
"45","sakaguchi","kazehakase_kyu.txt","ああこれ実に何たる滑稽！然り何たる滑稽である。"
"46","sakaguchi","kazehakase_kyu.txt","ああ何たる滑稽である。"
"47","sakaguchi","kazehakase_kyu.txt","かりに諸君、一撃を加へて彼の毛髪を強奪せりと想像し給へ。"
"48","sakaguchi","kazehakase_kyu.txt","突如諸君は気絶せんとするのである。"
"49","sakaguchi","kazehakase_kyu.txt","而して諸君は気絶以外の何物にも遭遇することは不可能である。"
"50","sakaguchi","kazehakase_kyu.txt","即ち諸君は、猥褻名状すべからざる無毛赤色の突起体に深く心魄を打たるるであらう。"
"51","sakaguchi","kazehakase_kyu.txt","異様なる臭気は諸氏の余生に消えざる歎きを与へるに相違ない。"
