"","auth","piece","line"
"0","sakaguchi","kenjutsuno_gokuio_kataru.txt","剣術の極意を語る"
"1","sakaguchi","kenjutsuno_gokuio_kataru.txt","坂口安吾"
"2","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"3","sakaguchi","kenjutsuno_gokuio_kataru.txt","-------------------------------------------------------"
"4","sakaguchi","kenjutsuno_gokuio_kataru.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"6","sakaguchi","kenjutsuno_gokuio_kataru.txt","《》：ルビ"
"7","sakaguchi","kenjutsuno_gokuio_kataru.txt","（例）竹刀"
"8","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"9","sakaguchi","kenjutsuno_gokuio_kataru.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","kenjutsuno_gokuio_kataru.txt","（例）残身"
"11","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"12","sakaguchi","kenjutsuno_gokuio_kataru.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","kenjutsuno_gokuio_kataru.txt","（例）ポカ／＼"
"14","sakaguchi","kenjutsuno_gokuio_kataru.txt","-------------------------------------------------------"
"15","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"16","sakaguchi","kenjutsuno_gokuio_kataru.txt","僕は剣術を全然知らない。"
"17","sakaguchi","kenjutsuno_gokuio_kataru.txt","生れて以来、竹刀を手に持つたことがたつた一度しかないのである。"
"18","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"19","sakaguchi","kenjutsuno_gokuio_kataru.txt","中学の時、剣術と柔道とゞちらか選んで習ふ必要があつたが、僕は柔道を選んだ。"
"20","sakaguchi","kenjutsuno_gokuio_kataru.txt","人にポカ／＼頭を殴られるのは気がすゝまなかつたのだ。"
"21","sakaguchi","kenjutsuno_gokuio_kataru.txt","ところが後になつて、学校の規則が変つて、剣道も柔道もどつちも正科になつて一時間づゝ習ふことになつた。"
"22","sakaguchi","kenjutsuno_gokuio_kataru.txt","その第一時間目、型をちよつと教へたあとで、いきなり一同に試合させられた。"
"23","sakaguchi","kenjutsuno_gokuio_kataru.txt","僕の相手になるのは剣道部員で、おとなしい生徒だけれども、剣道の巧みな男であつた。"
"24","sakaguchi","kenjutsuno_gokuio_kataru.txt","ムザ／＼殴られて手も足も出ないといふのは、どうしても残念千万であつた。"
"25","sakaguchi","kenjutsuno_gokuio_kataru.txt","僕の出場までには時間があつたので対策を考へた。"
"26","sakaguchi","kenjutsuno_gokuio_kataru.txt",""
"27","sakaguchi","kenjutsuno_gokuio_kataru.txt","僕は上段にふりかぶつた。"
"28","sakaguchi","kenjutsuno_gokuio_kataru.txt","ゆつくり落付いて面！と叫んで竹刀をふり下すと、僕の考へてゐた通り、敵は剣術使ひの卵だから、器用に竹刀を頭上へかざして受けとめようとする。"
"29","sakaguchi","kenjutsuno_gokuio_kataru.txt","その小手をパシンと斬つた。"
"30","sakaguchi","kenjutsuno_gokuio_kataru.txt","先生は一本とも何とも言はぬ。"
"31","sakaguchi","kenjutsuno_gokuio_kataru.txt","もう一度改めて睨み合つて、同じやうに面を打つふりをして小手を斬つた。"
"32","sakaguchi","kenjutsuno_gokuio_kataru.txt","この一手しか考へてゐないのだから、ほかのことは出来ないのである。"
