"","auth","piece","line"
"0","sakaguchi","kessen_kawanakajima.txt","決戦川中島上杉謙信の巻"
"1","sakaguchi","kessen_kawanakajima.txt","――越後守安吾将軍の奮戦記――"
"2","sakaguchi","kessen_kawanakajima.txt","坂口安吾"
"3","sakaguchi","kessen_kawanakajima.txt",""
"4","sakaguchi","kessen_kawanakajima.txt","-------------------------------------------------------"
"5","sakaguchi","kessen_kawanakajima.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","kessen_kawanakajima.txt",""
"7","sakaguchi","kessen_kawanakajima.txt","《》：ルビ"
"8","sakaguchi","kessen_kawanakajima.txt","（例）新発意"
"9","sakaguchi","kessen_kawanakajima.txt",""
"10","sakaguchi","kessen_kawanakajima.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","kessen_kawanakajima.txt","（例）三十｜尋"
"12","sakaguchi","kessen_kawanakajima.txt","-------------------------------------------------------"
"13","sakaguchi","kessen_kawanakajima.txt",""
"14","sakaguchi","kessen_kawanakajima.txt","馬力にうたる"
"15","sakaguchi","kessen_kawanakajima.txt",""
"16","sakaguchi","kessen_kawanakajima.txt","永禄四年七月三十日。"
"17","sakaguchi","kessen_kawanakajima.txt","余（上杉謙信）はひそかに春日山城を降り五智の海へ散歩にでた。"
"18","sakaguchi","kessen_kawanakajima.txt","従う者は池田放善坊という新発意ただ一人。"
"19","sakaguchi","kessen_kawanakajima.txt","余は時々サムライがイヤになる。"
"20","sakaguchi","kessen_kawanakajima.txt","自分がサムライであることも、サムライの顔を見るのもイヤになることがあるのだ。"
"21","sakaguchi","kessen_kawanakajima.txt","この日は特にそうだった。"
"22","sakaguchi","kessen_kawanakajima.txt",""
"23","sakaguchi","kessen_kawanakajima.txt","余はこの年の三月小田原を攻め、古河に公方を置きなどして、自らも病に倒れ、六月に至ってようよう帰国したばかりである。"
"24","sakaguchi","kessen_kawanakajima.txt","百余日にわたる遠征に将兵は疲れきっていた。"
"25","sakaguchi","kessen_kawanakajima.txt","しかるに余は、武田信玄と決戦せざるを得ぬ気持にせめたてられているのである。"
"26","sakaguchi","kessen_kawanakajima.txt",""
"27","sakaguchi","kessen_kawanakajima.txt","彼こそは当代の悪党である。"
"28","sakaguchi","kessen_kawanakajima.txt","胸中一片の信義もない。"
"29","sakaguchi","kessen_kawanakajima.txt","術策をもって業となし、他国に内訌を謀り自家の勢力伸長のみを念としている。"
"30","sakaguchi","kessen_kawanakajima.txt",""
"31","sakaguchi","kessen_kawanakajima.txt","昨年今川義元が織田信長に討たれて後は、天下平定、覇者の悪夢につかれ、益々悪逆な術策に身を持ちくずしているものの如くである。"
"32","sakaguchi","kessen_kawanakajima.txt","痴人の妄想、笑止、哀れである。"
"33","sakaguchi","kessen_kawanakajima.txt",""
"34","sakaguchi","kessen_kawanakajima.txt","余は義をもって人生の根本と考えている。"
"35","sakaguchi","kessen_kawanakajima.txt","たのまれて義戦を起すことはあっても、好んで人を攻めたことはまだなかった。"
"36","sakaguchi","kessen_kawanakajima.txt","天下の望みも余は持たない。"
"37","sakaguchi","kessen_kawanakajima.txt","ただ、天下を望みうる実力第一を確信しているだけである。"
"38","sakaguchi","kessen_kawanakajima.txt",""
"39","sakaguchi","kessen_kawanakajima.txt","かの入道はバカである。"
"40","sakaguchi","kessen_kawanakajima.txt","術策をもって天下を掌握しうるものと考えている。"
"41","sakaguchi","kessen_kawanakajima.txt","余の領内に内乱を策し、余を釘づけにしてそのヒマに西下をはかり天下を掌握しうるものと考えている。"
"42","sakaguchi","kessen_kawanakajima.txt","その根性がイヤなのだ。"
"43","sakaguchi","kessen_kawanakajima.txt","かの入道を叩きのめしてやらないと、余の胸中はおさまらないのである。"
"44","sakaguchi","kessen_kawanakajima.txt",""
"45","sakaguchi","kessen_kawanakajima.txt","しかし、余の将兵は百余日にわたる関東遠征に疲労コンパイしている。"
"46","sakaguchi","kessen_kawanakajima.txt","ようやく盆に間にあって帰国でき、ナスの皮の雑炊などに満腹してやや生色をとりもどしたばかりだ。"
"47","sakaguchi","kessen_kawanakajima.txt","余は彼らを再び戦野に駈り立てるに忍びないのである。"
"48","sakaguchi","kessen_kawanakajima.txt","余はサムライがイヤになった。"
"49","sakaguchi","kessen_kawanakajima.txt",""
"50","sakaguchi","kessen_kawanakajima.txt","五智の別院をくぐって出ると、砂丘の上に旅館があった。"
"51","sakaguchi","kessen_kawanakajima.txt",""
"52","sakaguchi","kessen_kawanakajima.txt","「いつでも風呂がわいてますぜ。"
"53","sakaguchi","kessen_kawanakajima.txt","女中も可愛いいのがいますよ。"
"54","sakaguchi","kessen_kawanakajima.txt","二階から日本海を一目に眺めて一パイやると、たいがいの苦労は忘れますよ」"
"55","sakaguchi","kessen_kawanakajima.txt","放善坊は舌なめずりしながらシャニムニ余を旅館へ引きあげたが、さすがにいささか気が咎めてか、筆紙を取りよせて一句示した。"
"56","sakaguchi","kessen_kawanakajima.txt",""
"57","sakaguchi","kessen_kawanakajima.txt",""
"58","sakaguchi","kessen_kawanakajima.txt","身は童貞にして清風あふれ"
"59","sakaguchi","kessen_kawanakajima.txt","千軍万馬退くを知らず"
"60","sakaguchi","kessen_kawanakajima.txt",""
"61","sakaguchi","kessen_kawanakajima.txt","「キザなことは、よせ」"
"62","sakaguchi","kessen_kawanakajima.txt","余はその紙片を破ってすてた。"
"63","sakaguchi","kessen_kawanakajima.txt","眼下に日本海が鏡のようにきらめいている。"
