"","auth","piece","line"
"0","sakaguchi","kikoto_kyoshu.txt","気候と郷愁"
"1","sakaguchi","kikoto_kyoshu.txt","坂口安吾"
"2","sakaguchi","kikoto_kyoshu.txt",""
"3","sakaguchi","kikoto_kyoshu.txt","-------------------------------------------------------"
"4","sakaguchi","kikoto_kyoshu.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kikoto_kyoshu.txt",""
"6","sakaguchi","kikoto_kyoshu.txt","《》：ルビ"
"7","sakaguchi","kikoto_kyoshu.txt","（例）嫋々たる"
"8","sakaguchi","kikoto_kyoshu.txt",""
"9","sakaguchi","kikoto_kyoshu.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","kikoto_kyoshu.txt","（例）バタ／＼させながら"
"11","sakaguchi","kikoto_kyoshu.txt","-------------------------------------------------------"
"12","sakaguchi","kikoto_kyoshu.txt",""
"13","sakaguchi","kikoto_kyoshu.txt","私は越後の新潟市に生れたが、新潟市に限らず、雪国の町は非常に暗い、秋がきて時雨が落葉を叩きはじめる頃から長い冬が漸く終つて春が訪れるまで、太陽を見ることが殆んど稀にしかない。"
"14","sakaguchi","kikoto_kyoshu.txt","冬の暗澹たる気候には発狂しさうな焦燥を感じて私は弱つたものである。"
"15","sakaguchi","kikoto_kyoshu.txt","直接の気候以上にやりきれないのは、人間が気候の影響を受け易く、自分の性格や物の見方感じ方に間接の気候の顔を見出すときには非常に惨めな自分を感じる。"
"16","sakaguchi","kikoto_kyoshu.txt","晴雨相半して特に激烈な表情のない東京大阪あたりの気候に比べて、雪国の暗澹たる気候が人に及ぼす影響は激しく深いのである。"
"17","sakaguchi","kikoto_kyoshu.txt",""
"18","sakaguchi","kikoto_kyoshu.txt","勿論故郷の性格は誰にもある。"
"19","sakaguchi","kikoto_kyoshu.txt","性格ばかりではなく外貌にすらそれが滲んでゐないとは言へないのである。"
"20","sakaguchi","kikoto_kyoshu.txt","私はかつて小田原に遊んだとき、牧野信一（彼は小田原の生れである）に風貌の似た人物を随所に見かけて面白く思つた。"
"21","sakaguchi","kikoto_kyoshu.txt","大阪人の話にはいつたいに手振り身振りが多いが、人形芝居をみると、栄三操るところの町人の身振り手振りなぞ、見た眼には大袈裟であるが、然し現代の大阪人にも同じ物が実は生きてゐるのである。"
"22","sakaguchi","kikoto_kyoshu.txt","小田原の山は蜜柑畑で、一面人体と高さの違はぬ灌木ばかり、大樹の影や暗さがない。"
"23","sakaguchi","kikoto_kyoshu.txt","それに空気の澄んだ所で、光線が明るいのである。"
"24","sakaguchi","kikoto_kyoshu.txt","牧野信一の文章は冗長でありながらも非常に明るく澄んでゐる。"
"25","sakaguchi","kikoto_kyoshu.txt","靄がないのだ。"
"26","sakaguchi","kikoto_kyoshu.txt","このことは私の文章に靄が深く、私の生れが靄深く暗澹たる雪国であることに比べると、こんなところにも、やつぱり脱けきれない気候の影響があるのだと思ふ。"
"27","sakaguchi","kikoto_kyoshu.txt",""
"28","sakaguchi","kikoto_kyoshu.txt","むかし「南紀風物誌」といふ本を読んだことがある。"
"29","sakaguchi","kikoto_kyoshu.txt","（西瀬英一著、竹村書房刊）南紀州、つまり熊野から串本、新宮あたりの本州最南端の風物を描いたものである。"
"30","sakaguchi","kikoto_kyoshu.txt","権兵衛が種まく烏がほじくるといふ有名な権兵衛が実は実在の人物で、新宮であつたと思ふが、あのあたりに碑もあり、事蹟も残つてゐることなぞが書いてあつて面白かつたが、その本に、南国のたそがれ、子供達が竿をたづさへて路上へでる。"
