"","auth","piece","line"
"0","sakaguchi","kinkyohokoku.txt","近況報告"
"1","sakaguchi","kinkyohokoku.txt","坂口安吾"
"2","sakaguchi","kinkyohokoku.txt",""
"3","sakaguchi","kinkyohokoku.txt","去年ゴルフをはじめてから丈夫になった。"
"4","sakaguchi","kinkyohokoku.txt","洋服からの感じだといくらか痩せたかと思われるが、目方はむかしの十八貫から二十貫五百になった。"
"5","sakaguchi","kinkyohokoku.txt","十八貫のころゆっくり登っても息ぎれがして頂上へ登りつめると目まいがした山へウバ車を押して一息に登ることも犬と一しょに走って登ることも平気になった。"
"6","sakaguchi","kinkyohokoku.txt","だから、よく眠る。"
"7","sakaguchi","kinkyohokoku.txt","よく食う。"
"8","sakaguchi","kinkyohokoku.txt","よく飲んでせんだっても血を吐いたが、医者の命令の五分の一だけ守って、五分の一の日数で簡単に全治した。"
"9","sakaguchi","kinkyohokoku.txt","数年間の不健康をこの機会にとりかえすつもりで、なるべく最小限の仕事しかしない。"
"10","sakaguchi","kinkyohokoku.txt","しかし私の弟子を称する数名のあまり素行よからぬ連中が言い合せたように綱男クンのために貯金してあげて下さいと言い言いするので、私もなんとなくそんな気になりかけてきた。"
"11","sakaguchi","kinkyohokoku.txt",""
"12","sakaguchi","kinkyohokoku.txt",""
"13","sakaguchi","kinkyohokoku.txt",""
"14","sakaguchi","kinkyohokoku.txt",""
"15","sakaguchi","kinkyohokoku.txt","底本：「坂口安吾全集14」筑摩書房"
"16","sakaguchi","kinkyohokoku.txt","1999（平成11）年6月20日初版第1刷発行"
"17","sakaguchi","kinkyohokoku.txt","底本の親本：「別冊小説新潮第八巻第一〇号」"
"18","sakaguchi","kinkyohokoku.txt","1954（昭和29）年7月15日発行"
"19","sakaguchi","kinkyohokoku.txt","初出：「別冊小説新潮第八巻第一〇号」"
"20","sakaguchi","kinkyohokoku.txt","1954（昭和29）年7月15日発行"
"21","sakaguchi","kinkyohokoku.txt","入力：tatsuki"
"22","sakaguchi","kinkyohokoku.txt","校正：noriko saito"
"23","sakaguchi","kinkyohokoku.txt","2009年3月26日作成"
"24","sakaguchi","kinkyohokoku.txt","青空文庫作成ファイル："
"25","sakaguchi","kinkyohokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"26","sakaguchi","kinkyohokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"27","sakaguchi","kinkyohokoku.txt",""
