"","auth","piece","line"
"0","sakaguchi","kinsen_mujo.txt","金銭無情"
"1","sakaguchi","kinsen_mujo.txt","坂口安吾"
"2","sakaguchi","kinsen_mujo.txt",""
"3","sakaguchi","kinsen_mujo.txt","-------------------------------------------------------"
"4","sakaguchi","kinsen_mujo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kinsen_mujo.txt",""
"6","sakaguchi","kinsen_mujo.txt","《》：ルビ"
"7","sakaguchi","kinsen_mujo.txt","（例）羅典"
"8","sakaguchi","kinsen_mujo.txt",""
"9","sakaguchi","kinsen_mujo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","kinsen_mujo.txt","（例）本国｜仏蘭西"
"11","sakaguchi","kinsen_mujo.txt",""
"12","sakaguchi","kinsen_mujo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","kinsen_mujo.txt","（例）"
"14","sakaguchi","kinsen_mujo.txt",""
"15","sakaguchi","kinsen_mujo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"16","sakaguchi","kinsen_mujo.txt","（例）ベタ／＼"
"17","sakaguchi","kinsen_mujo.txt","-------------------------------------------------------"
"18","sakaguchi","kinsen_mujo.txt",""
"19","sakaguchi","kinsen_mujo.txt","金銭無情"
"20","sakaguchi","kinsen_mujo.txt",""
"21","sakaguchi","kinsen_mujo.txt",""
"22","sakaguchi","kinsen_mujo.txt","最上清人は哲学者だ。"
"23","sakaguchi","kinsen_mujo.txt","十年ほど前、エピキュロスに於ける何とかといふ論文と、プラトンの何とかといふ論文を私も雑誌に見かけたことがあるが、その後は著作はやらなくなり、講壇に立つたことは一度もないので、哲学専門の学生でも彼の名は知らない。"
"24","sakaguchi","kinsen_mujo.txt",""
"25","sakaguchi","kinsen_mujo.txt","先日私のもとに訪れてきた雑誌記者の話によれば、彼の恩師のＤＤ氏は、哲学界の新人は？といふ記者の問に答へて、さて、新人かどうか、彼はすでに旧人だが、と、最上清人の名をあげて、彼の思想はギリシャにもローマにも近代にも似てゐない、たゞ人間に似てゐる。"
"26","sakaguchi","kinsen_mujo.txt","最も個性的な仕事が期待できるのだが、彼は著作しないだらうと答へたといふ。"
"27","sakaguchi","kinsen_mujo.txt","実際彼は記者から執筆の依頼を受けて応じたことは、すでに十年、絶無であつた。"
"28","sakaguchi","kinsen_mujo.txt",""
"29","sakaguchi","kinsen_mujo.txt","私は然し他でも彼の評判を耳にしたことがあつた。"
"30","sakaguchi","kinsen_mujo.txt","ＱＱ神父及びＬＬ氏、ＬＬ氏は日本の大学では文学史や中世思想史を講ぜられたが、本国｜仏蘭西に於ては著名な羅典語学者で、私はこの御両名から、日本に於て本当に羅典語を解する人は最上清人だらうと承つたことがある。"
"31","sakaguchi","kinsen_mujo.txt","彼はそのころある書店で古典の叢書編纂に当つてをり飜訳者を探してゐた。"
"32","sakaguchi","kinsen_mujo.txt","私は彼と中学時代の同窓であるが、彼が羅典語に通じてゐるといふことは、その時まで知らなかつた。"
"33","sakaguchi","kinsen_mujo.txt",""
"34","sakaguchi","kinsen_mujo.txt","彼は昔、心中したことがあつた。"
"35","sakaguchi","kinsen_mujo.txt","相手の女は銘酒屋の娼婦で、女は死んだが、彼は生き返つた。"
"36","sakaguchi","kinsen_mujo.txt","警察の取調べを受けて、死んでも生きても同じことだ、と呟いたといふ。"
"37","sakaguchi","kinsen_mujo.txt","私は旧友の名を新聞記事の中に見出しながら吹きだしたのであるが、後日彼と交游を深めるやうになつて、僕は首くゝりを主張したが、女が催眠薬にしようと云つてきかなかつたんだ、僕は自殺は考へてゐたが心中といふ考へはなかつたので、女が催眠薬をのむといふなら、僕は僕で首くゝりをした方がよかつたんだが、僕が先に死んぢやつてぶら下つたんぢや怖しいと女が言ふんでね、万やむを得ず心中的になつちやつたんだ、と言つた。"
