"","auth","piece","line"
"0","sakaguchi","kirisute_gomen.txt","切捨御免"
"1","sakaguchi","kirisute_gomen.txt","――貞操なきジャーナリズム――"
"2","sakaguchi","kirisute_gomen.txt","坂口安吾"
"3","sakaguchi","kirisute_gomen.txt",""
"4","sakaguchi","kirisute_gomen.txt","-------------------------------------------------------"
"5","sakaguchi","kirisute_gomen.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","kirisute_gomen.txt",""
"7","sakaguchi","kirisute_gomen.txt","《》：ルビ"
"8","sakaguchi","kirisute_gomen.txt","（例）却々"
"9","sakaguchi","kirisute_gomen.txt","-------------------------------------------------------"
"10","sakaguchi","kirisute_gomen.txt",""
"11","sakaguchi","kirisute_gomen.txt","帝銀容疑者、北海道のＨ画伯のタイホ、上京、二十三日上野駅到着は犯人見物の人出で賑ったそうだが、首実検で、犯人らしくないときまると、たった一日でガラリと人気が変って、今日（八月二十五日）の新聞は、人権侵害、にわかにＨ画伯に同情あつまり、警視庁は総攻撃をくらっている。"
"12","sakaguchi","kirisute_gomen.txt",""
"13","sakaguchi","kirisute_gomen.txt","警視庁にも手落ちはあった。"
"14","sakaguchi","kirisute_gomen.txt","タイホに向った警部補が真犯人と断言したこと、特にタイホを発表したことが、いけない。"
"15","sakaguchi","kirisute_gomen.txt","これを発表したことが最大の手落ちであって、一警部補の気負い立った個人的発言の如きは、さしたることではない。"
"16","sakaguchi","kirisute_gomen.txt","容疑者タイホを公表さえしなければ、警部補の言い過ぎ問題は起らなかったのだ。"
"17","sakaguchi","kirisute_gomen.txt",""
"18","sakaguchi","kirisute_gomen.txt","私は容疑者タイホの公表があったから、たぶん真犯人だろう、と思った。"
"19","sakaguchi","kirisute_gomen.txt","さもなければ、公表するとは、思われないからである。"
"20","sakaguchi","kirisute_gomen.txt","だから、警部補が、自分は真犯人だと思っている、と断言しているのは当然だと思ったにひきかえ、藤田刑事部長が、たぶん真犯人ではない、と否定し、たゞ疑点の釈明をもとめるため出頭をもとめただけで、この程度の容疑者は他にもあり、これを真犯人としているわけではない、と云っているのに、妙な感じをうけた。"
"21","sakaguchi","kirisute_gomen.txt","むしろ、腹立たしさを感じた。"
"22","sakaguchi","kirisute_gomen.txt","では、なぜ、容疑者の指名タイホを公表したのであるか。"
"23","sakaguchi","kirisute_gomen.txt",""
"24","sakaguchi","kirisute_gomen.txt","この公表もひどかったが、ジャーナリズムの無定見、軽薄さは、さらにヒドイものだと私は思った。"
"25","sakaguchi","kirisute_gomen.txt",""
"26","sakaguchi","kirisute_gomen.txt","生き残った人々の首実検で、犯人らしくないとなると、サッと変って、忽ち、容疑薄らぐ、となり、人権問題とくる。"
"27","sakaguchi","kirisute_gomen.txt",""
"28","sakaguchi","kirisute_gomen.txt","首実検ひとつで、容疑薄らぐ、と断定するジャーナリズムの反文化的性格、無教養は甚しい。"
"29","sakaguchi","kirisute_gomen.txt",""
"30","sakaguchi","kirisute_gomen.txt","帝銀事件の場合の如き、首実検など、一番当にならないものだ。"
"31","sakaguchi","kirisute_gomen.txt","首実検にも色々とあり、親が子の首実検する、という事になれば、これは揺ぎのないものだ。"
"32","sakaguchi","kirisute_gomen.txt","けれども、帝銀の場合の如き、たかだか十分ぐらい面接しただけで、しかも、相手を信用し、決して殺人鬼として、特別の注意を払って見ていたわけではないのである。"
"33","sakaguchi","kirisute_gomen.txt",""
"34","sakaguchi","kirisute_gomen.txt","私なども、文士という商売上、人間観察はすでに身についた性癖であるが、それでも人の顔は却々覚えられぬ。"
"35","sakaguchi","kirisute_gomen.txt","私は先日、税務署の役人お二方に二時間にわたって話を交した。"
"36","sakaguchi","kirisute_gomen.txt","税務署の役人と云えば、これはもう、殺人鬼の次ぐらいに、こちらも、要心に要心を重ね、注意の上にも注意を払っていたのであるが、それがもう、その翌日は、二人のうち、一人の顔が思いだせない。"
"37","sakaguchi","kirisute_gomen.txt","一人の方はヒゲがあって、非常に特徴のある人だから、ハッキリ記憶に残っているが、一人の方は、平凡な、好人物らしい青年で、どうしても、シカとわからぬ。"
"38","sakaguchi","kirisute_gomen.txt","翌日、路上で、その人物らしい人に会った。"
"39","sakaguchi","kirisute_gomen.txt","先方も、私を意識している様子で、ハテナと思ったが、どうしても、私には断定がつかない。"
