"","auth","piece","line"
"0","sakaguchi","kodanshi.txt","巷談師"
"1","sakaguchi","kodanshi.txt","坂口安吾"
"2","sakaguchi","kodanshi.txt",""
"3","sakaguchi","kodanshi.txt","-------------------------------------------------------"
"4","sakaguchi","kodanshi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kodanshi.txt",""
"6","sakaguchi","kodanshi.txt","《》：ルビ"
"7","sakaguchi","kodanshi.txt","（例）匁"
"8","sakaguchi","kodanshi.txt",""
"9","sakaguchi","kodanshi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","kodanshi.txt","（例）一｜匁"
"11","sakaguchi","kodanshi.txt",""
"12","sakaguchi","kodanshi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","kodanshi.txt","（例）一共産党員」"
"14","sakaguchi","kodanshi.txt","-------------------------------------------------------"
"15","sakaguchi","kodanshi.txt",""
"16","sakaguchi","kodanshi.txt","「ヘタな小説が売れなくなって巷談師になったのか。"
"17","sakaguchi","kodanshi.txt","お前の底は見えた。"
"18","sakaguchi","kodanshi.txt","恥を知れ。"
"19","sakaguchi","kodanshi.txt",""
"20","sakaguchi","kodanshi.txt","一共産党員」"
"21","sakaguchi","kodanshi.txt",""
"22","sakaguchi","kodanshi.txt","安吾巷談その三「野坂中尉と中西伍長」には全国の共産党員から夥しい反響があった。"
"23","sakaguchi","kodanshi.txt","これも、その一つである。"
"24","sakaguchi","kodanshi.txt","簡にして要を得、秀作である。"
"25","sakaguchi","kodanshi.txt",""
"26","sakaguchi","kodanshi.txt","「お前の顔は……」このあとは、本人は書きたくない。"
"27","sakaguchi","kodanshi.txt","私の顔に文句をつけるのは筋ちがいだが、「林芙美子との対談の愚劣さよ。"
"28","sakaguchi","kodanshi.txt","両醜無断……」林さんにはお気の毒だが、こういうのもきた。"
"29","sakaguchi","kodanshi.txt","両醜は簡潔。"
"30","sakaguchi","kodanshi.txt","よく醜の字を知っている。"
"31","sakaguchi","kodanshi.txt","あとの「無断」がわからない。"
"32","sakaguchi","kodanshi.txt","しかし、一刀両断とか、言語道断とか、それに似てバッサリと斬り伏せる趣きは充分現れているから、文を学べば、一かどの文士になった人物かも知れない。"
"33","sakaguchi","kodanshi.txt",""
"34","sakaguchi","kodanshi.txt","共産党の手紙は、非常に短いか（ハガキで三行前後）非常に長いか（便箋十枚――二十枚ぐらい）いずれかである。"
"35","sakaguchi","kodanshi.txt",""
"36","sakaguchi","kodanshi.txt","弟子入り志望の手紙は共産党と同じぐらい長文で、返信切手や自分名宛の封筒を同封しておくという用心深いのが通例だが、時々、不足税をとられることもある。"
"37","sakaguchi","kodanshi.txt","弟子入り志望に一｜匁分倹約するとは思われないが、長文の手紙となると、目測が狂うらしい。"
"38","sakaguchi","kodanshi.txt","ところが、共産党の長文の手紙（十五通はもらった）はコンリンザイ不足税をとられたことがない。"
"39","sakaguchi","kodanshi.txt","ぜひとも巷談師の目に必殺の文字をたたきこんでやろうという闘魂歴々たるものがある。"
"40","sakaguchi","kodanshi.txt",""
"41","sakaguchi","kodanshi.txt","弟子入りの手紙は、宛名に先生が三分の二ぐらい、三分の一ぐらいが様、まれに殿というのがある。"
"42","sakaguchi","kodanshi.txt","様と殿の手紙には、先生とよぶのは変です、という意味の言葉が、くりかえし述べられているのが通例である。"
"43","sakaguchi","kodanshi.txt","彼らの共通の感覚で、この感覚の内容は私にはよく分らないが、先生という呼称を空疎なもの、たとえば彼らと学校の先生との関係などをそれに当てはめ、私をもっと親密なものと解していることが察せられる。"
"44","sakaguchi","kodanshi.txt",""
"45","sakaguchi","kodanshi.txt","共産党は全部「殿」だ。"
"46","sakaguchi","kodanshi.txt","しかし数通、この場合はハガキに限るが、殿も省いて呼びすてがあった。"
"47","sakaguchi","kodanshi.txt","ハガキの作者はベランメー型で、筆で委曲がつくしがたいから、拳コの代りに呼びすてにして溜飲を下げているらしい。"
"48","sakaguchi","kodanshi.txt","長文の手紙の作者は必殺の文字に自信があるから、悠々敬称をつけてくれる。"
"49","sakaguchi","kodanshi.txt",""
