"","auth","piece","line"
"0","sakaguchi","kogarashino_sakagurakara.txt","木枯の酒倉から"
"1","sakaguchi","kogarashino_sakagurakara.txt","――聖なる酔つ払ひは神々の魔手に誘惑された話――"
"2","sakaguchi","kogarashino_sakagurakara.txt","坂口安吾"
"3","sakaguchi","kogarashino_sakagurakara.txt",""
"4","sakaguchi","kogarashino_sakagurakara.txt","-------------------------------------------------------"
"5","sakaguchi","kogarashino_sakagurakara.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","kogarashino_sakagurakara.txt",""
"7","sakaguchi","kogarashino_sakagurakara.txt","《》：ルビ"
"8","sakaguchi","kogarashino_sakagurakara.txt","（例）畢る"
"9","sakaguchi","kogarashino_sakagurakara.txt",""
"10","sakaguchi","kogarashino_sakagurakara.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","kogarashino_sakagurakara.txt","（例）都度｜瞠若"
"12","sakaguchi","kogarashino_sakagurakara.txt",""
"13","sakaguchi","kogarashino_sakagurakara.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","kogarashino_sakagurakara.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","sakaguchi","kogarashino_sakagurakara.txt","（例）※"
"16","sakaguchi","kogarashino_sakagurakara.txt","-------------------------------------------------------"
"17","sakaguchi","kogarashino_sakagurakara.txt",""
"18","sakaguchi","kogarashino_sakagurakara.txt","発端"
"19","sakaguchi","kogarashino_sakagurakara.txt",""
"20","sakaguchi","kogarashino_sakagurakara.txt","木枯の荒れ狂ふ一日、僕は今度武蔵野に居を卜さうと、ただ一人村から村を歩いてゐたのです。"
"21","sakaguchi","kogarashino_sakagurakara.txt","物覚えの悪い僕は物の二時間とたたぬうちに其の朝発足した、とある停車場への戻り道を混がらがせてしまつたのですが、根が無神経な男ですから、ままよ、いい処が見つかつたらその瞬間から其処へ住んぢまへばいいんだ、住むのは身体だけで事足りる筈なんだからとさう決心をつけて、それからはもう滅茶苦茶に歩き出したんです。"
