"","auth","piece","line"
"0","sakaguchi","koki_dokyo.txt","後記〔『道鏡』〕"
"1","sakaguchi","koki_dokyo.txt","坂口安吾"
"2","sakaguchi","koki_dokyo.txt",""
"3","sakaguchi","koki_dokyo.txt","-------------------------------------------------------"
"4","sakaguchi","koki_dokyo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","koki_dokyo.txt",""
"6","sakaguchi","koki_dokyo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","sakaguchi","koki_dokyo.txt","（例）"
"8","sakaguchi","koki_dokyo.txt","-------------------------------------------------------"
"9","sakaguchi","koki_dokyo.txt",""
"10","sakaguchi","koki_dokyo.txt","道鏡といふ題名はよくなかつた。"
"11","sakaguchi","koki_dokyo.txt","この小説の主人公はむしろ孝謙天皇だ。"
"12","sakaguchi","koki_dokyo.txt","三人の女主人に維持された天皇家といふ家族政府の独自な性格、家をまもるに鬼の如くに執念の深い女主人の意志によつて育てられ、その意志の精霊の如くに結実した聖武天皇とその皇后と、そして更にそこから生れた孝謙天皇。"
"13","sakaguchi","koki_dokyo.txt","私にとつてこの小説を書かしめる魅力となつた最大なものは、この女帝だ。"
"14","sakaguchi","koki_dokyo.txt",""
"15","sakaguchi","koki_dokyo.txt","それを私が「道鏡」と題したのは、ジャーナリズムに媚びたので、いはば商品としての題名、私はいささかサモしい魂胆であつたに相違ない。"
"16","sakaguchi","koki_dokyo.txt","最も題などアレコレ考へるのは、もう面倒だつた。"
"17","sakaguchi","koki_dokyo.txt","私は昔から題に就てあれこれ悩むのは嫌ひで、題などは、文学自体と何のかかはりもないのだから、作家は小説を書けばよいので、題はなんでも構はない。"
"18","sakaguchi","koki_dokyo.txt","私の小説は題なしに雑誌社に渡すことが多く、何でも勝手につけてくれ、といふ主義だが、まつたく編輯者のつける題の方が、私の題よりも気がきいてゐる場合の方が多いのである。"
"19","sakaguchi","koki_dokyo.txt",""
"20","sakaguchi","koki_dokyo.txt","小説の題なんて、なんでもいいのだ。"
"21","sakaguchi","koki_dokyo.txt",""
"22","sakaguchi","koki_dokyo.txt","然し、「道鏡」といふ小説の場合は違ふ。"
"23","sakaguchi","koki_dokyo.txt","明確に主点のおかれた対象がハッキリしてゐるのだから、信長といふ題で秀吉の小説を書いたらをかしいと同じ間違ひを私はやらかしてしまつたのである。"
"24","sakaguchi","koki_dokyo.txt","この小説の題名は孝謙天皇でなければならぬ。"
"25","sakaguchi","koki_dokyo.txt","あるひは、女帝時代、家をまもる虫の如き女主人の執拗な意志、その最後の結実としての女帝、さういふものを意味した題名でなければならなかつた。"
"26","sakaguchi","koki_dokyo.txt",""
"27","sakaguchi","koki_dokyo.txt","女帝と道鏡の関係に於ても、私が主として狙つてゐるのは、女帝のかかる独自な性格が創りだす恋愛、その独自な心情によつて選ばれた男が道鏡であつたといふことで、主点はやつぱり女帝にある。"
"28","sakaguchi","koki_dokyo.txt",""
"29","sakaguchi","koki_dokyo.txt","だから私は、今、この小説集をだすに当つて、よつぽど小説の題名を変へようかと思つた。"
