"","auth","piece","line"
"0","sakaguchi","kuroda_josui.txt","黒田如水"
"1","sakaguchi","kuroda_josui.txt","坂口安吾"
"2","sakaguchi","kuroda_josui.txt",""
"3","sakaguchi","kuroda_josui.txt","-------------------------------------------------------"
"4","sakaguchi","kuroda_josui.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","kuroda_josui.txt",""
"6","sakaguchi","kuroda_josui.txt","《》：ルビ"
"7","sakaguchi","kuroda_josui.txt","（例）チンバ奴"
"8","sakaguchi","kuroda_josui.txt",""
"9","sakaguchi","kuroda_josui.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","kuroda_josui.txt","（例）数十｜旒"
"11","sakaguchi","kuroda_josui.txt",""
"12","sakaguchi","kuroda_josui.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","kuroda_josui.txt","（例）たま／＼"
"14","sakaguchi","kuroda_josui.txt","-------------------------------------------------------"
"15","sakaguchi","kuroda_josui.txt",""
"16","sakaguchi","kuroda_josui.txt","小田原陣"
"17","sakaguchi","kuroda_josui.txt",""
"18","sakaguchi","kuroda_josui.txt","一"
"19","sakaguchi","kuroda_josui.txt",""
"20","sakaguchi","kuroda_josui.txt","天正十八年真夏のひざかりであつた。"
"21","sakaguchi","kuroda_josui.txt","小田原は北条征伐の最中で、秀吉二十六万の大軍が箱根足柄の山、相模の平野、海上一面に包囲陣をしいてゐる。"
"22","sakaguchi","kuroda_josui.txt","その徳川陣屋で、家康と黒田如水が会談した。"
"23","sakaguchi","kuroda_josui.txt","この二人が顔を合せたのはこの日が始まり。"
"24","sakaguchi","kuroda_josui.txt","いはゞ豊臣家滅亡の楔が一本打たれたのだが、石垣山で淀君と遊んでゐた秀吉はそんなことは知らなかつた。"
"25","sakaguchi","kuroda_josui.txt",""
"26","sakaguchi","kuroda_josui.txt","秀吉が最も怖れた人物は言ふまでもなく家康だ。"
"27","sakaguchi","kuroda_josui.txt","その貫禄は天下万人の認めるところ、天下万人以上に秀吉自身が認めてゐたが、その次に黒田如水を怖れてゐた。"
"28","sakaguchi","kuroda_josui.txt","黒田のカサ頭（如水の頭一面に白雲のやうな頑疾があつた）は気が許せぬと秀吉は日頃放言したが、あのチンバ奴（如水は片足も悪かつた）何を企むか油断のならぬ奴だと思つてゐる。"
"29","sakaguchi","kuroda_josui.txt",""
"30","sakaguchi","kuroda_josui.txt","如水はひどく義理堅く、主に対しては忠、臣節のためには強いて死地に赴くやうなことをやる。"
"31","sakaguchi","kuroda_josui.txt","カサ頭ビッコになつたのもそのせゐで、彼がまだ小寺政職といふ中国の小豪族の家老のとき、小寺氏は織田と毛利の両雄にはさまれて去就に迷つてゐた。"
"32","sakaguchi","kuroda_josui.txt","そのとき逸早く信長の天下を見抜いたのが官兵衛（如水）で、小寺家の大勢は毛利に就くことを自然としてゐたが、官兵衛は主人を説いて屈服させる。"
"33","sakaguchi","kuroda_josui.txt","即坐に自ら岐阜に赴き、木下藤吉郎を通して信長に謁見、中国征伐を要請して、小寺家がその先鋒たるべしと買つてでた。"
"34","sakaguchi","kuroda_josui.txt","このとき官兵衛は二十を越して幾つでもない若さであつたが、一生の浮沈をこの日に賭け、いはゞ有金全部を信長にかけて賭博をはつた。"
"35","sakaguchi","kuroda_josui.txt","持つて生れた雄弁で、中国の情勢、地理風俗にまでわたつて数万言、信長の大軍に出陣を乞ひ自ら手引して中国に攻め入るなら平定容易であると言つて快弁を弄する。"
"36","sakaguchi","kuroda_josui.txt","頗る信長の御意にかなつた。"
"37","sakaguchi","kuroda_josui.txt",""
"38","sakaguchi","kuroda_josui.txt","ところが秀吉が兵を率ゐて中国に来てみると、小寺政職は俄に変心して、毛利に就いてしまつた。"
"39","sakaguchi","kuroda_josui.txt","官兵衛は自分の見透しに頼りすぎ、一身の賭博に思ひつめて、主家の思惑といふものを軽く見すぎたのだ。"
"40","sakaguchi","kuroda_josui.txt","世の中は己れを心棒に廻転すると安易に思ひこんでゐるのが野心的な青年の常であるが、世間は左様に甘くない。"
"41","sakaguchi","kuroda_josui.txt","この自信は必ず崩れ、又いくたびか崩れる性質のものであるが、崩れる自信と共に老いたる駄馬の如くに衰へるのは落第生で、自信の崩れるところから新らたに生ひ立ち独自の針路を築く者が優等生。"
"42","sakaguchi","kuroda_josui.txt","官兵衛も足もとが崩れてきたから驚いたが、独特の方法によつて難関に対処した。"
"43","sakaguchi","kuroda_josui.txt",""
"44","sakaguchi","kuroda_josui.txt","官兵衛にはまだ父親が健在であつた。"
"45","sakaguchi","kuroda_josui.txt","そこで一族郎党を父につけて、之を秀吉の陣に送り約をまもる。"
"46","sakaguchi","kuroda_josui.txt","自分は単身小寺の城へ登城して、強いて臣節を全うした。"
"47","sakaguchi","kuroda_josui.txt","殺されるかも知れぬ。"
"48","sakaguchi","kuroda_josui.txt","それを覚悟で、敢へて主人の城へ戻つた。"
"49","sakaguchi","kuroda_josui.txt","いはゞ之も亦一身をはつた賭博であるが、かゝる賭博は野心児の特権であり、又、生命だ。"
"50","sakaguchi","kuroda_josui.txt","そして賭博の勝者だけが、人生の勝者にもなる。"
"51","sakaguchi","kuroda_josui.txt",""
"52","sakaguchi","kuroda_josui.txt","官兵衛は単身主家の籠城に加入して臣節をつくした。"
"53","sakaguchi","kuroda_josui.txt","世は青年の夢の如くに甘々と廻転してくれぬから、此奴裏切り者であると土牢の中にこめられる。"
"54","sakaguchi","kuroda_josui.txt","一刀両断を免がれたのが彼の開運の元であつた。"
"55","sakaguchi","kuroda_josui.txt","この開運は一命をはつで得たもの、生命をはる時ほど美しい人の姿はない。"
"56","sakaguchi","kuroda_josui.txt","当然天の恩寵を受くべくして受けたけれども、悲しい哉、この賭博美を再び敢て行ふことが無かつたのだ。"
"57","sakaguchi","kuroda_josui.txt","こゝに彼の悲劇があつた。"
"58","sakaguchi","kuroda_josui.txt",""
"59","sakaguchi","kuroda_josui.txt","この暗黒の入牢中にカサ頭になり、ビッコになつた。"
"60","sakaguchi","kuroda_josui.txt","滑稽なる姿を終生負はねばならなかつたが、又、雄渾なる記念碑を負ふ栄光をもつたのだ。"
"61","sakaguchi","kuroda_josui.txt","かういふ義理堅いことをやる。"
"62","sakaguchi","kuroda_josui.txt",""
"63","sakaguchi","kuroda_josui.txt","主に対しては忠、命をすてゝ義をまもる。"
"64","sakaguchi","kuroda_josui.txt","そのくせ、どうも油断がならぬ。"
"65","sakaguchi","kuroda_josui.txt","戦争の巧いこと、戦略の狡猾なこと、外交かけひきの妙なこと、臨機応変、奇策縦横、行動の速力的なこと、見透しの的確なこと、話の外である。"
"66","sakaguchi","kuroda_josui.txt",""
"67","sakaguchi","kuroda_josui.txt","中国征伐の最中に本能寺の変が起つた。"
"68","sakaguchi","kuroda_josui.txt","牢の中から助けだされた官兵衛は秀吉の帷幕に加はり軍議に献策してゐたが、京から来た使者は先づ官兵衛の門を叩いて本能寺の変をつげ、取次をたのんだ。"
"69","sakaguchi","kuroda_josui.txt","六月三日深夜のことで、使者はたつた一日半で七十里の道を飛んできた。"
"70","sakaguchi","kuroda_josui.txt","官兵衛は使者に酒食を与へ、堅く口止めしておいて、直ちに秀吉にこの由を告げる。"
"71","sakaguchi","kuroda_josui.txt",""
"72","sakaguchi","kuroda_josui.txt","秀吉は茫然自失、うなだれたと思ふと、ギャッといふ声を立てゝ泣きだした。"
"73","sakaguchi","kuroda_josui.txt","五分間ぐらゐ、天地を忘れて悲嘆にくれてゐる。"
"74","sakaguchi","kuroda_josui.txt","いくらか涙のおさまつた頃を見はからひ、官兵衛は膝すりよせて、さゝやいた。"
"75","sakaguchi","kuroda_josui.txt","天下はあなたの物です。"
"76","sakaguchi","kuroda_josui.txt","使者が一日半で駈けつけたのは、正に天の使者。"
"77","sakaguchi","kuroda_josui.txt",""
"78","sakaguchi","kuroda_josui.txt","丁度その日の昼のこと、毛利と和睦ができてゐた。"
"79","sakaguchi","kuroda_josui.txt","その翌日には毛利の人質がくる筈になつてゐたから、本能寺の変が伝はらぬうちと官兵衛は夜明けを待たず人質を受取りに行き、理窟をこねて手品の如くにまきあげやうとしたけれども、もう遅い。"
"80","sakaguchi","kuroda_josui.txt","金井坊といふ山伏が之も亦風の如く駈けつけて敵に報告をもたらしてゐる。"
"81","sakaguchi","kuroda_josui.txt","官兵衛はそこで度胸をきめた。"
"82","sakaguchi","kuroda_josui.txt","敵方随一の智将、小早川隆景を訪ね、楽屋をぶちまけて談判に及んだ。"
"83","sakaguchi","kuroda_josui.txt",""
