"","auth","piece","line"
"0","sakaguchi","machiwa_furusato.txt","街はふるさと"
"1","sakaguchi","machiwa_furusato.txt","坂口安吾"
"2","sakaguchi","machiwa_furusato.txt",""
"3","sakaguchi","machiwa_furusato.txt","-------------------------------------------------------"
"4","sakaguchi","machiwa_furusato.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","machiwa_furusato.txt",""
"6","sakaguchi","machiwa_furusato.txt","《》：ルビ"
"7","sakaguchi","machiwa_furusato.txt","（例）岐れる"
"8","sakaguchi","machiwa_furusato.txt",""
"9","sakaguchi","machiwa_furusato.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","machiwa_furusato.txt","（例）一｜米"
"11","sakaguchi","machiwa_furusato.txt",""
"12","sakaguchi","machiwa_furusato.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","machiwa_furusato.txt","（例）メチャ／＼"
"14","sakaguchi","machiwa_furusato.txt","-------------------------------------------------------"
"15","sakaguchi","machiwa_furusato.txt",""
"16","sakaguchi","machiwa_furusato.txt","深夜の宴"
"17","sakaguchi","machiwa_furusato.txt",""
"18","sakaguchi","machiwa_furusato.txt",""
"19","sakaguchi","machiwa_furusato.txt","一"
"20","sakaguchi","machiwa_furusato.txt",""
"21","sakaguchi","machiwa_furusato.txt","「ア。"
"22","sakaguchi","machiwa_furusato.txt","記代子さん」"
"23","sakaguchi","machiwa_furusato.txt","熱海駅の改札口をでようとする人波にもまれながら、放二はすれちがう人々の中に記代子の姿をみとめて、小さな叫び声をのんだ。"
"24","sakaguchi","machiwa_furusato.txt",""
"25","sakaguchi","machiwa_furusato.txt","記代子は、彼がみとめる先に、彼に気付いていたようだ。"
"26","sakaguchi","machiwa_furusato.txt",""
"27","sakaguchi","machiwa_furusato.txt","けれども、視線がふれると、記代子は目を白くして、ふりむいた。"
"28","sakaguchi","machiwa_furusato.txt","そして人ごみの流れに没してしまった。"
"29","sakaguchi","machiwa_furusato.txt",""
"30","sakaguchi","machiwa_furusato.txt","放二は深くこだわらなかった。"
"31","sakaguchi","machiwa_furusato.txt","記代子が熱海に来ていたことに不思議はない。"
"32","sakaguchi","machiwa_furusato.txt","これから彼が訪ねようとする大庭長平を、彼女も訪ねてきたのだ。"
"33","sakaguchi","machiwa_furusato.txt","なぜなら、長平は記代子の叔父だから。"
"34","sakaguchi","machiwa_furusato.txt",""
"35","sakaguchi","machiwa_furusato.txt","長平の常宿は幻水荘である。"
"36","sakaguchi","machiwa_furusato.txt","彼は京都から上京のたびに、まず熱海に二三泊する。"
"37","sakaguchi","machiwa_furusato.txt","戦争中の将軍連が戦線から帰還参内するときのオキマリに似ているから、文士仲間や雑誌記者は、彼の上京を大庭将軍参内と称している。"
"38","sakaguchi","machiwa_furusato.txt","その熱海着の報告をうけとるのは放二のつとめる雑誌社だ。"
"39","sakaguchi","machiwa_furusato.txt","長平のキモイリでできた雑誌社である。"
"40","sakaguchi","machiwa_furusato.txt","放二は長平係りの記者で、上京中の日程をくみ、雑用をたすのである。"
"41","sakaguchi","machiwa_furusato.txt",""
"42","sakaguchi","machiwa_furusato.txt","しかし、長平の口添えで、姪の記代子が入社してからは、上京中の長平のうしろに、男女二名のカバン持ちが、影のように添うことになった。"
"43","sakaguchi","machiwa_furusato.txt",""
"44","sakaguchi","machiwa_furusato.txt","「いま記代子が帰ったところだよ」"
"45","sakaguchi","machiwa_furusato.txt","「ええ。"
"46","sakaguchi","machiwa_furusato.txt","駅で、お見かけしました」"
"47","sakaguchi","machiwa_furusato.txt","「どうして一しょに来なかったの？」"
"48","sakaguchi","machiwa_furusato.txt","「ちょッとほかへ回る用がありましたので」"
"49","sakaguchi","machiwa_furusato.txt","と、放二はさりげなく答えた。"
"50","sakaguchi","machiwa_furusato.txt","長平の問いかけに深い意味があろうとは思わなかったからである。"
"51","sakaguchi","machiwa_furusato.txt","長平は人のことにはセンサクしない男である。"
"52","sakaguchi","machiwa_furusato.txt","ところが、ちょッと、目が光った。"
