"","auth","piece","line"
"0","sakaguchi","machiwa_furusato_sakusha.txt","「街はふるさと」作者の言葉"
"1","sakaguchi","machiwa_furusato_sakusha.txt","坂口安吾"
"2","sakaguchi","machiwa_furusato_sakusha.txt",""
"3","sakaguchi","machiwa_furusato_sakusha.txt","さわやかで、明るい、静かな物語をかこう。"
"4","sakaguchi","machiwa_furusato_sakusha.txt",""
"5","sakaguchi","machiwa_furusato_sakusha.txt","この物語の中の人たちは、金と女、愛と憎しみ、罪や汚れに困りぬいている。"
"6","sakaguchi","machiwa_furusato_sakusha.txt","泥沼へおちてぬけでられない男もいるし、死に場所をさがす女もいる。"
"7","sakaguchi","machiwa_furusato_sakusha.txt","誰か死ぬかも知れない。"
"8","sakaguchi","machiwa_furusato_sakusha.txt","みんなの負うている宿命は暗いが、それは人間全部のものだろう。"
"9","sakaguchi","machiwa_furusato_sakusha.txt",""
"10","sakaguchi","machiwa_furusato_sakusha.txt","街にはザワザワと無数の跫音がむれている。"
"11","sakaguchi","machiwa_furusato_sakusha.txt","泥棒の跫音も、パンパンの跫音も。"
"12","sakaguchi","machiwa_furusato_sakusha.txt","しかし、人間のふるさとは人間の中にしかないと分れば、生きることほど、なつかしいものはないだろう。"
"13","sakaguchi","machiwa_furusato_sakusha.txt",""
"14","sakaguchi","machiwa_furusato_sakusha.txt","地獄の門をくぐりぬけて青空の下へでることもできる。"
"15","sakaguchi","machiwa_furusato_sakusha.txt","ふるさとは、どこにでもあるのだ。"
"16","sakaguchi","machiwa_furusato_sakusha.txt","どこも、かしこも、さわやかで、明るくて、静かなはずである。"
"17","sakaguchi","machiwa_furusato_sakusha.txt",""
"18","sakaguchi","machiwa_furusato_sakusha.txt",""
"19","sakaguchi","machiwa_furusato_sakusha.txt",""
"20","sakaguchi","machiwa_furusato_sakusha.txt",""
"21","sakaguchi","machiwa_furusato_sakusha.txt","底本：「坂口安吾全集09」筑摩書房"
"22","sakaguchi","machiwa_furusato_sakusha.txt","1998（平成10）年10月20日初版第1刷発行"
"23","sakaguchi","machiwa_furusato_sakusha.txt","底本の親本：「読売新聞第二六三五六号」"
"24","sakaguchi","machiwa_furusato_sakusha.txt","1950（昭和25）年5月8日"
"25","sakaguchi","machiwa_furusato_sakusha.txt","初出：「読売新聞第二六三五六号」"
"26","sakaguchi","machiwa_furusato_sakusha.txt","1950（昭和25）年5月8日"
"27","sakaguchi","machiwa_furusato_sakusha.txt","入力：tatsuki"
"28","sakaguchi","machiwa_furusato_sakusha.txt","校正：花田泰治郎"
"29","sakaguchi","machiwa_furusato_sakusha.txt","2006年3月2日作成"
"30","sakaguchi","machiwa_furusato_sakusha.txt","青空文庫作成ファイル："
"31","sakaguchi","machiwa_furusato_sakusha.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"32","sakaguchi","machiwa_furusato_sakusha.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"33","sakaguchi","machiwa_furusato_sakusha.txt",""
