"","auth","piece","line"
"0","sakaguchi","makinosanno_saiten.txt","牧野さんの祭典によせて"
"1","sakaguchi","makinosanno_saiten.txt","坂口安吾"
"2","sakaguchi","makinosanno_saiten.txt",""
"3","sakaguchi","makinosanno_saiten.txt","-------------------------------------------------------"
"4","sakaguchi","makinosanno_saiten.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","makinosanno_saiten.txt",""
"6","sakaguchi","makinosanno_saiten.txt","《》：ルビ"
"7","sakaguchi","makinosanno_saiten.txt","（例）恰も"
"8","sakaguchi","makinosanno_saiten.txt",""
"9","sakaguchi","makinosanno_saiten.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","makinosanno_saiten.txt","（例）ベラ／＼"
"11","sakaguchi","makinosanno_saiten.txt","-------------------------------------------------------"
"12","sakaguchi","makinosanno_saiten.txt",""
"13","sakaguchi","makinosanno_saiten.txt","私の考へ方が間違つてゐるのかも知れないが、私には牧野さんの死がちつとも暗く見えないし、まして悲痛にも見えない。"
"14","sakaguchi","makinosanno_saiten.txt","却つて明るいのである。"
"15","sakaguchi","makinosanno_saiten.txt",""
"16","sakaguchi","makinosanno_saiten.txt","牧野さんの人生は彼の夢で、彼は文学にそして夢に生きてゐた。"
"17","sakaguchi","makinosanno_saiten.txt","夢が人生を殺したのである。"
"18","sakaguchi","makinosanno_saiten.txt","殺した方が牧野さんで、殺された人生の方には却つて牧野さんがなかつた。"
"19","sakaguchi","makinosanno_saiten.txt","牧野さんの自殺は牧野さんの文学の祭典だ。"
"20","sakaguchi","makinosanno_saiten.txt","私はさう考へていいと思つてゐる。"
"21","sakaguchi","makinosanno_saiten.txt","このことは、いづれくはしく書くつもりである。"
"22","sakaguchi","makinosanno_saiten.txt","今は書けない。"
"23","sakaguchi","makinosanno_saiten.txt",""
"24","sakaguchi","makinosanno_saiten.txt","牧野さんの自殺の真相はとにかく牧野さんの文学が最も良く語つてゐるのだ。"
"25","sakaguchi","makinosanno_saiten.txt",""
"26","sakaguchi","makinosanno_saiten.txt",""
"27","sakaguchi","makinosanno_saiten.txt","牧野さんは日常自殺や死に就て語ることがなかつた。"
"28","sakaguchi","makinosanno_saiten.txt","私達がそれに就て語ると、あらはに不興な顔をしたり、軽蔑するやうな顔付をした。"
"29","sakaguchi","makinosanno_saiten.txt","牧野さんにとつて生きることは難く、死は余りに容易であつたのだ。"
"30","sakaguchi","makinosanno_saiten.txt","死には一文の値打もなく語る値打もなかつたのだらう。"
"31","sakaguchi","makinosanno_saiten.txt",""
"32","sakaguchi","makinosanno_saiten.txt","私は彼が自殺に就て語つたただ一つの場合だけを記憶してゐる。"
"33","sakaguchi","makinosanno_saiten.txt","牧野さんが泉岳寺附近にゐた頃だから五六年前のことだが、稲垣足穂が突然やつてきて、貧乏で食へないしめんどくさいから首でもくくらうと思つてね、と唄でもうなるやうな早口でベラ／＼まくしたてたといふ話だつた。"
"34","sakaguchi","makinosanno_saiten.txt","あんな厭味もなく気取りもなく自殺をベラ／＼まくしたてたのは聞いたことがないね、と私に語つたことがある。"
"35","sakaguchi","makinosanno_saiten.txt","そのほかに自殺の話はしたことがない。"
"36","sakaguchi","makinosanno_saiten.txt",""
"37","sakaguchi","makinosanno_saiten.txt",""
"38","sakaguchi","makinosanno_saiten.txt","私はこの数年転々と居候をしたが、牧野さんのところぐらゐ居候心持のいいところはなかつた。"
"39","sakaguchi","makinosanno_saiten.txt","てんでほかの家とけた違ひに居候がしいいのである。"
"40","sakaguchi","makinosanno_saiten.txt","居候といふ感じがみぢんもしない。"
"41","sakaguchi","makinosanno_saiten.txt","ただ生きるといふそれだけの事柄に対して彼ほど至上のいたはりを具えてゐた人はないだらう。"
"42","sakaguchi","makinosanno_saiten.txt",""
"43","sakaguchi","makinosanno_saiten.txt","牧野さんも小説の中でずいぶん方々に居候をしてゐる。"
"44","sakaguchi","makinosanno_saiten.txt","また実際方々で居候もしてゐた。"
"45","sakaguchi","makinosanno_saiten.txt","然し私が彼の家で遇されたやうに、彼が方々で居心持のいい居候でゐられたかどうか甚だ疑はしいものがある。"
"46","sakaguchi","makinosanno_saiten.txt","然し小説の中に於ては恰も私が彼に遇されてゐるやうに快適に遇されてゐる。"
"47","sakaguchi","makinosanno_saiten.txt","――私は彼の文学の方式によつてかくも好遇されたのである。"
"48","sakaguchi","makinosanno_saiten.txt","そのとき私も彼の文学の一点景であつたのだ。"
"49","sakaguchi","makinosanno_saiten.txt","彼ほど実人生を文学によつて設計し、直しつくり変えてしまふ人はなかつた。"
"50","sakaguchi","makinosanno_saiten.txt","文学は自然を摸すとは彼の場合大きな嘘で、自然の方が彼の場合つくり直されて現れてくる。"
"51","sakaguchi","makinosanno_saiten.txt",""
"52","sakaguchi","makinosanno_saiten.txt","たとへば「心象風景」に現れてくる人々の生活、あれは小田原の実在の人物達の生活だが、もしも私が小田原で牧野さんの説明なしにあれらの人々に会つたとしたら、それらの人物があの小説の人々のやうに行為するとは夢にも思へぬことだらう。"
"53","sakaguchi","makinosanno_saiten.txt","私は牧野さんからあれが誰、あれが誰ときかされた上で、彼等に会つたが、彼の示す角度から見る限り、彼等が余りにも牧野さんの小説に一分の狂ひもなく合つてゐるのに吃驚した。"
"54","sakaguchi","makinosanno_saiten.txt","牧野さんの小説は余りにも非現実的のやうであるが、彼の指示する現実を見れば、彼の芸術が非現実的である限り、現実も亦同等に非現実的であつたのである。"
"55","sakaguchi","makinosanno_saiten.txt","彼は不思議な、然し至妙なリアリストであつた。"
"56","sakaguchi","makinosanno_saiten.txt",""
"57","sakaguchi","makinosanno_saiten.txt","このことは、いづれ再びくはしく論じ直したい。"
"58","sakaguchi","makinosanno_saiten.txt",""
"59","sakaguchi","makinosanno_saiten.txt",""
"60","sakaguchi","makinosanno_saiten.txt","彼の死ほど物欲しさうでない死はない。"
"61","sakaguchi","makinosanno_saiten.txt","死ぬことは、彼にはどうでもいいことだつた。"
"62","sakaguchi","makinosanno_saiten.txt","すべてはただ生きることに尽されてゐた。"
"63","sakaguchi","makinosanno_saiten.txt","彼の生は「死」の影がすこしも隠されてゐない明るさのために、あまりにも激しく死に裏打されてゐた。"
"64","sakaguchi","makinosanno_saiten.txt","生きることはただ生きることそれだけであるために、彼の生は却つて死にみいられてゐた。"
"65","sakaguchi","makinosanno_saiten.txt","だから、彼の死は自然で、すこしも劇的でなく、芝居気がなく、物欲しさうでないのだ。"
"66","sakaguchi","makinosanno_saiten.txt","即ち純粋な魂が生きつづけた。"
"67","sakaguchi","makinosanno_saiten.txt","死をも尚生きつづけた。"
"68","sakaguchi","makinosanno_saiten.txt","さうではないか、牧野さん。"
"69","sakaguchi","makinosanno_saiten.txt","生きるために自殺をするといふのは多くの自殺がさうであるが、牧野さんは自殺を生きつづけたと言ふべきである。"
"70","sakaguchi","makinosanno_saiten.txt","彼は生きつづけてしまつたのだ。"
"71","sakaguchi","makinosanno_saiten.txt","明るい自殺よ。"
"72","sakaguchi","makinosanno_saiten.txt","彼の自殺は祭典であつた。"
"73","sakaguchi","makinosanno_saiten.txt","いざ友よ、ただ飲まんかな。"
"74","sakaguchi","makinosanno_saiten.txt","唄はんかな。"
"75","sakaguchi","makinosanno_saiten.txt","愛する詩人の祭典のために。"
"76","sakaguchi","makinosanno_saiten.txt",""
"77","sakaguchi","makinosanno_saiten.txt",""
"78","sakaguchi","makinosanno_saiten.txt",""
"79","sakaguchi","makinosanno_saiten.txt",""
"80","sakaguchi","makinosanno_saiten.txt","底本：「坂口安吾全集02」筑摩書房"
"81","sakaguchi","makinosanno_saiten.txt","1999（平成11）年4月20日初版第1刷発行"
"82","sakaguchi","makinosanno_saiten.txt","底本の親本：「早稲田文学第三巻第五号」"
"83","sakaguchi","makinosanno_saiten.txt","1936（昭和11）年5月1日発行"
"84","sakaguchi","makinosanno_saiten.txt","初出：「早稲田文学第三巻第五号」"
"85","sakaguchi","makinosanno_saiten.txt","1936（昭和11）年5月1日発行"
"86","sakaguchi","makinosanno_saiten.txt","入力：tatsuki"
"87","sakaguchi","makinosanno_saiten.txt","校正：今井忠夫"
"88","sakaguchi","makinosanno_saiten.txt","2005年12月10日作成"
"89","sakaguchi","makinosanno_saiten.txt","青空文庫作成ファイル："
"90","sakaguchi","makinosanno_saiten.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"91","sakaguchi","makinosanno_saiten.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"92","sakaguchi","makinosanno_saiten.txt",""
