"","auth","piece","line"
"0","sakaguchi","meijikaika_ango_kojo.txt","明治開化安吾捕物帖"
"1","sakaguchi","meijikaika_ango_kojo.txt","読者への口上"
"2","sakaguchi","meijikaika_ango_kojo.txt","坂口安吾"
"3","sakaguchi","meijikaika_ango_kojo.txt",""
"4","sakaguchi","meijikaika_ango_kojo.txt","-------------------------------------------------------"
"5","sakaguchi","meijikaika_ango_kojo.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","meijikaika_ango_kojo.txt",""
"7","sakaguchi","meijikaika_ango_kojo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"8","sakaguchi","meijikaika_ango_kojo.txt","（例）安吾生"
"9","sakaguchi","meijikaika_ango_kojo.txt","-------------------------------------------------------"
"10","sakaguchi","meijikaika_ango_kojo.txt",""
"11","sakaguchi","meijikaika_ango_kojo.txt","この捕物帖はたいがい五段からできています。"
"12","sakaguchi","meijikaika_ango_kojo.txt","第一段は虎之介が海舟を訪ねて事件の説明にかかること。"
"13","sakaguchi","meijikaika_ango_kojo.txt","（但し、この段は省くことがあります。"
"14","sakaguchi","meijikaika_ango_kojo.txt","）第二は事件の説明。"
"15","sakaguchi","meijikaika_ango_kojo.txt","第三は海舟が推理のこと。"
"16","sakaguchi","meijikaika_ango_kojo.txt","第四段は新十郎が犯人を見つけだすこと。"
"17","sakaguchi","meijikaika_ango_kojo.txt","第五段は海舟が負け惜しみを云うこと。"
"18","sakaguchi","meijikaika_ango_kojo.txt","以上のうち第二段がほぼ全体の六分の五をしめ、全部が六十枚なら、この段に五十枚、他は全部を合せても十枚ぐらいで、これが解決です。"
"19","sakaguchi","meijikaika_ango_kojo.txt",""
"20","sakaguchi","meijikaika_ango_kojo.txt","捕物帖のことですから決して厳密な推理小説ではありませんが、捕物帖としては特に推理に重点をおき、一応第二段に推理のタネはそろえておきますから、お慰みに、推理しながら読んでいただいたら退屈しのぎになるかも知れません。"
"21","sakaguchi","meijikaika_ango_kojo.txt","作者はそんなツモリでこの捕物帖をかいているのです。"
"22","sakaguchi","meijikaika_ango_kojo.txt","第三段の海舟が心眼を用いるところで本をふせて一服しながら推理することに願います。"
"23","sakaguchi","meijikaika_ango_kojo.txt","海舟は毎々七分通り失敗することになっていますが、今までの探偵小説では、偉い探偵の相棒にトンマな探偵が現れて大マチガイの推理をはたらかせてあんまりバカすぎたようです。"
"24","sakaguchi","meijikaika_ango_kojo.txt","よんでいる方でも、自分の推理が当らないと、トンマな探偵氏と同じようなトンマに見えて自分がイヤになるのが通例ですが、海舟という明治きっての大頭脳が失敗するのですから、この捕物帖の読者は推理が狂っても、オレもマンザラでないなと一安心していただけるでしょう。"
"25","sakaguchi","meijikaika_ango_kojo.txt","そこでメデタシ、メデタシ、というのが、この捕物帖です。"
"26","sakaguchi","meijikaika_ango_kojo.txt",""
"27","sakaguchi","meijikaika_ango_kojo.txt","皆さんのオヒマの折のお友達というようなお役に立てたらと考えて書いた捕物帖ですから、楽な気持で推理をたのしみながら愛読をたまわれば幸甚です。"
"28","sakaguchi","meijikaika_ango_kojo.txt",""
"29","sakaguchi","meijikaika_ango_kojo.txt",""
"30","sakaguchi","meijikaika_ango_kojo.txt","昭和二十八年二月二十六日"
"31","sakaguchi","meijikaika_ango_kojo.txt","安吾生"
"32","sakaguchi","meijikaika_ango_kojo.txt",""
"33","sakaguchi","meijikaika_ango_kojo.txt",""
"34","sakaguchi","meijikaika_ango_kojo.txt",""
"35","sakaguchi","meijikaika_ango_kojo.txt","底本：「坂口安吾全集12」ちくま文庫、筑摩書房"
"36","sakaguchi","meijikaika_ango_kojo.txt","1990（平成2）年8月28日第1刷発行"
"37","sakaguchi","meijikaika_ango_kojo.txt","底本の親本：「明治開化安吾捕物帖第一集」日本出版共同株式会社"
"38","sakaguchi","meijikaika_ango_kojo.txt","1953（昭和28）年4月1日"
"39","sakaguchi","meijikaika_ango_kojo.txt","初出：「小説新潮第五巻第一号」"
"40","sakaguchi","meijikaika_ango_kojo.txt","1951（昭和26）年1月1日発行"
"41","sakaguchi","meijikaika_ango_kojo.txt","入力：大野晋、tatsuki"
"42","sakaguchi","meijikaika_ango_kojo.txt","校正：土屋隆"
"43","sakaguchi","meijikaika_ango_kojo.txt","2006年1月23日作成"
"44","sakaguchi","meijikaika_ango_kojo.txt","青空文庫作成ファイル："
"45","sakaguchi","meijikaika_ango_kojo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"46","sakaguchi","meijikaika_ango_kojo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"47","sakaguchi","meijikaika_ango_kojo.txt",""
