"","auth","piece","line"
"0","sakaguchi","mizudoritei.txt","水鳥亭"
"1","sakaguchi","mizudoritei.txt","坂口安吾"
"2","sakaguchi","mizudoritei.txt",""
"3","sakaguchi","mizudoritei.txt","-------------------------------------------------------"
"4","sakaguchi","mizudoritei.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","mizudoritei.txt",""
"6","sakaguchi","mizudoritei.txt","《》：ルビ"
"7","sakaguchi","mizudoritei.txt","（例）午"
"8","sakaguchi","mizudoritei.txt",""
"9","sakaguchi","mizudoritei.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","mizudoritei.txt","（例）"
"11","sakaguchi","mizudoritei.txt","-------------------------------------------------------"
"12","sakaguchi","mizudoritei.txt",""
"13","sakaguchi","mizudoritei.txt","一匹のイワシ"
"14","sakaguchi","mizudoritei.txt",""
"15","sakaguchi","mizudoritei.txt","日曜の夜になると、梅村亮作の女房信子はさッさとフトンをかぶって、ねてしもう。"
"16","sakaguchi","mizudoritei.txt","娘の克子もそれにならって、フトンをひっかぶって、ねるのであった。"
"17","sakaguchi","mizudoritei.txt",""
"18","sakaguchi","mizudoritei.txt","九時半か十時ごろ、"
"19","sakaguchi","mizudoritei.txt","「梅村さん。"
"20","sakaguchi","mizudoritei.txt","起きてますか」"
"21","sakaguchi","mizudoritei.txt","裏口から、こう声がかかる。"
"22","sakaguchi","mizudoritei.txt",""
"23","sakaguchi","mizudoritei.txt","火のない火鉢にかがみこんで、タバコの屑をさがしだしてキセルにつめて吸っていた亮作は、その声に活気づいて立ち上る。"
"24","sakaguchi","mizudoritei.txt",""
"25","sakaguchi","mizudoritei.txt","いそいそと裏戸をあけて、"
"26","sakaguchi","mizudoritei.txt","「ヤア、おかえりですか。"
"27","sakaguchi","mizudoritei.txt","さア、どうぞ、おあがり下さい」"
"28","sakaguchi","mizudoritei.txt","声もうわずり、ふるえをおびている。"
"29","sakaguchi","mizudoritei.txt",""
"30","sakaguchi","mizudoritei.txt","野口は亮作の喜ぶさまを見るだけで満足らしく、インギンな物腰の中に社長らしい落付きがこもってくる。"
"31","sakaguchi","mizudoritei.txt","彼は包みをといて、"
"32","sakaguchi","mizudoritei.txt","「ハイ。"
"33","sakaguchi","mizudoritei.txt","タマゴ。"
"34","sakaguchi","mizudoritei.txt","それから、今朝はイワシが大漁でしてね」"
"35","sakaguchi","mizudoritei.txt","タマゴ三個と十匹足らずのイワシの紙包みをとりだしてくれる。"
"36","sakaguchi","mizudoritei.txt",""
"37","sakaguchi","mizudoritei.txt","「これはウチの畑の大根とニンジン」"
"38","sakaguchi","mizudoritei.txt","それらの品々は亮作の目には宝石に見まごうほどの品々であった。"
"39","sakaguchi","mizudoritei.txt","彼は茫然とうけとっているのである。"
"40","sakaguchi","mizudoritei.txt","その目には、涙が流れさえするのであった。"
"41","sakaguchi","mizudoritei.txt",""
"42","sakaguchi","mizudoritei.txt","「もう、みなさんは、おやすみですか」"
"43","sakaguchi","mizudoritei.txt","「いえ、かまいませんよ。"
"44","sakaguchi","mizudoritei.txt","どうぞ、あがって下さい」"
"45","sakaguchi","mizudoritei.txt","「いま伊東からの帰り路ですよ。"
"46","sakaguchi","mizudoritei.txt","まだウチへ行ってないのです。"
"47","sakaguchi","mizudoritei.txt","おやすみ」"
"48","sakaguchi","mizudoritei.txt","野口は笑顔を残して、静かに立去る。"
"49","sakaguchi","mizudoritei.txt",""
"50","sakaguchi","mizudoritei.txt","日曜の夜の習慣であった。"
"51","sakaguchi","mizudoritei.txt","信子と克子は、これが見たくないので、早々にフトンをひッかぶって、ねてしもうのである。"
"52","sakaguchi","mizudoritei.txt",""
"53","sakaguchi","mizudoritei.txt","そのくせ信子も克子も野口のくれた物を存分に食う。"
"54","sakaguchi","mizudoritei.txt","さかんにくれた人と貰った人の悪口をわめきながら食うのである。"
"55","sakaguchi","mizudoritei.txt",""
"56","sakaguchi","mizudoritei.txt","「そんなに厭な人から貰った物なら、お前たち、食うな」"
"57","sakaguchi","mizudoritei.txt","亮作は怒りにぶるぶるふるえるが、二人の女はとりあわない。"
"58","sakaguchi","mizudoritei.txt","そして益々悪口を叫びつづける。"
"59","sakaguchi","mizudoritei.txt",""
"60","sakaguchi","mizudoritei.txt","「なんですね。"
"61","sakaguchi","mizudoritei.txt","あの男は。"
"62","sakaguchi","mizudoritei.txt","この子の生れたころは、あなたの同僚ですよ。"
"63","sakaguchi","mizudoritei.txt","ひところは失敗つづきで、乞食のような様子をして、ウチへ借金に来たことだってありましたよ。"
"64","sakaguchi","mizudoritei.txt","それになんですか。"
"65","sakaguchi","mizudoritei.txt","いくらか出世したと思って、たかが戦争成金のくせに、威張りかえって」"
"66","sakaguchi","mizudoritei.txt","「威張っておらんじゃないか」"
"67","sakaguchi","mizudoritei.txt","「威張ってますよ。"
"68","sakaguchi","mizudoritei.txt","昔はキミボク、イケぞんざいに話し合っていたくせに、いくらか出世したかと思って、あなた、私。"
"69","sakaguchi","mizudoritei.txt","おお、イヤだ。"
"70","sakaguchi","mizudoritei.txt","以前なら、いま伊東の帰りだよ、といったところを、いま伊東の別荘からの帰り路なんですよ。"
"71","sakaguchi","mizudoritei.txt","なんてイヤらしい」"
"72","sakaguchi","mizudoritei.txt","「バカな。"
"73","sakaguchi","mizudoritei.txt","へりくだっているんじゃないか」"
"74","sakaguchi","mizudoritei.txt","「ウソですよ。"
"75","sakaguchi","mizudoritei.txt","へりくだると見せて威張るのよ。"
"76","sakaguchi","mizudoritei.txt","悪質の成金趣味よ。"
"77","sakaguchi","mizudoritei.txt","ねえ、克子」"
"78","sakaguchi","mizudoritei.txt","「そうよ。"
"79","sakaguchi","mizudoritei.txt","無学文盲の悪趣味よ。"
"80","sakaguchi","mizudoritei.txt","裏長屋の貴族趣味ね」"
"81","sakaguchi","mizudoritei.txt","「バカな。"
"82","sakaguchi","mizudoritei.txt","お前らのハラワタが汚いから、汚い見方しか出来ないのだ。"
"83","sakaguchi","mizudoritei.txt","だいいち、野口君は、伊東の別荘などと言いはせん。"
"84","sakaguchi","mizudoritei.txt","いつも、ただ、伊東の、という。"
"85","sakaguchi","mizudoritei.txt","つとめて成金らしい口吻をさけているのが分らんか」"
"86","sakaguchi","mizudoritei.txt","「つまんない。"
"87","sakaguchi","mizudoritei.txt","裏長屋のザアマス趣味をひッくりかえしただけよ」"
"88","sakaguchi","mizudoritei.txt","女子大生の克子は投げすてるように言う。"
"89","sakaguchi","mizudoritei.txt",""
"90","sakaguchi","mizudoritei.txt","「伊東の別荘と言いたいのを、伊東で切らなきゃならないからイヤらしいのよ。"
"91","sakaguchi","mizudoritei.txt","使用人に届けさしゃいいものを、今、帰り路ですなんて、恩にもきせたいし、伊東の別荘も言いたいからよ。"
"92","sakaguchi","mizudoritei.txt","わざと、へりくだることないじゃないの。"
"93","sakaguchi","mizudoritei.txt","いつもタマゴは三ツなのね。"
"94","sakaguchi","mizudoritei.txt","不自然ね。"
"95","sakaguchi","mizudoritei.txt","ムリして数を合せてさ。"
"96","sakaguchi","mizudoritei.txt","一から十までムリしてるのよ」"
"97","sakaguchi","mizudoritei.txt","「生意気な。"
"98","sakaguchi","mizudoritei.txt","なにを言うか。"
"99","sakaguchi","mizudoritei.txt","このイワシをみろ。"
"100","sakaguchi","mizudoritei.txt","七匹じゃないか。"
"101","sakaguchi","mizudoritei.txt","ムリして数を合せてはおらん。"
"102","sakaguchi","mizudoritei.txt","お前らのゲスのカングリ、汚らしいぞ」"
"103","sakaguchi","mizudoritei.txt","克子は皿の上の焼いたイワシに白い眼をむけて、"
"104","sakaguchi","mizudoritei.txt","「七匹なんて、変ね」"
"105","sakaguchi","mizudoritei.txt","と、薄笑いをうかべる。"
"106","sakaguchi","mizudoritei.txt","イワシを突きこわして、ゆっくり食べながら、"
"107","sakaguchi","mizudoritei.txt","「九匹じゃ、惜しいのね。"
"108","sakaguchi","mizudoritei.txt","六匹に一匹、足したツモリかしら。"
"109","sakaguchi","mizudoritei.txt","九匹から二匹、ひいたのかしら」"
"110","sakaguchi","mizudoritei.txt","亮作はつかみかかりたいほど怒りの衝動にかられて、"
"111","sakaguchi","mizudoritei.txt","「私の問いかけたことにハッキリ答えろ。"
"112","sakaguchi","mizudoritei.txt","ムリして数を合せているか。"
"113","sakaguchi","mizudoritei.txt","これ！」"
"114","sakaguchi","mizudoritei.txt","「それは、たぶん」"
"115","sakaguchi","mizudoritei.txt","克子の顔から血の気がひいて、白い薄笑いをはりつけたようになるのであった。"
"116","sakaguchi","mizudoritei.txt",""
"117","sakaguchi","mizudoritei.txt","「忠誠と柔順に対する特別の恩賞ね。"
"118","sakaguchi","mizudoritei.txt","一匹のイワシのために老いの目に涙をうかべて喜ぶ人がいたのね。"
"119","sakaguchi","mizudoritei.txt","昔の同僚が町工場の小成金に出世して、拾いあげてくれたの。"
"120","sakaguchi","mizudoritei.txt","実直でグズなところを見こまれて、会計をあずかる重要なポストを与えられたのよ。"
"121","sakaguchi","mizudoritei.txt","けれども、平社員で、サラリーは安いのよ。"
"122","sakaguchi","mizudoritei.txt","その代り、社長は、あなた、あります、とテイネイな敬語で話しかけて、あたたかく遇してくれるのよ。"
"123","sakaguchi","mizudoritei.txt","そして六匹のほかに、余分に一匹のイワシも与えるの。"
"124","sakaguchi","mizudoritei.txt","すると平社員は老いの目に涙をたたえて、日曜の夜の社長の別荘帰りをお待ちするのよ」"
"125","sakaguchi","mizudoritei.txt","女子大学生の理にかなった皮肉が、社長からわが身へと移ると、亮作は抵抗を失ってしもうのである。"
"126","sakaguchi","mizudoritei.txt","彼の息の根は怒りに止まる。"
"127","sakaguchi","mizudoritei.txt","逆上するが、口をつぐんで、うなだれてしもうのである。"
"128","sakaguchi","mizudoritei.txt",""
"129","sakaguchi","mizudoritei.txt","亮作と野口は、東京近郊の農村で、小学校の教員をしていたことがあった。"
"130","sakaguchi","mizudoritei.txt","野口は教員にあきたらず、事業に手をだして落魄し、チャルメラを吹く中華ソバ屋をやったり、実入りがあるというので、葬儀屋の番頭をやったり、病気上りの馬を安く買って運送屋をやり、馬がコロリと死んだりした。"
"131","sakaguchi","mizudoritei.txt","死ぬかも知れないという不安を賭けての仕事だから、諦めはついたが、この馬は死の直前に発狂して、クワッと血走った目をひらいて瀕死の藁床から起き上ると、天へ跳び上るような恰好をした。"
"132","sakaguchi","mizudoritei.txt","つまり後肢で立って、前肢を人間の幽霊のように胸に曲げて、クビを蛇がのびるように天へねじあげたのである。"
"133","sakaguchi","mizudoritei.txt","そして綱を切ってしまった。"
"134","sakaguchi","mizudoritei.txt","馬小屋をとびだし、真一文字に五六町ほど道を走って、バッタリ倒れて、こときれたのである。"
"135","sakaguchi","mizudoritei.txt","医者がみたわけではないが、野口は馬の脳膜炎だと人に話した。"
"136","sakaguchi","mizudoritei.txt",""
