"","auth","piece","line"
"0","sakaguchi","mochino_tatari.txt","餅のタタリ"
"1","sakaguchi","mochino_tatari.txt","坂口安吾"
"2","sakaguchi","mochino_tatari.txt",""
"3","sakaguchi","mochino_tatari.txt","-------------------------------------------------------"
"4","sakaguchi","mochino_tatari.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","mochino_tatari.txt",""
"6","sakaguchi","mochino_tatari.txt","《》：ルビ"
"7","sakaguchi","mochino_tatari.txt","（例）円池サン"
"8","sakaguchi","mochino_tatari.txt",""
"9","sakaguchi","mochino_tatari.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","mochino_tatari.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","sakaguchi","mochino_tatari.txt","（例）※"
"12","sakaguchi","mochino_tatari.txt","-------------------------------------------------------"
"13","sakaguchi","mochino_tatari.txt",""
"14","sakaguchi","mochino_tatari.txt","餅を落した泥棒"
"15","sakaguchi","mochino_tatari.txt",""
"16","sakaguchi","mochino_tatari.txt","土地によって一風変った奇習や奇祭があるものだが、日本中おしなべて変りのないのは新年にお餅を食べ門松をたてて祝う。"
"17","sakaguchi","mochino_tatari.txt","お雑煮の作り方は土地ごとに大そうな違いはあるが、お餅を食べ門松をたてて新春を祝うことだけは日本中変りがなかろうと誰しも思いがちである。"
"18","sakaguchi","mochino_tatari.txt",""
"19","sakaguchi","mochino_tatari.txt","意外にも、新年にお餅も食べず門松もたてない村や部落は日本の諸地にかなり散在しているのだが、上州には特に多い。"
"20","sakaguchi","mochino_tatari.txt","その上州でもある郡では諸町村の大部分が昔から新年を祝う風習をもっていない。"
"21","sakaguchi","mochino_tatari.txt","それでも、ま、新年のオツキアイだけは気持ばかり致しましょう、というわけか、三※日だけウドンを食べる。"
"22","sakaguchi","mochino_tatari.txt",""
"23","sakaguchi","mochino_tatari.txt","もともと上州の人たちは好んでウドンをたべる。"
"24","sakaguchi","mochino_tatari.txt","農村では米を作りながら自分はウドンの方を喜んで食ってるという土地柄であるから、新年にウドンを食ってもふだんと変りがないようなものだ。"
"25","sakaguchi","mochino_tatari.txt","むしろ新年のウドンの方がふだんのウドンよりもまずいぐらいで、テンプラウドンやキツネウドンにくらべると大そう風味が悪いような特別な作り方のウドンを三※日間というもの三度々々我慢して食べてる。"
"26","sakaguchi","mochino_tatari.txt","まったく我慢して食べてるとしか云いようがないほど味気ない食膳で、ふだんの方がゴチソウがあるのだ。"
"27","sakaguchi","mochino_tatari.txt","要するにその食卓から新年を祝う気分を見ることはできなくて、むしろ一ツ年をとって死期が近づいたのをシミジミ観念して味っているような食卓なのである。"
"28","sakaguchi","mochino_tatari.txt",""
"29","sakaguchi","mochino_tatari.txt","どうして新年にウドンを食うかということについては昔からいろいろ云われているが、いずれも納得できるものではない。"
"30","sakaguchi","mochino_tatari.txt","むしろ、上州ばかりでなく、日本の諸地では昔から新年にウドンを食っていたのかも知れない。"
"31","sakaguchi","mochino_tatari.txt","餅をくって門松をたてる風習の方が後にできてやがて日本中に流行してしまったのかも知れず、そのとき意地ッぱりの村があって、オレだけはウドンをやめないとガンバリつづけたのが今に残ったのかも知れない。"
"32","sakaguchi","mochino_tatari.txt","上州にはそういう意地ッぱりの気風があるようだ。"
"33","sakaguchi","mochino_tatari.txt",""
"34","sakaguchi","mochino_tatari.txt","さて、そういう村のあるところに、日当りのよい前庭に百坪もある円い池のある農家があった。"
"35","sakaguchi","mochino_tatari.txt","その池には先祖からの鯉がいっぱい泳いでいて、それだけでも一財産だと云われているほどの池だから、この家はいつのころからか円池サンという通称でよばれるようになっていた。"
"36","sakaguchi","mochino_tatari.txt",""
"37","sakaguchi","mochino_tatari.txt","年の暮も押しつまって明日は新年という大晦日の夜更けに、円池の平吉という当主が便所に立ったところ、その晩はカラッ風のない晩で、そういうときのシンシンとした寒さ静けさはまた一入なものだ。"
"38","sakaguchi","mochino_tatari.txt","思わず足音を殺すようにして廊下を歩いていると、庭でコツンバシャンとかすかな音がする。"
"39","sakaguchi","mochino_tatari.txt","立ち止って耳をすますと、どうも氷をわる音だ。"
"40","sakaguchi","mochino_tatari.txt","まだ氷が厚くないらしく、竹竿ようのもので誰かが池の氷をわっているようである。"
"41","sakaguchi","mochino_tatari.txt",""
"42","sakaguchi","mochino_tatari.txt","「さては鯉泥棒だな。"
"43","sakaguchi","mochino_tatari.txt","大晦日だというのに商売熱心の奴がいるものだ。"
"44","sakaguchi","mochino_tatari.txt","大方正月のオカズにしようというのだろう。"
"45","sakaguchi","mochino_tatari.txt","悪い奴だ」"
"46","sakaguchi","mochino_tatari.txt","そッとシンバリ棒を外した平吉が、ガラリと戸をあけると、その棒をふりかぶって、"
"47","sakaguchi","mochino_tatari.txt","「この泥棒野郎！」"
"48","sakaguchi","mochino_tatari.txt","と暗闇の中へおどりこむと、泥棒は竹竿を池の中へ投げすてて逃げてしまった。"
"49","sakaguchi","mochino_tatari.txt","家族の者がおどろいて起きてきたので、平吉はチョーチンをつけさせて池のフチへ行ってみると、池の中に浮いてるのは彼の家のホシモノ竿であるが、そのほかに安物のツリ竿、ビク、そして手ヌグイ包みが一ツ落ッこちている。"
"50","sakaguchi","mochino_tatari.txt","包みの中から見なれない変なものがでてきた。"
"51","sakaguchi","mochino_tatari.txt",""
"52","sakaguchi","mochino_tatari.txt","「魚の餌しては変だなア。"
"53","sakaguchi","mochino_tatari.txt","なんだろう？まだ、ビクはカラだな。"
"54","sakaguchi","mochino_tatari.txt","一匹もつらないうちに、道具一式おき忘れて逃げちまやがった。"
"55","sakaguchi","mochino_tatari.txt","いい気味だ」"
"56","sakaguchi","mochino_tatari.txt","そこで平吉は戦利品を屋内へ持ち帰って、"
"57","sakaguchi","mochino_tatari.txt","「これを取りあげちまえば、もう今晩は盗みができない。"
"58","sakaguchi","mochino_tatari.txt","一本十円ばかりのこの安竿で何百円何千円という鯉を盗みとろうとはふとい野郎がいるものだなア。"
"59","sakaguchi","mochino_tatari.txt","アレ。"
"60","sakaguchi","mochino_tatari.txt","ビクの中にエサのネリ餌があらア。"
"61","sakaguchi","mochino_tatari.txt","するとこの手ヌグイ包みは何だろうな」"
"62","sakaguchi","mochino_tatari.txt","電燈の下にひろげてみると、矩形の変にやわらかな焼いた物だ。"
"63","sakaguchi","mochino_tatari.txt",""
"64","sakaguchi","mochino_tatari.txt","「こりゃア餅じゃアないか」"
"65","sakaguchi","mochino_tatari.txt","「そうだわ。"
"66","sakaguchi","mochino_tatari.txt","焼いた餅だわ」"
"67","sakaguchi","mochino_tatari.txt","「してみるてえと、魚のエサじゃアなくて、泥棒のエサだな。"
"68","sakaguchi","mochino_tatari.txt","これを食いながらノンビリ鯉をつるつもりだったんだなア。"
"69","sakaguchi","mochino_tatari.txt","泥棒を遊山と心得てやがる」"
"70","sakaguchi","mochino_tatari.txt","「ですが、新年のお餅でしょうから、この村の人じゃアありませんね。"
"71","sakaguchi","mochino_tatari.txt","村の者はこんな悪いことはしませんよ」"
"72","sakaguchi","mochino_tatari.txt","「なるほど、そうだ。"
"73","sakaguchi","mochino_tatari.txt","この村の者は新年に餅なんぞ食いやしねえな。"
"74","sakaguchi","mochino_tatari.txt","だが、まてよ。"
"75","sakaguchi","mochino_tatari.txt","フム。"
"76","sakaguchi","mochino_tatari.txt","泥棒は、わかったぞ。"
"77","sakaguchi","mochino_tatari.txt","あの野郎ときまった。"
"78","sakaguchi","mochino_tatari.txt","ふてえ野郎だ」"
"79","sakaguchi","mochino_tatari.txt","「誰ですか」"
"80","sakaguchi","mochino_tatari.txt","「杉の木の野郎だよ。"
"81","sakaguchi","mochino_tatari.txt","この村に、新年に餅を食う変テコな野郎は一人しかいない。"
"82","sakaguchi","mochino_tatari.txt","あの野郎め、オレの鯉で餅の味をつけようてえ寸法だな」"
"83","sakaguchi","mochino_tatari.txt","「村の人を疑っちゃいけないわ。"
"84","sakaguchi","mochino_tatari.txt","杉の木さんはお金持でしょう」"
"85","sakaguchi","mochino_tatari.txt","「ケチンボーではこの上なしの奴だ。"
"86","sakaguchi","mochino_tatari.txt","みろよ。"
"87","sakaguchi","mochino_tatari.txt","お弁当の餅といえば、ノリをまくとか何とか味をつけるものだ。"
"88","sakaguchi","mochino_tatari.txt","この餅は焼いただけで味なんぞつけてやしないや。"
"89","sakaguchi","mochino_tatari.txt","あのケチンボーめのやりそうなことだ。"
"90","sakaguchi","mochino_tatari.txt","餅を食う奴にろくな奴はいやしない。"
"91","sakaguchi","mochino_tatari.txt","とッちめてくれるぞ」"
"92","sakaguchi","mochino_tatari.txt","円池の隣家――といっても畑をはさんで一町の余も離れているが、そこに一本の大きな杉の木のある農家があった。"
"93","sakaguchi","mochino_tatari.txt","ちょうど隣家の円池と同じように、日当りのよい前庭の真ン中に杉の木がある。"
"94","sakaguchi","mochino_tatari.txt","そこで通称杉の木サンとよばれている。"
"95","sakaguchi","mochino_tatari.txt","両家ともに村ではお金持である。"
"96","sakaguchi","mochino_tatari.txt",""
"97","sakaguchi","mochino_tatari.txt","円池と杉の木は、その前庭の存在物のために昔から両家で張りあっていた。"
"98","sakaguchi","mochino_tatari.txt","つまり、オレの杉の木が古い、オレの円池がもっと古いと称して両々ゆずらないのである。"
"99","sakaguchi","mochino_tatari.txt","たがいに一方を成り上り者と称し、他が一方の前庭の存在をマネて、同じ位置に細工を施したものだ、という先祖からの家伝によるのであった。"
"100","sakaguchi","mochino_tatari.txt",""
"101","sakaguchi","mochino_tatari.txt","杉の木の当主助六は戦争中に杉の木にシメナワをめぐらして神木に仕立ててしまった。"
"102","sakaguchi","mochino_tatari.txt","そして無事供出をまぬがれるとともに、シメナワをはるわけにいかない隣家の円池を見下して、杉の木の由緒を誇ったのである。"
"103","sakaguchi","mochino_tatari.txt","それ以来、両家の仲は一そう悪くなってしまった。"
"104","sakaguchi","mochino_tatari.txt",""
"105","sakaguchi","mochino_tatari.txt","杉の木の助六は若いころ旅にでて、オシルコもおいしいし、お雑煮もおいしいものだということを発見し、年に一度の正月に餅を食うのは舌にとっても正月だということを確認したのである。"
"106","sakaguchi","mochino_tatari.txt","そこで自分の代になると、正月は餅をついて食うことにした。"
"107","sakaguchi","mochino_tatari.txt",""
"108","sakaguchi","mochino_tatari.txt","その餅をつくためのウスとキネを町で買って村へ戻ってきたとき、村境にでて助六を待っていたのは村の有志十名あまりで、その先頭に平吉がいた。"
"109","sakaguchi","mochino_tatari.txt","彼は皆を代表して助六をさえぎって云った。"
"110","sakaguchi","mochino_tatari.txt",""
"111","sakaguchi","mochino_tatari.txt","「そのウスとキネはこの村の中には一歩も入れられない」"
"112","sakaguchi","mochino_tatari.txt","「なぜだ」"
"113","sakaguchi","mochino_tatari.txt","「そういうものでスットンスットンやると、餅を食べたことのない御先祖様御一統の地下の霊がおどろいてお騒ぎになる。"
"114","sakaguchi","mochino_tatari.txt","また村の神様のタタリもあろう。"
"115","sakaguchi","mochino_tatari.txt","村に不吉なことが起るから、そのウスとキネは一歩も村の中に入れられない」"
"116","sakaguchi","mochino_tatari.txt","「そのタタリというのは、いまお前さん方が無法にも人の通行を邪魔してることだ。"
"117","sakaguchi","mochino_tatari.txt","天下の公道の中にウスとキネの関所があるのは聞いたことがない。"
"118","sakaguchi","mochino_tatari.txt","もしも、たってさえぎると、お前さん方は法律によって牢にはいることになる。"
"119","sakaguchi","mochino_tatari.txt","それがタタリというものだ。"
"120","sakaguchi","mochino_tatari.txt","そのほかにタタリがあったら、お目にかかろう」"
"121","sakaguchi","mochino_tatari.txt","助六はこう見栄をきった。"
"122","sakaguchi","mochino_tatari.txt","そしで荷車をひく人足にきびしく前進の命令を下した。"
"123","sakaguchi","mochino_tatari.txt","十名あまりの有志の中にたってさえぎる勇者が一人もいなかったので、平吉も涙をのんでウスとキネの侵入を見送らなければならなかった。"
"124","sakaguchi","mochino_tatari.txt","助六の餅については、その発端からこういう曰くインネンがあったのである。"
"125","sakaguchi","mochino_tatari.txt","それからもう二十何年も時が流れている。"
"126","sakaguchi","mochino_tatari.txt","あいにく餅のタタリが現れて助六の杉の木が雷にうたれてさけることもなく、助六のノドに餅がつかえたことすらもないから、平吉の無念の涙はいまだに乾くヒマがなかったのである。"
"127","sakaguchi","mochino_tatari.txt","そこで平吉は泥棒のおき残した手ヌグイ包みの餅を仏前のタタミの上において、仏壇を伏し拝んで落涙し、ついに御先祖様御一統の加護があらわれたことを感謝したのである。"
"128","sakaguchi","mochino_tatari.txt",""
"129","sakaguchi","mochino_tatari.txt",""
"130","sakaguchi","mochino_tatari.txt","証拠より論"
"131","sakaguchi","mochino_tatari.txt",""
"132","sakaguchi","mochino_tatari.txt","元日の午、村の重立った者が役場に集って、心ばかり新年を祝うことになっていた。"
"133","sakaguchi","mochino_tatari.txt","平吉は今年の元日に限って朝から一杯キゲン、大そうよい心持だ。"
"134","sakaguchi","mochino_tatari.txt","午になると、ツリ竿とビクと手ヌグイ包みをぶらさげて、満面に笑をたたえて役場へ急いだ。"
"135","sakaguchi","mochino_tatari.txt",""
"136","sakaguchi","mochino_tatari.txt","「元日から魚ツリですか」"
"137","sakaguchi","mochino_tatari.txt","「ハッハッハ」平吉は笑うのみで黙して語らず、期待に胸をワクワクさせて、新年遥拝式の終るのを待った。"
"138","sakaguchi","mochino_tatari.txt","餅を食ってきたに相違ない助六も、天を怖れる風もなく、列に並んで新年遥拝を終った。"
"139","sakaguchi","mochino_tatari.txt",""
"140","sakaguchi","mochino_tatari.txt","さて祝宴がはじまったとき、平吉はいよいよすッくと立上って、ツリ竿とビクを差上げて、"
"141","sakaguchi","mochino_tatari.txt","「さて、皆さん。"
"142","sakaguchi","mochino_tatari.txt","ただいまワタクシは新年にちなみ、ツリ竿とビクをたずさえてエビス様のマネをしているわけではありません。"
"143","sakaguchi","mochino_tatari.txt","実はあまり香しい話ではありませんが、若干おもしろいところもありますので、新年そうそう皆さんのお耳を汚させていただきます。"
"144","sakaguchi","mochino_tatari.txt","ワタクシが昨夜夜半にふと目をさましたところ、誰やら庭の池の氷をわっている物音が耳につきました。"
"145","sakaguchi","mochino_tatari.txt","そこで足音を殺し、シンバリ棒を外し、ガラリと戸をあけて大喝一声いたしましたところ、賊はとる物もとりあえず逃げ去りました。"
"146","sakaguchi","mochino_tatari.txt","あとに残されたのが、この品々です。"
"147","sakaguchi","mochino_tatari.txt","魚泥棒がツリ竿とビクをおき残して逃げたのにフシギはありませんが、そのほかに、もう一品、異様な物をおき忘れて逃げ去りまして、それがこれなる手ヌグイ包みでありますが」平吉はツリ竿とビクを下において、フトコロから例の物をとりだして、人々に差し示した。"
"148","sakaguchi","mochino_tatari.txt",""
"149","sakaguchi","mochino_tatari.txt","「これが奇妙な物なんですな。"
"150","sakaguchi","mochino_tatari.txt","はじめ魚のエサかと思いましたが、ビクの中にネリ餌の用意があるのを見ると、これはちがった用向きの物らしい。"
"151","sakaguchi","mochino_tatari.txt","物は何かと申しますると、まことにフシギや、ほれ、ごらんの如くに焼いた餅です。"
"152","sakaguchi","mochino_tatari.txt","つまり泥棒はツリをしながら餅を食うつもりでしたろう。"
"153","sakaguchi","mochino_tatari.txt","ところが、フシギと申しまするのは、当村は正月には餅を食べないところです。"
"154","sakaguchi","mochino_tatari.txt","どこの家にも餅のある筈がございません。"
"155","sakaguchi","mochino_tatari.txt","これが甚だフシギです。"
"156","sakaguchi","mochino_tatari.txt","遠方のよその土地からわざわざ夜更けに魚泥棒にくる人があろうとは思われませんが、近所に餅を食ってるのは誰でしょうかな」"
"157","sakaguchi","mochino_tatari.txt","酒の多少まわってる人々が多かったから、これからが大変なことになった。"
"158","sakaguchi","mochino_tatari.txt","なぜなら、ただ一人村の長年の習慣を破って餅を食ってる助六に反感をいだいている人が少くなかったからである。"
"159","sakaguchi","mochino_tatari.txt",""
"160","sakaguchi","mochino_tatari.txt","「なるほど、それはまことにフシギだ。"
"161","sakaguchi","mochino_tatari.txt","大フシギだな。"
"162","sakaguchi","mochino_tatari.txt","この村に餅を食べる家といえば、たしか一軒あるときいていたが。"
"163","sakaguchi","mochino_tatari.txt","たしか二軒はなかった筈だな」"
"164","sakaguchi","mochino_tatari.txt","「そうだ。"
"165","sakaguchi","mochino_tatari.txt","そうだ。"
"166","sakaguchi","mochino_tatari.txt","去年まではたしかに一軒であったが、本日は正月元日、すなわち去年の翌日だから、たぶん、まだ一軒だろう」"
"167","sakaguchi","mochino_tatari.txt","「なに云うてるね。"
"168","sakaguchi","mochino_tatari.txt","昨夜のことなら去年だろう」"
"169","sakaguchi","mochino_tatari.txt","「そうだ。"
"170","sakaguchi","mochino_tatari.txt","これはまさにその通りだ。"
"171","sakaguchi","mochino_tatari.txt","してみると、たしかに一軒だな」"
"172","sakaguchi","mochino_tatari.txt","これをきいて助六は怒った。"
"173","sakaguchi","mochino_tatari.txt",""
"174","sakaguchi","mochino_tatari.txt","「皆さんの話をきいていると、まるで私が犯人のようじゃないか。"
"175","sakaguchi","mochino_tatari.txt","はばかりながら、私は新年に餅を食うが、鯉や鮒を食うような習慣は持ち合せがない。"
"176","sakaguchi","mochino_tatari.txt","最近この村外れに道ブシンがはじまって、よそから人足がはいってるから、餅を食ってるのは私だけとは限らない。"
"177","sakaguchi","mochino_tatari.txt","どれ、その餅を見せてごらんなさい」"
"178","sakaguchi","mochino_tatari.txt","「そうはいかないよ。"
"179","sakaguchi","mochino_tatari.txt","これは証拠の品だから」"
"180","sakaguchi","mochino_tatari.txt","「バカな。"
"181","sakaguchi","mochino_tatari.txt","その餅を奪って証拠を消すようなことをすれば私が犯人ですと白状するも同然じゃないか。"
"182","sakaguchi","mochino_tatari.txt","皆さんとても知らない筈はなかろうが、餅はツキ方によって、それぞれ多少はちがうものだ。"
"183","sakaguchi","mochino_tatari.txt","その餅を見れば、どんな人の食う餅か、多少は分らぬことはない。"
"184","sakaguchi","mochino_tatari.txt","見せなさい」"
"185","sakaguchi","mochino_tatari.txt","そこで一個の餅を受けとり手にとって充分に調べた助六は、思わず顔がくずれるほど安心して、"
"186","sakaguchi","mochino_tatari.txt","「これは町の人の食う餅だ。"
"187","sakaguchi","mochino_tatari.txt","むろん私の餅でもないし、近村の農家の餅でもない。"
"188","sakaguchi","mochino_tatari.txt","なぜかというと、この餅は餅米のツブだらけで、粗製乱造の賃餅だ。"
"189","sakaguchi","mochino_tatari.txt","自家用にこんな粗製乱造の餅をつくることはないものだ。"
"190","sakaguchi","mochino_tatari.txt","私が犯人でないというレッキとした証拠を見せてあげるから、待っていなさい」"
"191","sakaguchi","mochino_tatari.txt","助六は自宅へ走って帰って、五ツ六ツ餅をとって戻ってきた。"
"192","sakaguchi","mochino_tatari.txt",""
"193","sakaguchi","mochino_tatari.txt","「ごらんなさい。"
"194","sakaguchi","mochino_tatari.txt","これが私の家の餅だ。"
"195","sakaguchi","mochino_tatari.txt","この餅を同じように焼いてお見せするから、泥棒の餅とくらべてごらんなさい。"
"196","sakaguchi","mochino_tatari.txt","中を割って、ツキぐあいを見れば一目でわかる。"
"197","sakaguchi","mochino_tatari.txt","さ。"
"198","sakaguchi","mochino_tatari.txt","手にとって、中を割ってごらんなさい。"
"199","sakaguchi","mochino_tatari.txt","一方はツブだらけ、私のにはツブがなく、ひッぱればアメのようにのびる」"
"200","sakaguchi","mochino_tatari.txt","「一方は焼きたてだからのびる。"
"201","sakaguchi","mochino_tatari.txt","冷えてしまえば、のびる筈がない」"
"202","sakaguchi","mochino_tatari.txt","「ツブを見てごらん」"
"203","sakaguchi","mochino_tatari.txt","「なに、冷えたからツブができたのだ」"
"204","sakaguchi","mochino_tatari.txt","「そんなバカな。"
"205","sakaguchi","mochino_tatari.txt","じゃア私のも今に冷えるから、そのときツブがあるかどうか見てごらん」"
"206","sakaguchi","mochino_tatari.txt","「冷えたてはツブができない。"
"207","sakaguchi","mochino_tatari.txt","こッちは一晩たってるからツブができたのだ」"
"208","sakaguchi","mochino_tatari.txt","「餅のことを知りもしないで、何を云うか」"
"209","sakaguchi","mochino_tatari.txt","「なんだと？餅のことを知らないと？知らない者に餅を見せて、なぜ証拠調べできるか。"
"210","sakaguchi","mochino_tatari.txt","それでは証拠調べではなくて、皆を口先でだまして、証拠をごまかすコンタンであろう」"
"211","sakaguchi","mochino_tatari.txt","田舎の人というものは、論争の屁理窟の立て方に長じていて、それにまきこまれてしまうと正常の理窟は役に立たなくなってしまう。"
"212","sakaguchi","mochino_tatari.txt","またその論争を聞く人々も自分の感情や意地にからんで手前流に判断するから、こうなると、助六に歩がない。"
"213","sakaguchi","mochino_tatari.txt","一同はワアワアと立ち上って、"
"214","sakaguchi","mochino_tatari.txt","「そうだ。"
"215","sakaguchi","mochino_tatari.txt","そうだ。"
"216","sakaguchi","mochino_tatari.txt","杉の木は村の者を口でだますコンタンだ。"
"217","sakaguchi","mochino_tatari.txt","自分だけ餅を知ってるようなことを云うが、そうは、いかねえぞ。"
"218","sakaguchi","mochino_tatari.txt","オレは米をつくる百姓だ。"
"219","sakaguchi","mochino_tatari.txt","五十八年も野良にでている百姓だぞ。"
"220","sakaguchi","mochino_tatari.txt","餅のことぐらい知らないで、どうするか」"
"221","sakaguchi","mochino_tatari.txt","「そうだとも。"
"222","sakaguchi","mochino_tatari.txt","オレは野良にでて六十三年になる。"
"223","sakaguchi","mochino_tatari.txt","農作物のことなら、隅から隅まで知らないということがないぞ」"
