"","auth","piece","line"
"0","sakaguchi","mohanshonenni_gigiari.txt","模範少年に疑義あり"
"1","sakaguchi","mohanshonenni_gigiari.txt","坂口安吾"
"2","sakaguchi","mohanshonenni_gigiari.txt",""
"3","sakaguchi","mohanshonenni_gigiari.txt","-------------------------------------------------------"
"4","sakaguchi","mohanshonenni_gigiari.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","mohanshonenni_gigiari.txt",""
"6","sakaguchi","mohanshonenni_gigiari.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"7","sakaguchi","mohanshonenni_gigiari.txt","（例）ヘト／＼"
"8","sakaguchi","mohanshonenni_gigiari.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"9","sakaguchi","mohanshonenni_gigiari.txt","-------------------------------------------------------"
"10","sakaguchi","mohanshonenni_gigiari.txt",""
"11","sakaguchi","mohanshonenni_gigiari.txt","戦争中、私の家の両隣はそれ／″＼軍需会社の寄宿舎となり、一方は田舎の十八九歳の連中五十名ぐらゐ、一方は普通のしもた家を軍需会社が買つて七八名の少年工を合宿させておく。"
"12","sakaguchi","mohanshonenni_gigiari.txt","五十名の方は青年学校の生徒でよく訓練されてをり、軍隊式の規則で朝起きてから寝るまで号令をかけてやつてゐる。"
"13","sakaguchi","mohanshonenni_gigiari.txt","警報がなると必ず全員起床して戸外で待機するといふぐあひだ。"
"14","sakaguchi","mohanshonenni_gigiari.txt","ところが七八名の方は時々酒など持ち帰つて酔つ払つて唄つたり、警報が鳴つても起きたことがなく、おまけに電燈をつけ放しておくので、必ず近所の誰かに怒鳴られる。"
"15","sakaguchi","mohanshonenni_gigiari.txt","近所の塀を叩きこはして燃料にしたり、家庭菜園の泥棒もあいつらだらうなどゝ憎まれ者の不良少年工員であつた。"
"16","sakaguchi","mohanshonenni_gigiari.txt",""
"17","sakaguchi","mohanshonenni_gigiari.txt","この地区は東京でも工場地帯で、焼夷弾攻撃の外に爆弾にも大いに悩まされたところだ。"
"18","sakaguchi","mohanshonenni_gigiari.txt","東京もお屋敷街は一夜に焼野原になつてそれで終りだが、我々のところは、焼ける前から爆弾に見舞はれ、焼けてからも、又くりかへして焼夷弾をバラまかれたり、爆弾をふりまかれたり、念入りの上にも念入りにやられたもので、まつたくウンザリしたものだ。"
"19","sakaguchi","mohanshonenni_gigiari.txt",""
