"","auth","piece","line"
"0","sakaguchi","mojito_sokuryokuto_bungaku.txt","文字と速力と文学"
"1","sakaguchi","mojito_sokuryokuto_bungaku.txt","坂口安吾"
"2","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"3","sakaguchi","mojito_sokuryokuto_bungaku.txt","-------------------------------------------------------"
"4","sakaguchi","mojito_sokuryokuto_bungaku.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"6","sakaguchi","mojito_sokuryokuto_bungaku.txt","《》：ルビ"
"7","sakaguchi","mojito_sokuryokuto_bungaku.txt","（例）消え去せたり"
"8","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"9","sakaguchi","mojito_sokuryokuto_bungaku.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","mojito_sokuryokuto_bungaku.txt","（例）たど／＼しく"
"11","sakaguchi","mojito_sokuryokuto_bungaku.txt","-------------------------------------------------------"
"12","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"13","sakaguchi","mojito_sokuryokuto_bungaku.txt","私はいつか眼鏡をこはしたことがあつた。"
"14","sakaguchi","mojito_sokuryokuto_bungaku.txt","生憎眼鏡を買ふ金がなかつたのに、机に向かはなければならない仕事があつた。"
"15","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"16","sakaguchi","mojito_sokuryokuto_bungaku.txt","顔を紙のすぐ近くまで下げて行くと、成程書いた文字は見える。"
"17","sakaguchi","mojito_sokuryokuto_bungaku.txt","又、その上下左右の一団の文字だけは、そこだけ望遠鏡の中のやうに確かに見えるのである。"
"18","sakaguchi","mojito_sokuryokuto_bungaku.txt","けれどもさういふ状態では小説を書くことができない。"
"19","sakaguchi","mojito_sokuryokuto_bungaku.txt","さういふ人の不自由さを痛感させられたのであつた。"
"20","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"21","sakaguchi","mojito_sokuryokuto_bungaku.txt","つまり私は永年の習慣によつて、眼を紙から一定の距離に置き、今書いた字は言ふまでもなく、今迄書いた一聯の文章も一望のうちに視野にをさめることが出来る、さういふ状態にゐない限り観念を文字に変へて表はすことに難渋するといふことを覚らざるを得なかつた。"
"22","sakaguchi","mojito_sokuryokuto_bungaku.txt","愚かしい話ではあるが、私が経験した実際はさうであつた。"
"23","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"24","sakaguchi","mojito_sokuryokuto_bungaku.txt","私は眼を閉ぢて物を思ふことはできる。"
"25","sakaguchi","mojito_sokuryokuto_bungaku.txt","けれども眼を開けなければ物を書くことはできず、尚甚しいことには、現に書きつゝある一聯の文章が見えない限り、次の観念が文字の形にならないのである。"
"26","sakaguchi","mojito_sokuryokuto_bungaku.txt","観念は、いつでも、又必らず文字の形で表現なし得るかのやうに思はれるけれども、人間は万能の神ではなく優秀な機械ですらない。"
"27","sakaguchi","mojito_sokuryokuto_bungaku.txt","私は眼鏡をこはして、その不自由を痛感したが、眼鏡をかけてゐても、その不自由は尚去らない。"
"28","sakaguchi","mojito_sokuryokuto_bungaku.txt",""
"29","sakaguchi","mojito_sokuryokuto_bungaku.txt","私の頭に多彩な想念が逞しく生起し、構成され、それはすでに頭の中で文章の形にととのへられてゐる。"
"30","sakaguchi","mojito_sokuryokuto_bungaku.txt","私は机に向ふ。"
