"","auth","piece","line"
"0","sakaguchi","mon_asakusa.txt","モンアサクサ"
"1","sakaguchi","mon_asakusa.txt","坂口安吾"
"2","sakaguchi","mon_asakusa.txt",""
"3","sakaguchi","mon_asakusa.txt","-------------------------------------------------------"
"4","sakaguchi","mon_asakusa.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","mon_asakusa.txt",""
"6","sakaguchi","mon_asakusa.txt","《》：ルビ"
"7","sakaguchi","mon_asakusa.txt","（例）仇"
"8","sakaguchi","mon_asakusa.txt",""
"9","sakaguchi","mon_asakusa.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","mon_asakusa.txt","（例）ちょッと／＼"
"11","sakaguchi","mon_asakusa.txt","-------------------------------------------------------"
"12","sakaguchi","mon_asakusa.txt",""
"13","sakaguchi","mon_asakusa.txt","戦争中の浅草は、ともかく、私の輸血路であった。"
"14","sakaguchi","mon_asakusa.txt","つまり、酒がのめたのである。"
"15","sakaguchi","mon_asakusa.txt",""
"16","sakaguchi","mon_asakusa.txt","「染太郎」というオコノミ焼が根城であったが、今銀座へ越している「さんとも」というフグ料理、これは大井広介のオトクイの家、それから吉原へのして、「菊屋」と「串平」、酔いつぶれて帰れなくなると、吉原へ泊るという、あのころは便利であった。"
"17","sakaguchi","mon_asakusa.txt",""
"18","sakaguchi","mon_asakusa.txt","あのころ「現代文学」の同人会は染太郎でやるのが例で、ともかく、戦禍で浅草が焼ける半年前ぐらいまでは、なんとか酔えた。"
"19","sakaguchi","mon_asakusa.txt","そのうちに三軒廻って一軒しか酒がなかったり、何軒廻っても一滴もありつけないようなことになり、そのうち、焼けてしまった。"
"20","sakaguchi","mon_asakusa.txt","串平は一家全滅したそうだ。"
"21","sakaguchi","mon_asakusa.txt","この店では、久保田万太郎氏や武田麟太郎氏などがよく飲んでいた。"
"22","sakaguchi","mon_asakusa.txt",""
"23","sakaguchi","mon_asakusa.txt","飲むためにはずいぶん通い、終戦後も染太郎が復活したので飲みにでかけることはあったが、もっぱら飲む一方で、そのほかの浅草を殆ど知らないのである。"
"24","sakaguchi","mon_asakusa.txt",""
"25","sakaguchi","mon_asakusa.txt","昭和十九年の新春から、森川信一座が東京旗上げ興行で大阪から上京し、国際劇場へでた。"
"26","sakaguchi","mon_asakusa.txt","私は彼がドサ廻りのころから好きで、この一座が上京すると、私は酒のほかに浅草の芸人と交渉がはじまるようになったが、然し、芝居を見たということは殆どない。"
