"","auth","piece","line"
"0","sakaguchi","nagashimano_shi.txt","長島の死"
"1","sakaguchi","nagashimano_shi.txt","坂口安吾"
"2","sakaguchi","nagashimano_shi.txt",""
"3","sakaguchi","nagashimano_shi.txt","-------------------------------------------------------"
"4","sakaguchi","nagashimano_shi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","nagashimano_shi.txt",""
"6","sakaguchi","nagashimano_shi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","sakaguchi","nagashimano_shi.txt","（例）全部に"
"8","sakaguchi","nagashimano_shi.txt","-------------------------------------------------------"
"9","sakaguchi","nagashimano_shi.txt",""
"10","sakaguchi","nagashimano_shi.txt","長島に就て書いてみたところが、忽ち百枚を書いたけれども、重要なことが沢山ぬけているような気がして止してしまった。"
"11","sakaguchi","nagashimano_shi.txt","長島は私の精神史の中では極めて特異な重大な役割を持っているので、私の生きる限りは私の中に亡びることがないのである。"
"12","sakaguchi","nagashimano_shi.txt","従而、今あわただしく長島の全てに就て書き尽すまでもなく、これからの生涯に私の書くところの所々に於て、陰となり流れとなって書き尽されずには有り得ないのであろう。"
"13","sakaguchi","nagashimano_shi.txt","今は簡単に長島の死に就て書くことにする。"
"14","sakaguchi","nagashimano_shi.txt",""
"15","sakaguchi","nagashimano_shi.txt",""
"16","sakaguchi","nagashimano_shi.txt","私の知っているだけでも、長島は三度自殺を企てた。"
"17","sakaguchi","nagashimano_shi.txt","その都度、遺書、或いは死に関する感想風のものを受けとるのは私の役目――全く役目のようなものであったし、同時にその家族に依頼を受けて、死に損った長島と最初の話を交すのも私の役目であった。"
"18","sakaguchi","nagashimano_shi.txt","考えてみると、実に根気よく自殺を企て、根気よく失敗したものだと思う。"
"19","sakaguchi","nagashimano_shi.txt","無論、酔狂や狂言の自殺ではなかったのである。"
"20","sakaguchi","nagashimano_shi.txt","一度は信濃の山奥の宿で、これは首を吊ったのだが、縄が切れて、血を吐いて気を失って倒れているのを発見された。"
"21","sakaguchi","nagashimano_shi.txt","次には横須賀の旅籠で、次には自宅で。"
"22","sakaguchi","nagashimano_shi.txt","これは致死量以上の劇薬を嚥みすぎて結局生き返ったのである。"
"23","sakaguchi","nagashimano_shi.txt","このほかにもやっていないとは言えない。"
"24","sakaguchi","nagashimano_shi.txt","一週間ばかりというもの、連日つづけさまに死に就ての已に錯乱した感想を受けとった記憶が二度ばかりあるが、その結果がどうなったことやら私は忘れた。"
"25","sakaguchi","nagashimano_shi.txt","とにかく、毎年春になると一種の狂的な状態になるのである。"
"26","sakaguchi","nagashimano_shi.txt","これは如何ともなしがたい生理的な事柄であるから、仕方がなかった。"
"27","sakaguchi","nagashimano_shi.txt",""
"28","sakaguchi","nagashimano_shi.txt","私は彼のように「追いつめられた」男を想像によってさえ知ることが出来ないように思う。"
"29","sakaguchi","nagashimano_shi.txt","その意味では、あの男の存在は私の想像力を超越した真に稀な現実であった。"
"30","sakaguchi","nagashimano_shi.txt","尤も何事にそうまで「追いつめられた」かというと、そういう私にもハッキリとは分らないが、恐らくあの男の関する限りの全ての内部的な外部的な諸関係に於て、その全部に「追いつめられて」いたのだろうと思う。"
"31","sakaguchi","nagashimano_shi.txt","たとい恋をかちえても、名声をかちえても、産をなしても、恋を得たことによって名声を得たことによって一人あくことなく追いつめられずには止まないたちの、宿命として何事によらず追いつめられるたちの男であったのだろうと考えている。"
"32","sakaguchi","nagashimano_shi.txt","彼の死にあい、さて振返ってみると、実に凄惨な男であったと言わざるを得ない。"
"33","sakaguchi","nagashimano_shi.txt","彼ほど死を怖れた人間も尠いのであろう。"
"34","sakaguchi","nagashimano_shi.txt","彼の自殺といえども所詮は生きたいためであった。"
"35","sakaguchi","nagashimano_shi.txt","彼もそれを百も承知していたが、彼の生涯を覆うた一種奇怪なポーズは、彼を自殺へ走らせずにはやまなかった。"
"36","sakaguchi","nagashimano_shi.txt","全く、彼の奇怪なポーズは私の想像能力をも超えているかに思われる。"
"37","sakaguchi","nagashimano_shi.txt","殆んど現実の凡ゆる解釈を飛びこえて、不可解な宿命へまで結びついているとしか考えられない。"
"38","sakaguchi","nagashimano_shi.txt",""
"39","sakaguchi","nagashimano_shi.txt","丁度このクリスマスの前夜に、また長島の危篤の電報を受けとった。"
"40","sakaguchi","nagashimano_shi.txt","ところが、十二月の初めに、四五通のやや錯乱した手紙とここへ載せてある「エスキス・スタンダール」の原稿とを受けとっていたので、又自殺するのだろうという予感を懐いていた。"
"41","sakaguchi","nagashimano_shi.txt","馴れているので驚きも慌てもする筈はない。"
"42","sakaguchi","nagashimano_shi.txt","さりとてこの自殺は私の力でどうすることもできないことが分っているので、ほったらかしておいたのである。"
"43","sakaguchi","nagashimano_shi.txt","寧ろ、これまでの例で言うと、なまじいに留めだてに類することをしたばかりに却って死に急がせる結果をまねいたこともあるので、私としては、ほったらかしておくほかに手段がなかったのである。"
"44","sakaguchi","nagashimano_shi.txt",""
"45","sakaguchi","nagashimano_shi.txt","電報によって赴いてみると、今度は自殺ではなかった。"
"46","sakaguchi","nagashimano_shi.txt","脳炎という病気であった。"
"47","sakaguchi","nagashimano_shi.txt","脳膜炎どころの話ではなく、膜を通り越して完全に脳そのものをやられているのだという。"
"48","sakaguchi","nagashimano_shi.txt","むろん完全な発狂である。"
"49","sakaguchi","nagashimano_shi.txt","治っても白痴になるばかりだという。"
"50","sakaguchi","nagashimano_shi.txt","昏睡におちていた。"
"51","sakaguchi","nagashimano_shi.txt",""
"52","sakaguchi","nagashimano_shi.txt","医者はこの昏睡のまま死ぬであろうと言っていたが、再び眼を覚した。"
"53","sakaguchi","nagashimano_shi.txt","のみならず、眼を覚すこと十二時間の後、再び昏睡におち、今度こそそのまま死が来るだろうと予定されているのに丁度十二時間の昏睡ののち、またまた覚めた。"
"54","sakaguchi","nagashimano_shi.txt","こうして、生きることが已に狂的な不思議な状態が一週間ほどつづいて、一月元旦、正しく言うと元旦をすぎること五分ののち昏睡のまま永眠した。"
"55","sakaguchi","nagashimano_shi.txt",""
"56","sakaguchi","nagashimano_shi.txt","この昏睡の間は体温三十六度であるが、覚めたときは四十一度になっている。"
"57","sakaguchi","nagashimano_shi.txt","その体温表は、丁度過ぐる大震災の地震計を見るようなものである。"
"58","sakaguchi","nagashimano_shi.txt","生きながら、その顔は死の相であったし、視覚も触覚も聴覚も、或る時は殆んど失われていた。"
"59","sakaguchi","nagashimano_shi.txt","腹から下は死の冷めたさであった。"
"60","sakaguchi","nagashimano_shi.txt","頻りに苦痛を訴えて見るに忍びない姿であったが、ことに私は、彼と話を交すために――彼は頻りに私の名を呼ぶので――その口へ耳を寄せる時、殆んど死臭のような堪えがたい悪臭の漂うのには無慙な感をいだかされた。"
"61","sakaguchi","nagashimano_shi.txt","死んでからの顔の方がはるかに安らかであったのである。"
"62","sakaguchi","nagashimano_shi.txt","ポオの小説に“The facts in the ease of Mr. Valdemar”という物語がある。"
"63","sakaguchi","nagashimano_shi.txt","ある男が、催眠術によって人間の生命を保ちえないものかと考えて、瀕死の病人に催眠術をかける。"
"64","sakaguchi","nagashimano_shi.txt","丁度死んだと思う頃、呼びさまして話しかけてみると、自分はもう死んでいると病人は言う、そうして断末魔よりも深い苦痛の声をもって苦しみを訴えるのである。"
"65","sakaguchi","nagashimano_shi.txt","それからの連日二十四時間毎に呼びさまして話しかけると、その表情その声は一日は一日に凄惨を極め、遂いに術者も見るに堪えがたい思いとなって術をとくのであるが、とたんに肉体は忽然として消え失せ、世に堪えがたい悪臭を放つところの液体となって床板の上に縮んでしまう。"
"66","sakaguchi","nagashimano_shi.txt","――大体、こんな筋の話であったと記憶しているが、私は長島の危篤の病床で、この物語を思い出していたのである。"
"67","sakaguchi","nagashimano_shi.txt","一つには長島もこの物語を読んでいたからであって、ある日私にそのことを物語った記憶が残っていたからであろう。"
"68","sakaguchi","nagashimano_shi.txt","そのことと関係はないが、彼は私への形見にポオの全集とファブルの『昆虫記』の決定版とを送るようにと家族に言い残して死んだ。"
"69","sakaguchi","nagashimano_shi.txt",""
"70","sakaguchi","nagashimano_shi.txt","彼の病床での囈言は凄惨であった。"
"71","sakaguchi","nagashimano_shi.txt","一見したところ、とりとめのない支離滅裂な叫びに思われるのであるが、結局のところ、彼の宿命的な一生の間、このどたん場へまで追いつめられてきた最後の一行ばかりを断片的に言い綴っているのであるから、彼の精神史の動きを知る私には、正気のそれよりも激しい実感が分ったのである。"
"72","sakaguchi","nagashimano_shi.txt",""
"73","sakaguchi","nagashimano_shi.txt","私が、君の「エスキス・スタンダール」はいいものであると割に簡単な気分で言ったところが、突然長島は狂暴な眼を輝やかして嘘だ嘘だと絶叫しはじめた。"
"74","sakaguchi","nagashimano_shi.txt","そこで私が、こういう君の最も本質に属するところの仕事に就て人の言葉を相手に嘘だの本当だのと喚いてみても仕様がないであろう、それよりも莫迦者の寛大さをもって長閑な道化役者の心をもってきく方がいいらしいと言ったところが、彼は急に激しい落胆を表わして、でも俺はそれよりも弱い人間なんだと悄然と呟いた。"
"75","sakaguchi","nagashimano_shi.txt","これは決して気が狂っていないと私は思った。"
"76","sakaguchi","nagashimano_shi.txt","むしろ正気の人間よりも鋭敏である。"
"77","sakaguchi","nagashimano_shi.txt","私の場合で言うと、私は酒に酔ったある瞬間に時々この状態の鋭敏さを持つことがある。"
"78","sakaguchi","nagashimano_shi.txt","狂人の全てがこうではあるまいが、これが狂人なら狂人は恐るべき存在だと私は思った。"
"79","sakaguchi","nagashimano_shi.txt",""
"80","sakaguchi","nagashimano_shi.txt","狂人のこの驚くべき鋭敏さには彼の父親が気付いていた。"
"81","sakaguchi","nagashimano_shi.txt","なぜなら、長島の父は、いわば長島の一生恐るべきライバルの一人であって、彼の精神史は常に父を一人の敵として育っていたからだろうと思う。"
"82","sakaguchi","nagashimano_shi.txt","長島の父は高名な陰謀政治家であるが、彼と性格が相似ている上に腹と腹で睨み合っては病弱な長島のとうてい太刀打の出来難い線の太さと押しの強さがあるように考えられる。"
"83","sakaguchi","nagashimano_shi.txt","恐らく彼は父親に精神的に圧迫され通していたのだろうと思う。"
"84","sakaguchi","nagashimano_shi.txt","彼が危篤の病床で父親に叫んだ言葉は「パパ俺は偉いのだ」という一言であった。"
"85","sakaguchi","nagashimano_shi.txt","ところがパパは一言も答えなかった。"
"86","sakaguchi","nagashimano_shi.txt","そうして、肉体のあらゆる苦悶と格闘しながらもがくように絶叫している子供の顔を一分間ぐらい睨んでいた。"
"87","sakaguchi","nagashimano_shi.txt","それからクルリと振向いてさっさと病室を出た。"
"88","sakaguchi","nagashimano_shi.txt","父は答えなかったにも拘らず、彼は最後まで子供は決して気が狂ってはいないと断言していた。"
"89","sakaguchi","nagashimano_shi.txt","ちなみに、彼の家族は皆彼は発狂したと信じていたのである。"
"90","sakaguchi","nagashimano_shi.txt","そうして、そう考えるのが当然だったのである。"
"91","sakaguchi","nagashimano_shi.txt",""
"92","sakaguchi","nagashimano_shi.txt","父対長島の場合のように、身を以て絶叫しているにも拘らず返答がないということ、これは同時に彼対友人、いな、彼対人生の関係でもあった。"
"93","sakaguchi","nagashimano_shi.txt","併し人々は故意に彼を苦しめるために返答しなかったわけではないだろうと思われる。"
"94","sakaguchi","nagashimano_shi.txt","所詮、この男は、この悲惨な結果を生まざるを得ない宿命人であったのだろう。"
"95","sakaguchi","nagashimano_shi.txt",""
"96","sakaguchi","nagashimano_shi.txt","長島は危篤の病床で私一人を残して家族に退席してもらってから、私に死んでくれと言った。"
"97","sakaguchi","nagashimano_shi.txt","私が生きていては死にきれないと言うのである。"
"98","sakaguchi","nagashimano_shi.txt","そうして死んだらきっと私を呼ぶと言った。"
"99","sakaguchi","nagashimano_shi.txt","死ぬまぎわには幽霊になって現れるなぞとも言ったのである。"
"100","sakaguchi","nagashimano_shi.txt","そうして私に怖ろしくなったろうと狂気の眼を輝やかして叫ぶので、私があたりまえだと言ったら、世にも無慙な落胆を表わしてそれっきり沈黙してしまった。"
"101","sakaguchi","nagashimano_shi.txt",""
"102","sakaguchi","nagashimano_shi.txt","併し、正直に白状すると、私はそれほど怖くはなかったのである。"
"103","sakaguchi","nagashimano_shi.txt","彼はその悲惨な宿命として、彼の如何なる激しい意志をもってしても、到底私を怖がらしたり圧迫したりすることは出来ない因果な性格を持っている。"
"104","sakaguchi","nagashimano_shi.txt","私は無神経なること白昼の蟇の如き冷然たる生物であって、デリケートな彼はその点に於て最も敵対しがたいのである。"
"105","sakaguchi","nagashimano_shi.txt","それにも拘らず、彼は私のような蟇の意志、蟇の無神経をもつところの人間を相手として友達に選び、それに抵抗しつつも最も親しまざるを得ない悲劇的な性格を与えられていたのであろう。"
"106","sakaguchi","nagashimano_shi.txt",""
"107","sakaguchi","nagashimano_shi.txt","私は彼の生前によく彼に言い言いしたのであるが、君は僕に親しむよりも葛巻義敏、本多信、若園清太郎のどれかを選ぶ方がいいのだと。"
"108","sakaguchi","nagashimano_shi.txt","その度に、彼はさらに私に激しく反抗するかのような、蒼白な、表情のない顔をして決して一言も答えはしなかった。"
"109","sakaguchi","nagashimano_shi.txt",""
"110","sakaguchi","nagashimano_shi.txt","断っておくが、長島と私との間には世間的なライバルとか、恋敵とかいう関係は完全になかった。"
"111","sakaguchi","nagashimano_shi.txt","のみならず、そういう世間的な関係はたとい有ったにしても悲劇的な確執を生みがたい奇妙な和合と温かさがあった。"
"112","sakaguchi","nagashimano_shi.txt","全てはそれよりもより悲惨な性格の中にあったのである。"
"113","sakaguchi","nagashimano_shi.txt","のみならず、悲劇的という言葉はただ彼にのみ当てはまるのであって、私自身は事彼に関する限り永遠に帝王の如く完き無神経をもつに止まるという宿命のもとにあったのである。"
"114","sakaguchi","nagashimano_shi.txt",""
"115","sakaguchi","nagashimano_shi.txt","彼の宿命的な不幸は、更に彼の病弱の中にもあった。"
"116","sakaguchi","nagashimano_shi.txt","春の訪れる度に狂的な精神状態になるということである。"
"117","sakaguchi","nagashimano_shi.txt","つまり、彼の感受性はとぎすましたように鋭敏なるにも拘らず、逆に表現の能力を阻碍されるという悲劇的な一事である。"
"118","sakaguchi","nagashimano_shi.txt","これは生理的に如何ともなしがたい事柄であったのだろう。"
"119","sakaguchi","nagashimano_shi.txt",""
"120","sakaguchi","nagashimano_shi.txt","彼は恐ろしく鋭敏な、頭のいい男であった。"
"121","sakaguchi","nagashimano_shi.txt","ことに語学には天才であった。"
"122","sakaguchi","nagashimano_shi.txt","私と一緒にラテン語を習いだしたのであるが、私が辞書をひくにも苦労している頃に、彼は已に原書を相当楽に読みこなしていた。"
"123","sakaguchi","nagashimano_shi.txt","その当時は私も語学には全力を打ち込んでいた頃で、別に怠けてもいなかったのであるが。"
"124","sakaguchi","nagashimano_shi.txt",""
"125","sakaguchi","nagashimano_shi.txt","さりとて、彼はディレッタントと呼ぶべき人間でもない。"
"126","sakaguchi","nagashimano_shi.txt","彼の生活はディレッタント風の女性的なものではなく、あまりに凄惨で生ま生ましかった。"
"127","sakaguchi","nagashimano_shi.txt","併し、ディレッタント式の宿命的な眼高手低は、生理的にどうすることもできなかったのである。"
"128","sakaguchi","nagashimano_shi.txt",""
"129","sakaguchi","nagashimano_shi.txt","晩年彼は株に手を出していた。"
"130","sakaguchi","nagashimano_shi.txt","父親の影響で――或いは寧ろ父親にすすめられて、この方面に関係していたらしいが、彼はその方面では立派に玄人の素質があったし、くろうと以上の或る神秘的な能力さえあったらしい。"
"131","sakaguchi","nagashimano_shi.txt","そうして、女から女へと盛んに惚れていたそうである。"
"132","sakaguchi","nagashimano_shi.txt","このことは彼の妹さんから最近きかされて吃驚した話であって、実のところ、私は彼のそういう生活は想像してみたこともなかった。"
"133","sakaguchi","nagashimano_shi.txt","なぜなら、彼は私等の前では女の話は全くしなかったからだし、それらしいどんな素振りも見せなかったからである。"
"134","sakaguchi","nagashimano_shi.txt","彼が私等の前で被っている仮面に就ては最も簡単な解釈で片づけることも出来そうであるが、私は今そう簡単に片づけることができない気持でいる。"
"135","sakaguchi","nagashimano_shi.txt","彼のポーズは一見自明のように見えて、実は殆んど現実のあらゆる解釈を超越した不可解な彼の宿命に結びついているとしか考えられないのである。"
"136","sakaguchi","nagashimano_shi.txt","そうして、これは彼の宿命であるから今更如何とも仕方のない事柄であったろうと思うのだが、もしも彼が私等の前で女に惚れた話が平気で言えたなら、彼はまだこの年齢でここまで追いつめられずに済んだのだろうと思われるのである。"
"137","sakaguchi","nagashimano_shi.txt","尤も、このことは最後に鉄の断言をしてもいいが、彼は本気で女に惚れきれる男ではなかったのだ。"
"138","sakaguchi","nagashimano_shi.txt","そうして、時々泣きぬれたりしたが、決して本気で泣ききれたり笑いきれたりする男ではなかった。"
"139","sakaguchi","nagashimano_shi.txt","常に自分自身に舌を出しているところの、も一人の自分を感じつづけているところの宿命的な孤独人であった。"
"140","sakaguchi","nagashimano_shi.txt","世に最も悲しく、最も切ないところの宿命の孤独人であったのである。"
"141","sakaguchi","nagashimano_shi.txt","彼の死が不幸であるか幸福であるかは、今私にはとても断定はできない。"
"142","sakaguchi","nagashimano_shi.txt",""
"143","sakaguchi","nagashimano_shi.txt","『紀元』昭９・２"
"144","sakaguchi","nagashimano_shi.txt",""
"145","sakaguchi","nagashimano_shi.txt",""
"146","sakaguchi","nagashimano_shi.txt",""
"147","sakaguchi","nagashimano_shi.txt","底本：「坂口安吾選集第十巻エッセイ1」講談社"
"148","sakaguchi","nagashimano_shi.txt","1982（昭和57）年8月12日第1刷発行"
"149","sakaguchi","nagashimano_shi.txt","底本の親本：「堕落論」銀座出版社"
"150","sakaguchi","nagashimano_shi.txt","1947（昭和22）年6月初版発行"
"151","sakaguchi","nagashimano_shi.txt","初出：「紀元」"
"152","sakaguchi","nagashimano_shi.txt","1934（昭和9）年2月号"
"153","sakaguchi","nagashimano_shi.txt","入力：高田農業高校生産技術科流通経済コース"
"154","sakaguchi","nagashimano_shi.txt","校正：小林繁雄"
"155","sakaguchi","nagashimano_shi.txt","2006年7月4日作成"
"156","sakaguchi","nagashimano_shi.txt","青空文庫作成ファイル："
"157","sakaguchi","nagashimano_shi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"158","sakaguchi","nagashimano_shi.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"159","sakaguchi","nagashimano_shi.txt",""
