"","auth","piece","line"
"0","sakaguchi","nakamurachiheicho_nagamimi.txt","中村地平著「長耳国漂流記」"
"1","sakaguchi","nakamurachiheicho_nagamimi.txt","坂口安吾"
"2","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"3","sakaguchi","nakamurachiheicho_nagamimi.txt","-------------------------------------------------------"
"4","sakaguchi","nakamurachiheicho_nagamimi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"6","sakaguchi","nakamurachiheicho_nagamimi.txt","《》：ルビ"
"7","sakaguchi","nakamurachiheicho_nagamimi.txt","（例）屡々"
"8","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"9","sakaguchi","nakamurachiheicho_nagamimi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","nakamurachiheicho_nagamimi.txt","（例）ポロ／＼"
"11","sakaguchi","nakamurachiheicho_nagamimi.txt","-------------------------------------------------------"
"12","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"13","sakaguchi","nakamurachiheicho_nagamimi.txt","こゝに、歴史的事実といふものがあつて、作家が、製作欲をそゝられる場合、然しながら、如何に書くべきか、といふことは、かやうな意欲と同時に忽ち構想されるほど容易なものでは決してない。"
"14","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"15","sakaguchi","nakamurachiheicho_nagamimi.txt","歴史小説といへば、歴史よりも小説であるのが当然で、読者は必ずしも資料に忠実であることを要求しないのが普通であり、物語の内容も亦、事実よりも、創作的自由、或ひは思想によつて、変通自在であることが、決して不合理ではなかつた。"
"16","sakaguchi","nakamurachiheicho_nagamimi.txt","一昔前までは、それが当然であつたのである。"
"17","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"18","sakaguchi","nakamurachiheicho_nagamimi.txt","ところが、文学に、自意識といふものが加はつてこのかた、小説に「事実らしさ」といふものが甚しく要求されるやうになり、しかも、この要求は、読者よりも、作家自身の作家活動の内部に於て、むしろ、劇しいものがあつた。"
"19","sakaguchi","nakamurachiheicho_nagamimi.txt","作家は、小説が事実らしさから踏みださぬために、一字一行に心を配り、結局、一行毎に事実らしさはあるけれども、全体として、人性の極めて小さな一部分を描く以上に飛躍することができない。"
"20","sakaguchi","nakamurachiheicho_nagamimi.txt","豊富な浪曼精神といふものはありながら、又、卑小な題材にうんざりしながら、一行の真実に忠実であるがために、作家的欲望の多くのものを不当に殺さなければならなかつた。"
"21","sakaguchi","nakamurachiheicho_nagamimi.txt","近代文学の負ふた十字架の如きものであつた。"
"22","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"23","sakaguchi","nakamurachiheicho_nagamimi.txt","歴史小説に於ても、亦、この十字架をまぬかれることができなかつた。"
"24","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"25","sakaguchi","nakamurachiheicho_nagamimi.txt","屡々、現代の浪曼作家たちは、現代小説といふものが事実らしさに制約されて飛躍した人性を描きにくいために、歴史小説に走る。"
"26","sakaguchi","nakamurachiheicho_nagamimi.txt","然しながら、そこでも、やつぱり、事実らしさの制約を受けて、自由の空想を走らす余地がない。"
"27","sakaguchi","nakamurachiheicho_nagamimi.txt","資料と作家的空想との板ばさみといふ具合で、なにか、シミッタレた感じのする不自由な構想からぬけだすことができない。"
"28","sakaguchi","nakamurachiheicho_nagamimi.txt","さういふやうな様子があつた。"
"29","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"30","sakaguchi","nakamurachiheicho_nagamimi.txt","歴史小説のこの不自由さに対して、多分、どの歴史小説作者も、活路を見出すために、新らたな方法を欲し、或ひは、探してゐたらうと思はれる。"
"31","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"32","sakaguchi","nakamurachiheicho_nagamimi.txt","私は、これに対して、二つの答案がありうると思ふ。"
"33","sakaguchi","nakamurachiheicho_nagamimi.txt","一つは、全然、作者の空想を殺した場合。"
"34","sakaguchi","nakamurachiheicho_nagamimi.txt","一つは、全然、資料を無視した場合。"
"35","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"36","sakaguchi","nakamurachiheicho_nagamimi.txt","私は、中村君の「長耳国漂流記」に、前者の完璧な答案を見たのである。"
"37","sakaguchi","nakamurachiheicho_nagamimi.txt","すくなくとも、前者の答案を志す場合には、これ以上に完成された手法の妙を示すことは難しい。"
"38","sakaguchi","nakamurachiheicho_nagamimi.txt","読者の如何やうに意地の悪い近代的感覚によつても、この作品に不安定とか、不合理とか、不燃焼といふものを見出すことは不可能であらう。"
"39","sakaguchi","nakamurachiheicho_nagamimi.txt","この手法、この形式は、中村君の創作したもので、その功績はたゝへらるべきものでなければならぬ。"
"40","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"41","sakaguchi","nakamurachiheicho_nagamimi.txt","特に、私は、中村君がこの材料に製作欲をうごかされた抑々の始めから知つてをり、資料の蒐集に、実地調査に、材料の整理に並々ならぬ苦心と年月を費したことを熟知するので、今、この独特の形式の創案によつて、却々、小説とは為しにくい資料を充分以上に活かし得た成果に対して、深甚の敬意を払ひたい。"
"42","sakaguchi","nakamurachiheicho_nagamimi.txt","あらゆる歴史文学がこの形式で、といふことは言ふまでもなく無理であるが、この材料がこの形式をもとめたことは、やゝ、絶対にちかい。"
"43","sakaguchi","nakamurachiheicho_nagamimi.txt","中村君の才腕と勘の良さに驚くのである。"
"44","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"45","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"46","sakaguchi","nakamurachiheicho_nagamimi.txt","我々の文学史の伝説によれば、昔、ある作家は、小説を読んで感動し、「嘘だ！嘘だ！」と叫びながら、涙をポロ／＼流してゐたといふ。"
"47","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"48","sakaguchi","nakamurachiheicho_nagamimi.txt","私は、このやうな「嘘」に対して、我々が生来敏感にすぎ、涙を流すことを恥ぢ惜しむことを悲しむ。"
"49","sakaguchi","nakamurachiheicho_nagamimi.txt","我々は、このやうな「嘘」に対して、小心であり、警戒的でありすぎる。"
"50","sakaguchi","nakamurachiheicho_nagamimi.txt","のみならず、このやうな「嘘」が果して決定的に嘘であり贋物であるか、その研討をまつたく無視して、甚だ軽率に否定しがちなことを悲しむ。"
"51","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"52","sakaguchi","nakamurachiheicho_nagamimi.txt","私は中村君の「長耳国漂流記」に、この「嘘」に対する比類ない潔癖からでたひとつの完成された形式を見出すけれども、私は然し、この潔癖からぬけだし、嘘の泥沼へ真向から飛込むことが、我々の小説に必要ではないかと思つてゐる。"
"53","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"54","sakaguchi","nakamurachiheicho_nagamimi.txt","あらゆる制約を恐れず、浪曼精神の赴くまゝに、たゞ、奔放に。"
"55","sakaguchi","nakamurachiheicho_nagamimi.txt","――聡明な中村君に、私は、次に、その答案をもとめたい。"
"56","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"57","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"58","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"59","sakaguchi","nakamurachiheicho_nagamimi.txt",""
"60","sakaguchi","nakamurachiheicho_nagamimi.txt","底本：「坂口安吾全集03」筑摩書房"
"61","sakaguchi","nakamurachiheicho_nagamimi.txt","1999（平成11）年3月20日初版第1刷発行"
"62","sakaguchi","nakamurachiheicho_nagamimi.txt","底本の親本：「現代文学第四巻第七号」大観堂"
"63","sakaguchi","nakamurachiheicho_nagamimi.txt","1941（昭和16）年8月28日発行"
"64","sakaguchi","nakamurachiheicho_nagamimi.txt","初出：「現代文学第四巻第七号」大観堂"
"65","sakaguchi","nakamurachiheicho_nagamimi.txt","1941（昭和16）年8月28日発行"
"66","sakaguchi","nakamurachiheicho_nagamimi.txt","入力：tatsuki"
"67","sakaguchi","nakamurachiheicho_nagamimi.txt","校正：noriko saito"
"68","sakaguchi","nakamurachiheicho_nagamimi.txt","2008年9月16日作成"
"69","sakaguchi","nakamurachiheicho_nagamimi.txt","青空文庫作成ファイル："
"70","sakaguchi","nakamurachiheicho_nagamimi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
