"","auth","piece","line"
"0","sakaguchi","nankinmushi_satsujinjiken.txt","南京虫殺人事件"
"1","sakaguchi","nankinmushi_satsujinjiken.txt","坂口安吾"
"2","sakaguchi","nankinmushi_satsujinjiken.txt",""
"3","sakaguchi","nankinmushi_satsujinjiken.txt","-------------------------------------------------------"
"4","sakaguchi","nankinmushi_satsujinjiken.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","nankinmushi_satsujinjiken.txt",""
"6","sakaguchi","nankinmushi_satsujinjiken.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","sakaguchi","nankinmushi_satsujinjiken.txt","（例）消えた男"
"8","sakaguchi","nankinmushi_satsujinjiken.txt",""
"9","sakaguchi","nankinmushi_satsujinjiken.txt","《》：ルビ"
"10","sakaguchi","nankinmushi_satsujinjiken.txt","（例）比留目奈々子"
"11","sakaguchi","nankinmushi_satsujinjiken.txt","-------------------------------------------------------"
"12","sakaguchi","nankinmushi_satsujinjiken.txt",""
"13","sakaguchi","nankinmushi_satsujinjiken.txt","消えた男"
"14","sakaguchi","nankinmushi_satsujinjiken.txt",""
"15","sakaguchi","nankinmushi_satsujinjiken.txt","「ここの女主人は何者だろうな」"
"16","sakaguchi","nankinmushi_satsujinjiken.txt","この家の前を通る時、波川巡査は習慣的にふとそう思う。"
"17","sakaguchi","nankinmushi_satsujinjiken.txt","板塀にかこまれた小さな家だが、若い女の一人住いで、凄い美人と評判が高い。"
"18","sakaguchi","nankinmushi_satsujinjiken.txt",""
"19","sakaguchi","nankinmushi_satsujinjiken.txt","警察の戸口調査の名簿には「比留目奈々子二十八歳、職業ピアニスト」となっているが、ききなれない名前である。"
"20","sakaguchi","nankinmushi_satsujinjiken.txt","なるほど稀にピアノの音がすることもあったが、しょッちゅうシェパードらしい猛犬が吠えたてているので有名だった。"
"21","sakaguchi","nankinmushi_satsujinjiken.txt",""
"22","sakaguchi","nankinmushi_satsujinjiken.txt","今日もシェパードが吠え立てている。"
"23","sakaguchi","nankinmushi_satsujinjiken.txt","するとカン高い女の声がきこえた。"
"24","sakaguchi","nankinmushi_satsujinjiken.txt",""
"25","sakaguchi","nankinmushi_satsujinjiken.txt","「なんですって！小包……知りませんよ……脅迫するんですか！」"
"26","sakaguchi","nankinmushi_satsujinjiken.txt","波川巡査は思わず立ちどまった。"
"27","sakaguchi","nankinmushi_satsujinjiken.txt","とぎれとぎれにしか聞きとれないが、聞えた部分はなんとなく穏やかではない。"
"28","sakaguchi","nankinmushi_satsujinjiken.txt","女の語気もタダゴトではない見幕のようだ。"
"29","sakaguchi","nankinmushi_satsujinjiken.txt",""
"30","sakaguchi","nankinmushi_satsujinjiken.txt","男の声が何かクドクドとそれに答えているようだが、これは低くて全く聞きとれない。"
"31","sakaguchi","nankinmushi_satsujinjiken.txt","どうやら、玄関先で応対しているらしい。"
"32","sakaguchi","nankinmushi_satsujinjiken.txt","また、女の声。"
"33","sakaguchi","nankinmushi_satsujinjiken.txt",""
"34","sakaguchi","nankinmushi_satsujinjiken.txt","「知りませんたら。"
"35","sakaguchi","nankinmushi_satsujinjiken.txt","なんですか、言いがかりをつけて！警察へ訴えますよ！」"
"36","sakaguchi","nankinmushi_satsujinjiken.txt","この声をきいたとたんに、門の外にいた波川巡査は無意識にガラガラと門の戸をあけて、ズカズカと中へ入ってしまった。"
"37","sakaguchi","nankinmushi_satsujinjiken.txt","この家の一人住いの女主人がさだめし喜んでくれるだろうと思ったのである。"
"38","sakaguchi","nankinmushi_satsujinjiken.txt",""
"39","sakaguchi","nankinmushi_satsujinjiken.txt","ところが、妙なアンバイになった。"
"40","sakaguchi","nankinmushi_satsujinjiken.txt","玄間の土間に二人の男がいる。"
"41","sakaguchi","nankinmushi_satsujinjiken.txt",""
"42","sakaguchi","nankinmushi_satsujinjiken.txt","女主人の奈々子は室内から二人を見下して睨み合いの様子だったが、制服の巡査が闖入したので、同時にふりむいた三人のうち、むしろ誰よりも狼狽の色を見せたのは奈々子であった。"
"43","sakaguchi","nankinmushi_satsujinjiken.txt",""
"44","sakaguchi","nankinmushi_satsujinjiken.txt","「なにか御用ですか」"
"45","sakaguchi","nankinmushi_satsujinjiken.txt","と息をはずませて、きびしく訊く。"
"46","sakaguchi","nankinmushi_satsujinjiken.txt",""
"47","sakaguchi","nankinmushi_satsujinjiken.txt","「通りがかりに、警察へ訴えますよという声をきいて、思わずとびこんだんですが、自分が何かお役に立つことがあるでしょうか」"
"48","sakaguchi","nankinmushi_satsujinjiken.txt","「いえ、なんでもないんです。"
"49","sakaguchi","nankinmushi_satsujinjiken.txt","内輪の人に、親しまぎれに、冗談云ったんですのよ」"
"50","sakaguchi","nankinmushi_satsujinjiken.txt","「そうですか。"
"51","sakaguchi","nankinmushi_satsujinjiken.txt","自分の耳には冗談のようには聞えませんでしたが……」"
"52","sakaguchi","nankinmushi_satsujinjiken.txt","波川巡査は二人の男を観察した。"
"53","sakaguchi","nankinmushi_satsujinjiken.txt","一人は体格のガッシリした遊び人風の若い男だが、洋服は上物で、相当金のかかった服装だ。"
"54","sakaguchi","nankinmushi_satsujinjiken.txt","他の一人は病弱そうなインテリ風の眼鏡をかけた男で、寒そうに両手をオーバーのポケットに突ッこんでいる。"
"55","sakaguchi","nankinmushi_satsujinjiken.txt","土間の上に、皮製のボストンバッグが置かれていた。"
"56","sakaguchi","nankinmushi_satsujinjiken.txt","押売りにしては、二人の服装は悪くはない。"
"57","sakaguchi","nankinmushi_satsujinjiken.txt",""
"58","sakaguchi","nankinmushi_satsujinjiken.txt","「なんでもないんですから、どうぞおひきとり下さいまして」"
