"","auth","piece","line"
"0","sakaguchi","nanpufu.txt","南風譜"
"1","sakaguchi","nanpufu.txt","――牧野信一へ――"
"2","sakaguchi","nanpufu.txt","坂口安吾"
"3","sakaguchi","nanpufu.txt",""
"4","sakaguchi","nanpufu.txt","-------------------------------------------------------"
"5","sakaguchi","nanpufu.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","nanpufu.txt",""
"7","sakaguchi","nanpufu.txt","《》：ルビ"
"8","sakaguchi","nanpufu.txt","（例）友達の家の"
"9","sakaguchi","nanpufu.txt",""
"10","sakaguchi","nanpufu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","nanpufu.txt","（例）ぐぢを釣つてゐた"
"12","sakaguchi","nanpufu.txt",""
"13","sakaguchi","nanpufu.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","nanpufu.txt","（例）おや／＼"
"15","sakaguchi","nanpufu.txt","-------------------------------------------------------"
"16","sakaguchi","nanpufu.txt",""
"17","sakaguchi","nanpufu.txt","私は南の太陽をもとめて紀伊の旅にでたのです。"
"18","sakaguchi","nanpufu.txt","友達の家の裏手の丘から、熊野灘が何よりもいい眺めでした。"
"19","sakaguchi","nanpufu.txt",""
"20","sakaguchi","nanpufu.txt","このあたりは海外へ出稼ぎに行く風習があります。"
"21","sakaguchi","nanpufu.txt","それゆゑ変哲もない漁村の炉端で、人々は香りの高い珈琲をすすり、時には椰子の実の菓子皿からカリフォルニヤの果物をつまみあげたりするのです。"
"22","sakaguchi","nanpufu.txt",""
"23","sakaguchi","nanpufu.txt","友達の家に旅装をといて、浴室を出ようとすると、夕陽を浴びた廊下の角から私の方を視凝めてゐる女の鋭い視線を見ました。"
"24","sakaguchi","nanpufu.txt","私の好きな可愛らしい魔物の眼でした。"
"25","sakaguchi","nanpufu.txt","密林の虎の姿勢を思はせて、痺れるやうなノスタルジイに酔はすので、そのやうな眼をもつ人を私はいつも胸に包んでゐるのでした。"
"26","sakaguchi","nanpufu.txt",""
"27","sakaguchi","nanpufu.txt","友達の顔を見ると、私はさつそく今見た話を伝へました。"
"28","sakaguchi","nanpufu.txt",""
"29","sakaguchi","nanpufu.txt","「俺のうちには婆やと子供の女中のほかに女はゐないよ」友達は退屈しきつた顔付で語るのも物憂さうに背延びをしました。"
"30","sakaguchi","nanpufu.txt","「君の見たのは、仏像だよ。"
"31","sakaguchi","nanpufu.txt","会ひたけりや食事のあとで案内するが……」"
"32","sakaguchi","nanpufu.txt","私は思はず笑ひだしてしまつてゐました。"
"33","sakaguchi","nanpufu.txt",""
"34","sakaguchi","nanpufu.txt","「仏像かね。"
"35","sakaguchi","nanpufu.txt","俺はまた虎かと思つた」"
"36","sakaguchi","nanpufu.txt","しかし友達は私の浮いた心持にはとりあはず、にこりともせず夕陽を視凝めてゐるのでした。"
"37","sakaguchi","nanpufu.txt",""
"38","sakaguchi","nanpufu.txt","食事のあと、友達は手燭をともして現れました。"
"39","sakaguchi","nanpufu.txt","「物置には燈がないのだ」渡り廊下を通るとき、海風が、酔ひにほてつた私の顔を叩いてゐました。"
"40","sakaguchi","nanpufu.txt",""
"41","sakaguchi","nanpufu.txt","仏像は物置の奥手に、埃のいつぱい積つた長持に、凭れるやうにして立つてゐました。"
"42","sakaguchi","nanpufu.txt","木彫の地蔵でした。"
"43","sakaguchi","nanpufu.txt",""
"44","sakaguchi","nanpufu.txt","私はかつてこのやうな地蔵を、鎌倉の国宝館と京都の博物館でのみ見た覚えがあります。"
"45","sakaguchi","nanpufu.txt","これも恐らく鎌倉時代の作でせう。"
"46","sakaguchi","nanpufu.txt","なんとまた女性的な、むしろ現実の女体には恐らく決して有りうべくもない情感と秘密に富んだ肢体でせうか。"
"47","sakaguchi","nanpufu.txt","現実の快楽を禁じられた人々の脳裡には、妄想の翼によつて、妄想のみが達しうる特殊な現実が宿ります。"
"48","sakaguchi","nanpufu.txt","その現実を夢とよぶ人もあるのでした。"
"49","sakaguchi","nanpufu.txt","そしてそれらの人々の脳裡に宿つた現実に比べたなら、地上の快楽はなんとまた貧しく、秘密なく、あまつさへ幻滅に富むものでありませうか。"
