"","auth","piece","line"
"0","sakaguchi","natsuto_ningyo.txt","夏と人形"
"1","sakaguchi","natsuto_ningyo.txt","――南国便り――"
"2","sakaguchi","natsuto_ningyo.txt","坂口安吾"
"3","sakaguchi","natsuto_ningyo.txt",""
"4","sakaguchi","natsuto_ningyo.txt","-------------------------------------------------------"
"5","sakaguchi","natsuto_ningyo.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","natsuto_ningyo.txt",""
"7","sakaguchi","natsuto_ningyo.txt","《》：ルビ"
"8","sakaguchi","natsuto_ningyo.txt","（例）傀儡"
"9","sakaguchi","natsuto_ningyo.txt","-------------------------------------------------------"
"10","sakaguchi","natsuto_ningyo.txt",""
"11","sakaguchi","natsuto_ningyo.txt","貴方は南国の傀儡を御存じですか？（と物識りの旅行家が私に話してきかせました）"
"12","sakaguchi","natsuto_ningyo.txt","文楽の舞台に比べては余り原始的でみすぼらしいものの、まことの名人気質と名も知られない人形造りが一心こめて残した霊妙な人形はむしろ棄てられた傀儡師に伝へられてゐるのです。"
"13","sakaguchi","natsuto_ningyo.txt",""
"14","sakaguchi","natsuto_ningyo.txt","七年前のことです。"
"15","sakaguchi","natsuto_ningyo.txt","四国の淋しい路傍で最も神秘な傀儡師を見ました。"
"16","sakaguchi","natsuto_ningyo.txt","至妙な演戯よ！私の心は涯もない夢幻の奥へ誘はれてゐたのです。"
"17","sakaguchi","natsuto_ningyo.txt","けれども終生忘れることのできないのは（そして彼は暫く深々と感動の瞑目をつづけてゐました）ふと自分に返つたとき、芝居を終へた人形の額に汗のジットリ滲んでゐるのを見出したのでした。"
"18","sakaguchi","natsuto_ningyo.txt",""
"19","sakaguchi","natsuto_ningyo.txt",""
"20","sakaguchi","natsuto_ningyo.txt","私は物識りの旅行家の額には汗なぞ滲まないので、彼の話をきくのが好きです。"
"21","sakaguchi","natsuto_ningyo.txt",""
"22","sakaguchi","natsuto_ningyo.txt",""
"23","sakaguchi","natsuto_ningyo.txt",""
"24","sakaguchi","natsuto_ningyo.txt",""
"25","sakaguchi","natsuto_ningyo.txt","底本：「坂口安吾全集01」筑摩書房"
"26","sakaguchi","natsuto_ningyo.txt","1999（平成11）年5月20日初版第1刷発行"
"27","sakaguchi","natsuto_ningyo.txt","底本の親本：「レツェンゾ七月号」紀伊国屋書店レツェンゾ編輯部"
"28","sakaguchi","natsuto_ningyo.txt","1934（昭和9）年7月1日発行"
"29","sakaguchi","natsuto_ningyo.txt","初出：「レツェンゾ七月号」紀伊国屋書店レツェンゾ編輯部"
"30","sakaguchi","natsuto_ningyo.txt","1934（昭和9）年7月1日発行"
"31","sakaguchi","natsuto_ningyo.txt","入力：tatsuki"
"32","sakaguchi","natsuto_ningyo.txt","校正：noriko saito"
"33","sakaguchi","natsuto_ningyo.txt","2009年4月19日作成"
"34","sakaguchi","natsuto_ningyo.txt","青空文庫作成ファイル："
"35","sakaguchi","natsuto_ningyo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"36","sakaguchi","natsuto_ningyo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"37","sakaguchi","natsuto_ningyo.txt",""
