"","auth","piece","line"
"0","sakaguchi","nigitta_te.txt","握った手"
"1","sakaguchi","nigitta_te.txt","坂口安吾"
"2","sakaguchi","nigitta_te.txt",""
"3","sakaguchi","nigitta_te.txt","-------------------------------------------------------"
"4","sakaguchi","nigitta_te.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","nigitta_te.txt",""
"6","sakaguchi","nigitta_te.txt","《》：ルビ"
"7","sakaguchi","nigitta_te.txt","（例）咒っていた"
"8","sakaguchi","nigitta_te.txt","-------------------------------------------------------"
"9","sakaguchi","nigitta_te.txt",""
"10","sakaguchi","nigitta_te.txt","松夫はちかごろ考えすぎるようであった。"
"11","sakaguchi","nigitta_te.txt","大学を卒業して就職できたら綾子と結婚しようと考える。"
"12","sakaguchi","nigitta_te.txt","以前はそうではなかった。"
"13","sakaguchi","nigitta_te.txt","かりそめの遊びの気持であったが、だんだんそうではなくなって、必ず結婚しなければ、と考えるようになった。"
"14","sakaguchi","nigitta_te.txt",""
"15","sakaguchi","nigitta_te.txt","彼が考えすぎるにはワケがあった。"
"16","sakaguchi","nigitta_te.txt","松夫と綾子との出会いは甚だしく俗悪で詩趣に欠けているのである。"
"17","sakaguchi","nigitta_te.txt","ある映画館であった。"
"18","sakaguchi","nigitta_te.txt","隣席の娘が愛くるしいので松夫は心が動いた。"
"19","sakaguchi","nigitta_te.txt","映画のラヴシーンと現実とが、一時的に高揚して、アッと思うヒマもなく隣席の娘の手を握ってしまったのである。"
"20","sakaguchi","nigitta_te.txt",""
"21","sakaguchi","nigitta_te.txt","松夫は美しいひとの顔をマトモに見ることができないような内気で、すすんで美女に話しかけるような芸当は望んでも得られぬことであった。"
"22","sakaguchi","nigitta_te.txt","彼は内気を咒っていた。"
"23","sakaguchi","nigitta_te.txt","すすんで美女に話しかける勇気が欲しいということは彼のかねての願望で、その一ツの勇気によって自分の人生に大転換が起るはずだがと考え、内気を咒って味気ない日々に苦しんでいたのであった。"
"24","sakaguchi","nigitta_te.txt",""
"25","sakaguchi","nigitta_te.txt","その彼が見知らぬ娘の手を握ったのは、その時彼の魂がどこかへ抜け出ていたせいだ。"
"26","sakaguchi","nigitta_te.txt","多少の勇気も加味されていたかも知れぬが、要するに一期の不覚と申すべきものであった。"
"27","sakaguchi","nigitta_te.txt","しかるに娘がその手をきつく握り返したから、軽犯罪法のお世話に相成るべき不審の挙動が天下晴れての快挙と相成り、福は禍の門と云うが如くに禍根を残すこととなった。"
"28","sakaguchi","nigitta_te.txt",""
"29","sakaguchi","nigitta_te.txt","松夫は一度だけこう云った覚えがある。"
"30","sakaguchi","nigitta_te.txt",""
"31","sakaguchi","nigitta_te.txt","「君が隣席へ坐った時からキレイな人だなアと思っていたのだよ。"
"32","sakaguchi","nigitta_te.txt","それで映画に亢奮するとつい衝動的に握っちゃったんだ。"
"33","sakaguchi","nigitta_te.txt","君が握り返してくれた時にも、まだボンヤリしたままだったよ」"
"34","sakaguchi","nigitta_te.txt","すると綾子も一度だけこう答えた。"
"35","sakaguchi","nigitta_te.txt",""
"36","sakaguchi","nigitta_te.txt","「私もあなたが一目で好きになったのよ。"
"37","sakaguchi","nigitta_te.txt","フラフラッと隣へ坐っちゃったでしょう。"
"38","sakaguchi","nigitta_te.txt","見抜かれたみたいで口惜しかったわ。"
"39","sakaguchi","nigitta_te.txt","ヨタモノだと思ったわよ。"
"40","sakaguchi","nigitta_te.txt","でも、握り返しちゃったのよ。"
"41","sakaguchi","nigitta_te.txt","蓮ッ葉に思われるのが辛いわ」"
"42","sakaguchi","nigitta_te.txt","この会話は一回きりである。"
"43","sakaguchi","nigitta_te.txt","二人の仲が深まり、遠慮がなくなるにつれて、このことにだけは再びふれなかった。"
"44","sakaguchi","nigitta_te.txt",""
"45","sakaguchi","nigitta_te.txt","綾子への情が深まるにつれて、松夫は彼女の握り返した手にこだわった。"
"46","sakaguchi","nigitta_te.txt","むろん先に握った自分の手もイヤではあったが、それはこの際問題ではない。"
"47","sakaguchi","nigitta_te.txt","綾子はあのような時、誰に対してもあのように応じるのではないかと思いめぐらして苦しんだのである。"
"48","sakaguchi","nigitta_te.txt",""
"49","sakaguchi","nigitta_te.txt","考えすぎるのはいけないことだ、とむろん彼も心得ていた。"
"50","sakaguchi","nigitta_te.txt","しかし、自然に考えてしまうものは仕方がない。"
"51","sakaguchi","nigitta_te.txt","これも愛情のせいなのだ。"
