"","auth","piece","line"
"0","sakaguchi","nihonjinni_tsuite.txt","日本人に就て"
"1","sakaguchi","nihonjinni_tsuite.txt","――中島健蔵氏へ質問――"
"2","sakaguchi","nihonjinni_tsuite.txt","坂口安吾"
"3","sakaguchi","nihonjinni_tsuite.txt",""
"4","sakaguchi","nihonjinni_tsuite.txt","-------------------------------------------------------"
"5","sakaguchi","nihonjinni_tsuite.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","nihonjinni_tsuite.txt",""
"7","sakaguchi","nihonjinni_tsuite.txt","《》：ルビ"
"8","sakaguchi","nihonjinni_tsuite.txt","（例）吃驚"
"9","sakaguchi","nihonjinni_tsuite.txt",""
"10","sakaguchi","nihonjinni_tsuite.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","nihonjinni_tsuite.txt","（例）さび"
"12","sakaguchi","nihonjinni_tsuite.txt","-------------------------------------------------------"
"13","sakaguchi","nihonjinni_tsuite.txt",""
"14","sakaguchi","nihonjinni_tsuite.txt","健蔵兄、作品社から「中島健蔵氏へ質問」といふものを書けといふことで、文学には多々疑惑のみ溢れがちな日常ではあり渡りに舟と引受けたのですが、さて引受けてみて吃驚しました。"
"15","sakaguchi","nihonjinni_tsuite.txt","なるほど疑問は次から次へとあるやうですが、さてそれを謙虚な質問といふ形に表はしてみやうとすると、これが非常にむづかしいのです。"
"16","sakaguchi","nihonjinni_tsuite.txt","自分では疑問のつもりでゐるものが、質問の形に表はしてみやうとすると、いつのまにやらチャンと疑問に解答を与へてゐる不思議な自分に気付くのです。"
"17","sakaguchi","nihonjinni_tsuite.txt","つまり僕の文学上の疑惑は常に「自問自答」といふ形にすつかり馴らされてゐて、唐突に心構えを変へてみたところで十日や廿日のことでは本心から謙虚な構えで他人に質問のできる自分でないことに気付きました。"
"18","sakaguchi","nihonjinni_tsuite.txt",""
"19","sakaguchi","nihonjinni_tsuite.txt","これは甚だ不幸なことです。"
"20","sakaguchi","nihonjinni_tsuite.txt","僕は正直にさう痛感しました。"
"21","sakaguchi","nihonjinni_tsuite.txt","けれども反面それほど質問がむづかしいことに改めて気付いたのでした。"
"22","sakaguchi","nihonjinni_tsuite.txt","すくなくとも僕にとつては、まことに謙虚な質問ができるやうな大海のやうにフランクな心構えになること、そのことだけで僕の文学がすでに半分くらゐは光りある救ひのなかへ足を踏み入れることになりさうだと感じました。"
"23","sakaguchi","nihonjinni_tsuite.txt","さうして、要するに僕はつまり終生他人に質問はできさうもなく、僕の文学は自問自答の孤独な生涯を送るのだらうと、いささか暗澹として考へたのです。"
"24","sakaguchi","nihonjinni_tsuite.txt","けれどもこれは一に貴兄への質問といふことにあれかれと正面から肝胆を砕いた揚句、一向埒のあかないうちに遠慮会釈もなく締切の期日がとつくに過ぎ去つてしまつたことに由来する悒鬱極まる自責の念が手伝つて、いささか無役に暗澹としすぎたのかも知れません。"
"25","sakaguchi","nihonjinni_tsuite.txt","然り、締切がとつくに過ぎ、必然の結果としてこれの返答を執筆する貴兄の時間が不当な短縮を余儀なくされる洵に正義人道上我ながら悲憤慷慨せざるを得ない不埒な事態を招致するにしても、僕は（！）遊んでゐたのではなく、しかく真ッ正面から肝胆を砕きすぎてゐたための不幸な結果にほかならないと賢察（！）していただくまでのこともなく、僕の頑固な自問自答の悪癖と、質問といふが如き地上に最も謙虚な心を必要とする至難な事業に到底一朝一夕に着手できやう筈のない孤独児の悲劇に就ては、先刻聡明なる貴兄が充分知りぬいておられることを、僕もとくより知りぬいてゐました！"
"26","sakaguchi","nihonjinni_tsuite.txt","左様なわけで質問のもてない自分に呆れかへつたのですが、そこで僕も気持をかへて、いつそ気軽になにか感想でも書いてみやうと思ひついたのです。"
"27","sakaguchi","nihonjinni_tsuite.txt","あとで貴兄の感想を洩して下されば幸福です。"
"28","sakaguchi","nihonjinni_tsuite.txt",""
"29","sakaguchi","nihonjinni_tsuite.txt",""
"30","sakaguchi","nihonjinni_tsuite.txt","僕は時々日本人であることにウンザリします。"
"31","sakaguchi","nihonjinni_tsuite.txt","むろんウンザリしてはいけないのですが、時々ウンザリするのです。"
"32","sakaguchi","nihonjinni_tsuite.txt","近頃自意識過剰といふことが言はれてゐますが、我々日本人の場合これを自意識過剰といふべきや行動過少といふべきや甚だもつて疑はしいと思はれるのです。"
"33","sakaguchi","nihonjinni_tsuite.txt",""
"34","sakaguchi","nihonjinni_tsuite.txt","日本人は宗教心を持たない代りに、手軽な諦らめとあんまり筋道のはつきりしない愛他心とに恵まれてきました。"
"35","sakaguchi","nihonjinni_tsuite.txt","元来情熱は一途に利己的なものであるやうですが、日本人はこれまで情熱を追求することを教へられず、途中で抑へ、諦らめることに馴らされてしまひ自分の正しい慾念よりも他人の思惑の方を余計気にしたりするやうであります。"
"36","sakaguchi","nihonjinni_tsuite.txt","それの愚かしいことに重々気付き、又憎んでゐても、長い習慣から脱けでることができません。"
"37","sakaguchi","nihonjinni_tsuite.txt",""
"38","sakaguchi","nihonjinni_tsuite.txt","横光氏の作品が西洋臭いやうに言はれてゐても、なかなかさうではないやうです。"
"39","sakaguchi","nihonjinni_tsuite.txt","たとへば西洋臭さうな「悪魔」をとりあげてみても、まづ主人公が窓ぎわで顔を洗つてヒョッと顔をあげると前の二階に女がこつちを見てゐる、ちよつとバタ臭い場面のやうでゐて、その実この情景のあまりにも生き生きしてゐるのに驚いた私は、これが最も日本的であるからだといふ一つの考へに思ひ至つたのです。"
"40","sakaguchi","nihonjinni_tsuite.txt",""
"41","sakaguchi","nihonjinni_tsuite.txt","年がら年中内攻した生活の中にくすぶつてゐる日本人には、西洋人が異性の肌に直接手をふれて感じるであらう情慾を、一目見るだけで感じだすやうに馴らされてゐる傾向もあるでせう。"
"42","sakaguchi","nihonjinni_tsuite.txt","直接話を交してのち男女理解し合ふといふなら普通でせうが、外面てんでんバラバラに生活してゐる我々日本の男女にとつては、話もせずに話を交したと同量の濃度をもつた感動を受けたりする垣間見ただけの感覚、さういふものに西洋人以上の深さと真剣味が含まれてゐるやうに思ふのは不当でせうか？前掲の悪魔の一情景の如き、日本人ならではこれほど生き生きと感じ、美しく描けないのではありますまいか？日本人は異性同志が言葉を交し合ふだけでさへ西洋人に分らない労力と複雑な計算と、さうして西洋人同志ではてんで意味もない小さな言葉のきれつぱしにも驚くべき広がりと深さをもつて官能に理性に響きを受けることがある筈です。"
"43","sakaguchi","nihonjinni_tsuite.txt","ここには我々をああ又かとウンザリさせるところもあるでせうが、一面当然意識していい新日本的な美があるやうにも思はれます。"
"44","sakaguchi","nihonjinni_tsuite.txt",""
"45","sakaguchi","nihonjinni_tsuite.txt","西洋では男女の交際にかなりの公式があり階梯があり必然性もあるやうですが、日本ときては殆んど大部が偶然にたよるほかに仕方がないやうです。"
