"","auth","piece","line"
"0","sakaguchi","onnauranaishino_mae.txt","女占師の前にて"
"1","sakaguchi","onnauranaishino_mae.txt","坂口安吾"
"2","sakaguchi","onnauranaishino_mae.txt",""
"3","sakaguchi","onnauranaishino_mae.txt","-------------------------------------------------------"
"4","sakaguchi","onnauranaishino_mae.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","onnauranaishino_mae.txt",""
"6","sakaguchi","onnauranaishino_mae.txt","《》：ルビ"
"7","sakaguchi","onnauranaishino_mae.txt","（例）恰も"
"8","sakaguchi","onnauranaishino_mae.txt",""
"9","sakaguchi","onnauranaishino_mae.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","onnauranaishino_mae.txt","（例）長島｜萃といふ相棒が"
"11","sakaguchi","onnauranaishino_mae.txt",""
"12","sakaguchi","onnauranaishino_mae.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","onnauranaishino_mae.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","sakaguchi","onnauranaishino_mae.txt","（例）※"
"15","sakaguchi","onnauranaishino_mae.txt","-------------------------------------------------------"
"16","sakaguchi","onnauranaishino_mae.txt",""
"17","sakaguchi","onnauranaishino_mae.txt",""
"18","sakaguchi","onnauranaishino_mae.txt","これは素朴な童話のつもりで読んでいただいても乃至は趣向"
"19","sakaguchi","onnauranaishino_mae.txt","の足りない落語のつもりで読んでいただいてもかまひません"
"20","sakaguchi","onnauranaishino_mae.txt",""
"21","sakaguchi","onnauranaishino_mae.txt",""
"22","sakaguchi","onnauranaishino_mae.txt",""
"23","sakaguchi","onnauranaishino_mae.txt","私はあるとき牧野信一の家で長谷川といふ指紋の占を業とする人に私の指紋を見せたことがありました。"
"24","sakaguchi","onnauranaishino_mae.txt","私は彼のもとめに応じて私の左右の掌を交互に彼の面前に差出したまででありますが、君のもともとめられた牧野信一は神経的に眉を寄せ、いくらか顫えを帯びた小声で僕はさういふことは嫌ひなんだと誰にとなく呟いたりしたのち、結局座を立つて便所へ行つたりなど細工して、たうとう彼だけは見せなかつたやうでした。"
"25","sakaguchi","onnauranaishino_mae.txt","感性だけで生きてゐた牧野信一は予言のもつ不吉なものを捩ぢ伏せることに不得手で、赤裸な姿を看破せられる不安にも堪えがたかつたのでありませう。"
"26","sakaguchi","onnauranaishino_mae.txt",""
"27","sakaguchi","onnauranaishino_mae.txt","私とて占者の前に淡白では立ち得ませんが、赤裸な心情を看破せられること、または予言のもつ宿命的な暗影をもつた圧迫感を負担とするにはいくらか理知的でありすぎるやうです。"
"28","sakaguchi","onnauranaishino_mae.txt","恬として迷信に耳をかさぬかの面魂をひけらかしたがる私の性分にいくらか業を※やした菱山修三が、あるとき若干の皮肉をこめて、理知人ほど迷信的なものだといふアランの言葉を引用したのですが、私は一応暗にその真実は認めてはゐても、必ずしも彼の言葉に心を動かすものではありませんでした。"
"29","sakaguchi","onnauranaishino_mae.txt","理知人ほどやがて野性人たらざるを得ません。"
"30","sakaguchi","onnauranaishino_mae.txt","それのひとつの表れとしてまた迷信的たらざるを得ないことも自然ですが、本来迷信的であることと質に於て異るゆゑ、私はむしろかやうな場合我々の言葉の単純さと、そのはたらきが単純のために却つて行はれやすい魔術的な真実らしさを疎ましく思ふものであります。"
"31","sakaguchi","onnauranaishino_mae.txt",""
"32","sakaguchi","onnauranaishino_mae.txt","この二月来私が放浪の身をよせてゐる京都には二人の友達がゐるのですが、その年若い一人の友が訪れてきて、近代人の悪魔的な性格にのみ興をもつ（この表現は彼のものです）異色ある映画製作者がゐるが、そのひとつの作品を見物してみないかと誘ひました。"
"33","sakaguchi","onnauranaishino_mae.txt","その製作者や俳優の名は忘れましたが「生きてゐるモレア」といふ映画でした。"
"34","sakaguchi","onnauranaishino_mae.txt","まず当代の常識的な虚無をもつて性格とした極めて知性的な主役が、私がかつて行つた言動に類似のことを行つて万やむを得ぬ重い苦笑に心をさそひ、けれどもむしろ倦怠のみの時間のうちにやがて映画は終つてゐました。"
"35","sakaguchi","onnauranaishino_mae.txt","然しひとつの場面のみが暗処にうごめく何物かに似た幾分不快な感触を帯びて、やや忘れえぬ濁つた印象を残したのです。"
"36","sakaguchi","onnauranaishino_mae.txt",""
"37","sakaguchi","onnauranaishino_mae.txt","そこは料理店の食卓らしく思はれます。"
"38","sakaguchi","onnauranaishino_mae.txt","以下すべて印象ですから事実との相違はあるかも知れません。"
"39","sakaguchi","onnauranaishino_mae.txt","出版業者であるところの虚無家が一閨秀詩人と恋に落ち、その食卓に二人が坐つてゐるのです。"
"40","sakaguchi","onnauranaishino_mae.txt","女占師が這入つてきました。"
"41","sakaguchi","onnauranaishino_mae.txt","まづ閨秀詩人の手相をみてやがて二児の母たる宿命をつげ、次に男の掌を見たときには恰も憎むべきものを見たかのやうな敵意を視線にみなぎらし、つひに一語の予言すら語らずに、女に護身の首飾を無償で与へて立ち去るのでした。"
"42","sakaguchi","onnauranaishino_mae.txt","男の表情は結局微動もしなかつたことを覚えてゐます。"
"43","sakaguchi","onnauranaishino_mae.txt",""
"44","sakaguchi","onnauranaishino_mae.txt","私はわが身の同じ場合を想像せざるを得ないのであります。"
"45","sakaguchi","onnauranaishino_mae.txt",""
"46","sakaguchi","onnauranaishino_mae.txt","長谷川といふ指紋研究家もさうでしたが、彼は私の愛慾について語るべきときには、まつたく口を噤んでゐました。"
"47","sakaguchi","onnauranaishino_mae.txt","また私の未来について語る時にも、あなたの性格はあまのぢやくだから――さう語つて私の視線をはばかるやうに俯向き、さう言へばあなたに通じるでせうねと呟いておいて、だから色々の障礙がありますと言つた。"
"48","sakaguchi","onnauranaishino_mae.txt","勿論彼は敵意を見せはしなかつたのですが、言明をさける風が私の場合の唯一の態度であつたのです。"
"49","sakaguchi","onnauranaishino_mae.txt",""
"50","sakaguchi","onnauranaishino_mae.txt","私は好んで占師の前に立つたことはありませんが、一度は路上で俄雨にうたれそこが丁度ある占師の門前であつたときと、一度は酒の酔にまかせて都合二回職業占師の眼光に心身をさらしてゐるのです。"
"51","sakaguchi","onnauranaishino_mae.txt","結果は長谷川指紋研究家と大同小異でありました。"
"52","sakaguchi","onnauranaishino_mae.txt","私の愛慾生活の宿命とあまのぢやく的性格に就て語る時には言外の暗示によつて私の理会に俟たうとする用心深い眼付をみせたやうでした。"
"53","sakaguchi","onnauranaishino_mae.txt","私は事を神秘化して言はうとするものではありません。"
"54","sakaguchi","onnauranaishino_mae.txt","彼等が暗示するものに就いては、もとより私がつとに知らぬ筈がなかつたのです。"
"55","sakaguchi","onnauranaishino_mae.txt",""
"56","sakaguchi","onnauranaishino_mae.txt","話が偶然占者とのみ関聯しますが、私の中学時代の最も親しかつた友達が、白眼学舎なにがしと看板をかけた高名な易者の甥で、かつその家に寄食してゐました。"
"57","sakaguchi","onnauranaishino_mae.txt","十八歳の時のことです。"
"58","sakaguchi","onnauranaishino_mae.txt","一日彼を訪問しますと、白眼道人なにがしの妻女は生憎窓がないために白昼もまつくらな茶の間で長火鉢の前に坐り、薄暗い電燈の光の下で挨拶する私を見やりながら、だしぬけにお前さんは色魔だねと言つたのです。"
"59","sakaguchi","onnauranaishino_mae.txt","私は薄笑ひすら洩らさぬほど冷静であつたやうに記憶しますが、やがてええと答へただけにすぎませんでした。"
"60","sakaguchi","onnauranaishino_mae.txt",""
"61","sakaguchi","onnauranaishino_mae.txt","私は中学生のころ学校所在区の不良少年の群れに親しまれ好んで彼等と交つてもゐたが、私自身は不良少年ではなかつたのです。"
"62","sakaguchi","onnauranaishino_mae.txt","私はただ過剰すぎる少年の夢をもてあまし、学校の規律にはどうしても服しきれない本能的な反抗癖と怠け癖とによつて、日毎に学業を怠ることに専念し、当時からすでに実際は発狂してゐた沢辺といふ秀才や白眼道人の甥などを誘ひ、神楽坂の紅屋や護国寺門前の鈴蘭といふ当時社会主義者の群れが入り浸つたまつくらな喫茶店で学校の終る時間まで過してゐました。"
"63","sakaguchi","onnauranaishino_mae.txt","たまたま鈴蘭に手入れがあつてここに入り浸つた中学生は一応全部取調を受け、その大半は退学処分を受けたにも拘らず沢辺狂人や私の一派は本来の不良ならずといふ意味ですか、保護者すら知らずに許るされてゐたやうな出来事などがあつたのです。"
"64","sakaguchi","onnauranaishino_mae.txt","沢辺狂人と私は悟入を志して仏教を学び牛込の禅寺へ坐禅を組みにでかけたりなどしてゐた可愛気のない中学生でもありました。"
"65","sakaguchi","onnauranaishino_mae.txt",""
"66","sakaguchi","onnauranaishino_mae.txt","後年私の為すところが世間の常識によつてはやや色魔にも類すべき種類のものであることを私は認めてゐるのですが、中学生の私は子供にしてはひねくれた理知と大人の落付きを備へた美少年であつたとはいへ、過剰にすぎる夢のゆゑに現実を遠くはなれ、少年よりもむしろ少年であつたやうです。"
"67","sakaguchi","onnauranaishino_mae.txt","私の生涯に於て私を色魔と称ぶところの先駆者の栄誉を担ふ人は当然白眼道人なにがしの妻女でありませう。"
"68","sakaguchi","onnauranaishino_mae.txt","彼女はその花柳界育ちの眼力によつて私自身が知る以前に私の本性を看破したのでありませうが、十八歳の中学生を一眼みるや唐突にお前さんは色魔だねと浴せかけたひとりの女の実在を思ふと、この場合に限りむしろ不安であるよりも幾分失笑を禁じ得ません。"
"69","sakaguchi","onnauranaishino_mae.txt",""
"70","sakaguchi","onnauranaishino_mae.txt","私は然し敢て私の弁護ではなく一応世間人の大胆すぎる常識を批難せずにはゐられない。"
"71","sakaguchi","onnauranaishino_mae.txt","人々はその各々の愛情の始めに当つて、どうして恐れげもなくその愛情の永遠を誓ひ合ふのでありませうか。"
"72","sakaguchi","onnauranaishino_mae.txt","それはまつたく乱暴なことであります。"
"73","sakaguchi","onnauranaishino_mae.txt","そしてそのやうに乱暴な原因によつて惹き起される無数の悲劇はもとより涙には価せず、恐らく茶番に終らざるを得ないでせう。"
"74","sakaguchi","onnauranaishino_mae.txt","私は茶番の退屈さには堪えられません。"
"75","sakaguchi","onnauranaishino_mae.txt",""
"76","sakaguchi","onnauranaishino_mae.txt","私とて然し自然の声によつて何事か永遠を希はずにゐられないひとときの思ひもあるのです。"
"77","sakaguchi","onnauranaishino_mae.txt","さういふ声の泌みるがやうな自然さに逢ふと、私もつひに本能的な恐怖をもつて、私の裡の世間を怖れるのであります。"
"78","sakaguchi","onnauranaishino_mae.txt",""
"79","sakaguchi","onnauranaishino_mae.txt","十八歳の私は白眼道人なにがしの妻女の言葉に冷然としてええと応じることもできたのですが、今日もなほそのやうに冷静に応じうるや否やは分かりません。"
"80","sakaguchi","onnauranaishino_mae.txt","恐らく応じ得ないでせう。"
"81","sakaguchi","onnauranaishino_mae.txt","なぜなら私は私自身の真実を信じ所信を愛すこと十八年代の比ではないが、また世間の虚偽の真実よりも甚しい真実さを余りに身をもつて知るところの悲しむべき世間人でもあるからであります。"
"82","sakaguchi","onnauranaishino_mae.txt",""
"83","sakaguchi","onnauranaishino_mae.txt","あの映画の中に於てもさうでした。"
"84","sakaguchi","onnauranaishino_mae.txt","男はその愛人に向つて私は色魔ですと言つてゐました。"
"85","sakaguchi","onnauranaishino_mae.txt","饒舌を性とする白人に比し言葉の無意味と退屈を感じることに慣れてゐる我々日本人の常として、私も亦もとより鼻につく厭味を犯してまで私の愛人に向つて私は色魔ですと殊更言を弄した覚えはありません。"
"86","sakaguchi","onnauranaishino_mae.txt","けれども私は言ひたかつた。"
"87","sakaguchi","onnauranaishino_mae.txt","そして心に言つてゐました。"
"88","sakaguchi","onnauranaishino_mae.txt","なぜなら彼女にそのことを言はれることが甚だ苦痛であつたからです。"
"89","sakaguchi","onnauranaishino_mae.txt","私と「生きてゐるモレア」の場合のみではないでせう。"
"90","sakaguchi","onnauranaishino_mae.txt","己れの愛のみの永遠を信じそして自分の場合のみの男の特殊な愛情を信じはじめた女性の前では、その愛人であるところの恐らくすべての理知人が同一の科白を各々の様式によつて表明し、あるひは表明したい意慾だけは持つでせう。"
"91","sakaguchi","onnauranaishino_mae.txt",""
"92","sakaguchi","onnauranaishino_mae.txt","私は然し自ら私は色魔ですと名乗ることの卑屈さに堪へがたいのも事実です。"
"93","sakaguchi","onnauranaishino_mae.txt","そして自らの卑屈さをいやしむ結果、その卑屈さを強ひるかに見えるところの世間、そして現にその世間の唯一にして全ての化身であるところの愛人に向つて、たゞそれだけの内攻から唐突に怒りを燃やし、また一場の気分としては絶縁を迫りたくもなるほどでした。"
"94","sakaguchi","onnauranaishino_mae.txt","愛情の最頂点に於て私は最も卑屈たらざるを得ないゆゑ、また愛情の最頂点に於て私は甚だ軽卒な気分に駆られて愛人を冒涜し軽蔑に耽ることを常とした記憶があります。"
"95","sakaguchi","onnauranaishino_mae.txt",""
"96","sakaguchi","onnauranaishino_mae.txt","紅毛人の習慣に馴れない私は本来言葉のもつ誇大性や断定性に多くの場合堪へがたいので、心中に無数の言葉を蔵してゐても、おほむねそれを語らずに終ることが多いのです。"
"97","sakaguchi","onnauranaishino_mae.txt","かつて暫しの生活を共にした女に向つて私が屡々表明し得た最大の抗弁と批難は、それは月並だよといふ言葉でした。"
"98","sakaguchi","onnauranaishino_mae.txt","そこには私の堪へきれぬ最大の意味が含まれてゐたのでしたが、それを激して語る術もなかつたので、女は恐らく最も屡々聞きなれた言葉の真意を聞き逃してしまつたらうと思はれます。"
"99","sakaguchi","onnauranaishino_mae.txt",""
"100","sakaguchi","onnauranaishino_mae.txt","私は色魔ですと臆面もなく言ひきることの厭味や卑屈さに堪へきれぬ私は、結局それにこだはることも多いわけで、彼女等にそれを言はれた瞬間の苦痛や怒りが、想像の中に於てもやや生々しい現実味を覚えさせられるほどであります。"
"101","sakaguchi","onnauranaishino_mae.txt","映画の中の主人公は占師の敵意の視線を浴びたときに毛筋ほどその表情を動かすこともなかつたのですが、そのことがこの印象を一層濁つた重苦しいものにするのでした。"
"102","sakaguchi","onnauranaishino_mae.txt",""
"103","sakaguchi","onnauranaishino_mae.txt","同じ場合を私自身に当てはめて想像して、私はこのやうに無表情でありうるでせうか。"
"104","sakaguchi","onnauranaishino_mae.txt","ありうるかも知れません。"
"105","sakaguchi","onnauranaishino_mae.txt","恐らくむしろありうることが一層確かな予想だらうと思はれます。"
"106","sakaguchi","onnauranaishino_mae.txt",""
"107","sakaguchi","onnauranaishino_mae.txt","然しながら無表情であり得た場合を想像しても、軽微な犯跡を隠し得たときのわづかな快味すら感じ得ぬばかりか、恐らく内心の動揺と顔面の不動との均合ひの悪さのために、無表情の裏面に於て私は更に加重された苦痛をなめねばなりますまい。"
"108","sakaguchi","onnauranaishino_mae.txt","映画の中の無表情を見たときに、私自身の均合ひの悪さの不快を聯想して気分を悪くしたのです。"
"109","sakaguchi","onnauranaishino_mae.txt",""
"110","sakaguchi","onnauranaishino_mae.txt","京都では一足街へ踏みだしてどの方角へ足を向けても、やがて宏壮な伽藍につきあたらずにはゐられません。"
"111","sakaguchi","onnauranaishino_mae.txt","寺院建築は単調なほど均斉といふひとつの意志にすべての重心があつめられてゐるやうに思はれます。"
"112","sakaguchi","onnauranaishino_mae.txt","私の住む伏見深草から近いところに東福寺といふ禅寺があり、私の散歩の足は自然この寺へ向けられがちでありましたが、この寺は宋風とかいふ建築の様式ださうで、特にまた均斉を感じさせる伽藍であります。"
"113","sakaguchi","onnauranaishino_mae.txt",""
"114","sakaguchi","onnauranaishino_mae.txt","私はこれらの伽藍を見るにつけ、そこに営々たる努力をこめた均斉の意志を感じるたびに、いつとはなくひとりの狂人の意志を感じ、混乱を感じ、また危なさを感じる自分に気付くやうになつてゐました。"
"115","sakaguchi","onnauranaishino_mae.txt","これらの建築にこめられた異常なほど単一すぎる均斉の意志の裏には、この均斉を生みだすための凡そあらゆる不均斉がややともすれば矢庭に崩れて乱れだす危なさとなつて感じられます。"
"116","sakaguchi","onnauranaishino_mae.txt","そこまで明確に言ひすぎては、いけないのかも知れません。"
"117","sakaguchi","onnauranaishino_mae.txt","私自身の感じだけではもつと漠然とした気分だけのことであり、畢竟するにただ狂人の意志であり、混乱であり、また危なさにすぎないのです。"
