"","auth","piece","line"
"0","sakaguchi","osakana_jyoshi.txt","お魚女史"
"1","sakaguchi","osakana_jyoshi.txt","坂口安吾"
"2","sakaguchi","osakana_jyoshi.txt",""
"3","sakaguchi","osakana_jyoshi.txt","-------------------------------------------------------"
"4","sakaguchi","osakana_jyoshi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","osakana_jyoshi.txt",""
"6","sakaguchi","osakana_jyoshi.txt","《》：ルビ"
"7","sakaguchi","osakana_jyoshi.txt","（例）相好"
"8","sakaguchi","osakana_jyoshi.txt",""
"9","sakaguchi","osakana_jyoshi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","osakana_jyoshi.txt","（例）ニヤリ／＼"
"11","sakaguchi","osakana_jyoshi.txt","-------------------------------------------------------"
"12","sakaguchi","osakana_jyoshi.txt",""
"13","sakaguchi","osakana_jyoshi.txt","その朝は玄関脇の応接間に×社の津田弁吉という頭の調子の一風変った青年記者が泊りこんでいた。"
"14","sakaguchi","osakana_jyoshi.txt","私は徹夜で×社の原稿を書きあげたところで、これから酒をのんで一眠りと、食事の用意ができたら弁吉を起そうと考えていた。"
"15","sakaguchi","osakana_jyoshi.txt","その弁吉がキチンと身仕度をとゝのえて、ノッソリとあがってきた。"
"16","sakaguchi","osakana_jyoshi.txt",""
"17","sakaguchi","osakana_jyoshi.txt","「ねえ、先生、妙な女が現れたよ。"
"18","sakaguchi","osakana_jyoshi.txt","キチガイかも知れないねえ」"
"19","sakaguchi","osakana_jyoshi.txt","文士の生活になじんでいる雑誌記者というものは、若年で、頭のネジが狂っていても、訪問客にヘマな応待はしないものだ。"
"20","sakaguchi","osakana_jyoshi.txt","私が安心していると、弁吉はニヤリ／＼と、"
"21","sakaguchi","osakana_jyoshi.txt","「ねえ、先生、会っておやりよ。"
"22","sakaguchi","osakana_jyoshi.txt","海のねえ、ホラ、お魚ねえ、お魚みたいな喋り方をするんだよ」"
"23","sakaguchi","osakana_jyoshi.txt","「パクパクやるのかい」"
"24","sakaguchi","osakana_jyoshi.txt","「そうじゃないんだよ。"
"25","sakaguchi","osakana_jyoshi.txt","会ってみないと判らないんだ。"
"26","sakaguchi","osakana_jyoshi.txt","とにかく、美人だね。"
"27","sakaguchi","osakana_jyoshi.txt","ハハハ。"
"28","sakaguchi","osakana_jyoshi.txt","すごく、色ッぽいんだ。"
"29","sakaguchi","osakana_jyoshi.txt","ちょッとね、目にしみちゃってね、ハハハ、ボクは美人にもろいんだよ。"
"30","sakaguchi","osakana_jyoshi.txt","デねえ、社の原稿書いてもらってるところだろう。"
"31","sakaguchi","osakana_jyoshi.txt","本来なら撃退しなきゃアならないんだけどねえ、そこんとこを何とかしてあげるッてネ、恩をきせてネ、ハハハ、約束しちゃったんだよ。"
"32","sakaguchi","osakana_jyoshi.txt","だからさ、会ッてやっておくれよ、ねえ。"
"33","sakaguchi","osakana_jyoshi.txt","アレ、ちょうど、いゝや。"
"34","sakaguchi","osakana_jyoshi.txt","原稿、できてらア。"
"35","sakaguchi","osakana_jyoshi.txt","ハハハ、うまく、いってやがら」"
"36","sakaguchi","osakana_jyoshi.txt","そこへ食事の仕度を運んできた女房と女中が、弁吉を見ると、テーブルへガチャンとお盆をおいて、腹を押えて笑いころげた。"
"37","sakaguchi","osakana_jyoshi.txt",""
"38","sakaguchi","osakana_jyoshi.txt","「ハハハ、あれを立ちぎゝしたネ」"
"39","sakaguchi","osakana_jyoshi.txt","と笑いのとまらない二人の女を見下して弁吉はニヤリニヤリ、"
"40","sakaguchi","osakana_jyoshi.txt","「ハハハ、ボクがね、あなた小説かいてるのッて、きいたんだ。"
"41","sakaguchi","osakana_jyoshi.txt","するとねエ、アンタ、書生？玄関番？て訊きやがんのさ。"
"42","sakaguchi","osakana_jyoshi.txt","ボク、編輯長ですよッて言ったんだ。"
"43","sakaguchi","osakana_jyoshi.txt","オドロカねえのさ。"
"44","sakaguchi","osakana_jyoshi.txt","だもんでネ、ボクねエ、本当は、新人のねエ、一流のねエ、詩人でねエ、ペンネーム教えてあげようかッてねエ、アハハ、ほんとに訊かれちゃったら誰を名乗ってやろうかと思ってさ、ちょッと困っていたけどさ、アハハ、テンデ訊かねエや」"
