"","auth","piece","line"
"0","sakaguchi","oshaberi_kyoso.txt","お喋り競争"
"1","sakaguchi","oshaberi_kyoso.txt","坂口安吾"
"2","sakaguchi","oshaberi_kyoso.txt",""
"3","sakaguchi","oshaberi_kyoso.txt","-------------------------------------------------------"
"4","sakaguchi","oshaberi_kyoso.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","oshaberi_kyoso.txt",""
"6","sakaguchi","oshaberi_kyoso.txt","《》：ルビ"
"7","sakaguchi","oshaberi_kyoso.txt","（例）恰も"
"8","sakaguchi","oshaberi_kyoso.txt",""
"9","sakaguchi","oshaberi_kyoso.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","oshaberi_kyoso.txt","（例）ペラ／＼"
"11","sakaguchi","oshaberi_kyoso.txt","-------------------------------------------------------"
"12","sakaguchi","oshaberi_kyoso.txt",""
"13","sakaguchi","oshaberi_kyoso.txt","一"
"14","sakaguchi","oshaberi_kyoso.txt",""
"15","sakaguchi","oshaberi_kyoso.txt","この九月末宇野浩二氏から電話がきた。"
"16","sakaguchi","oshaberi_kyoso.txt","私は生憎不在だつたが、至急の話があるから今夜か明朝会ひたい、訪れてほしいといふのであつた。"
"17","sakaguchi","oshaberi_kyoso.txt","なんの話か見当がつかなかつたが、私はその月の文芸通信に、牧野信一の自殺にやゝあてはまることを題材にした小説を書いた。"
"18","sakaguchi","oshaberi_kyoso.txt","見やうによつては確にさしさはりのある題材だから、その話かも知れないと思つた。"
"19","sakaguchi","oshaberi_kyoso.txt","尤も其小説は急所のところがひどい伏字で、私の方では伏字の部分を書くために他の五十枚を書いたやうなものであるから、落胆が大きかつた。"
"20","sakaguchi","oshaberi_kyoso.txt","私の想念がその小説に向いただけでも気持がくさるやうであつた。"
"21","sakaguchi","oshaberi_kyoso.txt","宇野さんからの電話ときくと、なんの根拠があつてその用件をいきなりこの小説にむすびつけてしまつたのかどうもハッキリ分らないが、私はてつきり宇野さんからこの小説の題材に対して文句がでるやうな気になつた。"
"22","sakaguchi","oshaberi_kyoso.txt","なにぶん私は伏字に対する落胆がまだ生々しい時であるから、気持がなんとなく激昂して、用件がそのことだとも分らぬうちに、すつかり宇野さんに反撥する気持をつくりあげてしまつたのである。"
"23","sakaguchi","oshaberi_kyoso.txt","翌朝はドシャ降りだつたが、私は本郷から上野桜木町の宇野さん宅までボロ傘さして歩いて行つた。"
"24","sakaguchi","oshaberi_kyoso.txt",""
"25","sakaguchi","oshaberi_kyoso.txt","私の知人関係では宇野浩二氏をお喋りの王座にすゑなければならない。"
"26","sakaguchi","oshaberi_kyoso.txt","相手に喋る隙を与へず自分ひとりのべつ幕なしに喋りまくるのである。"
"27","sakaguchi","oshaberi_kyoso.txt","恐らく黙つてゐるのが気づまりで、沈黙が恰も心中にうごめく醜悪な怪獣であるかのやうに不快であるのかも知れない。"
"28","sakaguchi","oshaberi_kyoso.txt",""
"29","sakaguchi","oshaberi_kyoso.txt","宇野さんは喋るといふより言葉に憑かれたといふ感じである。"
"30","sakaguchi","oshaberi_kyoso.txt","ひとこと喋る。"
"31","sakaguchi","oshaberi_kyoso.txt","すると宇野さんの頭の中には忽ちその言葉をめぐつてひどく虚無的な嵐が吹きはじめるものらしい。"
"32","sakaguchi","oshaberi_kyoso.txt","慌てふためいてまた喋る。"
"33","sakaguchi","oshaberi_kyoso.txt","また虚無的な苦痛を重ねる。"
"34","sakaguchi","oshaberi_kyoso.txt","とまるところもなく喋りつづけてしまふらしい。"
"35","sakaguchi","oshaberi_kyoso.txt","非常に疲れるだらうと思ふのである。"
"36","sakaguchi","oshaberi_kyoso.txt","聞いてゐる私の方がひどく疲れてしまふのだ。"
"37","sakaguchi","oshaberi_kyoso.txt",""
"38","sakaguchi","oshaberi_kyoso.txt","宇野さんは人に会ふのが嫌ひらしい。"
"39","sakaguchi","oshaberi_kyoso.txt","こんなに神経を使つて喋り、喋つて虚無感を深めるのでは、人に会ふのが苦痛なのは極めて当然だと思ふのである。"
"40","sakaguchi","oshaberi_kyoso.txt","宇野家の門にはいつも錠がおりてゐる。"
"41","sakaguchi","oshaberi_kyoso.txt","呼鈴を鳴らすと、女中部屋の格子窓が半分開いて、まるで河向うの女のやうに女中が首をだすのである。"
"42","sakaguchi","oshaberi_kyoso.txt","名前と用件をきいて引込み、やがて漸く門があくが、なるべく会はずにすましたい方寸らしい。"
"43","sakaguchi","oshaberi_kyoso.txt","文学界の随筆に、雑誌の用で小林秀雄が訪ねると云つてきた、訪ねてくれるには及ばないから手紙ですましてくれと云つてやつたのに、たうとう訪ねてきてしまつた、といふことをひどくいまいましさうに書いてゐるのを読んで可笑しくて堪まらなかつた。"
"44","sakaguchi","oshaberi_kyoso.txt","あんな風に喋らなければならないのでは、人に会ふのも並たいていの苦業ではないと察しがつく。"
"45","sakaguchi","oshaberi_kyoso.txt",""
"46","sakaguchi","oshaberi_kyoso.txt","宇野さんも人に会ふのが苦手だらうが、私も宇野さんと向ひあふのは苦手である。"
"47","sakaguchi","oshaberi_kyoso.txt","疲れるのだ。"
"48","sakaguchi","oshaberi_kyoso.txt","自分ひとり喋りまくつて一人相撲に疲れてしまふ宇野さんは自業自得で是非もないが、人のお喋りをきいて虚無的な疲れ方をしなければならないのは、並たいていな馬鹿な話ではないのである。"
"49","sakaguchi","oshaberi_kyoso.txt",""
"50","sakaguchi","oshaberi_kyoso.txt",""
"51","sakaguchi","oshaberi_kyoso.txt",""
"52","sakaguchi","oshaberi_kyoso.txt","二"
"53","sakaguchi","oshaberi_kyoso.txt",""
"54","sakaguchi","oshaberi_kyoso.txt","私は上野の杜を歩きながら、宇野さんの間断ない饒舌から生ずるところの疲労と虚無感をどういふ方法で撃退してやらうかと考へつづけた。"
"55","sakaguchi","oshaberi_kyoso.txt","虚しく手をつかねて彼の饒舌の俘虜となり、このドシャ降りの雨の日に更に憂鬱このうへもない数十分をもつことは、どうにも我慢がならなかつた。"
"56","sakaguchi","oshaberi_kyoso.txt","そこであれかれと考へてみたが、方法はたつた一つしかない。"
"57","sakaguchi","oshaberi_kyoso.txt","先方に喋る隙を与へず、いきなりこつちで喋りまくつてしまふのである。"
"58","sakaguchi","oshaberi_kyoso.txt",""
"59","sakaguchi","oshaberi_kyoso.txt","借金にでむく初心者はとかく一人相撲にいらざることをペラ／＼喋りまくつてしまふらしい。"
"60","sakaguchi","oshaberi_kyoso.txt","刻下の形勢に縁遠い昔の話に偏執したり、先方に諾否の返答をする隙がないほどせきこんでゐたりする。"
"61","sakaguchi","oshaberi_kyoso.txt","あんまり口数をきかずに借金の口上が言へる人はややその道の大家であらう。"
"62","sakaguchi","oshaberi_kyoso.txt","私はまだ初心者の域をでない。"
"63","sakaguchi","oshaberi_kyoso.txt","従而泡をくつて喋ることには案外馴れてゐるのである。"
"64","sakaguchi","oshaberi_kyoso.txt","いづれ近いうちには、貸す方がすつかり慌ててしまふほど落付払つて殆ど喋らずに金を借りてみようと考へてゐる。"
"65","sakaguchi","oshaberi_kyoso.txt",""
"66","sakaguchi","oshaberi_kyoso.txt","とある黄昏のことであつたが、小金を握つて賑やかな通りを歩いてゐると、悟りをひらいたことがあつた。"
"67","sakaguchi","oshaberi_kyoso.txt","芸術家としては唖のやうに寡黙であつても一面社会人として生きるからには大いにお世辞も言はねばならぬ。"
"68","sakaguchi","oshaberi_kyoso.txt","むしろ大いに幇間的である方がいい。"
"69","sakaguchi","oshaberi_kyoso.txt","人と会つてゐる時間といふのはすでに浪費しつつある時間であるから、滑稽なことを喋りまくつて人を娯しませてももと／＼損はしてゐない。"
"70","sakaguchi","oshaberi_kyoso.txt","犠牲的精神を感じて気をよくすることもできるのである。"
"71","sakaguchi","oshaberi_kyoso.txt","そこで私はかねがねむつつり酒をのむ習慣のおでん屋へとびこみ、そこの女将をつかまへて出鱈目な旅行談を喋りつづけたことがある。"
"72","sakaguchi","oshaberi_kyoso.txt","私の方が面白くないのはかねて予定のことであつたが、先方も面白くないらしく、相槌打つのに当惑してゐた。"
"73","sakaguchi","oshaberi_kyoso.txt","それ以来、意識的なお喋りをしたことはなかつた。"
"74","sakaguchi","oshaberi_kyoso.txt",""
