"","auth","piece","line"
"0","sakaguchi","pittya_satsujin_jiken.txt","投手殺人事件"
"1","sakaguchi","pittya_satsujin_jiken.txt","坂口安吾"
"2","sakaguchi","pittya_satsujin_jiken.txt",""
"3","sakaguchi","pittya_satsujin_jiken.txt","-------------------------------------------------------"
"4","sakaguchi","pittya_satsujin_jiken.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","pittya_satsujin_jiken.txt",""
"6","sakaguchi","pittya_satsujin_jiken.txt","《》：ルビ"
"7","sakaguchi","pittya_satsujin_jiken.txt","（例）細巻"
"8","sakaguchi","pittya_satsujin_jiken.txt",""
"9","sakaguchi","pittya_satsujin_jiken.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","pittya_satsujin_jiken.txt","（例）名投手｜大鹿"
"11","sakaguchi","pittya_satsujin_jiken.txt",""
"12","sakaguchi","pittya_satsujin_jiken.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","pittya_satsujin_jiken.txt","（例）"
"14","sakaguchi","pittya_satsujin_jiken.txt",""
"15","sakaguchi","pittya_satsujin_jiken.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"16","sakaguchi","pittya_satsujin_jiken.txt","（例）チョイ／＼"
"17","sakaguchi","pittya_satsujin_jiken.txt","-------------------------------------------------------"
"18","sakaguchi","pittya_satsujin_jiken.txt",""
"19","sakaguchi","pittya_satsujin_jiken.txt","その一速球投手と女優の身売り"
"20","sakaguchi","pittya_satsujin_jiken.txt",""
"21","sakaguchi","pittya_satsujin_jiken.txt","新しい年も九日になるのに、うちつづく正月酒で頭が痛い。"
"22","sakaguchi","pittya_satsujin_jiken.txt","細巻宣伝部長が後頭部をさすりながら朝日撮影所の門を通ろうとすると、なれなれしく近づいた男が、"
"23","sakaguchi","pittya_satsujin_jiken.txt","「ヤア、細巻さん。"
"24","sakaguchi","pittya_satsujin_jiken.txt","お待ちしていました。"
"25","sakaguchi","pittya_satsujin_jiken.txt","とうとう現れましたぜ。"
"26","sakaguchi","pittya_satsujin_jiken.txt","暁葉子が。"
"27","sakaguchi","pittya_satsujin_jiken.txt","インタビューとろうとしたら拒絶されましたよ。"
"28","sakaguchi","pittya_satsujin_jiken.txt","あとで、会わして下さい。"
"29","sakaguchi","pittya_satsujin_jiken.txt","恩にきますよ」"
"30","sakaguchi","pittya_satsujin_jiken.txt","こう云って頭をかいてニヤニヤしたのは、専売新聞社会部記者の羅宇木介であった。"
"31","sakaguchi","pittya_satsujin_jiken.txt",""
"32","sakaguchi","pittya_satsujin_jiken.txt","「ほんとか。"
