"","auth","piece","line"
"0","sakaguchi","sakaguchiryuno_shogikan.txt","坂口流の将棋観"
"1","sakaguchi","sakaguchiryuno_shogikan.txt","坂口安吾"
"2","sakaguchi","sakaguchiryuno_shogikan.txt",""
"3","sakaguchi","sakaguchiryuno_shogikan.txt","-------------------------------------------------------"
"4","sakaguchi","sakaguchiryuno_shogikan.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","sakaguchiryuno_shogikan.txt",""
"6","sakaguchi","sakaguchiryuno_shogikan.txt","《》：ルビ"
"7","sakaguchi","sakaguchiryuno_shogikan.txt","（例）却々"
"8","sakaguchi","sakaguchiryuno_shogikan.txt",""
"9","sakaguchi","sakaguchiryuno_shogikan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","sakaguchiryuno_shogikan.txt","（例）（木村・升田戦の日の未明）"
"11","sakaguchi","sakaguchiryuno_shogikan.txt",""
"12","sakaguchi","sakaguchiryuno_shogikan.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","sakaguchi","sakaguchiryuno_shogikan.txt","（例）バカ／＼しい"
"14","sakaguchi","sakaguchiryuno_shogikan.txt","-------------------------------------------------------"
"15","sakaguchi","sakaguchiryuno_shogikan.txt",""
"16","sakaguchi","sakaguchiryuno_shogikan.txt","私は将棋は知らない。"
"17","sakaguchi","sakaguchiryuno_shogikan.txt","けれども棋書や解説書や棋士の言葉などから私流に判断して、日本には将棋はあったが、まだ本当の将棋の勝負がなかったのじゃないかと思う。"
"18","sakaguchi","sakaguchiryuno_shogikan.txt",""
"19","sakaguchi","sakaguchiryuno_shogikan.txt","勝負の鬼と云われた木村前名人でも、実際はまだ将棋であって、勝負じゃない。"
"20","sakaguchi","sakaguchiryuno_shogikan.txt","そして、はじめて本当の勝負というものをやりだしたのが升田八段と私は思う。"
"21","sakaguchi","sakaguchiryuno_shogikan.txt","升田八段は型だの定跡を放念して、常にたゞ、相手が一手さす、その一手だけが相手で、その一手に対して自分が一手勝ちすればよい、それが彼の将棋の原則なのだろうと私は思う。"
"22","sakaguchi","sakaguchiryuno_shogikan.txt",""
"23","sakaguchi","sakaguchiryuno_shogikan.txt","将棋の勝負が、いつによらず、相手のさした一手だけが当面の相手にきまっているようであるが、却々そういうものじゃなくて、両々お互に旧来の型とか将棋というものに馴れ合ってさしているもので、その魂、根性の全部をあげてたゞ当面の一手を相手に、それに一手勝ちすればよい、そういう勝負の根本の原則がハッキリ確立されてはおらなかった。"
"24","sakaguchi","sakaguchiryuno_shogikan.txt","これをはじめて升田八段がやったのだろうと私は思う。"
"25","sakaguchi","sakaguchiryuno_shogikan.txt",""
"26","sakaguchi","sakaguchiryuno_shogikan.txt","私の文学なども同じことで、谷崎潤一郎とか志賀直哉とか、文章はあったけれども、それはたゞ文章にすぎない。"
"27","sakaguchi","sakaguchiryuno_shogikan.txt","私のは、文章ではない。"
"28","sakaguchi","sakaguchiryuno_shogikan.txt","何を書くか、書き表わす「モノ」があるだけで、文章など在りはせぬ。"
"29","sakaguchi","sakaguchiryuno_shogikan.txt","私の「堕落論」というものも、要するにそれだけの原則をのべたにすぎないもので、物事すべて、実質が大切で、形式にとらわれてはならぬ。"
"30","sakaguchi","sakaguchiryuno_shogikan.txt","実質がおのずから形式を決定してくるもの、何事によらず、実質が心棒、根幹というものである。"
"31","sakaguchi","sakaguchiryuno_shogikan.txt",""
"32","sakaguchi","sakaguchiryuno_shogikan.txt","これは、悲しいほど、当りまえなことだ。"
"33","sakaguchi","sakaguchiryuno_shogikan.txt","三、四十年もたってみなさい。"
"34","sakaguchi","sakaguchiryuno_shogikan.txt","坂口安吾の「堕落論」なんて、なんのこったこんな当り前のこと言ってやがるにすぎないのか、こんなことは当然にきまってるじゃないか、バカ／＼しい、そう言うにきまっている。"
"35","sakaguchi","sakaguchiryuno_shogikan.txt","そのあまりにも当然なことが、今までの日本に欠けていたのである。"
"36","sakaguchi","sakaguchiryuno_shogikan.txt",""
