"","auth","piece","line"
"0","sakaguchi","sakushano_iibun.txt","作者の言分"
"1","sakaguchi","sakushano_iibun.txt","――八月創作評を読んで――"
"2","sakaguchi","sakushano_iibun.txt","坂口安吾"
"3","sakaguchi","sakushano_iibun.txt",""
"4","sakaguchi","sakushano_iibun.txt","短評読みましたが、正面からの批評ではないので、あれを手掛りに返事のしやうもありません。"
"5","sakaguchi","sakushano_iibun.txt","あの作品に対する僕の気持だけを一言のべておきます。"
"6","sakaguchi","sakushano_iibun.txt",""
"7","sakaguchi","sakushano_iibun.txt","あの作品は僕の近頃のものでは異例に属し、近頃僕がほんとに書かうとしてゐることは、最極の血なまぐさゝにまみれた善と悪との問題で、近頃僕が諸方に書いた小論をお読みになるとこのことは分ります。"
"8","sakaguchi","sakushano_iibun.txt","ところであの作品はその間の息抜きと言つておかしければ、所詮血まみれでさへ捨てがたい一つのノスタルヂイの心懐のために、いはゞそのベルスーズとして書いたもので他日作品集を出す時には、大人のための「童話集」とでも名付けた中へ収めますか。"
"9","sakaguchi","sakushano_iibun.txt","かく言へばあの作品の意味もいくらか明瞭であの短評がさういふ文学の本質にふれてくれない限り正面から不満の言ひやうもないのです。"
"10","sakaguchi","sakushano_iibun.txt","尚、小生が文学のオナニスムにおちいつたと自問自答してゐるといふのは嘘で、恐らく「作品」七月号の小論の読み違ひでせうが、も一度あれをお読みになると、日本の文学がオナニスム的で、小生はそれを脱けだしたいのだと言ふことが分ります。"
"11","sakaguchi","sakushano_iibun.txt",""
"12","sakaguchi","sakushano_iibun.txt",""
"13","sakaguchi","sakushano_iibun.txt",""
"14","sakaguchi","sakushano_iibun.txt",""
"15","sakaguchi","sakushano_iibun.txt","底本：「坂口安吾全集01」筑摩書房"
"16","sakaguchi","sakushano_iibun.txt","1999（平成11）年5月20日初版第1刷発行"
"17","sakaguchi","sakushano_iibun.txt","底本の親本：「時事新報第一八七四八号」"
"18","sakaguchi","sakushano_iibun.txt","1935（昭和10）年8月7日発行"
"19","sakaguchi","sakushano_iibun.txt","初出：「時事新報第一八七四八号」"
"20","sakaguchi","sakushano_iibun.txt","1935（昭和10）年8月7日発行"
"21","sakaguchi","sakushano_iibun.txt","入力：tatsuki"
"22","sakaguchi","sakushano_iibun.txt","校正：noriko saito"
"23","sakaguchi","sakushano_iibun.txt","2009年4月19日作成"
"24","sakaguchi","sakushano_iibun.txt","2016年4月4日修正"
"25","sakaguchi","sakushano_iibun.txt","青空文庫作成ファイル："
"26","sakaguchi","sakushano_iibun.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"27","sakaguchi","sakushano_iibun.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"28","sakaguchi","sakushano_iibun.txt",""
