"","auth","piece","line"
"0","sakaguchi","sehyoto_jibun.txt","世評と自分"
"1","sakaguchi","sehyoto_jibun.txt","坂口安吾"
"2","sakaguchi","sehyoto_jibun.txt",""
"3","sakaguchi","sehyoto_jibun.txt","私は抗議も弁明も好まない。"
"4","sakaguchi","sehyoto_jibun.txt","なぜなら、小説は、小説自体が全てを語っており、それによって裁かるべきものだから。"
"5","sakaguchi","sehyoto_jibun.txt",""
"6","sakaguchi","sehyoto_jibun.txt","たゞ、文学の仕事は歴史を相手に行われているものであるから、現象的な批評や非難は作家の意とするに当らぬものであることを付け加えたい。"
"7","sakaguchi","sehyoto_jibun.txt",""
"8","sakaguchi","sehyoto_jibun.txt","私は言うまでもなく社会的責任を負う。"
"9","sakaguchi","sehyoto_jibun.txt","もしも私の著作が、世相に悪影響を及ぼすものと断ぜられて、浮薄なる情痴作家と裁かれるなら、それはそれでよろしい。"
"10","sakaguchi","sehyoto_jibun.txt",""
"11","sakaguchi","sehyoto_jibun.txt","時代や流行や社会によって裁かれることは私の意とするところではない。"
"12","sakaguchi","sehyoto_jibun.txt","私は「人間」によって裁かれることを畏れるのみ。"
"13","sakaguchi","sehyoto_jibun.txt","即ち、私自身によって裁かれることを。"
"14","sakaguchi","sehyoto_jibun.txt",""
"15","sakaguchi","sehyoto_jibun.txt","私が如何なる作家であるか、私はすべてを歴史にまかせる。"
"16","sakaguchi","sehyoto_jibun.txt","私は私の小説を偽ることはできないのだから。"
"17","sakaguchi","sehyoto_jibun.txt",""
"18","sakaguchi","sehyoto_jibun.txt","だが、情痴読者が多すぎる。"
"19","sakaguchi","sehyoto_jibun.txt","文学を正しく受け入れるには、教養がいる。"
"20","sakaguchi","sehyoto_jibun.txt","人間！"
"21","sakaguchi","sehyoto_jibun.txt",""
"22","sakaguchi","sehyoto_jibun.txt",""
"23","sakaguchi","sehyoto_jibun.txt",""
"24","sakaguchi","sehyoto_jibun.txt","底本：「坂口安吾全集05」筑摩書房"
"25","sakaguchi","sehyoto_jibun.txt","1998（平成10）年6月20日初版第1刷発行"
"26","sakaguchi","sehyoto_jibun.txt","底本の親本：「朝日新聞第二一九〇六号」"
"27","sakaguchi","sehyoto_jibun.txt","1947（昭和22）年3月3日発行"
"28","sakaguchi","sehyoto_jibun.txt","初出：「朝日新聞第二一九〇六号」"
"29","sakaguchi","sehyoto_jibun.txt","1947（昭和22）年3月3日発行"
"30","sakaguchi","sehyoto_jibun.txt","入力：tatsuki"
"31","sakaguchi","sehyoto_jibun.txt","校正：藤原朔也"
"32","sakaguchi","sehyoto_jibun.txt","2008年4月15日作成"
"33","sakaguchi","sehyoto_jibun.txt","2016年4月15日修正"
"34","sakaguchi","sehyoto_jibun.txt","青空文庫作成ファイル："
"35","sakaguchi","sehyoto_jibun.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"36","sakaguchi","sehyoto_jibun.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"37","sakaguchi","sehyoto_jibun.txt",""
