"","auth","piece","line"
"0","sakaguchi","seishinbyo_oboegaki.txt","精神病覚え書"
"1","sakaguchi","seishinbyo_oboegaki.txt","坂口安吾"
"2","sakaguchi","seishinbyo_oboegaki.txt",""
"3","sakaguchi","seishinbyo_oboegaki.txt","-------------------------------------------------------"
"4","sakaguchi","seishinbyo_oboegaki.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","seishinbyo_oboegaki.txt",""
"6","sakaguchi","seishinbyo_oboegaki.txt","《》：ルビ"
"7","sakaguchi","seishinbyo_oboegaki.txt","（例）三昧境"
"8","sakaguchi","seishinbyo_oboegaki.txt",""
"9","sakaguchi","seishinbyo_oboegaki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","seishinbyo_oboegaki.txt","（例）（退院の翌日）"
"11","sakaguchi","seishinbyo_oboegaki.txt","-------------------------------------------------------"
"12","sakaguchi","seishinbyo_oboegaki.txt",""
"13","sakaguchi","seishinbyo_oboegaki.txt","一ヶ月余の睡眠治療が終って、どうやら食慾も出、歩行もいくらか可能になったころ、まだ戸外の散歩はムリであるから、医者のフリをして、ちょッと外来を見せて貰った。"
"14","sakaguchi","seishinbyo_oboegaki.txt","幸い僕の担当が外来長の千谷さんであったから、有無を言わさず、僕が勝手に乗りこんだようなものであった。"
"15","sakaguchi","seishinbyo_oboegaki.txt",""
"16","sakaguchi","seishinbyo_oboegaki.txt","ほかの精神病院のことは知らないが、東大に関する限り、ここが精神病院の何より良いところである。"
"17","sakaguchi","seishinbyo_oboegaki.txt","お医者さん、看護婦、附添い、すべて患者の神経を苛立たせないように、これつとめ、これを専一に注意を払ってくれる。"
"18","sakaguchi","seishinbyo_oboegaki.txt","神経科以外の病棟は決してこう行き届く筈はないだろうと思った。"
"19","sakaguchi","seishinbyo_oboegaki.txt","だから僕は、ほかの病気で入院する時でも、神経科へ入院して、その専門の病室へ通うのが何よりだと思ったほどである。"
"20","sakaguchi","seishinbyo_oboegaki.txt",""
"21","sakaguchi","seishinbyo_oboegaki.txt","僕が外来で新患の診察を見たとき、患者は二十人ぐらいであった。"
"22","sakaguchi","seishinbyo_oboegaki.txt","そのうち、七八人は学童であったが、これはちょうど、時期が休暇に当っていたせいだという話であった。"
"23","sakaguchi","seishinbyo_oboegaki.txt","学童の親たちは、言い合したように「ヒキツケ」という言葉を用い、テンカンという言葉を用いた者は完全に一人もいなかった。"
"24","sakaguchi","seishinbyo_oboegaki.txt",""
"25","sakaguchi","seishinbyo_oboegaki.txt","このヒキツケの学童たちは、いずれも智能劣等であった。"
"26","sakaguchi","seishinbyo_oboegaki.txt","ドストエフスキーの片鱗などは影もなく、殆ど大部分が智能劣等なのが普通だということであった。"
"27","sakaguchi","seishinbyo_oboegaki.txt",""
"28","sakaguchi","seishinbyo_oboegaki.txt","千谷さんや、若いお医者さんの話では、パウロがテンカンではないかということであり、バイブルに現れるパウロの表現に、テンカンの要素が見られるということであったが、マホメットがテンカンらしいということは普通言われていることであり、狂信的世界はたしかに幻想の実在的確信を伴い、宗教家にテンカン患者がかなりいるのではないかと思われる節はある。"
"29","sakaguchi","seishinbyo_oboegaki.txt",""
"30","sakaguchi","seishinbyo_oboegaki.txt","僕が退院する二日前、小林秀雄が見舞いに来てくれて、ゴッホは分裂病ではなく、テンカンじゃないのかと言いだした。"
"31","sakaguchi","seishinbyo_oboegaki.txt",""
"32","sakaguchi","seishinbyo_oboegaki.txt","一般に精神病のお医者さん方がゴッホを分裂病だと云うのは、ヤスパースなどを読んで、その通り思いこんでおられるだけで、小林秀雄のようにゴッホに関する殆どあらゆる文献を読んでいるわけではない。"
"33","sakaguchi","seishinbyo_oboegaki.txt",""
"34","sakaguchi","seishinbyo_oboegaki.txt","小林秀雄は十何年かの間ドストエフスキーについて殆どあらゆる文献をしらべ、今は又ゴッホ研究をやりだしているのであるが、はからずも、ドストエフスキーとゴッホの発病時の表現に、いちじるしい類似のあることを見出した由であった。"
"35","sakaguchi","seishinbyo_oboegaki.txt",""
"36","sakaguchi","seishinbyo_oboegaki.txt","この二人の芸術家は、いずれも自らの発作について手記を残しているのであるが、先ず発病の時期に宗教的な三昧境を見る。"
"37","sakaguchi","seishinbyo_oboegaki.txt","小林はルリヂヤス何とかと云った。"
"38","sakaguchi","seishinbyo_oboegaki.txt","僕らは酒をのんで話を交していたので、こまかいことは忘れてしまったが、このルリヂヤス何とかという表現が、二人の手記に同じ言葉が用いられているので、小林はゴッホもテンカンじゃないかと疑りだしているのである。"
"39","sakaguchi","seishinbyo_oboegaki.txt",""
"40","sakaguchi","seishinbyo_oboegaki.txt","これだけの類似でゴッホもテンカンだと即断するのは、もとより不当であり、だいたい分裂病の症状は多種多様で、無限の型がありうるから、尚更、わからない。"
"41","sakaguchi","seishinbyo_oboegaki.txt",""
"42","sakaguchi","seishinbyo_oboegaki.txt","然し、分裂病の型が多種多様だということについては、つまり、精神病学がまだ幼稚であり、多くの型を一とまとめに分裂病とよんで済ましているだけのことではないかと思われる節が多い。"
"43","sakaguchi","seishinbyo_oboegaki.txt",""
"44","sakaguchi","seishinbyo_oboegaki.txt","事実、精神については、医者のみならず、文士も、哲学者も、その実体に確たるものを知り得ていないではないか。"
"45","sakaguchi","seishinbyo_oboegaki.txt",""
"46","sakaguchi","seishinbyo_oboegaki.txt","小林秀雄はフロイドの方法が東大に於て使用されているかどうかをきき、使用していないという僕の返事に、ちょッと意外な顔をした。"
"47","sakaguchi","seishinbyo_oboegaki.txt",""
"48","sakaguchi","seishinbyo_oboegaki.txt","僕自身発病して入院するまで、フロイドの方法をかなり高く評価していた。"
"49","sakaguchi","seishinbyo_oboegaki.txt","然し、入院して後は、突如として、フロイドの方法はダメだという唐突な確信をいだいた。"
"50","sakaguchi","seishinbyo_oboegaki.txt",""
"51","sakaguchi","seishinbyo_oboegaki.txt","大体、分裂病が潜在意識によるかどうかは疑わしいが、僕の場合は、鬱病であり、それにアドルム（催眠薬）中毒の加ったものである。"
"52","sakaguchi","seishinbyo_oboegaki.txt","分裂病に比べれば、鬱病には、まだしも、潜在意識の作用はたしかにある。"
"53","sakaguchi","seishinbyo_oboegaki.txt","何かゞ抑圧されていることが、病状を悪化させる一つの理由となっていることは確かである。"
"54","sakaguchi","seishinbyo_oboegaki.txt",""
"55","sakaguchi","seishinbyo_oboegaki.txt","東大で鬱病を治療するには、主として持続睡眠療法であり、ほかに電気療法なども用いるらしい。"
"56","sakaguchi","seishinbyo_oboegaki.txt","（分裂病にはエンシュリン、電気、或いは脳手術である）"
"57","sakaguchi","seishinbyo_oboegaki.txt",""
"58","sakaguchi","seishinbyo_oboegaki.txt","僕のうけた治療は持続睡眠療法であった。"
"59","sakaguchi","seishinbyo_oboegaki.txt","これはある種の催眠薬によって、人工的に一ヶ月ほど昏睡させるものである。"
"60","sakaguchi","seishinbyo_oboegaki.txt","この昏睡の期間に、患者は食事をとり、用便をし、時に医者と話を交し、僕の場合は本や新聞を片目をつぶりながら読んでいたりした由であるが、それらのことは全く覚醒後は記憶に残っていない。"
"61","sakaguchi","seishinbyo_oboegaki.txt","一ヶ月睡って目覚めた時、一晩睡ったとしか思わない。"
"62","sakaguchi","seishinbyo_oboegaki.txt","はじめは、一ヶ月の時日のすぎていることが、どうしても信じられないものである。"
"63","sakaguchi","seishinbyo_oboegaki.txt","この傾向は、治療としての持続睡眠にのみ有るものではなく、催眠薬の中毒病状がすべてそうで、入院直前、僕がアドルムを多量に用いて（四五十錠ずつ二十四五日間用いた）昏睡をもとめた時にも、ふと覚醒して、一夜ちょッと眠った自覚しかないのに、一週間がすぎており、どうしても信じられないことが三度ほどあった。"
"64","sakaguchi","seishinbyo_oboegaki.txt",""
"65","sakaguchi","seishinbyo_oboegaki.txt","持続睡眠療法も、アドルム中毒の場合もそうであるが、半覚醒時に、甚しくエロになった。"
"66","sakaguchi","seishinbyo_oboegaki.txt","全ての患者が、そうか、どうか、僕は知らない。"
"67","sakaguchi","seishinbyo_oboegaki.txt","然し、概してそうなるのが自然だろうと思われるのは、何人も性慾については抑圧しつゝあるものであり、又、催眠薬が、これらの抑圧を解放するというよりも、性慾の神経に何らかの刺戟を及ぼすものだと思われる。"
