"","auth","piece","line"
"0","sakaguchi","sensoto_hitorino_onna.txt","戦争と一人の女"
"1","sakaguchi","sensoto_hitorino_onna.txt","坂口安吾"
"2","sakaguchi","sensoto_hitorino_onna.txt",""
"3","sakaguchi","sensoto_hitorino_onna.txt","-------------------------------------------------------"
"4","sakaguchi","sensoto_hitorino_onna.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","sensoto_hitorino_onna.txt",""
"6","sakaguchi","sensoto_hitorino_onna.txt","《》：ルビ"
"7","sakaguchi","sensoto_hitorino_onna.txt","（例）医す"
"8","sakaguchi","sensoto_hitorino_onna.txt",""
"9","sakaguchi","sensoto_hitorino_onna.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","sensoto_hitorino_onna.txt","（例）シク／＼"
"11","sakaguchi","sensoto_hitorino_onna.txt","-------------------------------------------------------"
"12","sakaguchi","sensoto_hitorino_onna.txt",""
"13","sakaguchi","sensoto_hitorino_onna.txt","野村は戦争中一人の女と住んでゐた。"
"14","sakaguchi","sensoto_hitorino_onna.txt","夫婦と同じ関係にあつたけれども女房ではない。"
"15","sakaguchi","sensoto_hitorino_onna.txt","なぜなら、始めからその約束で、どうせ戦争が負けに終つて全てが滅茶々々になるだらう。"
"16","sakaguchi","sensoto_hitorino_onna.txt","敗戦の滅茶々々が二人自体のつながりの姿で、家庭的な愛情などといふものは二人ながら持つてゐなかつた。"
"17","sakaguchi","sensoto_hitorino_onna.txt",""
"18","sakaguchi","sensoto_hitorino_onna.txt","女は小さな酒場の主人で妾であつたが、生来の淫奔で、ちよつとでも気に入ると、どの客とでも関係してゐた女であつた。"
"19","sakaguchi","sensoto_hitorino_onna.txt","この女の取柄といへば、あくせくお金を儲けようといふ魂胆のないことで、酒が入手難になり営業がむずかしくなると、アッサリ酒場をやめて、野村と同棲したのである。"
"20","sakaguchi","sensoto_hitorino_onna.txt",""
"21","sakaguchi","sensoto_hitorino_onna.txt","女は誰かしらと一緒になる必要があり、野村が一人ものだから、あなたと一緒にならうか、と言ふので、さうだな、どうせ戦争で滅茶々々になるだらうから、ぢや今から滅茶々々になつて戦争の滅茶々々に連絡することにしようか、と笑つて答へた。"
"22","sakaguchi","sensoto_hitorino_onna.txt","なぜなら、どうせ女は野村と同棲して後も、時々誰かと関係することを野村は信じて疑はなかつた。"
"23","sakaguchi","sensoto_hitorino_onna.txt","厭になつたら出て行くがいゝさ、始めから野村はさう言つて女を迎へたのである。"
"24","sakaguchi","sensoto_hitorino_onna.txt",""
"25","sakaguchi","sensoto_hitorino_onna.txt","女は遊女屋にゐたことがあるので、肉体には正規な愛情のよろこび、がなかつた。"
