"","auth","piece","line"
"0","sakaguchi","shiganaoyani_bungakuno.txt","志賀直哉に文学の問題はない"
"1","sakaguchi","shiganaoyani_bungakuno.txt","坂口安吾"
"2","sakaguchi","shiganaoyani_bungakuno.txt",""
"3","sakaguchi","shiganaoyani_bungakuno.txt","-------------------------------------------------------"
"4","sakaguchi","shiganaoyani_bungakuno.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shiganaoyani_bungakuno.txt",""
"6","sakaguchi","shiganaoyani_bungakuno.txt","《》：ルビ"
"7","sakaguchi","shiganaoyani_bungakuno.txt","（例）夜鴉"
"8","sakaguchi","shiganaoyani_bungakuno.txt","-------------------------------------------------------"
"9","sakaguchi","shiganaoyani_bungakuno.txt",""
"10","sakaguchi","shiganaoyani_bungakuno.txt","太宰、織田が志賀直哉に憤死した、という俗説の一つ二つが現われたところで、異とするに足らない。"
"11","sakaguchi","shiganaoyani_bungakuno.txt","一国一城のアルジがタムロする文壇の論説が一二の定型に統制されたら、その方が珍であろう。"
"12","sakaguchi","shiganaoyani_bungakuno.txt","奇説怪説、雲の如くまき起り、夜鴉文士や蝮論客のたぐいを毒殺憤死せしめる怪力がこもれば結構である。"
"13","sakaguchi","shiganaoyani_bungakuno.txt",""
"14","sakaguchi","shiganaoyani_bungakuno.txt","人間にたいがいの事が可能でありうるように、人間についての批評も、たいがいの事に根がありうるものである。"
"15","sakaguchi","shiganaoyani_bungakuno.txt","だから蝮論客の怪気焔にも根はあざやかに具り、たゞ、無数の根から一つの根をとりだすには、御当人の品性や頭の問題が残るだけの話である。"
"16","sakaguchi","shiganaoyani_bungakuno.txt",""
"17","sakaguchi","shiganaoyani_bungakuno.txt","太宰、織田が、志賀に憤死したという説にも、根のないことはない。"
"18","sakaguchi","shiganaoyani_bungakuno.txt","太宰が志賀に腹を立て「如是我聞」を書いたことは事実であり、その裏には、志賀にほめてもらいたいような気持がなかったとはいえない。"
"19","sakaguchi","shiganaoyani_bungakuno.txt","然しそのことで憤死したとは突飛な飛躍で、帝銀事件の容疑を裏づけるに、こんな飛躍をしたならば、たちまち検事は失格するが、中野好夫教授は教授も批評家も失格しないから、文壇は楽天地である。"
"20","sakaguchi","shiganaoyani_bungakuno.txt",""
"21","sakaguchi","shiganaoyani_bungakuno.txt","志賀直哉の一生には、生死を賭したアガキや脱出などはない。"
"22","sakaguchi","shiganaoyani_bungakuno.txt","彼の小説はひとつの我慾を構成して示したものだが、この我慾には哲学がない。"
"23","sakaguchi","shiganaoyani_bungakuno.txt","彼の文章には、神だの哲学者の名前だのたくさん現われてくるけれども、彼の思惟の根柢に、たゞの一個の人間たる自覚は完全に欠けており、たゞの一個の人間でなしに、志賀直哉であるにすぎなかった。"
"24","sakaguchi","shiganaoyani_bungakuno.txt","だから神も哲学も、言葉を弄ぶだけであった。"
"25","sakaguchi","shiganaoyani_bungakuno.txt",""
"26","sakaguchi","shiganaoyani_bungakuno.txt","志賀直哉という位置の安定だけが、彼の問題であり、彼の我慾の問題も、そこに至って安定した。"
"27","sakaguchi","shiganaoyani_bungakuno.txt","然し、彼が修道僧の如く、我慾をめぐって、三思悪闘の如く小説しつゝあった時も、落ちつく先は判りきっており、見せかけに拘らず、彼の思惟の根柢は、志賀直哉という位置の安定にすぎなかったのである。"
"28","sakaguchi","shiganaoyani_bungakuno.txt",""
"29","sakaguchi","shiganaoyani_bungakuno.txt","彼は我慾を示し肯定して見せることによって、安定しているのである。"
"30","sakaguchi","shiganaoyani_bungakuno.txt","外国には、神父に告白して罪の許しを受ける方法があるが、小説で罪を肯定して安定するという方法はない。"
"31","sakaguchi","shiganaoyani_bungakuno.txt","こゝに日本の私小説の最大の特色があるのである。"
"32","sakaguchi","shiganaoyani_bungakuno.txt",""
"33","sakaguchi","shiganaoyani_bungakuno.txt","神父に告白して安定する苦悩ならば、まことの人間の苦悩ではない。"
"34","sakaguchi","shiganaoyani_bungakuno.txt","志賀流の日本の私小説も、それと同じニセ苦悩であった。"
"35","sakaguchi","shiganaoyani_bungakuno.txt",""
"36","sakaguchi","shiganaoyani_bungakuno.txt","だが、小説が、我慾を肯定することによって安定するという呪術的な効能ゆたかな方法であるならば、通俗の世界において、これほど救いをもたらすものは少い。"
"37","sakaguchi","shiganaoyani_bungakuno.txt","かくて志賀流私小説は、ザンゲ台の代りに宗教的敬虔さをもって用いられることゝなった。"
"38","sakaguchi","shiganaoyani_bungakuno.txt","その敬虔と神聖は、通俗のシムボルであり、かくて日本の知性は圧しつぶされてしまったのである。"
"39","sakaguchi","shiganaoyani_bungakuno.txt",""
"40","sakaguchi","shiganaoyani_bungakuno.txt","夏目漱石も、その博識にも拘らず、その思惟の根は、わが周囲を肯定し、それを合理化して安定をもとめる以上に深まることが出来なかった。"
"41","sakaguchi","shiganaoyani_bungakuno.txt","然し、ともかく漱石には、小さな悲しいものながら、脱出の希いはあった。"
"42","sakaguchi","shiganaoyani_bungakuno.txt","彼の最後の作「明暗」には、悲しい祈りが溢れている。"
"43","sakaguchi","shiganaoyani_bungakuno.txt","志賀直哉には、一身をかけたかゝる祈りは翳すらもない。"
"44","sakaguchi","shiganaoyani_bungakuno.txt",""
"45","sakaguchi","shiganaoyani_bungakuno.txt","ニセの苦悩や誠意にはあふれているが、まことの祈りは翳だになく、見事な安定を示している志賀流というものは、一家安穏、保身を祈る通俗の世界に、これほど健全な救いをもたらすものはない。"
"46","sakaguchi","shiganaoyani_bungakuno.txt","この世界にとって、まことの苦悩は、不健全であり、不道徳である。"
"47","sakaguchi","shiganaoyani_bungakuno.txt","文学は、人間の苦悩によって起ったひとつのオモチャであったが、志賀流以来、健康にして苦悩なきオモチャの分野をひらいたのである。"
"48","sakaguchi","shiganaoyani_bungakuno.txt","最も苦悩的、神聖敬虔な外貌によって、全然苦悩にふれないという、新発明の健全玩具であった。"
"49","sakaguchi","shiganaoyani_bungakuno.txt",""
"50","sakaguchi","shiganaoyani_bungakuno.txt","この阿呆の健全さが、日本的な保守思想には正統的な健全さと目され、その正統感は、知性高き人々の目すらもくらまし、知性的にそのニセモノを見破り得ても、感性的に否定しきれないような状態をつくっている。"
"51","sakaguchi","shiganaoyani_bungakuno.txt","太宰の悲劇には、そのような因子もある。"
"52","sakaguchi","shiganaoyani_bungakuno.txt",""
"53","sakaguchi","shiganaoyani_bungakuno.txt","然し、志賀直哉の人間的な貧しさや汚らしさは、「如是我聞」に描かれた通りのものと思えば、先ず、間違いではなかろう。"
"54","sakaguchi","shiganaoyani_bungakuno.txt","志賀直哉には、文学の問題などはないのである。"
"55","sakaguchi","shiganaoyani_bungakuno.txt",""
