"","auth","piece","line"
"0","sakaguchi","shinju.txt","真珠"
"1","sakaguchi","shinju.txt","坂口安吾"
"2","sakaguchi","shinju.txt",""
"3","sakaguchi","shinju.txt","-------------------------------------------------------"
"4","sakaguchi","shinju.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shinju.txt",""
"6","sakaguchi","shinju.txt","《》：ルビ"
"7","sakaguchi","shinju.txt","（例）欠伸"
"8","sakaguchi","shinju.txt",""
"9","sakaguchi","shinju.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","shinju.txt","（例）クタ／＼に"
"11","sakaguchi","shinju.txt","-------------------------------------------------------"
"12","sakaguchi","shinju.txt",""
"13","sakaguchi","shinju.txt","十二月八日以来の三ヶ月のあひだ、日本で最も話題となり、人々の知りたがつてゐたことの一つは、あなた方のことであつた。"
"14","sakaguchi","shinju.txt",""
"15","sakaguchi","shinju.txt","あなた方は九人であつた。"
"16","sakaguchi","shinju.txt","あなた方は命令を受けたのではなかつた。"
"17","sakaguchi","shinju.txt","あなた方の数名が自ら発案、進言して、司令長官の容れる所となつたのださうだ。"
"18","sakaguchi","shinju.txt","それからの数ヶ月、あなた方は人目を忍んで猛訓練にいそしんでゐた。"
"19","sakaguchi","shinju.txt","もはや、訓練のほかには、余念のないあなた方であつた。"
"20","sakaguchi","shinju.txt",""
"21","sakaguchi","shinju.txt","この戦争が始まるまで、パリジャンだのヤンキーが案外戦争に強さうだ、と、僕は漫然考へてゐた。"
"22","sakaguchi","shinju.txt","パリジャンは諧謔を弄しながら鼻唄まぢりで出征するし、ヤンキーときては戦争もスポーツも見境がないから、タッチダウンの要領で弾の中を駈けだしさうに思つたのだ。"
"23","sakaguchi","shinju.txt","ところが、戦争といふものは、我々が平和な食卓で結論するほど、単純無邪気なものではなかつた。"
"24","sakaguchi","shinju.txt","いや、人間が死に就て考へる、死に就ての考へといふものが、平和な食卓の結論ほど、単純無邪気ではなかつたのである。"
"25","sakaguchi","shinju.txt","人は鼻唄まぢりでは死地に赴くことができない。"
"26","sakaguchi","shinju.txt","タッチダウンの要領でトーチカへ飛びこめるほど、戦争は無邪気なものではなかつた。"
"27","sakaguchi","shinju.txt",""
"28","sakaguchi","shinju.txt","帰還した数名の職業も教養も違ふ人から、まつたく同じ体験をきかされたのだが、兵隊達は戦争よりも行軍の苦痛の方が骨身に徹してつらいと言ふ。"
"29","sakaguchi","shinju.txt","クタ／＼に疲れる。"
"30","sakaguchi","shinju.txt","歩きながら、足をひきずつて眠つてゐる。"
"31","sakaguchi","shinju.txt","突然敵が現れて銃声がきこえると、その場へ伏して応戦しながら、ホッとする。"
"32","sakaguchi","shinju.txt","戦争といふよりも、休息を感じるのである。"
"33","sakaguchi","shinju.txt","敵が呆気なく退却すると、やれ／＼、又、行軍か、と、ウンザリすると言ふのであつた。"
"34","sakaguchi","shinju.txt","この体験は貴重なものだ。"
