"","auth","piece","line"
"0","sakaguchi","shinsaku_iroha_garuta.txt","新作いろは加留多"
"1","sakaguchi","shinsaku_iroha_garuta.txt","坂口安吾"
"2","sakaguchi","shinsaku_iroha_garuta.txt",""
"3","sakaguchi","shinsaku_iroha_garuta.txt","-------------------------------------------------------"
"4","sakaguchi","shinsaku_iroha_garuta.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shinsaku_iroha_garuta.txt",""
"6","sakaguchi","shinsaku_iroha_garuta.txt","《》：ルビ"
"7","sakaguchi","shinsaku_iroha_garuta.txt","（例）甜められた"
"8","sakaguchi","shinsaku_iroha_garuta.txt","-------------------------------------------------------"
"9","sakaguchi","shinsaku_iroha_garuta.txt",""
"10","sakaguchi","shinsaku_iroha_garuta.txt","いろは加留多には「ン」がない。"
"11","sakaguchi","shinsaku_iroha_garuta.txt","多分ンで始まる言葉がないからだらう。"
"12","sakaguchi","shinsaku_iroha_garuta.txt","ところが、四五年前、ンで始まる金言を発見したから、ついでに「いろは加留多」を作らうかと思つた。"
"13","sakaguchi","shinsaku_iroha_garuta.txt","そのうちに忘れてしまつたけれども、又、正月が近づいたから、思ひだした。"
"14","sakaguchi","shinsaku_iroha_garuta.txt","ンの金言を発見した次第は、次のやうなものである。"
"15","sakaguchi","shinsaku_iroha_garuta.txt",""
"16","sakaguchi","shinsaku_iroha_garuta.txt","北原武夫が都新聞の文芸記者をやつてゐたときの話である。"
"17","sakaguchi","shinsaku_iroha_garuta.txt","都の匿名欄には僕も時々書いてゐたが、題と匿名は編輯者に委せて、僕がこしらへたことはなかつた。"
"18","sakaguchi","shinsaku_iroha_garuta.txt",""
"19","sakaguchi","shinsaku_iroha_garuta.txt","匿名も同じものを続けてゐると、忽ち看破られる。"
"20","sakaguchi","shinsaku_iroha_garuta.txt","そのうへ知らない読者には、匿名だけが一本立で歩くやうになり、書いてる本人は、ねざめのいゝ話ではない。"
"21","sakaguchi","shinsaku_iroha_garuta.txt","それで、ひところ、編輯者の方で、しよつちう匿名を変へてゐたこともある。"
"22","sakaguchi","shinsaku_iroha_garuta.txt",""
"23","sakaguchi","shinsaku_iroha_garuta.txt","ところで、話は「アリマセン」の「ン」であるが、アリマセンなら何でもないが、ンだけ一つ切離して言つてごらんと言はれると、降参する。"
"24","sakaguchi","shinsaku_iroha_garuta.txt","腹に力をいれて「ン」と言つてみると三分の二ぐらゐ風になつて洩れたやうで、甚だたよりない。"
"25","sakaguchi","shinsaku_iroha_garuta.txt","つまり一語分の資格に欠けてゐるのである。"
"26","sakaguchi","shinsaku_iroha_garuta.txt","だから、これを真正直に発音した方で、拍子が抜けて、「ン」の奴に馬鹿にされたやうな、間の抜けた感じなのだ。"
"27","sakaguchi","shinsaku_iroha_garuta.txt",""
"28","sakaguchi","shinsaku_iroha_garuta.txt","ふと、このことに気がついたから、然らば、ひとつ、天下のインテリ共を「ン」の字でもつて飜弄し、みんなに「ン」の字を発音させて、厭世感を深めさせてくれたら、さだめし面白からうと考へた。"
"29","sakaguchi","shinsaku_iroha_garuta.txt","雑作もないことだ。"
"30","sakaguchi","shinsaku_iroha_garuta.txt","都新聞に「ン」の匿名で書けばよい。"
"31","sakaguchi","shinsaku_iroha_garuta.txt","翌朝、僕がまだ寝てゐるうちに、厭世者が続出してゐることになる。"
"32","sakaguchi","shinsaku_iroha_garuta.txt","そこで、原稿を拵へて、意気揚々、都新聞社へでかけた。"
"33","sakaguchi","shinsaku_iroha_garuta.txt",""
"34","sakaguchi","shinsaku_iroha_garuta.txt","「ねえ、君」と、僕は得意になつて北原に言つた。"
"35","sakaguchi","shinsaku_iroha_garuta.txt","「この匿名を読んでごらん。"
"36","sakaguchi","shinsaku_iroha_garuta.txt","拍子抜けがするだらう。"
"37","sakaguchi","shinsaku_iroha_garuta.txt","一人前の字ぢやないんだね。"
"38","sakaguchi","shinsaku_iroha_garuta.txt","張合がなくて、甜められたやうな、なさけない気持にならないかね。"
"39","sakaguchi","shinsaku_iroha_garuta.txt","だから、君、読者をみんな悩ましてやるのさ」"
"40","sakaguchi","shinsaku_iroha_garuta.txt","北原は原稿を睨んでゐたが、暫く黙然、怪訝な顔をしてゐる。"
"41","sakaguchi","shinsaku_iroha_garuta.txt",""
"42","sakaguchi","shinsaku_iroha_garuta.txt","「これはウンといふ字だね？」"
"43","sakaguchi","shinsaku_iroha_garuta.txt","「え？」"
"44","sakaguchi","shinsaku_iroha_garuta.txt","「ウンといふ字ぢやないのか？」"
"45","sakaguchi","shinsaku_iroha_garuta.txt","北原は自分が間違つたのぢやないかと赧らみながら言つたが、僕はピストルでやられてゐた。"
"46","sakaguchi","shinsaku_iroha_garuta.txt","ンをウンと読む奴があらうとは！なるほど、ウンなら一人前だ。"
"47","sakaguchi","shinsaku_iroha_garuta.txt","をかしくもなんともない。"
"48","sakaguchi","shinsaku_iroha_garuta.txt","僕は意気消沈したが、世の中は北原ばかりぢやない。"
"49","sakaguchi","shinsaku_iroha_garuta.txt","慌て者もゐることだから、と、しみつたれた根性で、一回だけこの匿名を使つてしまつた。"
"50","sakaguchi","shinsaku_iroha_garuta.txt","いろは加留多の条件を覆す大金言を発見したのは、まさしく、この時のことなのである。"
"51","sakaguchi","shinsaku_iroha_garuta.txt",""
"52","sakaguchi","shinsaku_iroha_garuta.txt","「ンをウンと読む利巧者」"
"53","sakaguchi","shinsaku_iroha_garuta.txt",""
"54","sakaguchi","shinsaku_iroha_garuta.txt",""
"55","sakaguchi","shinsaku_iroha_garuta.txt",""
"56","sakaguchi","shinsaku_iroha_garuta.txt","底本：「坂口安吾全集03」筑摩書房"
"57","sakaguchi","shinsaku_iroha_garuta.txt","1999（平成11）年3月20日初版第1刷発行"
"58","sakaguchi","shinsaku_iroha_garuta.txt","底本の親本：「現代文学第四巻第一〇号」大観堂"
"59","sakaguchi","shinsaku_iroha_garuta.txt","1941（昭和16）年11月30日発行"
"60","sakaguchi","shinsaku_iroha_garuta.txt","初出：「現代文学第四巻第一〇号」大観堂"
"61","sakaguchi","shinsaku_iroha_garuta.txt","1941（昭和16）年11月30日発行"
"62","sakaguchi","shinsaku_iroha_garuta.txt","入力：tatsuki"
"63","sakaguchi","shinsaku_iroha_garuta.txt","校正：noriko saito"
"64","sakaguchi","shinsaku_iroha_garuta.txt","2008年9月16日作成"
"65","sakaguchi","shinsaku_iroha_garuta.txt","青空文庫作成ファイル："
"66","sakaguchi","shinsaku_iroha_garuta.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"67","sakaguchi","shinsaku_iroha_garuta.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"68","sakaguchi","shinsaku_iroha_garuta.txt",""
