"","auth","piece","line"
"0","sakaguchi","shito_kage.txt","死と影"
"1","sakaguchi","shito_kage.txt","坂口安吾"
"2","sakaguchi","shito_kage.txt",""
"3","sakaguchi","shito_kage.txt","-------------------------------------------------------"
"4","sakaguchi","shito_kage.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shito_kage.txt",""
"6","sakaguchi","shito_kage.txt","《》：ルビ"
"7","sakaguchi","shito_kage.txt","（例）良人"
"8","sakaguchi","shito_kage.txt",""
"9","sakaguchi","shito_kage.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","shito_kage.txt","（例）ぶる／＼"
"11","sakaguchi","shito_kage.txt","-------------------------------------------------------"
"12","sakaguchi","shito_kage.txt",""
"13","sakaguchi","shito_kage.txt","私がそれを意志したわけではなかったのに、私はいつか淪落のたゞなかに住みついていた。"
"14","sakaguchi","shito_kage.txt","たかが一人の女に、と、苦笑しながら。"
"15","sakaguchi","shito_kage.txt","なぜ、生きているのか、私にも、分らなかった。"
"16","sakaguchi","shito_kage.txt",""
"17","sakaguchi","shito_kage.txt","私が矢田津世子と別れたことを、遠く離れて、嗅ぎつけた女があった。"
"18","sakaguchi","shito_kage.txt","半年前に別れた「いづこへ」の女が、良人とも正式に別れて、田舎の実家へ戻っていたが、友人や新聞雑誌社へ手を廻して、常に私の動勢を嗅ぎ分けていたのであった。"
"19","sakaguchi","shito_kage.txt",""
"20","sakaguchi","shito_kage.txt","女は実家から金を持ちだして、私の下宿から遠からぬ神保町に店を買い、喫茶バーをはじめ、友人をローラクして、私をその店へ案内させた。"
"21","sakaguchi","shito_kage.txt","酒につられて私がヨリをもどさずにいられぬことを、見抜いていた。"
"22","sakaguchi","shito_kage.txt",""
"23","sakaguchi","shito_kage.txt","私は女の愛情の悲しさや、いじらしさを、感じることはできなかった。"
"24","sakaguchi","shito_kage.txt","落ちぶれはてた魂を嗅ぎ分けて煙のように忍びよる妖怪じみた厭らしさに、身ぶるいしたが、まさしく妖怪の見破る通り、酒と肉慾の取引に敗北せざるを得なかった。"
"25","sakaguchi","shito_kage.txt",""
"26","sakaguchi","shito_kage.txt","私は女の店の酒を平然と飲み倒した。"
"27","sakaguchi","shito_kage.txt","あまたの友人をつれこんで、乱酔した。"
"28","sakaguchi","shito_kage.txt","嵐であった。"
"29","sakaguchi","shito_kage.txt","平和な家を土足で掻きまわしているような苦しさを、つとめて忘れて、私は日ごとに荒れはてた。"
"30","sakaguchi","shito_kage.txt",""
"31","sakaguchi","shito_kage.txt","私は下宿へ女を一歩も寄せつけなかったが、時々女の店へ泊った。"
"32","sakaguchi","shito_kage.txt","店の二階は一間しかない。"
