"","auth","piece","line"
"0","sakaguchi","shobushi.txt","勝負師"
"1","sakaguchi","shobushi.txt","坂口安吾"
"2","sakaguchi","shobushi.txt",""
"3","sakaguchi","shobushi.txt","-------------------------------------------------------"
"4","sakaguchi","shobushi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shobushi.txt",""
"6","sakaguchi","shobushi.txt","《》：ルビ"
"7","sakaguchi","shobushi.txt","（例）呉清源"
"8","sakaguchi","shobushi.txt",""
"9","sakaguchi","shobushi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","shobushi.txt","（例）本因坊｜薫和"
"11","sakaguchi","shobushi.txt",""
"12","sakaguchi","shobushi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","shobushi.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","sakaguchi","shobushi.txt","（例）※"
"15","sakaguchi","shobushi.txt",""
"16","sakaguchi","shobushi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","shobushi.txt","（例）イヤ／＼"
"18","sakaguchi","shobushi.txt","-------------------------------------------------------"
"19","sakaguchi","shobushi.txt",""
"20","sakaguchi","shobushi.txt","五月九日のことだ。"
"21","sakaguchi","shobushi.txt","この日林町のモミヂといふ旅館で、呉清源八段をかこんで、文人碁客の座談会があつた。"
"22","sakaguchi","shobushi.txt","豊島与志雄、川端康成、火野葦平に私といふヘボ碁打である。"
"23","sakaguchi","shobushi.txt","呉八段も今度例の神様からはなれたので、この座談会では気軽に神様の話もできるだらうと、私はそれをタノシミにしてゐたのである。"
"24","sakaguchi","shobushi.txt",""
"25","sakaguchi","shobushi.txt","去年、本因坊｜薫和・呉清源の十番碁の第一局目が火蓋をきつたのがこの旅館で、私はそのとき観戦記者として対局の前夜から対局者と一しよにこの旅館へカンヅメにされたことがあつた。"
"26","sakaguchi","shobushi.txt","その晩、本因坊と私は定刻にモミヂへ来たが、呉八段は神様と一しよに行方不明で、主催者の新聞を慌てさせたものであつた。"
"27","sakaguchi","shobushi.txt","その当時の呉八段は、神様のせゐで、見る目も痛々しいものであつた。"
"28","sakaguchi","shobushi.txt","神様は信者もへり、後援者もなく、ケン族五六名ぐらゐの小人数に落ちぶれて、津軽のどこかへ都落ちして、神様ケン族の生活費はもつぱら呉八段の対局料に依存してゐたやうである。"
"29","sakaguchi","shobushi.txt",""
"30","sakaguchi","shobushi.txt","夜陰に及んで、やうやく姿を現した呉八段は、ヨレヨレの国民服に、手垢や泥にまみれた小さなズックのボストンバッグを小腋にかゝへてゐた。"
