"","auth","piece","line"
"0","sakaguchi","shogino_oni.txt","将棋の鬼"
"1","sakaguchi","shogino_oni.txt","坂口安吾"
"2","sakaguchi","shogino_oni.txt",""
"3","sakaguchi","shogino_oni.txt","-------------------------------------------------------"
"4","sakaguchi","shogino_oni.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","shogino_oni.txt",""
"6","sakaguchi","shogino_oni.txt","《》：ルビ"
"7","sakaguchi","shogino_oni.txt","（例）呷った"
"8","sakaguchi","shogino_oni.txt",""
"9","sakaguchi","shogino_oni.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","shogino_oni.txt","（例）ワア／＼"
"11","sakaguchi","shogino_oni.txt","-------------------------------------------------------"
"12","sakaguchi","shogino_oni.txt",""
"13","sakaguchi","shogino_oni.txt","将棋界の通説に、升田は手のないところに手をつくる、という。"
"14","sakaguchi","shogino_oni.txt","理窟から考えても、こんなバカな言い方が成り立つ筈のものではない。"
"15","sakaguchi","shogino_oni.txt",""
"16","sakaguchi","shogino_oni.txt","手がないところには、手がないにきまっている。"
"17","sakaguchi","shogino_oni.txt","手があるから、見つけるのである。"
"18","sakaguchi","shogino_oni.txt","つまり、ほかの連中は手がないと思っている。"
"19","sakaguchi","shogino_oni.txt","升田は、見つける。"
"20","sakaguchi","shogino_oni.txt","つまり、升田は強いのである。"
"21","sakaguchi","shogino_oni.txt",""
"22","sakaguchi","shogino_oni.txt","だから、升田が手がないと思っているところに手を見つける者が現れゝば、その人は升田に勝つ、というだけのことだろう。"
"23","sakaguchi","shogino_oni.txt",""
"24","sakaguchi","shogino_oni.txt","将棋指しは、勝負は気合いだ、という。"
"25","sakaguchi","shogino_oni.txt","これもウソだ。"
"26","sakaguchi","shogino_oni.txt","勝負は気合いではない。"
"27","sakaguchi","shogino_oni.txt","勝負はたゞ確実でなければならぬ。"
"28","sakaguchi","shogino_oni.txt",""
"29","sakaguchi","shogino_oni.txt","確実ということは、石橋を叩いて渡る、ということではない。"
"30","sakaguchi","shogino_oni.txt","勝つ、という理にかなっている、ということである。"
"31","sakaguchi","shogino_oni.txt","だから、確実であれば、勝つ速力も最短距離、最も早いということでもある。"
"32","sakaguchi","shogino_oni.txt",""
"33","sakaguchi","shogino_oni.txt","升田はそういう勝負の本質をハッキリ知りぬいた男で、いわば、升田将棋というものは、勝負の本質を骨子にしている将棋だ。"
"34","sakaguchi","shogino_oni.txt","だから理づめの将棋である。"
"35","sakaguchi","shogino_oni.txt",""
"36","sakaguchi","shogino_oni.txt","升田を力将棋という人は、まだ勝負の本質を会得せず、理と云い、力というものゝ何たるかを知らざるものだ。"
"37","sakaguchi","shogino_oni.txt",""
"38","sakaguchi","shogino_oni.txt","升田は相当以上のハッタリ屋だ。"
"39","sakaguchi","shogino_oni.txt","それを見て、升田の将棋もハッタリだと思うのが、間違いの元である。"
"40","sakaguchi","shogino_oni.txt",""
"41","sakaguchi","shogino_oni.txt","もっとも、升田の将棋もハッタリになる危険はある。"
"42","sakaguchi","shogino_oni.txt","慢心すると、そうなる。"
"43","sakaguchi","shogino_oni.txt","私は現に見たのである。"
"44","sakaguchi","shogino_oni.txt",""
"45","sakaguchi","shogino_oni.txt","昨年の十二月八日、名古屋で、木村升田三番勝負の第一回戦があって、私も観戦に招かれた。"
"46","sakaguchi","shogino_oni.txt",""
"47","sakaguchi","shogino_oni.txt","私が升田八段に会ったのは、この時がはじまりであった。"
"48","sakaguchi","shogino_oni.txt",""
"49","sakaguchi","shogino_oni.txt","手合いの前夜、新聞社の宴席へ招かれた。"
"50","sakaguchi","shogino_oni.txt","広間に三つテーブルをおく。"
"51","sakaguchi","shogino_oni.txt","三つ並べるのじゃなくて、マンナカへ一つ、両端へ各々一つずつ、離せるだけ離しておいてある。"
"52","sakaguchi","shogino_oni.txt",""
"53","sakaguchi","shogino_oni.txt","これは新東海という新聞社の深謀遠慮で、木村と升田は勝負仇、両々深く敵意をいだいている、同じテーブルに顔を合しては、ケンカにでもなっては大変だという、銀行や一般会社じゃ、こんなことまで頭がまわらぬ。"
"54","sakaguchi","shogino_oni.txt","新聞社雑誌社というものは、御本人も年中酔っぱらってケンカしているものだから、こういうところは行届いたものである。"
"55","sakaguchi","shogino_oni.txt",""
"56","sakaguchi","shogino_oni.txt","私と升田は同じテーブルで、こゝは飲み助だけ集る。"
"57","sakaguchi","shogino_oni.txt","升田は相当の酒量である。"
"58","sakaguchi","shogino_oni.txt","私はウイスキーを一本ポケットへ入れて東京を出発した。"
"59","sakaguchi","shogino_oni.txt","升田と私がこれをあけて、升田はそれから、かなり日本酒も呷ったようだ。"
"60","sakaguchi","shogino_oni.txt",""
"61","sakaguchi","shogino_oni.txt","私は酔っ払うと、アジル名人なのである。"
